State/Crop/District,Season,2000 - 2001,,,2001 - 2002,,,2002 - 2003,,,2003 - 2004,,,2004 - 2005,,,2005 - 2006,,,2006 - 2007,,,2007 - 2008,,,2008 - 2009,,,2009 - 2010,,,2010 - 2011,,,2011 - 2012,,,2012 - 2013,,,2013 - 2014,,,2014 - 2015,,,2015 - 2016,,,2016 - 2017,,,2017 - 2018,,,2018 - 2019,,,2019 - 2020,,,2020 - 2021,,,2021 - 2022,,,2022 - 2023,,
,,Area,Production,Yield,Area,Production,Yield,Area,Production,Yield,Area,Production,Yield,Area,Production,Yield,Area,Production,Yield,Area,Production,Yield,Area,Production,Yield,Area,Production,Yield,Area,Production,Yield,Area,Production,Yield,Area,Production,Yield,Area,Production,Yield,Area,Production,Yield,Area,Production,Yield,Area,Production,Yield,Area,Production,Yield,Area,Production,Yield,Area,Production,Yield,Area,Production,Yield,Area,Production,Yield,Area,Production,Yield,Area,Production,Yield
,,(Hectare),(Tonnes),(Ton./Ha.),(Hectare),(Tonnes),(Ton./Ha.),(Hectare),(Tonnes),(Ton./Ha.),(Hectare),(Tonnes),(Ton./Ha.),(Hectare),(Tonnes),(Ton./Ha.),(Hectare),(Tonnes),(Ton./Ha.),(Hectare),(Tonnes),(Ton./Ha.),(Hectare),(Tonnes),(Ton./Ha.),(Hectare),(Tonnes),(Ton./Ha.),(Hectare),(Tonnes),(Ton./Ha.),(Hectare),(Tonnes),(Ton./Ha.),(Hectare),(Tonnes),(Ton./Ha.),(Hectare),(Tonnes),(Ton./Ha.),(Hectare),(Tonnes),(Ton./Ha.),(Hectare),(Tonnes),(Ton./Ha.),(Hectare),(Tonnes),(Ton./Ha.),(Hectare),(Tonnes),(Ton./Ha.),(Hectare),(Tonnes),(Ton./Ha.),(Hectare),(Tonnes),(Ton./Ha.),(Hectare),(Tonnes),(Ton./Ha.),(Hectare),(Tonnes),(Ton./Ha.),(Hectare),(Tonnes),(Ton./Ha.),(Hectare),(Tonnes),(Ton./Ha.)
Nagaland,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1. Arhar/Tur,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1. Chumoukedima,Kharif,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,60,55,0.92
2. Dimapur,Kharif,700,690,0.99,1600,1020,0.64,,,,1100,1110,1.01,2790,2580,0.92,3060,3120,1.02,3160,3670,1.16,810,980,1.21,460,460,1,460,340,0.74,400,370,0.93,410,370,0.9,450,410,0.91,480,440,0.92,500,460,0.92,500,460,0.92,520,470,0.9,520,480,0.92,520,480,0.92,520,480,0.92,520,480,0.92,150,142,0.95,18,17,0.94
3. Kiphire,Kharif,,,,,,,,,,,,,,,,,,,,,,,,,130,120,0.92,120,80,0.67,80,60,0.75,80,60,0.75,110,100,0.91,100,70,0.7,100,70,0.7,100,70,0.7,100,90,0.9,100,90,0.9,100,90,0.9,100,90,0.9,100,92,0.92,1,1,1,2,2,1
4. Kohima,Kharif,380,420,1.11,680,510,0.75,31,17,0.55,120,150,1.25,570,550,0.96,760,780,1.03,860,1050,1.22,430,520,1.21,330,330,1,290,210,0.72,250,220,0.88,250,220,0.88,290,260,0.9,290,260,0.9,290,260,0.9,290,260,0.9,300,270,0.9,300,280,0.93,310,280,0.9,310,280,0.9,310,285,0.92,,,,,,
5. Longleng,Kharif,,,,,,,,,,,,,,,,,,,,,,,,,120,110,0.92,100,70,0.7,60,40,0.67,60,40,0.67,80,70,0.88,90,80,0.89,90,80,0.89,100,90,0.9,110,100,0.91,110,100,0.91,110,100,0.91,110,100,0.91,110,100,0.91,,,,,,
6. Mokokchung,Kharif,470,520,1.11,770,530,0.69,,,,750,830,1.11,860,810,0.94,1020,950,0.93,1100,1350,1.23,450,560,1.24,320,300,0.94,310,210,0.68,260,220,0.85,260,220,0.85,280,250,0.89,290,260,0.9,290,260,0.9,290,260,0.9,300,270,0.9,300,270,0.9,300,270,0.9,300,270,0.9,300,275,0.92,45,36,0.8,88,86,0.98
