State/Crop/District,Season,2000 - 2001,,,2001 - 2002,,,2002 - 2003,,,2003 - 2004,,,2004 - 2005,,,2005 - 2006,,,2006 - 2007,,,2007 - 2008,,,2008 - 2009,,,2009 - 2010,,,2010 - 2011,,,2011 - 2012,,,2012 - 2013,,,2013 - 2014,,,2014 - 2015,,,2015 - 2016,,,2016 - 2017,,,2017 - 2018,,,2018 - 2019,,,2019 - 2020,,,2020 - 2021,,,2021 - 2022,,,2022 - 2023,,
,,Area,Production,Yield,Area,Production,Yield,Area,Production,Yield,Area,Production,Yield,Area,Production,Yield,Area,Production,Yield,Area,Production,Yield,Area,Production,Yield,Area,Production,Yield,Area,Production,Yield,Area,Production,Yield,Area,Production,Yield,Area,Production,Yield,Area,Production,Yield,Area,Production,Yield,Area,Production,Yield,Area,Production,Yield,Area,Production,Yield,Area,Production,Yield,Area,Production,Yield,Area,Production,Yield,Area,Production,Yield,Area,Production,Yield
,,(Hectare),(Tonnes),(Ton./Ha.),(Hectare),(Tonnes),(Ton./Ha.),(Hectare),(Tonnes),(Ton./Ha.),(Hectare),(Tonnes),(Ton./Ha.),(Hectare),(Tonnes),(Ton./Ha.),(Hectare),(Tonnes),(Ton./Ha.),(Hectare),(Tonnes),(Ton./Ha.),(Hectare),(Tonnes),(Ton./Ha.),(Hectare),(Tonnes),(Ton./Ha.),(Hectare),(Tonnes),(Ton./Ha.),(Hectare),(Tonnes),(Ton./Ha.),(Hectare),(Tonnes),(Ton./Ha.),(Hectare),(Tonnes),(Ton./Ha.),(Hectare),(Tonnes),(Ton./Ha.),(Hectare),(Tonnes),(Ton./Ha.),(Hectare),(Tonnes),(Ton./Ha.),(Hectare),(Tonnes),(Ton./Ha.),(Hectare),(Tonnes),(Ton./Ha.),(Hectare),(Tonnes),(Ton./Ha.),(Hectare),(Tonnes),(Ton./Ha.),(Hectare),(Tonnes),(Ton./Ha.),(Hectare),(Tonnes),(Ton./Ha.),(Hectare),(Tonnes),(Ton./Ha.)
Rajasthan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1. Arhar/Tur,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1. Ajmer,Kharif,43,,0,4,2,0.5,36,,0,15,15,1,3,,0,,,,,,,57,12,0.21,,,,6,,0,7,7,1,47,10,0.21,,,,,,,1,1,1,,,,2,,0,,,,,,,,,,,,,,,,,,
2. Alwar,Kharif,2939,2815,0.96,2980,2401,0.81,954,142,0.15,1041,1057,1.02,1252,4322,3.45,1649,1553,0.94,1497,1303,0.87,1172,1208,1.03,2207,1844,0.84,2608,792,0.3,5064,4796,0.95,4034,4098,1.02,2925,3514,1.2,2139,2324,1.09,1453,1775,1.22,1071,1151,1.07,1921,2187,1.14,826,902,1.09,641,770,1.2,94,115,1.22,70,84,1.2,79,84,1.06,23,36,1.57
3. Banswara,Kharif,7544,1711,0.23,6974,2786,0.4,6082,2158,0.35,6254,4373,0.7,7000,3362,0.48,7812,4232,0.54,7079,1714,0.24,6571,4623,0.7,6199,3768,0.61,5843,1425,0.24,6025,2954,0.49,5632,2801,0.5,5093,3564,0.7,4901,2403,0.49,4756,2055,0.43,4760,1761,0.37,4362,3491,0.8,6195,5880,0.95,4046,3303,0.82,4101,2094,0.51,3722,2806,0.75,3560,2594,0.73,3408,2859,0.84
4. Baran,Kharif,214,76,0.36,176,46,0.26,52,9,0.17,33,15,0.45,23,13,0.57,108,21,0.19,57,41,0.72,77,66,0.86,87,32,0.37,42,47,1.12,94,82,0.87,7,4,0.57,14,21,1.5,,,,3,,0,8,4,0.5,29,30,1.03,11,9,0.82,1,1,1,,,,,,,,,,,,
5. Barmer,Kharif,3,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6. Bharatpur,Kharif,651,617,0.95,718,600,0.84,204,5,0.02,136,124,0.91,140,120,0.86,133,87,0.65,84,79,0.94,166,115,0.69,257,225,0.88,206,203,0.99,301,301,1,258,258,1,99,72,0.73,47,60,1.28,123,125,1.02,111,114,1.03,184,174,0.95,26,26,1,18,18,1,16,16,1,,,,6,6,1,,,
