State/Crop/District,Season,2000 - 2001,,,2001 - 2002,,,2002 - 2003,,,2003 - 2004,,,2004 - 2005,,,2005 - 2006,,,2006 - 2007,,,2007 - 2008,,,2008 - 2009,,,2009 - 2010,,,2010 - 2011,,,2011 - 2012,,,2012 - 2013,,,2013 - 2014,,,2014 - 2015,,,2015 - 2016,,,2016 - 2017,,,2017 - 2018,,,2018 - 2019,,,2019 - 2020,,,2020 - 2021,,,2021 - 2022,,,2022 - 2023,,
,,Area,Production,Yield,Area,Production,Yield,Area,Production,Yield,Area,Production,Yield,Area,Production,Yield,Area,Production,Yield,Area,Production,Yield,Area,Production,Yield,Area,Production,Yield,Area,Production,Yield,Area,Production,Yield,Area,Production,Yield,Area,Production,Yield,Area,Production,Yield,Area,Production,Yield,Area,Production,Yield,Area,Production,Yield,Area,Production,Yield,Area,Production,Yield,Area,Production,Yield,Area,Production,Yield,Area,Production,Yield,Area,Production,Yield
,,(Hectare),(Tonnes),(Ton./Ha.),(Hectare),(Tonnes),(Ton./Ha.),(Hectare),(Tonnes),(Ton./Ha.),(Hectare),(Tonnes),(Ton./Ha.),(Hectare),(Tonnes),(Ton./Ha.),(Hectare),(Tonnes),(Ton./Ha.),(Hectare),(Tonnes),(Ton./Ha.),(Hectare),(Tonnes),(Ton./Ha.),(Hectare),(Tonnes),(Ton./Ha.),(Hectare),(Tonnes),(Ton./Ha.),(Hectare),(Tonnes),(Ton./Ha.),(Hectare),(Tonnes),(Ton./Ha.),(Hectare),(Tonnes),(Ton./Ha.),(Hectare),(Tonnes),(Ton./Ha.),(Hectare),(Tonnes),(Ton./Ha.),(Hectare),(Tonnes),(Ton./Ha.),(Hectare),(Tonnes),(Ton./Ha.),(Hectare),(Tonnes),(Ton./Ha.),(Hectare),(Tonnes),(Ton./Ha.),(Hectare),(Tonnes),(Ton./Ha.),(Hectare),(Tonnes),(Ton./Ha.),(Hectare),(Tonnes),(Ton./Ha.),(Hectare),(Tonnes),(Ton./Ha.)
Sikkim,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1. Barley,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1. Gangtok,Rabi,340,390,1.15,340,440,1.29,440,530,1.2,440,500,1.14,440,500,1.14,440,520,1.18,420,450,1.07,310,330,1.06,210,190,0.9,410,370,0.9,320,288,0.9,300,280,0.93,240,250,1.04,230,250,1.09,225,241,1.07,225,243,1.08,230,250,1.09,225,245,1.09,216,248,1.15,214,246,1.15,200,230,1.15,1199,1209,1.01,52,59,1.13
2. Geyzing,Rabi,450,470,1.04,450,610,1.36,450,670,1.49,450,600,1.33,450,600,1.33,450,610,1.36,390,500,1.28,120,110,0.92,90,100,1.11,110,108,0.98,40,39,0.98,40,40,1,100,90,0.9,100,90,0.9,20,18,0.9,12,11,0.92,13,12,0.92,,,,,,,,,,,,,395,372,0.94,,,
3. Mangan,Rabi,150,150,1,140,92,0.66,140,100,0.71,140,110,0.79,140,120,0.86,140,140,1,140,120,0.86,80,80,1,50,40,0.8,240,242,1.01,140,165,1.18,140,160,1.14,140,150,1.07,140,151,1.08,140,150,1.07,140,153,1.09,140,154,1.1,145,160,1.1,140,167,1.19,147,175,1.19,146,174,1.19,236,232,0.98,147,176,1.2
4. Namchi,Rabi,200,200,1,250,190,0.76,200,200,1,200,300,1.5,200,300,1.5,200,320,1.6,200,200,1,200,140,0.7,150,140,0.93,240,200,0.83,140,117,0.84,100,80,0.8,110,100,0.91,110,101,0.92,100,90,0.9,70,65,0.93,70,65,0.93,50,46,0.92,430,429,1,40,40,1,,,,1310,1291,0.99,2,2,1
5. Pakyong,Rabi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,89,64,0.72
Total (Barley),,1140,1210,1.06,1180,1332,1.13,1230,1500,1.22,1230,1510,1.23,1230,1520,1.24,1230,1590,1.29,1150,1270,1.1,710,660,0.93,500,470,0.94,1000,920,0.92,640,609,0.95,580,560,0.97,590,590,1,580,592,1.02,485,499,1.03,447,472,1.06,453,481,1.06,420,451,1.07,786,844,1.07,401,461,1.15,346,404,1.17,3140,3104,0.99,290,301,1.04
