State/Crop/District,Season,2000 - 2001,,,2001 - 2002,,,2002 - 2003,,,2003 - 2004,,,2004 - 2005,,,2005 - 2006,,,2006 - 2007,,,2007 - 2008,,,2008 - 2009,,,2009 - 2010,,,2010 - 2011,,,2011 - 2012,,,2012 - 2013,,,2013 - 2014,,,2014 - 2015,,,2015 - 2016,,,2016 - 2017,,,2017 - 2018,,,2018 - 2019,,,2019 - 2020,,,2020 - 2021,,,2021 - 2022,,,2022 - 2023,,
,,Area,Production,Yield,Area,Production,Yield,Area,Production,Yield,Area,Production,Yield,Area,Production,Yield,Area,Production,Yield,Area,Production,Yield,Area,Production,Yield,Area,Production,Yield,Area,Production,Yield,Area,Production,Yield,Area,Production,Yield,Area,Production,Yield,Area,Production,Yield,Area,Production,Yield,Area,Production,Yield,Area,Production,Yield,Area,Production,Yield,Area,Production,Yield,Area,Production,Yield,Area,Production,Yield,Area,Production,Yield,Area,Production,Yield
,,(Hectare),(Tonnes),(Ton./Ha.),(Hectare),(Tonnes),(Ton./Ha.),(Hectare),(Tonnes),(Ton./Ha.),(Hectare),(Tonnes),(Ton./Ha.),(Hectare),(Tonnes),(Ton./Ha.),(Hectare),(Tonnes),(Ton./Ha.),(Hectare),(Tonnes),(Ton./Ha.),(Hectare),(Tonnes),(Ton./Ha.),(Hectare),(Tonnes),(Ton./Ha.),(Hectare),(Tonnes),(Ton./Ha.),(Hectare),(Tonnes),(Ton./Ha.),(Hectare),(Tonnes),(Ton./Ha.),(Hectare),(Tonnes),(Ton./Ha.),(Hectare),(Tonnes),(Ton./Ha.),(Hectare),(Tonnes),(Ton./Ha.),(Hectare),(Tonnes),(Ton./Ha.),(Hectare),(Tonnes),(Ton./Ha.),(Hectare),(Tonnes),(Ton./Ha.),(Hectare),(Tonnes),(Ton./Ha.),(Hectare),(Tonnes),(Ton./Ha.),(Hectare),(Tonnes),(Ton./Ha.),(Hectare),(Tonnes),(Ton./Ha.),(Hectare),(Tonnes),(Ton./Ha.)
Telangana,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1. Arhar/Tur,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1. Adilabad,Kharif,38996,9437,0.24,38438,18027,0.47,40771,9989,0.25,38393,13284,0.35,36468,15499,0.43,35993,23359,0.65,31414,21833,0.7,38000,30000,0.79,39533,18660,0.47,44943,25303,0.56,47884,26193,0.55,38832,23260,0.6,41000,27000,0.66,39190,26296,0.67,34731,28618,0.82,37507,37807,1.01,20076,22164,1.1,22282,23998,1.08,23984,31923,1.33,23803,29585,1.24,25002,22671,0.91,24482,24286,0.99,30725,30633,1
,Rabi,767,186,0.24,652,306,0.47,945,232,0.25,1351,467,0.35,3342,1420,0.42,,,,2912,2024,0.7,,,,1539,726,0.47,3785,2131,0.56,1648,901,0.55,591,354,0.6,,,,1067,716,0.67,543,447,0.82,419,422,1.01,1,1,1,,,,,,,,,,40,36,0.9,156,116,0.74,105,186,1.77
,Total,39763,9623,0.24,39090,18333,0.47,41716,10221,0.25,39744,13751,0.35,39810,16919,0.42,35993,23359,0.65,34326,23857,0.7,38000,30000,0.79,41072,19386,0.47,48728,27434,0.56,49532,27094,0.55,39423,23614,0.6,41000,27000,0.66,40257,27012,0.67,35274,29065,0.82,37926,38229,1.01,20077,22165,1.1,22282,23998,1.08,23984,31923,1.33,23803,29585,1.24,25042,22707,0.91,24638,24402,0.99,30830,30819,1
2. Bhadradri,Kharif,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2412,1073,0.44,1254,1001,0.8,799,1008,1.26,554,286,0.52,2486,1782,0.72,4661,4978,1.07,2852,2564,0.9
,Rabi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40,18,0.45,20,16,0.8,11,14,1.27,11,6,0.55,,,,65,48,0.74,8,9,1.13
,Total,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,2452,1091,0.44,1274,1017,0.8,810,1022,1.26,565,292,0.52,2486,1782,0.72,4726,5026,1.06,2860,2573,0.9
