State/Crop/District,Season,2000 - 2001,,,2001 - 2002,,,2002 - 2003,,,2003 - 2004,,,2004 - 2005,,,2005 - 2006,,,2006 - 2007,,,2007 - 2008,,,2008 - 2009,,,2009 - 2010,,,2010 - 2011,,,2011 - 2012,,,2012 - 2013,,,2013 - 2014,,,2014 - 2015,,,2015 - 2016,,,2016 - 2017,,,2017 - 2018,,,2018 - 2019,,,2019 - 2020,,,2020 - 2021,,,2021 - 2022,,,2022 - 2023,,
,,Area,Production,Yield,Area,Production,Yield,Area,Production,Yield,Area,Production,Yield,Area,Production,Yield,Area,Production,Yield,Area,Production,Yield,Area,Production,Yield,Area,Production,Yield,Area,Production,Yield,Area,Production,Yield,Area,Production,Yield,Area,Production,Yield,Area,Production,Yield,Area,Production,Yield,Area,Production,Yield,Area,Production,Yield,Area,Production,Yield,Area,Production,Yield,Area,Production,Yield,Area,Production,Yield,Area,Production,Yield,Area,Production,Yield
,,(Hectare),(Tonnes),(Ton./Ha.),(Hectare),(Tonnes),(Ton./Ha.),(Hectare),(Tonnes),(Ton./Ha.),(Hectare),(Tonnes),(Ton./Ha.),(Hectare),(Tonnes),(Ton./Ha.),(Hectare),(Tonnes),(Ton./Ha.),(Hectare),(Tonnes),(Ton./Ha.),(Hectare),(Tonnes),(Ton./Ha.),(Hectare),(Tonnes),(Ton./Ha.),(Hectare),(Tonnes),(Ton./Ha.),(Hectare),(Tonnes),(Ton./Ha.),(Hectare),(Tonnes),(Ton./Ha.),(Hectare),(Tonnes),(Ton./Ha.),(Hectare),(Tonnes),(Ton./Ha.),(Hectare),(Tonnes),(Ton./Ha.),(Hectare),(Tonnes),(Ton./Ha.),(Hectare),(Tonnes),(Ton./Ha.),(Hectare),(Tonnes),(Ton./Ha.),(Hectare),(Tonnes),(Ton./Ha.),(Hectare),(Tonnes),(Ton./Ha.),(Hectare),(Tonnes),(Ton./Ha.),(Hectare),(Tonnes),(Ton./Ha.),(Hectare),(Tonnes),(Ton./Ha.)
Uttar Pradesh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1. Arhar/Tur,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1. Agra,Kharif,5067,8166,1.61,4616,7615,1.65,,,,3170,5461,1.72,,,,,,,2567,1363,0.53,1289,1451,1.13,1135,889,0.78,858,569,0.66,974,666,0.68,948,835,0.88,884,995,1.13,931,1175,1.26,495,544,1.1,484,409,0.85,1229,1106,0.9,1208,1495,1.24,526,588,1.12,510,549,1.08,885,1587,1.79,1005,1671,1.66,886,1330,1.5
2. Aligarh,Kharif,16890,14695,0.87,17338,10731,0.62,,,,17481,13380,0.77,,,,,,,17930,11828,0.66,16338,16195,0.99,16522,9438,0.57,8856,7300,0.82,14506,10068,0.69,12401,8532,0.69,8331,9506,1.14,7568,12222,1.61,6645,4718,0.71,6452,5084,0.79,16663,14608,0.88,7104,5345,0.75,6246,4521,0.72,8061,5014,0.62,8534,6052,0.71,11097,6802,0.61,9124,5703,0.63
3. Allahabad,Kharif,10235,35175,3.44,11380,23049,2.03,,,,10520,18542,1.76,,,,,,,16788,14146,0.84,16663,17395,1.04,18388,22525,1.22,15796,6508,0.41,15654,13628,0.87,15891,17100,1.08,15086,17585,1.17,15571,10937,0.7,15261,8508,0.56,14901,10782,0.72,14466,19866,1.37,14560,28470,1.96,13049,12016,0.92,14919,13438,0.9,14672,14204,0.97,18942,28261,1.49,17910,26722,1.49
4. Ambedkar nagar,Kharif,3427,2890,0.84,3424,3214,0.94,,,,3637,3176,0.87,,,,,,,3234,3168,0.98,3295,3824,1.16,2470,2287,0.93,3502,3687,1.05,2569,4177,1.63,2607,3007,1.15,2449,2545,1.04,1884,1451,0.77,3080,1486,0.48,2944,2495,0.85,2497,2094,0.84,2534,1923,0.76,2833,2582,0.91,2298,3190,1.39,2218,2332,1.05,2993,2149,0.72,2698,2226,0.83
5. Amethi,Kharif,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4612,5183,1.12,3965,3556,0.9,3956,2299,0.58,3234,1560,0.48,3874,3284,0.85,3950,3312,0.84,3982,3021,0.76,3845,3504,0.91,4028,5591,1.39,3968,5683,1.43,4950,5009,1.01,3740,3086,0.83
6. Amroha,Kharif,446,494,1.11,845,770,0.91,,,,571,471,0.82,,,,,,,522,345,0.66,415,350,0.84,571,462,0.81,336,226,0.67,292,211,0.72,347,280,0.81,227,194,0.85,660,595,0.9,196,128,0.65,333,219,0.66,609,658,1.08,450,333,0.74,381,585,1.54,203,150,0.74,509,426,0.84,536,474,0.88,465,582,1.25
