State/Crop/District,Season,2000 - 2001,,,2001 - 2002,,,2002 - 2003,,,2003 - 2004,,,2004 - 2005,,,2005 - 2006,,,2006 - 2007,,,2010 - 2011,,,2011 - 2012,,,2012 - 2013,,,2013 - 2014,,,2014 - 2015,,,2015 - 2016,,,2016 - 2017,,,2017 - 2018,,,2018 - 2019,,,2019 - 2020,,,2020 - 2021,,,2021 - 2022,,,2022 - 2023,,
,,Area,Production,Yield,Area,Production,Yield,Area,Production,Yield,Area,Production,Yield,Area,Production,Yield,Area,Production,Yield,Area,Production,Yield,Area,Production,Yield,Area,Production,Yield,Area,Production,Yield,Area,Production,Yield,Area,Production,Yield,Area,Production,Yield,Area,Production,Yield,Area,Production,Yield,Area,Production,Yield,Area,Production,Yield,Area,Production,Yield,Area,Production,Yield,Area,Production,Yield
,,(Hectare),(Tonnes),(Ton./Ha.),(Hectare),(Tonnes),(Ton./Ha.),(Hectare),(Tonnes),(Ton./Ha.),(Hectare),(Tonnes),(Ton./Ha.),(Hectare),(Tonnes),(Ton./Ha.),(Hectare),(Tonnes),(Ton./Ha.),(Hectare),(Tonnes),(Ton./Ha.),(Hectare),(Tonnes),(Ton./Ha.),(Hectare),(Tonnes),(Ton./Ha.),(Hectare),(Tonnes),(Ton./Ha.),(Hectare),(Tonnes),(Ton./Ha.),(Hectare),(Tonnes),(Ton./Ha.),(Hectare),(Tonnes),(Ton./Ha.),(Hectare),(Tonnes),(Ton./Ha.),(Hectare),(Tonnes),(Ton./Ha.),(Hectare),(Tonnes),(Ton./Ha.),(Hectare),(Tonnes),(Ton./Ha.),(Hectare),(Tonnes),(Ton./Ha.),(Hectare),(Tonnes),(Ton./Ha.),(Hectare),(Tonnes),(Ton./Ha.)
Andaman and Nicobar Islands,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1. Arecanut,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1. Nicobars,Kharif,1254,2000,1.59,1254,2061,1.64,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Rabi,,,,,,,,,,,,,,,,,,,,,,944,1610,1.71,957,1090,1.14,959,1361.8,1.42,890.5,846,0.95,876.5,638.5,0.73,888.5,82.5,0.09,888.5,99,0.11,534.1,125.23,0.23,558,84.6,0.15,612.5,175.4,0.29,221.5,72.8,0.33,206.5,95.6,0.46,200.5,64.5,0.32
,Total,1254,2000,1.59,1254,2061,1.64,,,0,,,0,,,0,,,0,,,0,944,1610,1.71,957,1090,1.14,959,1361.8,1.42,890.5,846,0.95,876.5,638.5,0.73,888.5,82.5,0.09,888.5,99,0.11,534.1,125.23,0.23,558,84.6,0.15,612.5,175.4,0.29,221.5,72.8,0.33,206.5,95.6,0.46,200.5,64.5,0.32
2. North and middle andaman,Kharif,3100,5200,1.68,3100,5239,1.69,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Rabi,,,,,,,,,,,,,,,,,,,,,,1296,2290,1.77,1338,2410,1.8,1340,1890.7,1.41,1165.4,3509.9,3.01,1603,3830,2.39,1545,5300,3.43,1540,4788,3.11,1744,4639.44,2.66,2297.49,6476,2.82,2351.11,5343.05,2.27,2424.25,6288.38,2.59,2527.2,5386.13,2.13,2607.3,6153.68,2.36
,Total,3100,5200,1.68,3100,5239,1.69,,,0,,,0,,,0,,,0,,,0,1296,2290,1.77,1338,2410,1.8,1340,1890.7,1.41,1165.4,3509.9,3.01,1603,3830,2.39,1545,5300,3.43,1540,4788,3.11,1744,4639.44,2.66,2297.49,6476,2.82,2351.11,5343.05,2.27,2424.25,6288.38,2.59,2527.2,5386.13,2.13,2607.3,6153.68,2.36
3. South andamans,Rabi,,,,,,,,,,,,,,,,,,,,,,1912,1900,0.99,1925,2450,1.27,1926,2722.5,1.41,2235,5610.5,2.51,2190,4879.5,2.23,2190,4945,2.26,2191,5721,2.61,1220.2,10518.7,8.62,1220.2,5828.69,4.78,1372.19,5070.75,3.7,1372.2,7370.17,5.37,1372.2,9904.45,7.22,1372.2,9652,7.03
Total (Arecanut),,4354,7200,1.65,4354,7300,1.68,,,0,,,0,,,0,,,0,,,0,4152,5800,1.4,4220,5950,1.41,4225,5975,1.41,4290.9,9966.4,2.32,4669.5,9348,2,4623.5,10327.5,2.23,4619.5,10608,2.3,3498.3,15283.37,4.37,4075.69,12389.29,3.04,4335.8,10589.2,2.44,4017.95,13731.35,3.42,4105.9,15386.18,3.75,4180,15870.18,3.8
2. Arhar/Tur,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1. North and middle andaman,Rabi,,,,,,,,,,,,,,,,,,,,,,294.5,90.8,0.31,210,63.4,0.3,52.5,15,0.29,1,3,3,13.9,13.8,0.99,0.5,0.3,0.6,6.5,0.3,0.05,1.2,0.6,0.5,,,,,,,2.1,0.2,0.1,2.7,0.5,0.19,1,0.3,0.3
2. South andamans,Rabi,,,,,,,,,,,,,,,,,,,,,,20.5,13.2,0.64,,,,,,,0.5,0.2,0.4,1,0.4,0.4,0.5,0.2,0.4,,,,,,,,,,,,,,,,,,,,,
Total (Arhar/Tur),,,,0,,,0,,,0,,,0,,,0,,,0,,,0,315,104,0.33,210,63.4,0.3,52.5,15,0.29,1.5,3.2,2.13,14.9,14.2,0.95,1,0.5,0.5,6.5,0.3,0.05,1.2,0.6,0.5,,,0,,,0,2.1,0.2,0.1,2.7,0.5,0.19,1,0.3,0.3
3. Black pepper,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1. Nicobars,Rabi,,,,,,,,,,,,,,,,,,,,,,23,8.5,0.37,23,1,0.04,23,4.9,0.21,7.6,1.5,0.2,6,1.4,0.23,12.5,0.9,0.07,12,0.9,0.08,12.4,0.42,0.03,10.41,0.02,0,12.4,0.71,0.06,10.4,0.088,0.01,2.4,0.059,0.02,1.63,0.054,0.03
2. North and middle andaman,Rabi,,,,,,,,,,,,,,,,,,,,,,168,13.5,0.08,169.9,2.7,0.02,169.9,36.3,0.21,160.2,13.8,0.09,134.5,20.8,0.15,68,13.6,0.2,60.3,4.8,0.08,8.76,2.13,0.24,10.03,3,0.3,9.92,2.25,0.23,9.26,2.8,0.3,9.36,2.89,0.31,41.98,3.15,0.08
