State/Crop/District,Season,2000 - 2001,,,2001 - 2002,,,2002 - 2003,,,2003 - 2004,,,2004 - 2005,,,2005 - 2006,,,2006 - 2007,,,2007 - 2008,,,2008 - 2009,,,2009 - 2010,,,2010 - 2011,,,2011 - 2012,,,2012 - 2013,,,2013 - 2014,,,2014 - 2015,,,2015 - 2016,,,2016 - 2017,,,2017 - 2018,,,2018 - 2019,,,2019 - 2020,,,2020 - 2021,,,2021 - 2022,,,2022 - 2023,,
,,Area,Production,Yield,Area,Production,Yield,Area,Production,Yield,Area,Production,Yield,Area,Production,Yield,Area,Production,Yield,Area,Production,Yield,Area,Production,Yield,Area,Production,Yield,Area,Production,Yield,Area,Production,Yield,Area,Production,Yield,Area,Production,Yield,Area,Production,Yield,Area,Production,Yield,Area,Production,Yield,Area,Production,Yield,Area,Production,Yield,Area,Production,Yield,Area,Production,Yield,Area,Production,Yield,Area,Production,Yield,Area,Production,Yield
,,(Hectare),(Tonnes),(Ton./Ha.),(Hectare),(Tonnes),(Ton./Ha.),(Hectare),(Tonnes),(Ton./Ha.),(Hectare),(Tonnes),(Ton./Ha.),(Hectare),(Tonnes),(Ton./Ha.),(Hectare),(Tonnes),(Ton./Ha.),(Hectare),(Tonnes),(Ton./Ha.),(Hectare),(Tonnes),(Ton./Ha.),(Hectare),(Tonnes),(Ton./Ha.),(Hectare),(Tonnes),(Ton./Ha.),(Hectare),(Tonnes),(Ton./Ha.),(Hectare),(Tonnes),(Ton./Ha.),(Hectare),(Tonnes),(Ton./Ha.),(Hectare),(Tonnes),(Ton./Ha.),(Hectare),(Tonnes),(Ton./Ha.),(Hectare),(Tonnes),(Ton./Ha.),(Hectare),(Tonnes),(Ton./Ha.),(Hectare),(Tonnes),(Ton./Ha.),(Hectare),(Tonnes),(Ton./Ha.),(Hectare),(Tonnes),(Ton./Ha.),(Hectare),(Tonnes),(Ton./Ha.),(Hectare),(Tonnes),(Ton./Ha.),(Hectare),(Tonnes),(Ton./Ha.)
Chhattisgarh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1. Arhar/Tur,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1. Balod,Kharif,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,607,290,0.48,571,304,0.53,547,264,0.48,519,300,0.58,489,192,0.39,462,269,0.58,460,166,0.36,356,145,0.41,116,72,0.62,221,114,0.52,358,190,0.53,203,147,0.72
2. Baloda bazar,Kharif,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1492,474,0.32,1430,600,0.42,1486,560,0.38,1292,613,0.47,1167,347,0.3,954,315,0.33,780,180,0.23,592,152,0.26,354,130,0.37,318,99,0.31,274,92,0.34,220,101,0.46
3. Balrampur,Kharif,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8362,3652,0.44,8566,5724,0.67,8106,4407,0.54,8214,5852,0.71,8526,4481,0.53,8483,5954,0.7,7921,3255,0.41,8828,4540,0.51,6117,4050,0.66,4645,2727,0.59,4515,2495,0.55,3975,2786,0.7
4. Bastar,Kharif,975,565,0.58,961,435,0.45,1044,388,0.37,1079,728,0.67,1128,699,0.62,1161,606,0.52,889,446,0.5,902,824,0.91,885,594,0.67,902,528,0.59,906,508,0.56,526,295,0.56,502,343,0.68,496,330,0.67,433,314,0.73,402,230,0.57,395,231,0.58,383,194,0.51,327,188,0.57,178,118,0.66,150,75,0.5,179,97,0.54,157,108,0.69
5. Bemetara,Kharif,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4495,2144,0.48,3141,1558,0.5,3630,1987,0.55,2525,1489,0.59,4699,1917,0.41,3819,2404,0.63,4175,1750,0.42,3398,1641,0.48,2351,1299,0.55,3727,1473,0.4,5079,2699,0.53,2842,1906,0.67
6. Bijapur,Kharif,,,,,,,,,,,,,,,,,,,11,,0,11,7,0.64,7,4,0.57,7,3,0.43,7,3,0.43,7,4,0.57,12,7,0.58,10,10,1,7,4,0.57,4,2,0.5,5,3,0.6,3,1,0.33,4,6,1.5,6,4,0.67,2,2,1,3,4,1.33,4,5,1.25
