State/Crop/District,Season,2000 - 2001,,,2001 - 2002,,,2002 - 2003,,,2003 - 2004,,,2004 - 2005,,,2005 - 2006,,,2006 - 2007,,,2007 - 2008,,,2008 - 2009,,,2009 - 2010,,,2010 - 2011,,,2011 - 2012,,,2012 - 2013,,,2013 - 2014,,,2014 - 2015,,,2015 - 2016,,,2016 - 2017,,,2017 - 2018,,,2018 - 2019,,,2019 - 2020,,
,,Area,Production,Yield,Area,Production,Yield,Area,Production,Yield,Area,Production,Yield,Area,Production,Yield,Area,Production,Yield,Area,Production,Yield,Area,Production,Yield,Area,Production,Yield,Area,Production,Yield,Area,Production,Yield,Area,Production,Yield,Area,Production,Yield,Area,Production,Yield,Area,Production,Yield,Area,Production,Yield,Area,Production,Yield,Area,Production,Yield,Area,Production,Yield,Area,Production,Yield
,,(Hectare),(Tonnes),(Ton./Ha.),(Hectare),(Tonnes),(Ton./Ha.),(Hectare),(Tonnes),(Ton./Ha.),(Hectare),(Tonnes),(Ton./Ha.),(Hectare),(Tonnes),(Ton./Ha.),(Hectare),(Tonnes),(Ton./Ha.),(Hectare),(Tonnes),(Ton./Ha.),(Hectare),(Tonnes),(Ton./Ha.),(Hectare),(Tonnes),(Ton./Ha.),(Hectare),(Tonnes),(Ton./Ha.),(Hectare),(Tonnes),(Ton./Ha.),(Hectare),(Tonnes),(Ton./Ha.),(Hectare),(Tonnes),(Ton./Ha.),(Hectare),(Tonnes),(Ton./Ha.),(Hectare),(Tonnes),(Ton./Ha.),(Hectare),(Tonnes),(Ton./Ha.),(Hectare),(Tonnes),(Ton./Ha.),(Hectare),(Tonnes),(Ton./Ha.),(Hectare),(Tonnes),(Ton./Ha.),(Hectare),(Tonnes),(Ton./Ha.)
Dadra and Nagar Haveli,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1. Arhar/Tur,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1. Dadra and Nagar Haveli,Kharif,1466,1078,0.74,1470,1427,0.97,1398,1357,0.97,1144,1009,0.88,1339,1138,0.85,1148,1251,1.09,1147,1577,1.37,1500,1300,0.87,1500,1300,0.87,1500,1200,0.8,1870,1496,0.8,1209,967,0.8,1325,1060,0.8,,,,,,,1221,1010,0.83,1210,4152,3.43,1199,1013,0.84,1180,1298,1.1,1100,1100,1
,Rabi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,350,350,1,,,,,,,300,300,1
,Winter,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,160,130,0.81,302,246,0.81,312,254,0.81,,,,,,,297,220,0.74,,,,293,268,0.91,,,,,,
,Total,1466,1078,0.74,1470,1427,0.97,1398,1357,0.97,1144,1009,0.88,1339,1138,0.85,1148,1251,1.09,1147,1577,1.37,1500,1300,0.87,1500,1300,0.87,1500,1200,0.8,2030,1626,0.8,1511,1213,0.8,1637,1314,0.8,,,0,,,0,1518,1230,0.81,1560,4502,2.89,1492,1281,0.86,1180,1298,1.1,1400,1400,1
Total (Arhar/Tur),,1466,1078,0.74,1470,1427,0.97,1398,1357,0.97,1144,1009,0.88,1339,1138,0.85,1148,1251,1.09,1147,1577,1.37,1500,1300,0.87,1500,1300,0.87,1500,1200,0.8,2030,1626,0.8,1511,1213,0.8,1637,1314,0.8,,,0,,,0,1518,1230,0.81,1560,4502,2.89,1492,1281,0.86,1180,1298,1.1,1400,1400,1
2. Banana,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1. Dadra and Nagar Haveli,Kharif,15,220,14.67,15,300,20,15,300,20,440,1408,3.2,50,160,3.2,60,200,3.33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Rabi,,,,,,,,,,,,,,,,,,,60,1500,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Total,15,220,14.67,15,300,20,15,300,20,440,1408,3.2,50,160,3.2,60,200,3.33,60,1500,25,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0
Total (Banana),,15,220,14.67,15,300,20,15,300,20,440,1408,3.2,50,160,3.2,60,200,3.33,60,1500,25,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0
3. Coconut,,,Nuts,Nuts/Hectare,,Nuts,Nuts/Hectare,,Nuts,Nuts/Hectare,,Nuts,Nuts/Hectare,,Nuts,Nuts/Hectare,,Nuts,Nuts/Hectare,,Nuts,Nuts/Hectare,,Nuts,Nuts/Hectare,,Nuts,Nuts/Hectare,,Nuts,Nuts/Hectare,,Nuts,Nuts/Hectare,,Nuts,Nuts/Hectare,,Nuts,Nuts/Hectare,,Nuts,Nuts/Hectare,,Nuts,Nuts/Hectare,,Nuts,Nuts/Hectare,,Nuts,Nuts/Hectare,,Nuts,Nuts/Hectare,,Nuts,Nuts/Hectare,,Nuts,Nuts/Hectare
1. Dadra and Nagar Haveli,Kharif,180,80100,445,180,45000,250,180,45000,250,180,45000,250,185,46200,249.73,190,47500,250,195,48750,250,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total (Coconut),,180,80100,445,180,45000,250,180,45000,250,180,45000,250,185,46200,249.73,190,47500,250,195,48750,250,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0
4. Cowpea(Lobia),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1. Dadra and Nagar Haveli,Kharif,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,7.2,1.2,,,,6,7.2,1.2,6,7.2,1.2
Total (Cowpea(Lobia)),,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,6,7.2,1.2,,,0,6,7.2,1.2,6,7.2,1.2
5. Gram,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1. Dadra and Nagar Haveli,Rabi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,80,80,1,,,,,,,,,,,,,,,,100,105,1.05,,,,200,210,1.05,,,
,Winter,140,140,1,161,129,0.8,148,118,0.8,152,122,0.8,184,151,0.82,137,162,1.18,115,141,1.23,200,100,0.5,200,100,0.5,100,100,1,330,330,1,138,138,1,173,173,1,,,,,,,,,,,,,,,,,,,,,
