State/Crop/District,Season,2000 - 2001,,,2001 - 2002,,,2002 - 2003,,,2003 - 2004,,,2004 - 2005,,,2005 - 2006,,,2006 - 2007,,,2007 - 2008,,,2008 - 2009,,,2009 - 2010,,,2010 - 2011,,,2011 - 2012,,,2012 - 2013,,,2013 - 2014,,,2014 - 2015,,,2015 - 2016,,,2016 - 2017,,,2017 - 2018,,,2018 - 2019,,,2019 - 2020,,,2020 - 2021,,,2021 - 2022,,,2022 - 2023,,
,,Area,Production,Yield,Area,Production,Yield,Area,Production,Yield,Area,Production,Yield,Area,Production,Yield,Area,Production,Yield,Area,Production,Yield,Area,Production,Yield,Area,Production,Yield,Area,Production,Yield,Area,Production,Yield,Area,Production,Yield,Area,Production,Yield,Area,Production,Yield,Area,Production,Yield,Area,Production,Yield,Area,Production,Yield,Area,Production,Yield,Area,Production,Yield,Area,Production,Yield,Area,Production,Yield,Area,Production,Yield,Area,Production,Yield
,,(Hectare),(Tonnes),(Ton./Ha.),(Hectare),(Tonnes),(Ton./Ha.),(Hectare),(Tonnes),(Ton./Ha.),(Hectare),(Tonnes),(Ton./Ha.),(Hectare),(Tonnes),(Ton./Ha.),(Hectare),(Tonnes),(Ton./Ha.),(Hectare),(Tonnes),(Ton./Ha.),(Hectare),(Tonnes),(Ton./Ha.),(Hectare),(Tonnes),(Ton./Ha.),(Hectare),(Tonnes),(Ton./Ha.),(Hectare),(Tonnes),(Ton./Ha.),(Hectare),(Tonnes),(Ton./Ha.),(Hectare),(Tonnes),(Ton./Ha.),(Hectare),(Tonnes),(Ton./Ha.),(Hectare),(Tonnes),(Ton./Ha.),(Hectare),(Tonnes),(Ton./Ha.),(Hectare),(Tonnes),(Ton./Ha.),(Hectare),(Tonnes),(Ton./Ha.),(Hectare),(Tonnes),(Ton./Ha.),(Hectare),(Tonnes),(Ton./Ha.),(Hectare),(Tonnes),(Ton./Ha.),(Hectare),(Tonnes),(Ton./Ha.),(Hectare),(Tonnes),(Ton./Ha.)
Gujarat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1. Arhar/Tur,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1. Ahmadabad,Kharif,4600,1500,0.33,2800,1800,0.64,3100,1900,0.61,2600,2300,0.88,1200,1200,1,2000,1900,0.95,1500,1300,0.87,1800,2000,1.11,1400,1400,1,1200,1000,0.83,1100,1100,1,1100,1200,1.09,1000,900,0.9,900,770,0.86,701,763,1.09,1249,1535,1.23,2346,2655,1.13,1823,2266,1.24,1218,1472,1.21,417,413,0.99,6182,7331,1.19,13205,22475,1.7,13603,11766,0.86
2. Amreli,Kharif,1000,400,0.4,1000,600,0.6,400,300,0.75,1100,900,0.82,1500,1400,0.93,900,900,1,900,800,0.89,700,800,1.14,600,600,1,600,500,0.83,700,700,1,900,900,1,800,800,1,1235,1057,0.86,1225,1333,1.09,742,912,1.23,5174,5856,1.13,2126,2642,1.24,2030,2454,1.21,1595,3068,1.92,1949,2666,1.37,3443,3407,0.99,2565,2482,0.97
3. Anand,Kharif,,,,,,,,,,1100,900,0.82,1400,1300,0.93,1100,1100,1,900,700,0.78,1000,1100,1.1,1100,1000,0.91,900,800,0.89,900,900,1,800,800,1,1300,1300,1,442,378,0.86,563,612,1.09,380,467,1.23,75,85,1.13,74,92,1.24,63,76,1.21,35,35,1,30,36,1.2,40,46,1.15,26,30,1.15
4. Aravalli,Kharif,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8440,5636,0.67,6183,5037,0.81,7866,7661,0.97,7206,4790,0.66,5512,5584,1.01,5303,5195,0.98,3710,4199,1.13,3513,3910,1.11,2965,3180,1.07
5. Banas kantha,Kharif,4400,1400,0.32,3500,2200,0.63,3600,2300,0.64,1100,1000,0.91,1600,1500,0.94,3600,3600,1,3300,2700,0.82,2800,2900,1.04,2700,2900,1.07,2300,2500,1.09,2600,3200,1.23,3200,2500,0.78,1500,1300,0.87,1335,1700,1.27,708,951,1.34,792,878,1.11,600,760,1.27,1065,2476,2.32,464,609,1.31,296,482,1.63,329,538,1.64,167,194,1.16,137,159,1.16
6. Bharuch,Kharif,93000,27400,0.29,66100,40400,0.61,62200,39300,0.63,38600,19500,0.51,38000,21400,0.56,42900,26500,0.62,41100,25900,0.63,40400,33000,0.82,56000,41000,0.73,64700,41900,0.65,66400,61500,0.93,46600,40900,0.88,53500,48500,0.91,64445,49236,0.76,63965,54191,0.85,73520,84107,1.14,105648,113743,1.08,74325,75991,1.02,80952,88055,1.09,68416,64183,0.94,80372,85229,1.06,80292,87169,1.09,77870,87895,1.13
