State/Crop/District,Season,2000 - 2001,,,2001 - 2002,,,2002 - 2003,,,2003 - 2004,,,2004 - 2005,,,2005 - 2006,,,2006 - 2007,,,2007 - 2008,,,2008 - 2009,,,2009 - 2010,,,2010 - 2011,,,2011 - 2012,,,2012 - 2013,,,2013 - 2014,,,2014 - 2015,,,2015 - 2016,,,2016 - 2017,,,2017 - 2018,,,2018 - 2019,,,2019 - 2020,,,2020 - 2021,,,2021 - 2022,,,2022 - 2023,,
,,Area,Production,Yield,Area,Production,Yield,Area,Production,Yield,Area,Production,Yield,Area,Production,Yield,Area,Production,Yield,Area,Production,Yield,Area,Production,Yield,Area,Production,Yield,Area,Production,Yield,Area,Production,Yield,Area,Production,Yield,Area,Production,Yield,Area,Production,Yield,Area,Production,Yield,Area,Production,Yield,Area,Production,Yield,Area,Production,Yield,Area,Production,Yield,Area,Production,Yield,Area,Production,Yield,Area,Production,Yield,Area,Production,Yield
,,(Hectare),(Tonnes),(Ton./Ha.),(Hectare),(Tonnes),(Ton./Ha.),(Hectare),(Tonnes),(Ton./Ha.),(Hectare),(Tonnes),(Ton./Ha.),(Hectare),(Tonnes),(Ton./Ha.),(Hectare),(Tonnes),(Ton./Ha.),(Hectare),(Tonnes),(Ton./Ha.),(Hectare),(Tonnes),(Ton./Ha.),(Hectare),(Tonnes),(Ton./Ha.),(Hectare),(Tonnes),(Ton./Ha.),(Hectare),(Tonnes),(Ton./Ha.),(Hectare),(Tonnes),(Ton./Ha.),(Hectare),(Tonnes),(Ton./Ha.),(Hectare),(Tonnes),(Ton./Ha.),(Hectare),(Tonnes),(Ton./Ha.),(Hectare),(Tonnes),(Ton./Ha.),(Hectare),(Tonnes),(Ton./Ha.),(Hectare),(Tonnes),(Ton./Ha.),(Hectare),(Tonnes),(Ton./Ha.),(Hectare),(Tonnes),(Ton./Ha.),(Hectare),(Tonnes),(Ton./Ha.),(Hectare),(Tonnes),(Ton./Ha.),(Hectare),(Tonnes),(Ton./Ha.)
Haryana,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1. Arhar/Tur,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1. Ambala,Kharif,257,300,1.17,294,400,1.36,137,200,1.46,31,0,0,43,100,2.33,21,,0,28,,0,14,,0,7,,0,2,,0,3,,0,,,,,,,,,,,,,,,,,,,,,,1,1,1,,,,,,,1,1,1,,,
2. Bhiwani,Kharif,491,200,0.41,336,200,0.6,1800,8200,4.56,777,600,0.77,237,200,0.84,764,800,1.05,,,,1014,1000,0.99,2669,2700,1.01,1296,1300,1,2684,2900,1.08,2583,2500,0.97,820,1014,1.24,800,1000,1.25,300,500,1.67,300,300,1,1200,200,0.17,120,140,1.17,25,31,1.24,165,205,1.24,197,244,1.24,1,1.2,1.2,,,
3. Charki dadri,Kharif,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,400,400,1,,,,,,,180,220,1.22,66,80,1.21,14,17,1.21,14,17,1.21,24,29.1,1.21,,,
4. Faridabad,Kharif,3287,2500,0.76,3519,2800,0.8,4925,3800,0.77,3593,4400,1.22,3460,2800,0.81,2721,2000,0.74,2590,1900,0.73,2264,2000,0.88,736,700,0.95,301,300,1,,,,233,200,0.86,174,201,1.16,200,300,1.5,100,,0,100,100,1,100,100,1,100,110,1.1,83,100,1.2,,,,42,51,1.21,37,44.6,1.21,,,
5. Fatehabad,Kharif,27,,0,,,,,,,15,0,0,28,,0,41,100,2.44,14,,0,95,100,1.05,6,,0,,,,179,200,1.12,7,,0,13,13,1,,,,,,,,,,100,100,1,50,50,1,,,,,,,,,,2,0,0,,,
6. Gurgaon,Kharif,768,300,0.39,1014,500,0.49,755,400,0.53,603,800,1.33,886,900,1.02,568,400,0.7,446,300,0.67,520,500,0.96,709,700,0.99,510,500,0.98,885,800,0.9,320,300,0.94,679,764,1.13,500,500,1,400,,0,400,500,1.25,,,,500,590,1.18,290,334,1.15,136,157,1.15,136,157,1.15,,,,,,
