State/Crop/District,Season,2002 - 2003,,,2003 - 2004,,,2004 - 2005,,,2005 - 2006,,,2006 - 2007,,,2007 - 2008,,,2008 - 2009,,,2009 - 2010,,,2010 - 2011,,,2011 - 2012,,,2012 - 2013,,,2013 - 2014,,,2014 - 2015,,,2015 - 2016,,,2016 - 2017,,,2017 - 2018,,,2018 - 2019,,,2019 - 2020,,,2020 - 2021,,,2021 - 2022,,,2022 - 2023,,
,,Area,Production,Yield,Area,Production,Yield,Area,Production,Yield,Area,Production,Yield,Area,Production,Yield,Area,Production,Yield,Area,Production,Yield,Area,Production,Yield,Area,Production,Yield,Area,Production,Yield,Area,Production,Yield,Area,Production,Yield,Area,Production,Yield,Area,Production,Yield,Area,Production,Yield,Area,Production,Yield,Area,Production,Yield,Area,Production,Yield,Area,Production,Yield,Area,Production,Yield,Area,Production,Yield
,,(Hectare),(Tonnes),(Ton./Ha.),(Hectare),(Tonnes),(Ton./Ha.),(Hectare),(Tonnes),(Ton./Ha.),(Hectare),(Tonnes),(Ton./Ha.),(Hectare),(Tonnes),(Ton./Ha.),(Hectare),(Tonnes),(Ton./Ha.),(Hectare),(Tonnes),(Ton./Ha.),(Hectare),(Tonnes),(Ton./Ha.),(Hectare),(Tonnes),(Ton./Ha.),(Hectare),(Tonnes),(Ton./Ha.),(Hectare),(Tonnes),(Ton./Ha.),(Hectare),(Tonnes),(Ton./Ha.),(Hectare),(Tonnes),(Ton./Ha.),(Hectare),(Tonnes),(Ton./Ha.),(Hectare),(Tonnes),(Ton./Ha.),(Hectare),(Tonnes),(Ton./Ha.),(Hectare),(Tonnes),(Ton./Ha.),(Hectare),(Tonnes),(Ton./Ha.),(Hectare),(Tonnes),(Ton./Ha.),(Hectare),(Tonnes),(Ton./Ha.),(Hectare),(Tonnes),(Ton./Ha.)
Jharkhand,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1. Arhar/Tur,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1. Bokaro,Kharif,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8955,7080,0.79,7202,5654,0.79,6620,9268,1.4,9118,9392,1.03,6373,6373,1,6000,8400,1.4
,Rabi,,,,,,,,,,,,,76.79,108,1.41,38.83,70,1.8,82.98,124,1.49,66,53,0.8,262,451,1.72,75,117,1.56,69,246,3.57,57,92,1.61,27,91,3.37,40,99,2.48,29,111,3.83,,,,,,,,,,,,,,,,,,
,Total,,,0,,,0,,,0,,,0,76.79,108,1.41,38.83,70,1.8,82.98,124,1.49,66,53,0.8,262,451,1.72,75,117,1.56,69,246,3.57,57,92,1.61,27,91,3.37,40,99,2.48,29,111,3.83,8955,7080,0.79,7202,5654,0.79,6620,9268,1.4,9118,9392,1.03,6373,6373,1,6000,8400,1.4
2. Chatra,Kharif,,,,1613.85,2929.14,1.82,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8683,10854,1.25,7380,9373,1.27,8010,10493,1.31,8110,7786,0.96,8010,10814,1.35,4393,5887,1.34
,Rabi,1537.38,3139.32,2.04,,,,1221.19,1756.07,1.44,1139.21,1148.32,1.01,1506.18,1794,1.19,1271.65,1694,1.33,815.51,953,1.17,219,324,1.48,1009,1183,1.17,934,1306,1.4,907,1906,2.1,969,2136,2.2,851,1897,2.23,698,1318,1.89,710,905,1.27,,,,,,,,,,,,,,,,,,
,Total,1537.38,3139.32,2.04,1613.85,2929.14,1.82,1221.19,1756.07,1.44,1139.21,1148.32,1.01,1506.18,1794,1.19,1271.65,1694,1.33,815.51,953,1.17,219,324,1.48,1009,1183,1.17,934,1306,1.4,907,1906,2.1,969,2136,2.2,851,1897,2.23,698,1318,1.89,710,905,1.27,8683,10854,1.25,7380,9373,1.27,8010,10493,1.31,8110,7786,0.96,8010,10814,1.35,4393,5887,1.34
3. Deoghar,Kharif,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6166,4625,0.75,5268,3951,0.75,5693,5124,0.9,3988,3589,0.9,5900,6490,1.1,643,707,1.1
,Rabi,,,,,,,,,,,,,20.12,32,1.59,22.92,33,1.44,14.33,19,1.33,13,12,0.92,21,27,1.29,3,7,2.33,17,45,2.65,17,30,1.76,32,70,2.19,,,,,,,,,,,,,,,,,,,,,,,,
,Winter,,,,,,,,,,,,,,,,,,,353.01,537,1.52,224,277,1.24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Total,,,0,,,0,,,0,,,0,20.12,32,1.59,22.92,33,1.44,367.34,556,1.51,237,289,1.22,21,27,1.29,3,7,2.33,17,45,2.65,17,30,1.76,32,70,2.19,,,0,,,0,6166,4625,0.75,5268,3951,0.75,5693,5124,0.9,3988,3589,0.9,5900,6490,1.1,643,707,1.1
4. Dhanbad,Kharif,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2412,2894,1.2,2124,2336,1.1,1783,2140,1.2,1785,2142,1.2,1787,2144,1.2,486,583,1.2
,Rabi,,,,,,,,,,,,,0.8,1,1.25,1.58,2,1.27,0.36,0.5,1.39,,,,1,0.6,0.6,,,,2,4,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Winter,,,,,,,,,,,,,,,,,,,4.9,2,0.41,1,270,270,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Total,,,0,,,0,,,0,,,0,0.8,1,1.25,1.58,2,1.27,5.26,2.5,0.48,1,270,270,1,0.6,0.6,,,0,2,4,2,,,0,,,0,,,0,,,0,2412,2894,1.2,2124,2336,1.1,1783,2140,1.2,1785,2142,1.2,1787,2144,1.2,486,583,1.2
5. Dumka,Kharif,,,,589.52,772.86,1.31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15821,12103,0.76,14223,12587,0.88,12210,11294,0.92,12319,11087,0.9,12546,11291,0.9,247,222,0.9
,Rabi,387.77,874.6,2.26,,,,548.85,727.78,1.33,518.59,756.62,1.46,561.71,709,1.26,611.98,862,1.41,657.94,766,1.16,1808,1696,0.94,1790,1779,0.99,537,1179,2.2,603,876,1.45,614,995,1.62,524,1323,2.52,466,1200,2.58,539,1033,1.92,,,,,,,,,,,,,,,,,,
,Winter,,,,,,,,,,,,,,,,,,,8.09,8,0.99,213,215,1.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Total,387.77,874.6,2.26,589.52,772.86,1.31,548.85,727.78,1.33,518.59,756.62,1.46,561.71,709,1.26,611.98,862,1.41,666.03,774,1.16,2021,1911,0.95,1790,1779,0.99,537,1179,2.2,603,876,1.45,614,995,1.62,524,1323,2.52,466,1200,2.58,539,1033,1.92,15821,12103,0.76,14223,12587,0.88,12210,11294,0.92,12319,11087,0.9,12546,11291,0.9,247,222,0.9
6. East singhbum,Kharif,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9898,10393,1.05,9356,7485,0.8,8200,9020,1.1,7922,7764,0.98,4000,3940,0.99,2300,2277,0.99
,Rabi,,,,,,,,,,,,,146.18,203,1.39,117.17,141,1.2,102.27,157,1.54,52,36,0.69,78,103,1.32,82,102,1.24,59,85,1.44,52,84,1.62,91,166,1.82,68,108,1.59,78,117,1.5,,,,,,,,,,,,,,,,,,
,Total,,,0,,,0,,,0,,,0,146.18,203,1.39,117.17,141,1.2,102.27,157,1.54,52,36,0.69,78,103,1.32,82,102,1.24,59,85,1.44,52,84,1.62,91,166,1.82,68,108,1.59,78,117,1.5,9898,10393,1.05,9356,7485,0.8,8200,9020,1.1,7922,7764,0.98,4000,3940,0.99,2300,2277,0.99
7. Garhwa,Kharif,,,,4326.84,4802.79,1.11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20964,11710,0.56,21970,14281,0.65,24082,15653,0.65,22450,21889,0.98,21565,21134,0.98,20255,16710,0.82
,Rabi,4422.75,6952.56,1.57,,,,3714.24,6262.21,1.69,3743.35,3803.24,1.02,197.97,312,1.58,1923.93,2493,1.3,1924.59,2284,1.19,4556,6410,1.41,4037,4118,1.02,4887,5219,1.07,3842,7503,1.95,4013,4675,1.16,3207,8277,2.58,3094,3871,1.25,2643,5891,2.23,,,,,,,,,,,,,,,,,,
