State/Crop/District,Season,2000 - 2001,,,2001 - 2002,,,2002 - 2003,,,2003 - 2004,,,2004 - 2005,,,2005 - 2006,,,2006 - 2007,,,2007 - 2008,,,2008 - 2009,,,2009 - 2010,,,2010 - 2011,,,2011 - 2012,,,2012 - 2013,,,2013 - 2014,,,2014 - 2015,,,2015 - 2016,,,2016 - 2017,,,2017 - 2018,,,2018 - 2019,,,2019 - 2020,,,2020 - 2021,,,2021 - 2022,,,2022 - 2023,,
,,Area,Production,Yield,Area,Production,Yield,Area,Production,Yield,Area,Production,Yield,Area,Production,Yield,Area,Production,Yield,Area,Production,Yield,Area,Production,Yield,Area,Production,Yield,Area,Production,Yield,Area,Production,Yield,Area,Production,Yield,Area,Production,Yield,Area,Production,Yield,Area,Production,Yield,Area,Production,Yield,Area,Production,Yield,Area,Production,Yield,Area,Production,Yield,Area,Production,Yield,Area,Production,Yield,Area,Production,Yield,Area,Production,Yield
,,(Hectare),(Tonnes),(Ton./Ha.),(Hectare),(Tonnes),(Ton./Ha.),(Hectare),(Tonnes),(Ton./Ha.),(Hectare),(Tonnes),(Ton./Ha.),(Hectare),(Tonnes),(Ton./Ha.),(Hectare),(Tonnes),(Ton./Ha.),(Hectare),(Tonnes),(Ton./Ha.),(Hectare),(Tonnes),(Ton./Ha.),(Hectare),(Tonnes),(Ton./Ha.),(Hectare),(Tonnes),(Ton./Ha.),(Hectare),(Tonnes),(Ton./Ha.),(Hectare),(Tonnes),(Ton./Ha.),(Hectare),(Tonnes),(Ton./Ha.),(Hectare),(Tonnes),(Ton./Ha.),(Hectare),(Tonnes),(Ton./Ha.),(Hectare),(Tonnes),(Ton./Ha.),(Hectare),(Tonnes),(Ton./Ha.),(Hectare),(Tonnes),(Ton./Ha.),(Hectare),(Tonnes),(Ton./Ha.),(Hectare),(Tonnes),(Ton./Ha.),(Hectare),(Tonnes),(Ton./Ha.),(Hectare),(Tonnes),(Ton./Ha.),(Hectare),(Tonnes),(Ton./Ha.)
Karnataka,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1. Arhar/Tur,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1. Bagalkot,Kharif,4984,3693,0.74,1502,925,0.62,2749,1113,0.4,736,40,0.05,3105,655,0.21,2984,1032,0.35,3283,904,0.28,4294,3402,0.79,1056,288,0.27,4811,2610,0.54,11231,5708,0.51,7437,1915,0.26,949,209,0.22,4074,2129,0.52,6144,2673,0.44,4547,1261,0.28,37261,29239,0.78,23003,15974,0.69,42565,19329,0.45,50933,30145,0.59,51972,45579,0.88,68771,46695,0.68,36745,24693,0.67
2. Bangalore rural,Kharif,4725,3407,0.72,4503,2798,0.62,3136,1278,0.41,4572,1842,0.4,5331,4269,0.8,4557,3429,0.75,4160,1715,0.41,1296,1069,0.82,1340,1419,1.06,1306,1069,0.82,1640,1806,1.1,1650,1014,0.61,1197,729,0.61,1274,815,0.64,1554,1736,1.12,1416,527,0.37,1274,2301,1.81,1347,1144,0.85,815,782,0.96,822,906,1.1,1049,1202,1.15,684,491,0.72,410,211,0.51
3. Belgaum,Kharif,10227,3818,0.37,3813,779,0.2,5200,1245,0.24,2346,283,0.12,5517,1730,0.31,6100,1727,0.28,5658,1666,0.29,5702,2346,0.41,4237,1715,0.4,4671,1424,0.3,5623,1955,0.35,4160,1636,0.39,2314,1167,0.5,3834,1650,0.43,2869,2322,0.81,5075,1143,0.23,9895,7295,0.74,6278,4276,0.68,14881,7719,0.52,14311,6104,0.43,14452,6113,0.42,17804,7210,0.4,11286,3995,0.35
4. Bellary,Kharif,9645,3958,0.41,5944,2451,0.41,7906,2704,0.34,5526,1774,0.32,8889,4982,0.56,10655,5628,0.53,9353,4363,0.47,9917,5398,0.54,9640,4854,0.5,8938,3303,0.37,10544,4367,0.41,9066,2989,0.33,5127,1802,0.35,3325,1614,0.49,3427,1319,0.38,2931,1041,0.36,11946,7036,0.59,9363,7694,0.82,13708,9168,0.67,11498,9547,0.83,13902,10385,0.75,13832,8133,0.59,3676,1662,0.45
5. Bengaluru urban,Kharif,909,411,0.45,553,169,0.31,319,149,0.47,843,316,0.37,1008,522,0.52,849,577,0.68,586,258,0.44,630,417,0.66,714,376,0.53,617,285,0.46,737,432,0.59,1013,464,0.46,638,452,0.71,1011,929,0.92,2093,1362,0.65,463,170,0.37,821,820,1,600,569,0.95,461,279,0.61,952,659,0.69,681,517,0.76,516,344,0.67,235,181,0.77
6. Bidar,Kharif,62518,23757,0.38,64077,24349,0.38,67313,40990,0.61,73792,31967,0.43,70100,44286,0.63,69344,56522,0.82,69189,34902,0.5,66110,48422,0.73,62667,50782,0.81,67000,49647,0.74,72728,65568,0.9,76010,44842,0.59,68625,82666,1.2,73270,59305,0.81,65965,44243,0.67,67453,29797,0.44,81611,101487,1.24,78680,129909,1.65,77019,34828,0.45,127939,156182,1.22,139653,108091,0.77,130628,102543,0.79,111444,110218,0.99
