State/Crop/District,Season,2000 - 2001,,,2001 - 2002,,,2002 - 2003,,,2003 - 2004,,,2004 - 2005,,,2005 - 2006,,,2006 - 2007,,,2007 - 2008,,,2008 - 2009,,,2009 - 2010,,,2010 - 2011,,,2011 - 2012,,,2012 - 2013,,,2013 - 2014,,,2014 - 2015,,,2015 - 2016,,,2016 - 2017,,,2017 - 2018,,,2018 - 2019,,,2019 - 2020,,,2020 - 2021,,,2021 - 2022,,,2022 - 2023,,
,,Area,Production,Yield,Area,Production,Yield,Area,Production,Yield,Area,Production,Yield,Area,Production,Yield,Area,Production,Yield,Area,Production,Yield,Area,Production,Yield,Area,Production,Yield,Area,Production,Yield,Area,Production,Yield,Area,Production,Yield,Area,Production,Yield,Area,Production,Yield,Area,Production,Yield,Area,Production,Yield,Area,Production,Yield,Area,Production,Yield,Area,Production,Yield,Area,Production,Yield,Area,Production,Yield,Area,Production,Yield,Area,Production,Yield
,,(Hectare),(Tonnes),(Ton./Ha.),(Hectare),(Tonnes),(Ton./Ha.),(Hectare),(Tonnes),(Ton./Ha.),(Hectare),(Tonnes),(Ton./Ha.),(Hectare),(Tonnes),(Ton./Ha.),(Hectare),(Tonnes),(Ton./Ha.),(Hectare),(Tonnes),(Ton./Ha.),(Hectare),(Tonnes),(Ton./Ha.),(Hectare),(Tonnes),(Ton./Ha.),(Hectare),(Tonnes),(Ton./Ha.),(Hectare),(Tonnes),(Ton./Ha.),(Hectare),(Tonnes),(Ton./Ha.),(Hectare),(Tonnes),(Ton./Ha.),(Hectare),(Tonnes),(Ton./Ha.),(Hectare),(Tonnes),(Ton./Ha.),(Hectare),(Tonnes),(Ton./Ha.),(Hectare),(Tonnes),(Ton./Ha.),(Hectare),(Tonnes),(Ton./Ha.),(Hectare),(Tonnes),(Ton./Ha.),(Hectare),(Tonnes),(Ton./Ha.),(Hectare),(Tonnes),(Ton./Ha.),(Hectare),(Tonnes),(Ton./Ha.),(Hectare),(Tonnes),(Ton./Ha.)
Manipur,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1. Arhar/Tur,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1. Bishnupur,Kharif,,,,,,,,,,,,,,,,,,,,,,,,,60,76,1.27,35,32,0.91,90,94.5,1.05,85,89.3,1.05,50,46,0.92,52,51,0.98,83,85,1.02,85,96,1.13,85,99,1.16,85,98,1.15,75,84,1.12,,,,,,,,,,,,
2. Chandel,Kharif,,,,,,,,,,,,,,,,,,,,,,,,,84,72,0.86,,,,41,34,0.83,92,74.7,0.81,52,48,0.92,72,70,0.97,43,42,0.98,43,46,1.07,43,47,1.09,43,45,1.05,45,52,1.16,,,,,,,,,,,,
3. Churachandpur,Kharif,,,,,,,,,,,,,,,,,,,,,,,,,77,85,1.1,5,3,0.6,64,61,0.95,88,88.5,1.01,60,56,0.93,80,80,1,65,62,0.95,65,70,1.08,65,70,1.08,65,70,1.08,65,53,0.82,,,,,,,,,,,,
4. Imphal east,Kharif,,,,,,,,,,,,,,,,,,,,,,,,,60,73,1.22,25,23,0.92,55,67.1,1.22,52,52,1,50,44,0.88,50,44,0.88,65,66,1.02,65,66,1.02,65,73,1.12,60,67,1.12,60,59,0.98,,,,,,,,,,,,
5. Imphal west,Kharif,,,,,,,,,,,,,,,,,,,,,,,,,54,70,1.3,34,30,0.88,58,67.3,1.16,45,42.8,0.95,45,37,0.82,45,41,0.91,45,45,1,64,72,1.13,64,77,1.2,64,77,1.2,80,89,1.11,,,,,,,,,,,,
6. Senapati,Kharif,,,,,,,,,,40,20,0.5,,,,,,,,,,,,,48,53,1.1,5,3,0.6,48,47,0.98,48,44.1,0.92,48,47,0.98,65,64,0.98,64,64,1,64,71,1.11,64,71,1.11,66,78,1.18,67,78,1.16,,,,,,,,,,,,
