State/Crop/District,Season,2000 - 2001,,,2001 - 2002,,,2002 - 2003,,,2003 - 2004,,,2004 - 2005,,,2005 - 2006,,,2006 - 2007,,,2007 - 2008,,,2008 - 2009,,,2009 - 2010,,,2010 - 2011,,,2011 - 2012,,,2012 - 2013,,,2013 - 2014,,,2014 - 2015,,,2015 - 2016,,,2016 - 2017,,,2017 - 2018,,,2018 - 2019,,,2019 - 2020,,,2020 - 2021,,,2021 - 2022,,,2022 - 2023,,
,,Area,Production,Yield,Area,Production,Yield,Area,Production,Yield,Area,Production,Yield,Area,Production,Yield,Area,Production,Yield,Area,Production,Yield,Area,Production,Yield,Area,Production,Yield,Area,Production,Yield,Area,Production,Yield,Area,Production,Yield,Area,Production,Yield,Area,Production,Yield,Area,Production,Yield,Area,Production,Yield,Area,Production,Yield,Area,Production,Yield,Area,Production,Yield,Area,Production,Yield,Area,Production,Yield,Area,Production,Yield,Area,Production,Yield
,,(Hectare),(Tonnes),(Ton./Ha.),(Hectare),(Tonnes),(Ton./Ha.),(Hectare),(Tonnes),(Ton./Ha.),(Hectare),(Tonnes),(Ton./Ha.),(Hectare),(Tonnes),(Ton./Ha.),(Hectare),(Tonnes),(Ton./Ha.),(Hectare),(Tonnes),(Ton./Ha.),(Hectare),(Tonnes),(Ton./Ha.),(Hectare),(Tonnes),(Ton./Ha.),(Hectare),(Tonnes),(Ton./Ha.),(Hectare),(Tonnes),(Ton./Ha.),(Hectare),(Tonnes),(Ton./Ha.),(Hectare),(Tonnes),(Ton./Ha.),(Hectare),(Tonnes),(Ton./Ha.),(Hectare),(Tonnes),(Ton./Ha.),(Hectare),(Tonnes),(Ton./Ha.),(Hectare),(Tonnes),(Ton./Ha.),(Hectare),(Tonnes),(Ton./Ha.),(Hectare),(Tonnes),(Ton./Ha.),(Hectare),(Tonnes),(Ton./Ha.),(Hectare),(Tonnes),(Ton./Ha.),(Hectare),(Tonnes),(Ton./Ha.),(Hectare),(Tonnes),(Ton./Ha.)
Madhya Pradesh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1. Arhar/Tur,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1. Agar malwa,Kharif,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1834,739,0.4,6000,4000,0.67,2000,3000,1.5,4000,4000,1,1900,1900,1,553,526,0.95,112,39,0.35,51,20,0.39,25,10,0.4,,,
2. Alirajpur,Kharif,,,,,,,,,,,,,,,,,,,,,,,,,2421,1270,0.52,,,,2722,787,0.29,2677,1006,0.38,2481,1295,0.52,2639,1042,0.39,7000,4000,0.57,4000,3000,0.75,,,,4000,3910,0.98,1160,614,0.53,2732,2970,1.09,2793,2877,1.03,2715,1271,0.47,2438,1702,0.7
3. Anuppur,Kharif,,,,,,,,,,3722,1895,0.51,3533,1777,0.5,3844,1578,0.41,3742,1432,0.38,3327,1022,0.31,4023,1924,0.48,,,,7389,723,0.1,6249,2031,0.33,6020,2841,0.47,5612,3615,0.64,10000,7000,0.7,8000,2000,0.25,14000,14000,1,10500,8580,0.82,1784,894,0.5,3582,2078,0.58,2945,1973,0.67,2176,1508,0.69,2050,1384,0.68
4. Ashoknagar,Kharif,,,,,,,,,,24,14,0.58,66,37,0.56,92,62,0.67,91,45,0.49,139,76,0.55,158,105,0.66,,,,404,156,0.39,814,409,0.5,710,502,0.71,701,382,0.54,5000,5000,1,1000,592,0.59,,,,,,,77,65,0.84,6,4,0.67,6,4,0.67,161,100,0.62,,,
5. Balaghat,Kharif,2880,3193,1.11,2915,3528,1.21,2809,2802,1,2927,3021,1.03,2781,2737,0.98,2885,2773,0.96,2904,2167,0.75,3061,2640,0.86,3022,2601,0.86,,,,3976,2291,0.58,4007,3566,0.89,4396,5061,1.15,4343,4288,0.99,7000,8000,1.14,9000,14000,1.56,11000,13000,1.18,8700,15660,1.8,696,751,1.08,979,1018,1.04,973,1625,1.67,568,678,1.19,306,392,1.28
6. Barwani,Kharif,5568,1772,0.32,5012,2176,0.43,4910,1800,0.37,5081,2445,0.48,4744,1925,0.41,4294,1348,0.31,4224,1684,0.4,4304,1487,0.35,4333,2026,0.47,,,,4504,1022,0.23,4225,1721,0.41,4178,1818,0.44,4088,2712,0.66,8000,6000,0.75,4000,3000,0.75,8000,8000,1,5050,5300,1.05,1160,1212,1.04,1645,3089,1.88,1901,1956,1.03,2093,877,0.42,1258,1377,1.09
