State,Crop,District,Season,Area_(Hectare),Year,Production_(Tonnes),Yield_(Ton./Ha.)
Kerla crop.csv,Bajra,Palakkad,Kharif,,2000-2001,,
Kerla crop.csv,Cotton(lint),Idukki,Kharif,,2000-2001,,
Kerla crop.csv,Cotton(lint),Palakkad,Kharif,3847.0,2000-2001,6209,1.61
Kerla crop.csv,Cotton(lint),Thrissur,Kharif,,2000-2001,,
Kerla crop.csv,Groundnut,Palakkad,Kharif,3676.0,2000-2001,2733,0.74
Kerla crop.csv,Groundnut,Thiruvananthapuram,Kharif,1.0,2000-2001,,0
Kerla crop.csv,Jowar,Idukki,Kharif,,2000-2001,,
Kerla crop.csv,Jowar,Kannur,Kharif,,2000-2001,,
Kerla crop.csv,Jowar,Kasaragod,Kharif,,2000-2001,,
Kerla crop.csv,Jowar,Kollam,Kharif,,2000-2001,,
Kerla crop.csv,Jowar,Kozhikode,Kharif,,2000-2001,,
Kerla crop.csv,Jowar,Malappuram,Kharif,,2000-2001,,
Kerla crop.csv,Jowar,Palakkad,Kharif,463.0,2000-2001,236,0.51
Kerla crop.csv,Jowar,Thiruvananthapuram,Kharif,,2000-2001,,
Kerla crop.csv,Jowar,Wayanad,Kharif,,2000-2001,,
Kerla crop.csv,Other Rabi pulses,Ernakulam,Rabi,,2000-2001,,
Kerla crop.csv,Other Rabi pulses,Idukki,Rabi,,2000-2001,,
Kerla crop.csv,Other Rabi pulses,Kannur,Rabi,,2000-2001,,
Kerla crop.csv,Other Rabi pulses,Kasaragod,Rabi,,2000-2001,,
Kerla crop.csv,Other Rabi pulses,Kollam,Rabi,,2000-2001,,
Kerla crop.csv,Other Rabi pulses,Kozhikode,Rabi,,2000-2001,,
Kerla crop.csv,Other Rabi pulses,Malappuram,Rabi,,2000-2001,,
Kerla crop.csv,Other Rabi pulses,Palakkad,Rabi,,2000-2001,,
Kerla crop.csv,Other Rabi pulses,Pathanamthitta,Rabi,,2000-2001,,
Kerla crop.csv,Other Rabi pulses,Thiruvananthapuram,Rabi,,2000-2001,,
