State,Crop,District,Season,Area_(Hectare),Year,Production_(Tonnes),Yield_(Ton./Ha.)
Nagaland crop.csv,Arhar/Tur,Chumoukedima,Kharif,,2000-2001,,
Nagaland crop.csv,Arhar/Tur,Dimapur,Kharif,700.0,2000-2001,690,0.99
Nagaland crop.csv,Arhar/Tur,Kiphire,Kharif,,2000-2001,,
Nagaland crop.csv,Arhar/Tur,Kohima,Kharif,380.0,2000-2001,420,1.11
Nagaland crop.csv,Arhar/Tur,Longleng,Kharif,,2000-2001,,
Nagaland crop.csv,Arhar/Tur,Mokokchung,Kharif,470.0,2000-2001,520,1.11
Nagaland crop.csv,Arhar/Tur,Mon,Kharif,500.0,2000-2001,550,1.1
Nagaland crop.csv,Arhar/Tur,Nuiland,Kharif,,2000-2001,,
Nagaland crop.csv,Arhar/Tur,Peren,Kharif,,2000-2001,,
Nagaland crop.csv,Arhar/Tur,Phek,Kharif,450.0,2000-2001,500,1.11
Nagaland crop.csv,Arhar/Tur,Tuensang,Kharif,400.0,2000-2001,460,1.15
Nagaland crop.csv,Arhar/Tur,Wokha,Kharif,530.0,2000-2001,700,1.32
Nagaland crop.csv,Arhar/Tur,Zunheboto,Kharif,570.0,2000-2001,660,1.16
Nagaland crop.csv,Bajra,Chumoukedima,Kharif,,2000-2001,,
Nagaland crop.csv,Bajra,Dimapur,Kharif,190.0,2000-2001,160,0.84
Nagaland crop.csv,Bajra,Kiphire,Kharif,,2000-2001,,
Nagaland crop.csv,Bajra,Kohima,Kharif,150.0,2000-2001,120,0.8
Nagaland crop.csv,Bajra,Longleng,Kharif,,2000-2001,,
Nagaland crop.csv,Bajra,Mokokchung,Kharif,190.0,2000-2001,160,0.84
Nagaland crop.csv,Bajra,Mon,Kharif,200.0,2000-2001,150,0.75
Nagaland crop.csv,Bajra,Noklak,Kharif,,2000-2001,,
Nagaland crop.csv,Bajra,Nuiland,Kharif,,2000-2001,,
Nagaland crop.csv,Bajra,Peren,Kharif,,2000-2001,,
Nagaland crop.csv,Bajra,Phek,Kharif,160.0,2000-2001,140,0.88
Nagaland crop.csv,Bajra,Shamator,Kharif,,2000-2001,,
Nagaland crop.csv,Bajra,Tseminyu,Kharif,,2000-2001,,
Nagaland crop.csv,Bajra,Tuensang,Kharif,170.0,2000-2001,140,0.82
Nagaland crop.csv,Bajra,Wokha,Kharif,280.0,2000-2001,250,0.89
Nagaland crop.csv,Bajra,Zunheboto,Kharif,160.0,2000-2001,130,0.81
Nagaland crop.csv,Barley,Dimapur,Kharif,,2000-2001,,
Nagaland crop.csv,Barley,Kiphire,Kharif,,2000-2001,,
Nagaland crop.csv,Barley,Kohima,Kharif,,2000-2001,,
Nagaland crop.csv,Barley,Longleng,Kharif,,2000-2001,,
Nagaland crop.csv,Barley,Mokokchung,Kharif,,2000-2001,,
Nagaland crop.csv,Barley,Mon,Kharif,,2000-2001,,
Nagaland crop.csv,Barley,Peren,Kharif,,2000-2001,,
Nagaland crop.csv,Barley,Phek,Kharif,,2000-2001,,
Nagaland crop.csv,Barley,Tuensang,Kharif,,2000-2001,,
Nagaland crop.csv,Barley,Wokha,Kharif,,2000-2001,,
Nagaland crop.csv,Barley,Zunheboto,Kharif,,2000-2001,,
Nagaland crop.csv,Cardamom,Dimapur,Kharif,,2000-2001,,
Nagaland crop.csv,Cardamom,Kiphire,Kharif,,2000-2001,,
Nagaland crop.csv,Cardamom,Kohima,Kharif,,2000-2001,,
Nagaland crop.csv,Cardamom,Mokokchung,Kharif,,2000-2001,,
Nagaland crop.csv,Cardamom,Mon,Kharif,,2000-2001,,
Nagaland crop.csv,Cardamom,Phek,Kharif,,2000-2001,,
Nagaland crop.csv,Cardamom,Tuensang,Kharif,,2000-2001,,
Nagaland crop.csv,Cardamom,Wokha,Kharif,,2000-2001,,
Nagaland crop.csv,Cardamom,Zunheboto,Kharif,,2000-2001,,
Nagaland crop.csv,Castor seed,Dimapur,Kharif,150.0,2000-2001,120,0.8
Nagaland crop.csv,Castor seed,Kiphire,Kharif,,2000-2001,,
Nagaland crop.csv,Castor seed,Kohima,Kharif,90.0,2000-2001,70,0.78
Nagaland crop.csv,Castor seed,Longleng,Kharif,,2000-2001,,
Nagaland crop.csv,Castor seed,Mokokchung,Kharif,210.0,2000-2001,140,0.67
Nagaland crop.csv,Castor seed,Mon,Kharif,130.0,2000-2001,120,0.92
Nagaland crop.csv,Castor seed,Peren,Kharif,,2000-2001,,
Nagaland crop.csv,Castor seed,Phek,Kharif,,2000-2001,,
Nagaland crop.csv,Castor seed,Tuensang,Kharif,190.0,2000-2001,150,0.79
Nagaland crop.csv,Castor seed,Wokha,Kharif,230.0,2000-2001,150,0.65
Nagaland crop.csv,Castor seed,Zunheboto,Kharif,,2000-2001,,
Nagaland crop.csv,Colocosia,Dimapur,Kharif,,2000-2001,,
Nagaland crop.csv,Colocosia,Kiphire,Kharif,,2000-2001,,
Nagaland crop.csv,Colocosia,Kohima,Kharif,,2000-2001,,
Nagaland crop.csv,Colocosia,Longleng,Kharif,,2000-2001,,
Nagaland crop.csv,Colocosia,Mokokchung,Kharif,,2000-2001,,
Nagaland crop.csv,Colocosia,Mon,Kharif,,2000-2001,,
Nagaland crop.csv,Colocosia,Peren,Kharif,,2000-2001,,
Nagaland crop.csv,Colocosia,Phek,Kharif,,2000-2001,,
Nagaland crop.csv,Colocosia,Tuensang,Kharif,,2000-2001,,
Nagaland crop.csv,Colocosia,Wokha,Kharif,,2000-2001,,
Nagaland crop.csv,Colocosia,Zunheboto,Kharif,,2000-2001,,
Nagaland crop.csv,Cotton(lint),Dimapur,Kharif,91.0,2000-2001,130,1.43
Nagaland crop.csv,Cotton(lint),Kohima,Kharif,10.0,2000-2001,20,2
Nagaland crop.csv,Cotton(lint),Mokokchung,Kharif,30.0,2000-2001,40,1.33
Nagaland crop.csv,Cotton(lint),Mon,Kharif,20.0,2000-2001,20,1
Nagaland crop.csv,Cotton(lint),Peren,Kharif,,2000-2001,,
Nagaland crop.csv,Cotton(lint),Phek,Kharif,20.0,2000-2001,40,2
Nagaland crop.csv,Cotton(lint),Tseminyu,Kharif,,2000-2001,,
Nagaland crop.csv,Cotton(lint),Tuensang,Kharif,20.0,2000-2001,30,1.5
Nagaland crop.csv,Cotton(lint),Wokha,Kharif,20.0,2000-2001,20,1
Nagaland crop.csv,Cotton(lint),Zunheboto,Kharif,40.0,2000-2001,50,1.25
Nagaland crop.csv,Cowpea(Lobia),Chumoukedima,Kharif,,2000-2001,,
Nagaland crop.csv,Cowpea(Lobia),Dimapur,Kharif,,2000-2001,,
Nagaland crop.csv,Cowpea(Lobia),Kiphire,Kharif,,2000-2001,,
Nagaland crop.csv,Cowpea(Lobia),Kohima,Kharif,,2000-2001,,
Nagaland crop.csv,Cowpea(Lobia),Mokokchung,Kharif,,2000-2001,,
Nagaland crop.csv,Cowpea(Lobia),Mon,Kharif,,2000-2001,,
Nagaland crop.csv,Cowpea(Lobia),Nuiland,Kharif,,2000-2001,,
Nagaland crop.csv,Cowpea(Lobia),Peren,Kharif,,2000-2001,,
Nagaland crop.csv,Cowpea(Lobia),Phek,Kharif,,2000-2001,,
Nagaland crop.csv,Cowpea(Lobia),Tseminyu,Kharif,,2000-2001,,
Nagaland crop.csv,Cowpea(Lobia),Wokha,Kharif,,2000-2001,,
Nagaland crop.csv,Dry chillies,Dimapur,Kharif,,2000-2001,,
Nagaland crop.csv,Dry chillies,Kiphire,Kharif,,2000-2001,,
Nagaland crop.csv,Dry chillies,Kohima,Kharif,,2000-2001,,
Nagaland crop.csv,Dry chillies,Longleng,Kharif,,2000-2001,,
Nagaland crop.csv,Dry chillies,Mokokchung,Kharif,,2000-2001,,
Nagaland crop.csv,Dry chillies,Mon,Kharif,,2000-2001,,
Nagaland crop.csv,Dry chillies,Peren,Kharif,,2000-2001,,
Nagaland crop.csv,Dry chillies,Phek,Kharif,,2000-2001,,
Nagaland crop.csv,Dry chillies,Tuensang,Kharif,,2000-2001,,
Nagaland crop.csv,Dry chillies,Wokha,Kharif,,2000-2001,,
Nagaland crop.csv,Dry chillies,Zunheboto,Kharif,,2000-2001,,
Nagaland crop.csv,Ginger,Chumoukedima,Kharif,,2000-2001,,
Nagaland crop.csv,Ginger,Dimapur,Kharif,,2000-2001,,
Nagaland crop.csv,Ginger,Kiphire,Kharif,,2000-2001,,
Nagaland crop.csv,Ginger,Kohima,Kharif,,2000-2001,,
