State,Crop,District,Season,Area_(Hectare),Year,Production_(Tonnes),Yield_(Ton./Ha.)
Odisha crop.csv,Arhar/Tur,Anugul,Kharif,8930.0,2000-2001,6430,0.72
Odisha crop.csv,Arhar/Tur,Balangir,Kharif,12470.0,2000-2001,7320,0.59
Odisha crop.csv,Arhar/Tur,Baleshwar,Kharif,290.0,2000-2001,150,0.52
Odisha crop.csv,Arhar/Tur,Bargarh,Kharif,2310.0,2000-2001,1670,0.72
Odisha crop.csv,Arhar/Tur,Bhadrak,Kharif,30.0,2000-2001,20,0.67
Odisha crop.csv,Arhar/Tur,Boudh,Kharif,2930.0,2000-2001,2720,0.93
Odisha crop.csv,Arhar/Tur,Cuttack,Kharif,1360.0,2000-2001,1070,0.79
Odisha crop.csv,Arhar/Tur,Deogarh,Kharif,440.0,2000-2001,220,0.5
Odisha crop.csv,Arhar/Tur,Dhenkanal,Kharif,6070.0,2000-2001,4490,0.74
Odisha crop.csv,Arhar/Tur,Gajapati,Kharif,3970.0,2000-2001,4020,1.01
Odisha crop.csv,Arhar/Tur,Ganjam,Kharif,9690.0,2000-2001,8140,0.84
Odisha crop.csv,Arhar/Tur,Jagatsinghapur,Kharif,130.0,2000-2001,70,0.54
Odisha crop.csv,Arhar/Tur,Jajapur,Kharif,2890.0,2000-2001,1030,0.36
Odisha crop.csv,Arhar/Tur,Jharsuguda,Kharif,280.0,2000-2001,160,0.57
Odisha crop.csv,Arhar/Tur,Kalahandi,Kharif,20740.0,2000-2001,13650,0.66
Odisha crop.csv,Arhar/Tur,Kandhamal,Kharif,5350.0,2000-2001,4320,0.81
Odisha crop.csv,Arhar/Tur,Kendrapara,Kharif,100.0,2000-2001,90,0.9
Odisha crop.csv,Arhar/Tur,Kendujhar,Kharif,8450.0,2000-2001,4990,0.59
Odisha crop.csv,Arhar/Tur,Khordha,Kharif,850.0,2000-2001,390,0.46
Odisha crop.csv,Arhar/Tur,Koraput,Kharif,5740.0,2000-2001,2040,0.36
Odisha crop.csv,Arhar/Tur,Malkangiri,Kharif,3440.0,2000-2001,2150,0.63
Odisha crop.csv,Arhar/Tur,Mayurbhanj,Kharif,7830.0,2000-2001,5860,0.75
Odisha crop.csv,Arhar/Tur,Nabarangpur,Kharif,5570.0,2000-2001,4570,0.82
Odisha crop.csv,Arhar/Tur,Nayagarh,Kharif,1350.0,2000-2001,860,0.64
Odisha crop.csv,Arhar/Tur,Nuapada,Kharif,9700.0,2000-2001,1940,0.2
Odisha crop.csv,Arhar/Tur,Puri,Kharif,20.0,2000-2001,10,0.5
Odisha crop.csv,Arhar/Tur,Rayagada,Kharif,17510.0,2000-2001,13870,0.79
Odisha crop.csv,Arhar/Tur,Sambalpur,Kharif,800.0,2000-2001,500,0.63
Odisha crop.csv,Arhar/Tur,Sonepur,Kharif,2680.0,2000-2001,1460,0.54
Odisha crop.csv,Arhar/Tur,Sundargarh,Kharif,7220.0,2000-2001,2960,0.41
Odisha crop.csv,Bajra,Bargarh,Kharif,,2000-2001,,
Odisha crop.csv,Bajra,Gajapati,Kharif,1140.0,2000-2001,630,0.55
Odisha crop.csv,Bajra,Ganjam,Kharif,560.0,2000-2001,350,0.63
Odisha crop.csv,Bajra,Kalahandi,Kharif,40.0,2000-2001,20,0.5
Odisha crop.csv,Bajra,Kandhamal,Kharif,,2000-2001,,
Odisha crop.csv,Bajra,Kendujhar,Kharif,260.0,2000-2001,130,0.5
Odisha crop.csv,Bajra,Koraput,Kharif,620.0,2000-2001,390,0.63
Odisha crop.csv,Bajra,Malkangiri,Kharif,550.0,2000-2001,280,0.51
Odisha crop.csv,Bajra,Mayurbhanj,Kharif,60.0,2000-2001,30,0.5
Odisha crop.csv,Bajra,Nabarangpur,Kharif,190.0,2000-2001,170,0.89
Odisha crop.csv,Bajra,Nayagarh,Kharif,,2000-2001,,
Odisha crop.csv,Bajra,Nuapada,Kharif,,2000-2001,,
Odisha crop.csv,Bajra,Rayagada,Kharif,550.0,2000-2001,290,0.53
Odisha crop.csv,Bajra,Sundargarh,Kharif,150.0,2000-2001,60,0.4
Odisha crop.csv,Castor seed,Anugul,Kharif,220.0,2000-2001,100,0.45
Odisha crop.csv,Castor seed,Balangir,Kharif,450.0,2000-2001,210,0.47
Odisha crop.csv,Castor seed,Baleshwar,Kharif,100.0,2000-2001,50,0.5
Odisha crop.csv,Castor seed,Bargarh,Kharif,,2000-2001,,
Odisha crop.csv,Castor seed,Bhadrak,Kharif,30.0,2000-2001,20,0.67
Odisha crop.csv,Castor seed,Boudh,Kharif,60.0,2000-2001,50,0.83
Odisha crop.csv,Castor seed,Cuttack,Kharif,,2000-2001,,
Odisha crop.csv,Castor seed,Deogarh,Kharif,80.0,2000-2001,40,0.5
Odisha crop.csv,Castor seed,Dhenkanal,Kharif,420.0,2000-2001,210,0.5
Odisha crop.csv,Castor seed,Gajapati,Kharif,910.0,2000-2001,630,0.69
Odisha crop.csv,Castor seed,Ganjam,Kharif,1390.0,2000-2001,820,0.59
Odisha crop.csv,Castor seed,Jagatsinghapur,Kharif,110.0,2000-2001,50,0.45
Odisha crop.csv,Castor seed,Jajapur,Kharif,30.0,2000-2001,10,0.33
Odisha crop.csv,Castor seed,Jharsuguda,Kharif,,2000-2001,,
Odisha crop.csv,Castor seed,Kalahandi,Kharif,920.0,2000-2001,710,0.77
Odisha crop.csv,Castor seed,Kandhamal,Kharif,320.0,2000-2001,250,0.78
Odisha crop.csv,Castor seed,Kendrapara,Rabi,10.0,2000-2001,10,1
Odisha crop.csv,Castor seed,Kendujhar,Kharif,360.0,2000-2001,230,0.64
Odisha crop.csv,Castor seed,Khordha,Kharif,30.0,2000-2001,20,0.67
Odisha crop.csv,Castor seed,Koraput,Kharif,1010.0,2000-2001,240,0.24
Odisha crop.csv,Castor seed,Malkangiri,Kharif,170.0,2000-2001,50,0.29
Odisha crop.csv,Castor seed,Mayurbhanj,Kharif,410.0,2000-2001,190,0.46
Odisha crop.csv,Castor seed,Nabarangpur,Kharif,220.0,2000-2001,160,0.73
Odisha crop.csv,Castor seed,Nayagarh,Kharif,80.0,2000-2001,50,0.63
Odisha crop.csv,Castor seed,Nuapada,Kharif,1350.0,2000-2001,600,0.44
Odisha crop.csv,Castor seed,Puri,Kharif,,2000-2001,,
Odisha crop.csv,Castor seed,Rayagada,Kharif,590.0,2000-2001,180,0.31
Odisha crop.csv,Castor seed,Sambalpur,Kharif,110.0,2000-2001,30,0.27
Odisha crop.csv,Castor seed,Sonepur,Kharif,30.0,2000-2001,10,0.33
Odisha crop.csv,Castor seed,Sundargarh,Kharif,310.0,2000-2001,140,0.45
Odisha crop.csv,Coriander,Anugul,Rabi,,2000-2001,,
Odisha crop.csv,Coriander,Balangir,Rabi,,2000-2001,,
Odisha crop.csv,Coriander,Baleshwar,Rabi,,2000-2001,,
Odisha crop.csv,Coriander,Bargarh,Rabi,,2000-2001,,
Odisha crop.csv,Coriander,Bhadrak,Rabi,,2000-2001,,
