State,Crop,District,Season,Area_(Hectare),Year,Production_(Tonnes),Yield_(Ton./Ha.)
Puducherry crop.csv,Arecanut,Mahe,Kharif,,2000-2001,,
Puducherry crop.csv,Bajra,Pondicherry,Kharif,186.0,2000-2001,513,2.76
Puducherry crop.csv,Banana,Karaikal,Kharif,,2000-2001,,
Puducherry crop.csv,Banana,Mahe,Kharif,,2000-2001,,
Puducherry crop.csv,Banana,Pondicherry,Kharif,,2000-2001,,
Puducherry crop.csv,Black pepper,Mahe,Kharif,,2000-2001,,
Puducherry crop.csv,Brinjal,Karaikal,Summer,,2000-2001,,
Puducherry crop.csv,Brinjal,Pondicherry,Kharif,,2000-2001,,
Puducherry crop.csv,Cashewnut,Karaikal,Kharif,,2000-2001,,
Puducherry crop.csv,Cashewnut,Mahe,Kharif,,2000-2001,,
Puducherry crop.csv,Cashewnut,Pondicherry,Kharif,,2000-2001,,
Puducherry crop.csv,Coriander,Yanam,Rabi,,2000-2001,,
Puducherry crop.csv,Cotton(lint),Karaikal,Kharif,183.0,2000-2001,953,5.21
Puducherry crop.csv,Cotton(lint),Pondicherry,Kharif,269.0,2000-2001,1347,5.01
Puducherry crop.csv,Dry chillies,Karaikal,Summer,,2000-2001,,
Puducherry crop.csv,Dry chillies,Pondicherry,Kharif,,2000-2001,,
Puducherry crop.csv,Ginger,Karaikal,Kharif,103.0,2000-2001,52,0.5
Puducherry crop.csv,Ginger,Mahe,Kharif,21.0,2000-2001,13,0.62
Puducherry crop.csv,Ginger,Pondicherry,Kharif,103.0,2000-2001,52,0.5
Puducherry crop.csv,Groundnut,Karaikal,Kharif,1142.0,2000-2001,2112,1.85
Puducherry crop.csv,Groundnut,Mahe,Kharif,33.0,2000-2001,46,1.39
Puducherry crop.csv,Groundnut,Pondicherry,Kharif,,2000-2001,,
Puducherry crop.csv,Jowar,Karaikal,Kharif,6.0,2000-2001,6,1
Puducherry crop.csv,Jowar,Pondicherry,Kharif,,2000-2001,,
Puducherry crop.csv,Mango,Karaikal,Kharif,,2000-2001,,
Puducherry crop.csv,Mango,Mahe,Kharif,,2000-2001,,
Puducherry crop.csv,Mango,Pondicherry,Kharif,,2000-2001,,
Puducherry crop.csv,Mango,Yanam,Kharif,,2000-2001,,
Puducherry crop.csv,Moong(Green Gram),Karaikal,Kharif,85.0,2000-2001,49,0.58
Puducherry crop.csv,Moong(Green Gram),Mahe,Kharif,2246.0,2000-2001,1258,0.56
Puducherry crop.csv,Moong(Green Gram),Pondicherry,Kharif,,2000-2001,,
Puducherry crop.csv,Moong(Green Gram),Yanam,Kharif,149.0,2000-2001,93,0.62
Puducherry crop.csv,Onion,Pondicherry,Kharif,,2000-2001,,
Puducherry crop.csv,Other Rabi pulses,Pondicherry,Rabi,61.0,2000-2001,124,2.03
Puducherry crop.csv,Other Rabi pulses,Yanam,Rabi,3.0,2000-2001,1,0.33
Puducherry crop.csv,Other Cereals,Pondicherry,Kharif,,2000-2001,,
Puducherry crop.csv,Other Kharif pulses,Pondicherry,Kharif,,2000-2001,,
Puducherry crop.csv,Other Kharif pulses,Yanam,Kharif,,2000-2001,,
Puducherry crop.csv,Other Summer Pulses,Pondicherry,Summer,,2000-2001,,
Puducherry crop.csv,Ragi,Karaikal,Kharif,125.0,2000-2001,276,2.21
Puducherry crop.csv,Ragi,Pondicherry,Kharif,,2000-2001,,
Puducherry crop.csv,Ragi,Yanam,Kharif,,2000-2001,,
Puducherry crop.csv,Rapeseed &Mustard,Karaikal,Rabi,15.0,2000-2001,68,4.53
Puducherry crop.csv,Rapeseed &Mustard,Pondicherry,Rabi,48.0,2000-2001,384,8
Puducherry crop.csv,Rice,Karaikal,Autumn,,2000-2001,,
Puducherry crop.csv,Rice,Mahe,Kharif,8795.0,2000-2001,21081,2.4
Puducherry crop.csv,Rice,Pondicherry,Autumn,,2000-2001,,
Puducherry crop.csv,Rice,Yanam,Autumn,,2000-2001,,
Puducherry crop.csv,Sesamum,Karaikal,Kharif,,2000-2001,,
Puducherry crop.csv,Sesamum,Pondicherry,Kharif,,2000-2001,,
Puducherry crop.csv,Sesamum,Yanam,Kharif,,2000-2001,,
Puducherry crop.csv,Small millets,Pondicherry,Kharif,,2000-2001,,
Puducherry crop.csv,Sugarcane,Karaikal,Kharif,,2000-2001,,
Puducherry crop.csv,Sugarcane,Pondicherry,Kharif,,2000-2001,,
Puducherry crop.csv,Sunflower,Karaikal,Kharif,,2000-2001,,
Puducherry crop.csv,Sunflower,Pondicherry,Kharif,,2000-2001,,
