State,Crop,District,Season,Area_(Hectare),Year,Production_(Tonnes),Yield_(Ton./Ha.)
Punjab crop.csv,Arhar/Tur,Amritsar,Kharif,1200.0,2000-2001,1400,1.17
Punjab crop.csv,Arhar/Tur,Barnala,Kharif,,2000-2001,,
Punjab crop.csv,Arhar/Tur,Bathinda,Kharif,,2000-2001,,
Punjab crop.csv,Arhar/Tur,Faridkot,Kharif,100.0,2000-2001,100,1
Punjab crop.csv,Arhar/Tur,Fatehgarh sahib,Kharif,300.0,2000-2001,300,1
Punjab crop.csv,Arhar/Tur,Fazilka,Kharif,,2000-2001,,
Punjab crop.csv,Arhar/Tur,Firozepur,Kharif,100.0,2000-2001,100,1
Punjab crop.csv,Arhar/Tur,Gurdaspur,Kharif,,2000-2001,,
Punjab crop.csv,Arhar/Tur,Hoshiarpur,Kharif,100.0,2000-2001,100,1
Punjab crop.csv,Arhar/Tur,Jalandhar,Kharif,700.0,2000-2001,500,0.71
Punjab crop.csv,Arhar/Tur,Kapurthala,Kharif,,2000-2001,,
Punjab crop.csv,Arhar/Tur,Ludhiana,Kharif,2200.0,2000-2001,1800,0.82
Punjab crop.csv,Arhar/Tur,Malerkotla,Kharif,,2000-2001,,
Punjab crop.csv,Arhar/Tur,Mansa,Kharif,,2000-2001,,
Punjab crop.csv,Arhar/Tur,Moga,Kharif,800.0,2000-2001,700,0.88
Punjab crop.csv,Arhar/Tur,Muktsar,Kharif,100.0,2000-2001,100,1
Punjab crop.csv,Arhar/Tur,Nawanshahr,Kharif,100.0,2000-2001,100,1
Punjab crop.csv,Arhar/Tur,Patiala,Kharif,400.0,2000-2001,300,0.75
Punjab crop.csv,Arhar/Tur,Rupnagar,Kharif,700.0,2000-2001,500,0.71
Punjab crop.csv,Arhar/Tur,S.a.s nagar,Kharif,,2000-2001,,
Punjab crop.csv,Arhar/Tur,Sangrur,Kharif,1900.0,2000-2001,1600,0.84
Punjab crop.csv,Arhar/Tur,Tarn taran,Kharif,,2000-2001,,
Punjab crop.csv,Bajra,Amritsar,Kharif,,2000-2001,,
Punjab crop.csv,Bajra,Bathinda,Kharif,1000.0,2000-2001,1000,1
Punjab crop.csv,Bajra,Faridkot,Kharif,,2000-2001,,
Punjab crop.csv,Bajra,Fatehgarh sahib,Kharif,,2000-2001,,
Punjab crop.csv,Bajra,Fazilka,Kharif,,2000-2001,,
Punjab crop.csv,Bajra,Firozepur,Kharif,,2000-2001,,
Punjab crop.csv,Bajra,Gurdaspur,Kharif,,2000-2001,,
Punjab crop.csv,Bajra,Kapurthala,Kharif,,2000-2001,,
Punjab crop.csv,Bajra,Ludhiana,Kharif,,2000-2001,,
Punjab crop.csv,Bajra,Mansa,Kharif,1000.0,2000-2001,1000,1
Punjab crop.csv,Bajra,Moga,Kharif,2000.0,2000-2001,1000,0.5
Punjab crop.csv,Bajra,Muktsar,Kharif,,2000-2001,,
Punjab crop.csv,Bajra,Rupnagar,Kharif,,2000-2001,,
Punjab crop.csv,Bajra,S.a.s nagar,Kharif,,2000-2001,,
Punjab crop.csv,Bajra,Sangrur,Kharif,2000.0,2000-2001,2000,1
Punjab crop.csv,Bajra,Tarn taran,Kharif,,2000-2001,,
Punjab crop.csv,Barley,Barnala,Rabi,,2000-2001,,
Punjab crop.csv,Barley,Bathinda,Rabi,5000.0,2000-2001,14000,2.8
Punjab crop.csv,Barley,Faridkot,Rabi,1000.0,2000-2001,3000,3
Punjab crop.csv,Barley,Fatehgarh sahib,Rabi,1000.0,2000-2001,3000,3
Punjab crop.csv,Barley,Fazilka,Rabi,,2000-2001,,
Punjab crop.csv,Barley,Firozepur,Rabi,5000.0,2000-2001,17000,3.4
Punjab crop.csv,Barley,Jalandhar,Rabi,,2000-2001,,
Punjab crop.csv,Barley,Ludhiana,Rabi,3000.0,2000-2001,12000,4
Punjab crop.csv,Barley,Malerkotla,Rabi,,2000-2001,,
Punjab crop.csv,Barley,Mansa,Rabi,3000.0,2000-2001,10000,3.33
Punjab crop.csv,Barley,Moga,Rabi,1000.0,2000-2001,3000,3
Punjab crop.csv,Barley,Muktsar,Rabi,4000.0,2000-2001,13000,3.25
Punjab crop.csv,Barley,Pathankot,Rabi,,2000-2001,,
Punjab crop.csv,Barley,Patiala,Rabi,2000.0,2000-2001,7000,3.5
Punjab crop.csv,Barley,Rupnagar,Rabi,,2000-2001,,
Punjab crop.csv,Barley,S.a.s nagar,Rabi,,2000-2001,,
Punjab crop.csv,Barley,Sangrur,Rabi,7000.0,2000-2001,27000,3.86
Punjab crop.csv,Cotton(lint),Amritsar,Kharif,2000.0,2000-2001,2000,1
Punjab crop.csv,Cotton(lint),Barnala,Kharif,,2000-2001,,
Punjab crop.csv,Cotton(lint),Bathinda,Kharif,147000.0,2000-2001,331000,2.25
Punjab crop.csv,Cotton(lint),Faridkot,Kharif,14000.0,2000-2001,35000,2.5
Punjab crop.csv,Cotton(lint),Fazilka,Kharif,,2000-2001,,
Punjab crop.csv,Cotton(lint),Firozepur,Kharif,114000.0,2000-2001,341000,2.99
Punjab crop.csv,Cotton(lint),Jalandhar,Kharif,,2000-2001,,
Punjab crop.csv,Cotton(lint),Ludhiana,Kharif,1000.0,2000-2001,1000,1
Punjab crop.csv,Cotton(lint),Malerkotla,Kharif,,2000-2001,,
Punjab crop.csv,Cotton(lint),Mansa,Kharif,79000.0,2000-2001,193000,2.44
Punjab crop.csv,Cotton(lint),Moga,Kharif,8000.0,2000-2001,20000,2.5
Punjab crop.csv,Cotton(lint),Muktsar,Kharif,87000.0,2000-2001,233000,2.68
Punjab crop.csv,Cotton(lint),Patiala,Kharif,1000.0,2000-2001,2000,2
Punjab crop.csv,Cotton(lint),Sangrur,Kharif,21000.0,2000-2001,41000,1.95
Punjab crop.csv,Cotton(lint),Tarn taran,Kharif,,2000-2001,,
Punjab crop.csv,Gram,Amritsar,Rabi,500.0,2000-2001,500,1
Punjab crop.csv,Gram,Barnala,Rabi,,2000-2001,,
Punjab crop.csv,Gram,Bathinda,Rabi,1100.0,2000-2001,600,0.55
Punjab crop.csv,Gram,Faridkot,Rabi,300.0,2000-2001,200,0.67
Punjab crop.csv,Gram,Fatehgarh sahib,Rabi,100.0,2000-2001,100,1
Punjab crop.csv,Gram,Fazilka,Rabi,,2000-2001,,
Punjab crop.csv,Gram,Firozepur,Rabi,1900.0,2000-2001,2200,1.16
Punjab crop.csv,Gram,Gurdaspur,Rabi,300.0,2000-2001,300,1
Punjab crop.csv,Gram,Hoshiarpur,Rabi,400.0,2000-2001,200,0.5
Punjab crop.csv,Gram,Jalandhar,Rabi,100.0,2000-2001,100,1
Punjab crop.csv,Gram,Kapurthala,Rabi,100.0,2000-2001,100,1
