State,Crop,District,Season,Area_(Hectare),Year,Production_(Tonnes),Yield_(Ton./Ha.)
Rajasthan crop.csv,Arhar/Tur,Ajmer,Kharif,43.0,2000-2001,,0
Rajasthan crop.csv,Arhar/Tur,Alwar,Kharif,2939.0,2000-2001,2815,0.96
Rajasthan crop.csv,Arhar/Tur,Banswara,Kharif,7544.0,2000-2001,1711,0.23
Rajasthan crop.csv,Arhar/Tur,Baran,Kharif,214.0,2000-2001,76,0.36
Rajasthan crop.csv,Arhar/Tur,Barmer,Kharif,3.0,2000-2001,,0
Rajasthan crop.csv,Arhar/Tur,Bharatpur,Kharif,651.0,2000-2001,617,0.95
Rajasthan crop.csv,Arhar/Tur,Bhilwara,Kharif,2.0,2000-2001,,0
Rajasthan crop.csv,Arhar/Tur,Bikaner,Kharif,1.0,2000-2001,,0
Rajasthan crop.csv,Arhar/Tur,Bundi,Kharif,515.0,2000-2001,116,0.23
Rajasthan crop.csv,Arhar/Tur,Chittorgarh,Kharif,481.0,2000-2001,158,0.33
Rajasthan crop.csv,Arhar/Tur,Dausa,Kharif,232.0,2000-2001,95,0.41
Rajasthan crop.csv,Arhar/Tur,Dholpur,Kharif,1689.0,2000-2001,855,0.51
Rajasthan crop.csv,Arhar/Tur,Dungarpur,Kharif,1891.0,2000-2001,1512,0.8
Rajasthan crop.csv,Arhar/Tur,Ganganagar,Kharif,7.0,2000-2001,7,1
Rajasthan crop.csv,Arhar/Tur,Hanumangarh,Kharif,6.0,2000-2001,3,0.5
Rajasthan crop.csv,Arhar/Tur,Jaipur,Kharif,386.0,2000-2001,61,0.16
Rajasthan crop.csv,Arhar/Tur,Jaisalmer,Kharif,,2000-2001,,
Rajasthan crop.csv,Arhar/Tur,Jalore,Kharif,,2000-2001,,
Rajasthan crop.csv,Arhar/Tur,Jhalawar,Kharif,854.0,2000-2001,160,0.19
Rajasthan crop.csv,Arhar/Tur,Jhunjhunu,Kharif,1.0,2000-2001,1,1
Rajasthan crop.csv,Arhar/Tur,Jodhpur,Kharif,,2000-2001,,
Rajasthan crop.csv,Arhar/Tur,Karauli,Kharif,457.0,2000-2001,109,0.24
Rajasthan crop.csv,Arhar/Tur,Kota,Kharif,256.0,2000-2001,54,0.21
Rajasthan crop.csv,Arhar/Tur,Nagaur,Kharif,,2000-2001,,
Rajasthan crop.csv,Arhar/Tur,Pali,Kharif,153.0,2000-2001,,0
Rajasthan crop.csv,Arhar/Tur,Pratapgarh,Kharif,,2000-2001,,
Rajasthan crop.csv,Arhar/Tur,Rajsamand,Kharif,,2000-2001,,
Rajasthan crop.csv,Arhar/Tur,Sawai madhopur,Kharif,3328.0,2000-2001,518,0.16
Rajasthan crop.csv,Arhar/Tur,Sikar,Kharif,11.0,2000-2001,4,0.36
Rajasthan crop.csv,Arhar/Tur,Sirohi,Kharif,440.0,2000-2001,,0
Rajasthan crop.csv,Arhar/Tur,Tonk,Kharif,48.0,2000-2001,,0
Rajasthan crop.csv,Arhar/Tur,Udaipur,Kharif,3253.0,2000-2001,688,0.21
Rajasthan crop.csv,Bajra,Ajmer,Kharif,64826.0,2000-2001,9494,0.15
