State,Crop,District,Season,Area_(Hectare),Year,Production_(Tonnes),Yield_(Ton./Ha.)
Sikkim crop.csv,Barley,Gangtok,Rabi,340.0,2000-2001,390.0,1.15
Sikkim crop.csv,Barley,Geyzing,Rabi,450.0,2000-2001,470.0,1.04
Sikkim crop.csv,Barley,Mangan,Rabi,150.0,2000-2001,150.0,1.0
Sikkim crop.csv,Barley,Namchi,Rabi,200.0,2000-2001,200.0,1.0
Sikkim crop.csv,Barley,Pakyong,Rabi,,2000-2001,,
Sikkim crop.csv,Maize,Gangtok,Kharif,10210.0,2000-2001,15700.0,1.54
Sikkim crop.csv,Maize,Geyzing,Kharif,13300.0,2000-2001,19750.0,1.48
Sikkim crop.csv,Maize,Mangan,Kharif,3093.0,2000-2001,4561.0,1.47
Sikkim crop.csv,Maize,Namchi,Kharif,13300.0,2000-2001,19600.0,1.47
Sikkim crop.csv,Maize,Pakyong,Kharif,,2000-2001,,
Sikkim crop.csv,Maize,Soreng,Kharif,,2000-2001,,
Sikkim crop.csv,Other Cereals,Gangtok,Kharif,,2000-2001,,
Sikkim crop.csv,Other Cereals,Geyzing,Kharif,,2000-2001,,
Sikkim crop.csv,Other Cereals,Mangan,Kharif,,2000-2001,,
Sikkim crop.csv,Other Cereals,Namchi,Kharif,,2000-2001,,
Sikkim crop.csv,Other Cereals,Pakyong,Kharif,,2000-2001,,
Sikkim crop.csv,Other Cereals,Soreng,Kharif,,2000-2001,,
Sikkim crop.csv,Other Kharif pulses,Gangtok,Kharif,700.0,2000-2001,590.0,0.84
Sikkim crop.csv,Other Kharif pulses,Geyzing,Kharif,840.0,2000-2001,1000.0,1.19
Sikkim crop.csv,Other Kharif pulses,Mangan,Kharif,60.0,2000-2001,56.0,0.93
Sikkim crop.csv,Other Kharif pulses,Namchi,Kharif,650.0,2000-2001,770.0,1.18
Sikkim crop.csv,Other Kharif pulses,Pakyong,Kharif,,2000-2001,,
Sikkim crop.csv,Other Kharif pulses,Soreng,Kharif,,2000-2001,,
Sikkim crop.csv,other oilseeds,Gangtok,Kharif,20.0,2000-2001,10.0,0.5
Sikkim crop.csv,other oilseeds,Geyzing,Kharif,20.0,2000-2001,10.0,0.5
Sikkim crop.csv,other oilseeds,Namchi,Kharif,40.0,2000-2001,14.0,0.35
Sikkim crop.csv,Rapeseed &Mustard,Gangtok,Rabi,2280.0,2000-2001,1770.0,0.78
Sikkim crop.csv,Rapeseed &Mustard,Geyzing,Rabi,1450.0,2000-2001,1008.0,0.7
Sikkim crop.csv,Rapeseed &Mustard,Mangan,Rabi,560.0,2000-2001,300.0,0.54
Sikkim crop.csv,Rapeseed &Mustard,Namchi,Rabi,1470.0,2000-2001,860.0,0.59
Sikkim crop.csv,Rapeseed &Mustard,Pakyong,Rabi,,2000-2001,,
Sikkim crop.csv,Rapeseed &Mustard,Soreng,Rabi,,2000-2001,,
Sikkim crop.csv,Rice,Gangtok,Kharif,6030.0,2000-2001,7870.0,1.31
Sikkim crop.csv,Rice,Geyzing,Kharif,5380.0,2000-2001,7999.0,1.49
Sikkim crop.csv,Rice,Mangan,Kharif,1408.0,2000-2001,2059.0,1.46
Sikkim crop.csv,Rice,Namchi,Kharif,2400.0,2000-2001,3430.0,1.43
Sikkim crop.csv,Rice,Pakyong,Kharif,,2000-2001,,
Sikkim crop.csv,Rice,Soreng,Kharif,,2000-2001,,
Sikkim crop.csv,Small millets,Gangtok,Kharif,1260.0,2000-2001,1120.0,0.89
Sikkim crop.csv,Small millets,Geyzing,Kharif,1615.0,2000-2001,1529.0,0.95
Sikkim crop.csv,Small millets,Mangan,Kharif,688.0,2000-2001,633.0,0.92
Sikkim crop.csv,Small millets,Namchi,Kharif,1000.0,2000-2001,950.0,0.95
Sikkim crop.csv,Small millets,Pakyong,Kharif,,2000-2001,,
Sikkim crop.csv,Small millets,Soreng,Kharif,,2000-2001,,
Sikkim crop.csv,Soyabean,Gangtok,Kharif,1000.0,2000-2001,830.0,0.83
Sikkim crop.csv,Soyabean,Geyzing,Kharif,1350.0,2000-2001,1131.0,0.84
Sikkim crop.csv,Soyabean,Mangan,Kharif,400.0,2000-2001,269.0,0.67
Sikkim crop.csv,Soyabean,Namchi,Kharif,1400.0,2000-2001,1180.0,0.84
Sikkim crop.csv,Soyabean,Pakyong,Kharif,,2000-2001,,
Sikkim crop.csv,Soyabean,Soreng,Kharif,,2000-2001,,
Sikkim crop.csv,Urad,Gangtok,Kharif,360.0,2000-2001,180.0,0.5
Sikkim crop.csv,Urad,Geyzing,Kharif,1700.0,2000-2001,1279.0,0.75
Sikkim crop.csv,Urad,Mangan,Kharif,20.0,2000-2001,9.0,0.45
Sikkim crop.csv,Urad,Namchi,Kharif,1700.0,2000-2001,1280.0,0.75
Sikkim crop.csv,Urad,Pakyong,Kharif,,2000-2001,,
Sikkim crop.csv,Urad,Soreng,Kharif,,2000-2001,,
Sikkim crop.csv,Wheat,Gangtok,Rabi,1490.0,2000-2001,2150.0,1.44
Sikkim crop.csv,Wheat,Geyzing,Rabi,2720.0,2000-2001,4063.0,1.49
Sikkim crop.csv,Wheat,Mangan,Rabi,1045.0,2000-2001,1300.0,1.24
Sikkim crop.csv,Wheat,Namchi,Rabi,1960.0,2000-2001,2590.0,1.32
Sikkim crop.csv,Wheat,Pakyong,Rabi,,2000-2001,,
Sikkim crop.csv,Barley,Gangtok,Rabi,340.0,2001-2002,440.0,1.29
Sikkim crop.csv,Barley,Geyzing,Rabi,450.0,2001-2002,610.0,1.36
Sikkim crop.csv,Barley,Mangan,Rabi,140.0,2001-2002,92.0,0.66
Sikkim crop.csv,Barley,Namchi,Rabi,250.0,2001-2002,190.0,0.76
Sikkim crop.csv,Barley,Pakyong,Rabi,,2001-2002,,
Sikkim crop.csv,Maize,Gangtok,Kharif,10210.0,2001-2002,15700.0,1.54
Sikkim crop.csv,Maize,Geyzing,Kharif,13470.0,2001-2002,18590.0,1.38
Sikkim crop.csv,Maize,Mangan,Kharif,3030.0,2001-2002,3924.0,1.3
Sikkim crop.csv,Maize,Namchi,Kharif,13400.0,2001-2002,18800.0,1.4
Sikkim crop.csv,Maize,Pakyong,Kharif,,2001-2002,,
Sikkim crop.csv,Maize,Soreng,Kharif,,2001-2002,,
Sikkim crop.csv,Other Cereals,Gangtok,Kharif,,2001-2002,,
Sikkim crop.csv,Other Cereals,Geyzing,Kharif,,2001-2002,,
Sikkim crop.csv,Other Cereals,Mangan,Kharif,,2001-2002,,
Sikkim crop.csv,Other Cereals,Namchi,Kharif,,2001-2002,,
Sikkim crop.csv,Other Cereals,Pakyong,Kharif,,2001-2002,,
Sikkim crop.csv,Other Cereals,Soreng,Kharif,,2001-2002,,
Sikkim crop.csv,Other Kharif pulses,Gangtok,Kharif,1340.0,2001-2002,1310.0,0.98
Sikkim crop.csv,Other Kharif pulses,Geyzing,Kharif,820.0,2001-2002,1000.0,1.22
Sikkim crop.csv,Other Kharif pulses,Mangan,Kharif,60.0,2001-2002,55.0,0.92
Sikkim crop.csv,Other Kharif pulses,Namchi,Kharif,640.0,2001-2002,840.0,1.31
Sikkim crop.csv,Other Kharif pulses,Pakyong,Kharif,,2001-2002,,
Sikkim crop.csv,Other Kharif pulses,Soreng,Kharif,,2001-2002,,
Sikkim crop.csv,other oilseeds,Gangtok,Kharif,,2001-2002,,
Sikkim crop.csv,other oilseeds,Geyzing,Kharif,,2001-2002,,
Sikkim crop.csv,other oilseeds,Namchi,Kharif,,2001-2002,,
Sikkim crop.csv,Rapeseed &Mustard,Gangtok,Rabi,2300.0,2001-2002,1600.0,0.7
Sikkim crop.csv,Rapeseed &Mustard,Geyzing,Rabi,1460.0,2001-2002,1000.0,0.68
Sikkim crop.csv,Rapeseed &Mustard,Mangan,Rabi,560.0,2001-2002,221.0,0.39
Sikkim crop.csv,Rapeseed &Mustard,Namchi,Rabi,1480.0,2001-2002,970.0,0.66
Sikkim crop.csv,Rapeseed &Mustard,Pakyong,Rabi,,2001-2002,,
Sikkim crop.csv,Rapeseed &Mustard,Soreng,Rabi,,2001-2002,,
Sikkim crop.csv,Rice,Gangtok,Kharif,6100.0,2001-2002,8660.0,1.42
Sikkim crop.csv,Rice,Geyzing,Kharif,5100.0,2001-2002,7570.0,1.48
