State,Crop,District,Season,Area_(Hectare),Year,Production_(Tonnes),Yield_(Ton./Ha.)
Tamil Nadu crop.csv,Arhar/Tur,Ariyalur,Kharif,,2000-2001,,
Tamil Nadu crop.csv,Arhar/Tur,Chengalpattu,Rabi,,2000-2001,,
Tamil Nadu crop.csv,Arhar/Tur,Coimbatore,Kharif,632.0,2000-2001,418,0.66
Tamil Nadu crop.csv,Arhar/Tur,Cuddalore,Kharif,3689.0,2000-2001,2508,0.68
Tamil Nadu crop.csv,Arhar/Tur,Dharmapuri,Kharif,13983.0,2000-2001,12150,0.87
Tamil Nadu crop.csv,Arhar/Tur,Dindigul,Kharif,2969.0,2000-2001,2447,0.82
Tamil Nadu crop.csv,Arhar/Tur,Erode,Kharif,2630.0,2000-2001,1941,0.74
Tamil Nadu crop.csv,Arhar/Tur,Kallakurichi,Kharif,,2000-2001,,
Tamil Nadu crop.csv,Arhar/Tur,Kanchipuram,Kharif,160.0,2000-2001,113,0.71
Tamil Nadu crop.csv,Arhar/Tur,Kanniyakumari,Kharif,,2000-2001,,
Tamil Nadu crop.csv,Arhar/Tur,Karur,Kharif,5112.0,2000-2001,3535,0.69
Tamil Nadu crop.csv,Arhar/Tur,Krishnagiri,Kharif,,2000-2001,,
Tamil Nadu crop.csv,Arhar/Tur,Madurai,Kharif,2269.0,2000-2001,1273,0.56
Tamil Nadu crop.csv,Arhar/Tur,Namakkal,Kharif,6731.0,2000-2001,4655,0.69
Tamil Nadu crop.csv,Arhar/Tur,Perambalur,Kharif,2735.0,2000-2001,1891,0.69
Tamil Nadu crop.csv,Arhar/Tur,Pudukkottai,Kharif,3347.0,2000-2001,1539,0.46
Tamil Nadu crop.csv,Arhar/Tur,Ramanathapuram,Kharif,,2000-2001,,
Tamil Nadu crop.csv,Arhar/Tur,Ranipet,Kharif,,2000-2001,,
Tamil Nadu crop.csv,Arhar/Tur,Salem,Kharif,7098.0,2000-2001,5807,0.82
Tamil Nadu crop.csv,Arhar/Tur,Sivaganga,Kharif,556.0,2000-2001,377,0.68
Tamil Nadu crop.csv,Arhar/Tur,Thanjavur,Kharif,41.0,2000-2001,30,0.73
Tamil Nadu crop.csv,Arhar/Tur,Theni,Kharif,2216.0,2000-2001,1532,0.69
Tamil Nadu crop.csv,Arhar/Tur,Thenkasi,Kharif,,2000-2001,,
Tamil Nadu crop.csv,Arhar/Tur,Thiruvallur,Kharif,556.0,2000-2001,384,0.69
Tamil Nadu crop.csv,Arhar/Tur,Thiruvarur,Kharif,,2000-2001,,
Tamil Nadu crop.csv,Arhar/Tur,Thoothukudi,Kharif,35.0,2000-2001,25,0.71
Tamil Nadu crop.csv,Arhar/Tur,Tiruchirappalli,Kharif,3523.0,2000-2001,1739,0.49
Tamil Nadu crop.csv,Arhar/Tur,Tirunelveli,Kharif,130.0,2000-2001,94,0.72
Tamil Nadu crop.csv,Arhar/Tur,Tirupathur,Kharif,,2000-2001,,
Tamil Nadu crop.csv,Arhar/Tur,Tiruppur,Kharif,,2000-2001,,
Tamil Nadu crop.csv,Arhar/Tur,Tiruvannamalai,Kharif,3893.0,2000-2001,2010,0.52
Tamil Nadu crop.csv,Arhar/Tur,Vellore,Kharif,13948.0,2000-2001,9395,0.67
Tamil Nadu crop.csv,Arhar/Tur,Villupuram,Kharif,7255.0,2000-2001,5843,0.81
Tamil Nadu crop.csv,Arhar/Tur,Virudhunagar,Kharif,1421.0,2000-2001,587,0.41
Tamil Nadu crop.csv,Bajra,Ariyalur,Kharif,,2000-2001,,
Tamil Nadu crop.csv,Bajra,Chengalpattu,Kharif,,2000-2001,,
Tamil Nadu crop.csv,Bajra,Coimbatore,Kharif,307.0,2000-2001,479,1.56
Tamil Nadu crop.csv,Bajra,Cuddalore,Kharif,10493.0,2000-2001,19847,1.89
Tamil Nadu crop.csv,Bajra,Dharmapuri,Kharif,6496.0,2000-2001,14992,2.31
Tamil Nadu crop.csv,Bajra,Dindigul,Kharif,28579.0,2000-2001,60215,2.11
Tamil Nadu crop.csv,Bajra,Erode,Kharif,1132.0,2000-2001,2079,1.84
Tamil Nadu crop.csv,Bajra,Kallakurichi,Kharif,,2000-2001,,
Tamil Nadu crop.csv,Bajra,Kanchipuram,Kharif,23.0,2000-2001,52,2.26
Tamil Nadu crop.csv,Bajra,Karur,Kharif,14198.0,2000-2001,7394,0.52
Tamil Nadu crop.csv,Bajra,Krishnagiri,Kharif,,2000-2001,,
Tamil Nadu crop.csv,Bajra,Madurai,Kharif,3199.0,2000-2001,5119,1.6
Tamil Nadu crop.csv,Bajra,Nagapattinam,Kharif,,2000-2001,,
Tamil Nadu crop.csv,Bajra,Namakkal,Kharif,558.0,2000-2001,816,1.46
Tamil Nadu crop.csv,Bajra,Perambalur,Kharif,5464.0,2000-2001,3989,0.73
Tamil Nadu crop.csv,Bajra,Pudukkottai,Kharif,260.0,2000-2001,352,1.35
Tamil Nadu crop.csv,Bajra,Ramanathapuram,Kharif,931.0,2000-2001,674,0.72
Tamil Nadu crop.csv,Bajra,Ranipet,Kharif,,2000-2001,,
Tamil Nadu crop.csv,Bajra,Salem,Kharif,3749.0,2000-2001,6986,1.86
