State,Crop,District,Season,Area_(Hectare),Year,Production_(Tonnes),Yield_(Ton./Ha.)
Telangana crop.csv,Arhar/Tur,Adilabad,Kharif,38996.0,2000-2001,9437,0.24
Telangana crop.csv,Arhar/Tur,Bhadradri,Kharif,,2000-2001,,
Telangana crop.csv,Arhar/Tur,Jagitial,Kharif,,2000-2001,,
Telangana crop.csv,Arhar/Tur,Jangoan,Kharif,,2000-2001,,
Telangana crop.csv,Arhar/Tur,Jayashankar,Kharif,,2000-2001,,
Telangana crop.csv,Arhar/Tur,Jogulamba,Kharif,,2000-2001,,
Telangana crop.csv,Arhar/Tur,Kamareddy,Kharif,,2000-2001,,
Telangana crop.csv,Arhar/Tur,Karimnagar,Kharif,5991.0,2000-2001,2145,0.36
Telangana crop.csv,Arhar/Tur,Khammam,Kharif,25490.0,2000-2001,13867,0.54
Telangana crop.csv,Arhar/Tur,Komaram bheem asifabad,Kharif,,2000-2001,,
Telangana crop.csv,Arhar/Tur,Mahabubabad,Kharif,,2000-2001,,
Telangana crop.csv,Arhar/Tur,Mahbubnagar,Kharif,65889.0,2000-2001,28530,0.43
Telangana crop.csv,Arhar/Tur,Mancherial,Kharif,,2000-2001,,
Telangana crop.csv,Arhar/Tur,Medak,Kharif,21180.0,2000-2001,6756,0.32
Telangana crop.csv,Arhar/Tur,Medchal,Kharif,,2000-2001,,
Telangana crop.csv,Arhar/Tur,Mulugu,Kharif,,2000-2001,,
Telangana crop.csv,Arhar/Tur,Nagarkurnool,Kharif,,2000-2001,,
Telangana crop.csv,Arhar/Tur,Nalgonda,Kharif,29954.0,2000-2001,9226,0.31
Telangana crop.csv,Arhar/Tur,Narayanapet,Kharif,,2000-2001,,
Telangana crop.csv,Arhar/Tur,Nirmal,Kharif,,2000-2001,,
Telangana crop.csv,Arhar/Tur,Nizamabad,Kharif,2172.0,2000-2001,778,0.36
Telangana crop.csv,Arhar/Tur,Peddapalli,Kharif,,2000-2001,,
Telangana crop.csv,Arhar/Tur,Rajanna,Kharif,,2000-2001,,
Telangana crop.csv,Arhar/Tur,Rangareddi,Kharif,35400.0,2000-2001,12178,0.34
Telangana crop.csv,Arhar/Tur,Sangareddy,Kharif,,2000-2001,,
Telangana crop.csv,Arhar/Tur,Siddipet,Kharif,,2000-2001,,
Telangana crop.csv,Arhar/Tur,Suryapet,Kharif,,2000-2001,,
Telangana crop.csv,Arhar/Tur,Vikarabad,Kharif,,2000-2001,,
Telangana crop.csv,Arhar/Tur,Wanaparthy,Kharif,,2000-2001,,
Telangana crop.csv,Arhar/Tur,Warangal,Kharif,31026.0,2000-2001,8749,0.28
Telangana crop.csv,Arhar/Tur,Warangal urban,Kharif,,2000-2001,,
Telangana crop.csv,Arhar/Tur,Yadadri,Kharif,,2000-2001,,
Telangana crop.csv,Bajra,Adilabad,Kharif,,2000-2001,,
Telangana crop.csv,Bajra,Bhadradri,Rabi,,2000-2001,,
Telangana crop.csv,Bajra,Jagitial,Rabi,,2000-2001,,
