State,Crop,District,Season,Area_(Hectare),Year,Production_(Tonnes),Yield_(Ton./Ha.)
Tripura crop.csv,Arhar/Tur,Dhalai,Kharif,,2000-2001,,
Tripura crop.csv,Arhar/Tur,Gomati,Kharif,,2000-2001,,
Tripura crop.csv,Arhar/Tur,Khowai,Kharif,,2000-2001,,
Tripura crop.csv,Arhar/Tur,North tripura,Kharif,,2000-2001,,
Tripura crop.csv,Arhar/Tur,Sepahijala,Kharif,,2000-2001,,
Tripura crop.csv,Arhar/Tur,South tripura,Kharif,,2000-2001,,
Tripura crop.csv,Arhar/Tur,Unakoti,Kharif,,2000-2001,,
Tripura crop.csv,Arhar/Tur,West tripura,Kharif,,2000-2001,,
Tripura crop.csv,Cotton(lint),Dhalai,Kharif,440.0,2000-2001,655,1.49
Tripura crop.csv,Cotton(lint),Gomati,Kharif,,2000-2001,,
Tripura crop.csv,Cotton(lint),Khowai,Kharif,,2000-2001,,
Tripura crop.csv,Cotton(lint),North tripura,Kharif,235.0,2000-2001,346,1.47
Tripura crop.csv,Cotton(lint),Sepahijala,Kharif,,2000-2001,,
Tripura crop.csv,Cotton(lint),South tripura,Kharif,195.0,2000-2001,286,1.47
Tripura crop.csv,Cotton(lint),Unakoti,Kharif,,2000-2001,,
Tripura crop.csv,Cotton(lint),West tripura,Kharif,40.0,2000-2001,53,1.33
Tripura crop.csv,Cowpea(Lobia),Dhalai,Kharif,,2000-2001,,
Tripura crop.csv,Cowpea(Lobia),Gomati,Kharif,,2000-2001,,
Tripura crop.csv,Cowpea(Lobia),Khowai,Kharif,,2000-2001,,
Tripura crop.csv,Cowpea(Lobia),North tripura,Kharif,,2000-2001,,
Tripura crop.csv,Cowpea(Lobia),Sepahijala,Kharif,,2000-2001,,
Tripura crop.csv,Cowpea(Lobia),South tripura,Kharif,,2000-2001,,
Tripura crop.csv,Cowpea(Lobia),Unakoti,Kharif,,2000-2001,,
Tripura crop.csv,Cowpea(Lobia),West tripura,Kharif,,2000-2001,,
Tripura crop.csv,Gram,Dhalai,Rabi,,2000-2001,,
Tripura crop.csv,Gram,Gomati,Rabi,,2000-2001,,
Tripura crop.csv,Gram,Khowai,Rabi,,2000-2001,,
Tripura crop.csv,Gram,North tripura,Rabi,,2000-2001,,
Tripura crop.csv,Gram,Sepahijala,Rabi,,2000-2001,,
Tripura crop.csv,Gram,South tripura,Rabi,,2000-2001,,
Tripura crop.csv,Gram,Unakoti,Rabi,,2000-2001,,
Tripura crop.csv,Gram,West tripura,Rabi,,2000-2001,,
