State,Crop,District,Season,Area_(Hectare),Year,Production_(Tonnes),Yield_(Ton./Ha.)
Uttarakhand crop.csv,Arhar/Tur,Almora,Kharif,5.0,2000-2001,2.0,0.4
Uttarakhand crop.csv,Arhar/Tur,Bageshwar,Kharif,,2000-2001,,
Uttarakhand crop.csv,Arhar/Tur,Chamoli,Kharif,100.0,2000-2001,55.0,0.55
Uttarakhand crop.csv,Arhar/Tur,Champawat,Kharif,,2000-2001,,
Uttarakhand crop.csv,Arhar/Tur,Dehradun,Kharif,193.0,2000-2001,107.0,0.55
Uttarakhand crop.csv,Arhar/Tur,Haridwar,Kharif,1.0,2000-2001,1.0,1.0
Uttarakhand crop.csv,Arhar/Tur,Nainital,Kharif,1.0,2000-2001,1.0,1.0
Uttarakhand crop.csv,Arhar/Tur,Pauri garhwal,Kharif,320.0,2000-2001,128.0,0.4
Uttarakhand crop.csv,Arhar/Tur,Pithoragarh,Kharif,,2000-2001,,
Uttarakhand crop.csv,Arhar/Tur,Rudra prayag,Kharif,61.0,2000-2001,37.0,0.61
Uttarakhand crop.csv,Arhar/Tur,Tehri garhwal,Kharif,973.0,2000-2001,516.0,0.53
Uttarakhand crop.csv,Arhar/Tur,Udam singh nagar,Kharif,43.0,2000-2001,32.0,0.74
Uttarakhand crop.csv,Arhar/Tur,Uttar kashi,Kharif,193.0,2000-2001,102.0,0.53
Uttarakhand crop.csv,Bajra,Bageshwar,Kharif,,2000-2001,,
Uttarakhand crop.csv,Bajra,Champawat,Kharif,,2000-2001,,
Uttarakhand crop.csv,Bajra,Dehradun,Kharif,,2000-2001,,
Uttarakhand crop.csv,Bajra,Haridwar,Kharif,11.0,2000-2001,15.0,1.36
Uttarakhand crop.csv,Bajra,Nainital,Kharif,,2000-2001,,
Uttarakhand crop.csv,Bajra,Pauri garhwal,Kharif,,2000-2001,,
Uttarakhand crop.csv,Bajra,Udam singh nagar,Kharif,,2000-2001,,
Uttarakhand crop.csv,Barley,Almora,Rabi,3436.0,2000-2001,2934.0,0.85
Uttarakhand crop.csv,Barley,Bageshwar,Rabi,2867.0,2000-2001,4341.0,1.51
Uttarakhand crop.csv,Barley,Chamoli,Rabi,1702.0,2000-2001,1771.0,1.04
Uttarakhand crop.csv,Barley,Champawat,Rabi,1316.0,2000-2001,1941.0,1.47
Uttarakhand crop.csv,Barley,Dehradun,Rabi,1050.0,2000-2001,227.0,0.22
Uttarakhand crop.csv,Barley,Haridwar,Rabi,72.0,2000-2001,85.0,1.18
Uttarakhand crop.csv,Barley,Nainital,Rabi,810.0,2000-2001,352.0,0.43
Uttarakhand crop.csv,Barley,Pauri garhwal,Rabi,6110.0,2000-2001,4586.0,0.75
Uttarakhand crop.csv,Barley,Pithoragarh,Rabi,3401.0,2000-2001,4878.0,1.43
Uttarakhand crop.csv,Barley,Rudra prayag,Rabi,1465.0,2000-2001,1494.0,1.02
Uttarakhand crop.csv,Barley,Tehri garhwal,Rabi,3282.0,2000-2001,2159.0,0.66
Uttarakhand crop.csv,Barley,Udam singh nagar,Rabi,77.0,2000-2001,91.0,1.18
Uttarakhand crop.csv,Barley,Uttar kashi,Rabi,209.0,2000-2001,205.0,0.98
Uttarakhand crop.csv,Dry chillies,Almora,Kharif,,2000-2001,,
Uttarakhand crop.csv,Dry chillies,Bageshwar,Kharif,,2000-2001,,
Uttarakhand crop.csv,Dry chillies,Chamoli,Kharif,,2000-2001,,
Uttarakhand crop.csv,Dry chillies,Champawat,Kharif,,2000-2001,,
Uttarakhand crop.csv,Dry chillies,Dehradun,Kharif,,2000-2001,,
Uttarakhand crop.csv,Dry chillies,Haridwar,Kharif,,2000-2001,,
Uttarakhand crop.csv,Dry chillies,Nainital,Kharif,,2000-2001,,
Uttarakhand crop.csv,Dry chillies,Pauri garhwal,Kharif,,2000-2001,,
Uttarakhand crop.csv,Dry chillies,Pithoragarh,Kharif,,2000-2001,,
Uttarakhand crop.csv,Dry chillies,Rudra prayag,Kharif,,2000-2001,,
Uttarakhand crop.csv,Dry chillies,Tehri garhwal,Kharif,,2000-2001,,
Uttarakhand crop.csv,Dry chillies,Uttar kashi,Kharif,,2000-2001,,
Uttarakhand crop.csv,Ginger,Almora,Kharif,,2000-2001,,
Uttarakhand crop.csv,Ginger,Bageshwar,Kharif,,2000-2001,,
Uttarakhand crop.csv,Ginger,Chamoli,Kharif,,2000-2001,,
Uttarakhand crop.csv,Ginger,Champawat,Kharif,,2000-2001,,
Uttarakhand crop.csv,Ginger,Dehradun,Kharif,,2000-2001,,
Uttarakhand crop.csv,Ginger,Nainital,Kharif,,2000-2001,,
Uttarakhand crop.csv,Ginger,Pauri garhwal,Kharif,,2000-2001,,
Uttarakhand crop.csv,Ginger,Pithoragarh,Kharif,,2000-2001,,
Uttarakhand crop.csv,Ginger,Tehri garhwal,Kharif,,2000-2001,,
Uttarakhand crop.csv,Ginger,Uttar kashi,Kharif,,2000-2001,,
Uttarakhand crop.csv,Gram,Almora,Rabi,,2000-2001,,
Uttarakhand crop.csv,Gram,Bageshwar,Rabi,5.0,2000-2001,3.0,0.6
Uttarakhand crop.csv,Gram,Chamoli,Rabi,,2000-2001,,
Uttarakhand crop.csv,Gram,Champawat,Rabi,39.0,2000-2001,22.0,0.56
Uttarakhand crop.csv,Gram,Dehradun,Rabi,103.0,2000-2001,77.0,0.75
Uttarakhand crop.csv,Gram,Haridwar,Rabi,91.0,2000-2001,73.0,0.8
Uttarakhand crop.csv,Gram,Nainital,Rabi,458.0,2000-2001,297.0,0.65
Uttarakhand crop.csv,Gram,Pauri garhwal,Rabi,41.0,2000-2001,23.0,0.56
Uttarakhand crop.csv,Gram,Pithoragarh,Rabi,28.0,2000-2001,18.0,0.64
Uttarakhand crop.csv,Gram,Rudra prayag,Rabi,,2000-2001,,
Uttarakhand crop.csv,Gram,Tehri garhwal,Rabi,46.0,2000-2001,24.0,0.52
Uttarakhand crop.csv,Gram,Udam singh nagar,Rabi,181.0,2000-2001,145.0,0.8
Uttarakhand crop.csv,Gram,Uttar kashi,Rabi,1.0,2000-2001,1.0,1.0
Uttarakhand crop.csv,Groundnut,Almora,Kharif,,2000-2001,,
Uttarakhand crop.csv,Groundnut,Bageshwar,Kharif,,2000-2001,,
Uttarakhand crop.csv,Groundnut,Champawat,Kharif,,2000-2001,,
Uttarakhand crop.csv,Groundnut,Dehradun,Kharif,232.0,2000-2001,190.0,0.82
Uttarakhand crop.csv,Groundnut,Haridwar,Kharif,1513.0,2000-2001,1286.0,0.85
Uttarakhand crop.csv,Groundnut,Nainital,Kharif,5.0,2000-2001,5.0,1.0
Uttarakhand crop.csv,Groundnut,Pauri garhwal,Kharif,,2000-2001,,
Uttarakhand crop.csv,Groundnut,Pithoragarh,Kharif,,2000-2001,,
Uttarakhand crop.csv,Groundnut,Udam singh nagar,Kharif,,2000-2001,,
Uttarakhand crop.csv,Horse-gram,Almora,Kharif,1244.0,2000-2001,684.0,0.55
Uttarakhand crop.csv,Horse-gram,Bageshwar,Kharif,287.0,2000-2001,215.0,0.75
Uttarakhand crop.csv,Horse-gram,Chamoli,Kharif,392.0,2000-2001,235.0,0.6
Uttarakhand crop.csv,Horse-gram,Champawat,Kharif,423.0,2000-2001,212.0,0.5
Uttarakhand crop.csv,Horse-gram,Dehradun,Kharif,690.0,2000-2001,353.0,0.51
Uttarakhand crop.csv,Horse-gram,Nainital,Kharif,638.0,2000-2001,338.0,0.53
Uttarakhand crop.csv,Horse-gram,Pauri garhwal,Kharif,1656.0,2000-2001,911.0,0.55
Uttarakhand crop.csv,Horse-gram,Pithoragarh,Kharif,134.0,2000-2001,80.0,0.6
Uttarakhand crop.csv,Horse-gram,Rudra prayag,Kharif,217.0,2000-2001,109.0,0.5
Uttarakhand crop.csv,Horse-gram,Tehri garhwal,Kharif,2641.0,2000-2001,1109.0,0.42
Uttarakhand crop.csv,Horse-gram,Uttar kashi,Kharif,901.0,2000-2001,541.0,0.6
Uttarakhand crop.csv,Jowar,Dehradun,Kharif,,2000-2001,,
Uttarakhand crop.csv,Jowar,Haridwar,Kharif,,2000-2001,,
Uttarakhand crop.csv,Linseed,Champawat,Rabi,5.0,2000-2001,1.0,0.2
Uttarakhand crop.csv,Linseed,Dehradun,Rabi,1.0,2000-2001,,0.0
Uttarakhand crop.csv,Linseed,Haridwar,Rabi,,2000-2001,,
Uttarakhand crop.csv,Linseed,Nainital,Rabi,,2000-2001,,
Uttarakhand crop.csv,Linseed,Udam singh nagar,Rabi,11.0,2000-2001,4.0,0.36
Uttarakhand crop.csv,Maize,Almora,Kharif,1922.0,2000-2001,2504.0,1.3
Uttarakhand crop.csv,Maize,Bageshwar,Kharif,391.0,2000-2001,432.0,1.1
Uttarakhand crop.csv,Maize,Chamoli,Kharif,211.0,2000-2001,268.0,1.27
Uttarakhand crop.csv,Maize,Champawat,Kharif,934.0,2000-2001,1377.0,1.47
Uttarakhand crop.csv,Maize,Dehradun,Kharif,11602.0,2000-2001,19229.0,1.66
Uttarakhand crop.csv,Maize,Haridwar,Kharif,1962.0,2000-2001,2876.0,1.47
Uttarakhand crop.csv,Maize,Nainital,Kharif,7620.0,2000-2001,10614.0,1.39
Uttarakhand crop.csv,Maize,Pauri garhwal,Kharif,1920.0,2000-2001,2221.0,1.16
Uttarakhand crop.csv,Maize,Pithoragarh,Kharif,3586.0,2000-2001,4665.0,1.3
Uttarakhand crop.csv,Maize,Rudra prayag,Kharif,162.0,2000-2001,175.0,1.08
Uttarakhand crop.csv,Maize,Tehri garhwal,Kharif,1926.0,2000-2001,2017.0,1.05
Uttarakhand crop.csv,Maize,Udam singh nagar,Kharif,604.0,2000-2001,1110.0,1.84
Uttarakhand crop.csv,Maize,Uttar kashi,Kharif,627.0,2000-2001,814.0,1.3
Uttarakhand crop.csv,Masoor,Almora,Rabi,1083.0,2000-2001,552.0,0.51
Uttarakhand crop.csv,Masoor,Bageshwar,Rabi,1079.0,2000-2001,593.0,0.55
Uttarakhand crop.csv,Masoor,Chamoli,Rabi,67.0,2000-2001,27.0,0.4
Uttarakhand crop.csv,Masoor,Champawat,Rabi,1025.0,2000-2001,513.0,0.5
Uttarakhand crop.csv,Masoor,Dehradun,Rabi,712.0,2000-2001,406.0,0.57
Uttarakhand crop.csv,Masoor,Haridwar,Rabi,2061.0,2000-2001,1237.0,0.6
Uttarakhand crop.csv,Masoor,Nainital,Rabi,494.0,2000-2001,278.0,0.56
Uttarakhand crop.csv,Masoor,Pauri garhwal,Rabi,813.0,2000-2001,350.0,0.43
Uttarakhand crop.csv,Masoor,Pithoragarh,Rabi,4347.0,2000-2001,2174.0,0.5
Uttarakhand crop.csv,Masoor,Rudra prayag,Rabi,56.0,2000-2001,23.0,0.41
Uttarakhand crop.csv,Masoor,Tehri garhwal,Rabi,1254.0,2000-2001,589.0,0.47
Uttarakhand crop.csv,Masoor,Udam singh nagar,Rabi,1949.0,2000-2001,1228.0,0.63
Uttarakhand crop.csv,Masoor,Uttar kashi,Rabi,350.0,2000-2001,186.0,0.53
Uttarakhand crop.csv,Moong(Green Gram),Almora,Kharif,,2000-2001,,
Uttarakhand crop.csv,Moong(Green Gram),Champawat,Kharif,,2000-2001,,
Uttarakhand crop.csv,Moong(Green Gram),Dehradun,Kharif,2.0,2000-2001,1.0,0.5
Uttarakhand crop.csv,Moong(Green Gram),Haridwar,Kharif,3.0,2000-2001,1.0,0.33
Uttarakhand crop.csv,Moong(Green Gram),Nainital,Kharif,,2000-2001,,
Uttarakhand crop.csv,Moong(Green Gram),Udam singh nagar,Kharif,40.0,2000-2001,14.0,0.35
Uttarakhand crop.csv,Moth,Champawat,Kharif,,2000-2001,,
Uttarakhand crop.csv,Moth,Dehradun,Kharif,6.0,2000-2001,2.0,0.33
Uttarakhand crop.csv,Moth,Nainital,Kharif,38.0,2000-2001,15.0,0.39
Uttarakhand crop.csv,Moth,Udam singh nagar,Kharif,,2000-2001,,
Uttarakhand crop.csv,Oilseeds total,Almora,Rabi,,2000-2001,,
Uttarakhand crop.csv,Oilseeds total,Bageshwar,Rabi,,2000-2001,,
Uttarakhand crop.csv,Oilseeds total,Chamoli,Rabi,,2000-2001,,
Uttarakhand crop.csv,Oilseeds total,Champawat,Rabi,,2000-2001,,
Uttarakhand crop.csv,Oilseeds total,Dehradun,Rabi,,2000-2001,,
Uttarakhand crop.csv,Oilseeds total,Haridwar,Rabi,,2000-2001,,
Uttarakhand crop.csv,Oilseeds total,Nainital,Rabi,,2000-2001,,
Uttarakhand crop.csv,Oilseeds total,Pauri garhwal,Rabi,,2000-2001,,
Uttarakhand crop.csv,Oilseeds total,Pithoragarh,Rabi,,2000-2001,,
Uttarakhand crop.csv,Oilseeds total,Rudra prayag,Rabi,,2000-2001,,
Uttarakhand crop.csv,Oilseeds total,Tehri garhwal,Rabi,,2000-2001,,
Uttarakhand crop.csv,Oilseeds total,Udam singh nagar,Rabi,,2000-2001,,
Uttarakhand crop.csv,Oilseeds total,Uttar kashi,Rabi,,2000-2001,,
Uttarakhand crop.csv,Onion,Udam singh nagar,Rabi,,2000-2001,,
Uttarakhand crop.csv,Other Rabi pulses,Almora,Rabi,,2000-2001,,
Uttarakhand crop.csv,Other Rabi pulses,Bageshwar,Rabi,,2000-2001,,
