State,Crop,District,Season,Area_(Hectare),Year,Production_(Tonnes),Yield_(Ton./Ha.)
West Bengal crop.csv,Arhar/Tur,24 paraganas north,Kharif,43.0,2000-2001,30,0.7
West Bengal crop.csv,Arhar/Tur,24 paraganas south,Rabi,,2000-2001,,
West Bengal crop.csv,Arhar/Tur,Alipurduar,Rabi,,2000-2001,,
West Bengal crop.csv,Arhar/Tur,Bankura,Kharif,472.0,2000-2001,320,0.68
West Bengal crop.csv,Arhar/Tur,Birbhum,Kharif,128.0,2000-2001,80,0.63
West Bengal crop.csv,Arhar/Tur,Coochbehar,Kharif,19.0,2000-2001,10,0.53
West Bengal crop.csv,Arhar/Tur,Darjeeling,Kharif,8.0,2000-2001,10,1.25
West Bengal crop.csv,Arhar/Tur,Dinajpur dakshin,Rabi,,2000-2001,,
West Bengal crop.csv,Arhar/Tur,Dinajpur uttar,Kharif,19.0,2000-2001,10,0.53
West Bengal crop.csv,Arhar/Tur,Hooghly,Rabi,,2000-2001,,
West Bengal crop.csv,Arhar/Tur,Jalpaiguri,Kharif,74.0,2000-2001,50,0.68
West Bengal crop.csv,Arhar/Tur,Jhargram,Rabi,,2000-2001,,
West Bengal crop.csv,Arhar/Tur,Kalimpong,Rabi,,2000-2001,,
West Bengal crop.csv,Arhar/Tur,Maldah,Kharif,128.0,2000-2001,80,0.63
West Bengal crop.csv,Arhar/Tur,Medinipur east,Rabi,,2000-2001,,
West Bengal crop.csv,Arhar/Tur,Medinipur west,Kharif,2419.0,2000-2001,2380,0.98
West Bengal crop.csv,Arhar/Tur,Murshidabad,Kharif,1266.0,2000-2001,840,0.66
West Bengal crop.csv,Arhar/Tur,Nadia,Kharif,1593.0,2000-2001,1060,0.67
West Bengal crop.csv,Arhar/Tur,Paschim bardhaman,Rabi,,2000-2001,,
West Bengal crop.csv,Arhar/Tur,Purba bardhaman,Kharif,628.0,2000-2001,420,0.67
West Bengal crop.csv,Arhar/Tur,Purulia,Kharif,2071.0,2000-2001,640,0.31
West Bengal crop.csv,Bajra,Bankura,Kharif,185.0,2000-2001,122,0.66
West Bengal crop.csv,Bajra,Coochbehar,Kharif,,2000-2001,,
West Bengal crop.csv,Bajra,Hooghly,Kharif,10.0,2000-2001,14,1.4
West Bengal crop.csv,Bajra,Medinipur west,Kharif,,2000-2001,,
West Bengal crop.csv,Bajra,Purba bardhaman,Kharif,95.0,2000-2001,113,1.19
West Bengal crop.csv,Bajra,Purulia,Kharif,23.0,2000-2001,7,0.3
West Bengal crop.csv,Barley,24 paraganas south,Rabi,,2000-2001,,
West Bengal crop.csv,Barley,Bankura,Rabi,,2000-2001,,
West Bengal crop.csv,Barley,Birbhum,Rabi,,2000-2001,,
West Bengal crop.csv,Barley,Coochbehar,Rabi,,2000-2001,,
West Bengal crop.csv,Barley,Darjeeling,Rabi,,2000-2001,,
West Bengal crop.csv,Barley,Dinajpur dakshin,Rabi,28.0,2000-2001,30,1.07
West Bengal crop.csv,Barley,Dinajpur uttar,Rabi,40.0,2000-2001,20,0.5
West Bengal crop.csv,Barley,Jalpaiguri,Rabi,,2000-2001,,
West Bengal crop.csv,Barley,Kalimpong,Rabi,,2000-2001,,
West Bengal crop.csv,Barley,Maldah,Rabi,2199.0,2000-2001,1180,0.54
West Bengal crop.csv,Barley,Murshidabad,Rabi,986.0,2000-2001,480,0.49
West Bengal crop.csv,Barley,Nadia,Rabi,218.0,2000-2001,110,0.5
West Bengal crop.csv,Barley,Purba bardhaman,Rabi,,2000-2001,,
West Bengal crop.csv,Castor seed,Jhargram,Kharif,,2000-2001,,
West Bengal crop.csv,Castor seed,Medinipur west,Kharif,100.0,2000-2001,127,1.27
West Bengal crop.csv,Cotton(lint),24 paraganas north,Kharif,,2000-2001,,
West Bengal crop.csv,Cotton(lint),24 paraganas south,Kharif,1188.0,2000-2001,2732,2.3
West Bengal crop.csv,Cotton(lint),Bankura,Kharif,,2000-2001,,
West Bengal crop.csv,Cotton(lint),Birbhum,Kharif,,2000-2001,,
West Bengal crop.csv,Cotton(lint),Howrah,Kharif,,2000-2001,,
West Bengal crop.csv,Cotton(lint),Medinipur east,Kharif,,2000-2001,,
West Bengal crop.csv,Cotton(lint),Medinipur west,Kharif,,2000-2001,,
West Bengal crop.csv,Cotton(lint),Purba bardhaman,Kharif,,2000-2001,,
West Bengal crop.csv,Cotton(lint),Purulia,Kharif,,2000-2001,,
West Bengal crop.csv,Dry chillies,24 paraganas north,Autumn,,2000-2001,,
West Bengal crop.csv,Dry chillies,24 paraganas south,Autumn,,2000-2001,,
West Bengal crop.csv,Dry chillies,Bankura,Autumn,,2000-2001,,
West Bengal crop.csv,Dry chillies,Birbhum,Autumn,,2000-2001,,
West Bengal crop.csv,Dry chillies,Coochbehar,Autumn,,2000-2001,,
West Bengal crop.csv,Dry chillies,Darjeeling,Autumn,,2000-2001,,
West Bengal crop.csv,Dry chillies,Dinajpur dakshin,Autumn,,2000-2001,,
West Bengal crop.csv,Dry chillies,Dinajpur uttar,Autumn,,2000-2001,,
West Bengal crop.csv,Dry chillies,Hooghly,Autumn,,2000-2001,,
West Bengal crop.csv,Dry chillies,Howrah,Autumn,,2000-2001,,
West Bengal crop.csv,Dry chillies,Jalpaiguri,Autumn,,2000-2001,,
West Bengal crop.csv,Dry chillies,Maldah,Autumn,,2000-2001,,
West Bengal crop.csv,Dry chillies,Medinipur east,Autumn,,2000-2001,,
West Bengal crop.csv,Dry chillies,Medinipur west,Autumn,,2000-2001,,
West Bengal crop.csv,Dry chillies,Murshidabad,Autumn,,2000-2001,,
West Bengal crop.csv,Dry chillies,Nadia,Autumn,,2000-2001,,
West Bengal crop.csv,Dry chillies,Purba bardhaman,Autumn,,2000-2001,,
West Bengal crop.csv,Dry chillies,Purulia,Autumn,,2000-2001,,
West Bengal crop.csv,Garlic,24 paraganas north,Kharif,,2000-2001,,
West Bengal crop.csv,Garlic,24 paraganas south,Kharif,,2000-2001,,
West Bengal crop.csv,Garlic,Bankura,Kharif,,2000-2001,,
West Bengal crop.csv,Garlic,Birbhum,Kharif,,2000-2001,,
West Bengal crop.csv,Garlic,Coochbehar,Kharif,,2000-2001,,
West Bengal crop.csv,Garlic,Darjeeling,Kharif,,2000-2001,,
West Bengal crop.csv,Garlic,Dinajpur dakshin,Kharif,,2000-2001,,
West Bengal crop.csv,Garlic,Dinajpur uttar,Kharif,,2000-2001,,
West Bengal crop.csv,Garlic,Hooghly,Kharif,,2000-2001,,
West Bengal crop.csv,Garlic,Howrah,Kharif,,2000-2001,,
West Bengal crop.csv,Garlic,Jalpaiguri,Kharif,,2000-2001,,
West Bengal crop.csv,Garlic,Maldah,Kharif,,2000-2001,,
West Bengal crop.csv,Garlic,Medinipur east,Kharif,,2000-2001,,
West Bengal crop.csv,Garlic,Medinipur west,Kharif,,2000-2001,,
West Bengal crop.csv,Garlic,Murshidabad,Kharif,,2000-2001,,
West Bengal crop.csv,Garlic,Nadia,Kharif,,2000-2001,,
West Bengal crop.csv,Garlic,Purba bardhaman,Kharif,,2000-2001,,
West Bengal crop.csv,Garlic,Purulia,Kharif,,2000-2001,,
West Bengal crop.csv,Ginger,24 paraganas north,Kharif,248.0,2000-2001,233,0.94
West Bengal crop.csv,Ginger,24 paraganas south,Kharif,219.0,2000-2001,88,0.4
West Bengal crop.csv,Ginger,Bankura,Kharif,108.0,2000-2001,213,1.97
West Bengal crop.csv,Ginger,Birbhum,Kharif,311.0,2000-2001,622,2
West Bengal crop.csv,Ginger,Coochbehar,Kharif,445.0,2000-2001,1112,2.5
West Bengal crop.csv,Ginger,Darjeeling,Kharif,2054.0,2000-2001,6025,2.93
West Bengal crop.csv,Ginger,Dinajpur dakshin,Kharif,275.0,2000-2001,356,1.29
West Bengal crop.csv,Ginger,Dinajpur uttar,Kharif,687.0,2000-2001,1965,2.86
West Bengal crop.csv,Ginger,Hooghly,Kharif,83.0,2000-2001,75,0.9
West Bengal crop.csv,Ginger,Howrah,Kharif,34.0,2000-2001,45,1.32
West Bengal crop.csv,Ginger,Jalpaiguri,Kharif,1430.0,2000-2001,2402,1.68
West Bengal crop.csv,Ginger,Maldah,Kharif,405.0,2000-2001,470,1.16
West Bengal crop.csv,Ginger,Medinipur east,Kharif,1255.0,2000-2001,1791,1.43
West Bengal crop.csv,Ginger,Medinipur west,Kharif,1080.0,2000-2001,2916,2.7
West Bengal crop.csv,Ginger,Murshidabad,Kharif,255.0,2000-2001,336,1.32
West Bengal crop.csv,Ginger,Nadia,Kharif,200.0,2000-2001,29,0.15
West Bengal crop.csv,Ginger,Purba bardhaman,Kharif,113.0,2000-2001,164,1.45
West Bengal crop.csv,Ginger,Purulia,Kharif,126.0,2000-2001,56,0.44
West Bengal crop.csv,Gram,24 paraganas north,Rabi,1123.0,2000-2001,780,0.69
West Bengal crop.csv,Gram,24 paraganas south,Rabi,140.0,2000-2001,120,0.86
West Bengal crop.csv,Gram,Alipurduar,Rabi,,2000-2001,,
West Bengal crop.csv,Gram,Bankura,Rabi,13.0,2000-2001,10,0.77
West Bengal crop.csv,Gram,Birbhum,Rabi,,2000-2001,,
West Bengal crop.csv,Gram,Coochbehar,Rabi,12909.0,2000-2001,10040,0.78
West Bengal crop.csv,Gram,Darjeeling,Rabi,,2000-2001,,
West Bengal crop.csv,Gram,Dinajpur dakshin,Rabi,475.0,2000-2001,50,0.11
West Bengal crop.csv,Gram,Dinajpur uttar,Rabi,1675.0,2000-2001,770,0.46
West Bengal crop.csv,Gram,Hooghly,Rabi,16.0,2000-2001,10,0.63
West Bengal crop.csv,Gram,Howrah,Rabi,,2000-2001,,
West Bengal crop.csv,Gram,Jalpaiguri,Rabi,,2000-2001,,
West Bengal crop.csv,Gram,Jhargram,Rabi,,2000-2001,,
West Bengal crop.csv,Gram,Maldah,Rabi,7583.0,2000-2001,9670,1.28
West Bengal crop.csv,Gram,Medinipur east,Rabi,400.0,2000-2001,340,0.85
West Bengal crop.csv,Gram,Medinipur west,Rabi,287.0,2000-2001,240,0.84
West Bengal crop.csv,Gram,Murshidabad,Rabi,10455.0,2000-2001,10610,1.01
West Bengal crop.csv,Gram,Nadia,Rabi,18171.0,2000-2001,15770,0.87
West Bengal crop.csv,Gram,Paschim bardhaman,Rabi,,2000-2001,,
West Bengal crop.csv,Gram,Purba bardhaman,Rabi,1360.0,2000-2001,1690,1.24
West Bengal crop.csv,Gram,Purulia,Rabi,78.0,2000-2001,70,0.9
West Bengal crop.csv,Groundnut,24 paraganas north,Autumn,,2000-2001,,
West Bengal crop.csv,Groundnut,24 paraganas south,Summer,177.0,2000-2001,168,0.95
West Bengal crop.csv,Groundnut,Alipurduar,Autumn,,2000-2001,,
West Bengal crop.csv,Groundnut,Bankura,Autumn,,2000-2001,,
West Bengal crop.csv,Groundnut,Birbhum,Autumn,,2000-2001,,
West Bengal crop.csv,Groundnut,Coochbehar,Autumn,,2000-2001,,
West Bengal crop.csv,Groundnut,Darjeeling,Autumn,,2000-2001,,
West Bengal crop.csv,Groundnut,Dinajpur dakshin,Summer,100.0,2000-2001,139,1.39
West Bengal crop.csv,Groundnut,Dinajpur uttar,Autumn,,2000-2001,,
West Bengal crop.csv,Groundnut,Hooghly,Autumn,,2000-2001,,
West Bengal crop.csv,Groundnut,Howrah,Rabi,614.0,2000-2001,551,0.9
West Bengal crop.csv,Groundnut,Jalpaiguri,Autumn,,2000-2001,,
West Bengal crop.csv,Groundnut,Jhargram,Rabi,,2000-2001,,
West Bengal crop.csv,Groundnut,Maldah,Autumn,,2000-2001,,
West Bengal crop.csv,Groundnut,Medinipur east,Rabi,,2000-2001,,
West Bengal crop.csv,Groundnut,Medinipur west,Autumn,,2000-2001,,
West Bengal crop.csv,Groundnut,Murshidabad,Autumn,,2000-2001,,
West Bengal crop.csv,Groundnut,Nadia,Autumn,,2000-2001,,
West Bengal crop.csv,Groundnut,Paschim bardhaman,Autumn,,2000-2001,,
West Bengal crop.csv,Groundnut,Purba bardhaman,Autumn,,2000-2001,,
