State,Crop,District,Season,Area_(Hectare),Year,Production_(Tonnes),Yield_(Ton./Ha.)
andaman crop,Arecanut,Nicobars,Kharif,1254.0,2000-2001,2000.0,1.59
andaman crop,Arecanut,North and middle andaman,Kharif,3100.0,2000-2001,5200.0,1.68
andaman crop,Arecanut,South andamans,Rabi,,2000-2001,,
andaman crop,Arhar/Tur,North and middle andaman,Rabi,,2000-2001,,
andaman crop,Arhar/Tur,South andamans,Rabi,,2000-2001,,
andaman crop,Black pepper,Nicobars,Rabi,,2000-2001,,
andaman crop,Black pepper,North and middle andaman,Rabi,,2000-2001,,
andaman crop,Black pepper,South andamans,Rabi,,2000-2001,,
andaman crop,Cashewnut,Nicobars,Rabi,,2000-2001,,
andaman crop,Cashewnut,North and middle andaman,Rabi,,2000-2001,,
andaman crop,Cashewnut,South andamans,Rabi,,2000-2001,,
andaman crop,Cowpea(Lobia),Nicobars,Rabi,,2000-2001,,
andaman crop,Cowpea(Lobia),North and middle andaman,Rabi,,2000-2001,,
andaman crop,Cowpea(Lobia),South andamans,Rabi,,2000-2001,,
andaman crop,Dry chillies,Nicobars,Rabi,,2000-2001,,
andaman crop,Dry chillies,North and middle andaman,Rabi,,2000-2001,,
andaman crop,Dry chillies,South andamans,Rabi,,2000-2001,,
andaman crop,Dry Ginger,Nicobars,Rabi,,2000-2001,,
andaman crop,Dry Ginger,North and middle andaman,Rabi,,2000-2001,,
andaman crop,Dry Ginger,South andamans,Rabi,,2000-2001,,
andaman crop,Ginger,Nicobars,Rabi,,2000-2001,,
andaman crop,Ginger,North and middle andaman,Rabi,,2000-2001,,
andaman crop,Ginger,South andamans,Rabi,,2000-2001,,
andaman crop,Groundnut,North and middle andaman,Rabi,,2000-2001,,
andaman crop,Groundnut,South andamans,Rabi,,2000-2001,,
andaman crop,Maize,Nicobars,Rabi,,2000-2001,,
andaman crop,Maize,North and middle andaman,Rabi,,2000-2001,,
andaman crop,Maize,South andamans,Rabi,,2000-2001,,
andaman crop,Moong(Green Gram),Nicobars,Rabi,,2000-2001,,
andaman crop,Moong(Green Gram),North and middle andaman,Rabi,,2000-2001,,
andaman crop,Moong(Green Gram),South andamans,Rabi,,2000-2001,,
andaman crop,Other Kharif pulses,Nicobars,Kharif,2.0,2000-2001,1.0,0.5
andaman crop,Other Kharif pulses,North and middle andaman,Kharif,668.0,2000-2001,448.0,0.67
andaman crop,other oilseeds,North and middle andaman,Rabi,,2000-2001,,
andaman crop,Rapeseed &Mustard,North and middle andaman,Rabi,,2000-2001,,
andaman crop,Rapeseed &Mustard,South andamans,Rabi,,2000-2001,,
andaman crop,Rice,Nicobars,Autumn,,2000-2001,,
andaman crop,Rice,North and middle andaman,Autumn,,2000-2001,,
andaman crop,Rice,South andamans,Autumn,,2000-2001,,
andaman crop,Sesamum,North and middle andaman,Rabi,,2000-2001,,
andaman crop,Sesamum,South andamans,Summer,,2000-2001,,
andaman crop,Sugarcane,Nicobars,Autumn,,2000-2001,,
andaman crop,Sugarcane,North and middle andaman,Autumn,,2000-2001,,
andaman crop,Sugarcane,South andamans,Autumn,,2000-2001,,
andaman crop,Sunflower,North and middle andaman,Rabi,,2000-2001,,
andaman crop,Sunflower,South andamans,Rabi,,2000-2001,,
andaman crop,Sweet potato,Nicobars,Rabi,,2000-2001,,
andaman crop,Sweet potato,North and middle andaman,Rabi,,2000-2001,,
andaman crop,Sweet potato,South andamans,Rabi,,2000-2001,,
andaman crop,Turmeric,Nicobars,Rabi,,2000-2001,,
andaman crop,Turmeric,North and middle andaman,Rabi,,2000-2001,,
andaman crop,Turmeric,South andamans,Rabi,,2000-2001,,
andaman crop,Urad,Nicobars,Rabi,,2000-2001,,
andaman crop,Urad,North and middle andaman,Rabi,,2000-2001,,
andaman crop,Urad,South andamans,Rabi,,2000-2001,,
andaman crop,Arecanut,Nicobars,Kharif,1254.0,2001-2002,2061.0,1.64
andaman crop,Arecanut,North and middle andaman,Kharif,3100.0,2001-2002,5239.0,1.69
andaman crop,Arecanut,South andamans,Rabi,,2001-2002,,
andaman crop,Arhar/Tur,North and middle andaman,Rabi,,2001-2002,,
andaman crop,Arhar/Tur,South andamans,Rabi,,2001-2002,,
andaman crop,Black pepper,Nicobars,Rabi,,2001-2002,,
andaman crop,Black pepper,North and middle andaman,Rabi,,2001-2002,,
andaman crop,Black pepper,South andamans,Rabi,,2001-2002,,
andaman crop,Cashewnut,Nicobars,Rabi,,2001-2002,,
andaman crop,Cashewnut,North and middle andaman,Rabi,,2001-2002,,
andaman crop,Cashewnut,South andamans,Rabi,,2001-2002,,
andaman crop,Cowpea(Lobia),Nicobars,Rabi,,2001-2002,,
andaman crop,Cowpea(Lobia),North and middle andaman,Rabi,,2001-2002,,
andaman crop,Cowpea(Lobia),South andamans,Rabi,,2001-2002,,
andaman crop,Dry chillies,Nicobars,Rabi,,2001-2002,,
andaman crop,Dry chillies,North and middle andaman,Rabi,,2001-2002,,
andaman crop,Dry chillies,South andamans,Rabi,,2001-2002,,
andaman crop,Dry Ginger,Nicobars,Rabi,,2001-2002,,
andaman crop,Dry Ginger,North and middle andaman,Rabi,,2001-2002,,
andaman crop,Dry Ginger,South andamans,Rabi,,2001-2002,,
andaman crop,Ginger,Nicobars,Rabi,,2001-2002,,
andaman crop,Ginger,North and middle andaman,Rabi,,2001-2002,,
andaman crop,Ginger,South andamans,Rabi,,2001-2002,,
andaman crop,Groundnut,North and middle andaman,Rabi,,2001-2002,,
andaman crop,Groundnut,South andamans,Rabi,,2001-2002,,
andaman crop,Maize,Nicobars,Rabi,,2001-2002,,
andaman crop,Maize,North and middle andaman,Rabi,,2001-2002,,
andaman crop,Maize,South andamans,Rabi,,2001-2002,,
andaman crop,Moong(Green Gram),Nicobars,Rabi,,2001-2002,,
andaman crop,Moong(Green Gram),North and middle andaman,Rabi,,2001-2002,,
