State,Crop,District,Season,Area_(Hectare),Year,Production_(Tonnes),Yield_(Ton./Ha.)
andhra pradesh crop.csv,Arecanut,Anakapalli,Kharif,,2000-2001,,
andhra pradesh crop.csv,Arecanut,Anantapur,Kharif,,2000-2001,,
andhra pradesh crop.csv,Arecanut,East godavari,Kharif,,2000-2001,,
andhra pradesh crop.csv,Arecanut,Eluru,Kharif,,2000-2001,,
andhra pradesh crop.csv,Arecanut,Konaseema,Kharif,,2000-2001,,
andhra pradesh crop.csv,Arecanut,Krishna,Kharif,,2000-2001,,
andhra pradesh crop.csv,Arecanut,Ntr,Kharif,,2000-2001,,
andhra pradesh crop.csv,Arecanut,Prakasam,Kharif,,2000-2001,,
andhra pradesh crop.csv,Arecanut,Sri sathya sai,Kharif,,2000-2001,,
andhra pradesh crop.csv,Arecanut,Visakhapatanam,Kharif,,2000-2001,,
andhra pradesh crop.csv,Arecanut,Vizianagaram,Kharif,,2000-2001,,
andhra pradesh crop.csv,Arecanut,West godavari,Kharif,,2000-2001,,
andhra pradesh crop.csv,Arhar/Tur,Alluri sitharama raju,Kharif,,2000-2001,,
andhra pradesh crop.csv,Arhar/Tur,Anakapalli,Kharif,,2000-2001,,
andhra pradesh crop.csv,Arhar/Tur,Anantapur,Kharif,30693.0,2000-2001,7888,0.26
andhra pradesh crop.csv,Arhar/Tur,Annamayya,Kharif,,2000-2001,,
andhra pradesh crop.csv,Arhar/Tur,Bapatla,Kharif,,2000-2001,,
andhra pradesh crop.csv,Arhar/Tur,Chittoor,Kharif,6032.0,2000-2001,2172,0.36
andhra pradesh crop.csv,Arhar/Tur,East godavari,Kharif,1861.0,2000-2001,953,0.51
andhra pradesh crop.csv,Arhar/Tur,Eluru,Kharif,,2000-2001,,
andhra pradesh crop.csv,Arhar/Tur,Guntur,Kharif,42388.0,2000-2001,16786,0.4
andhra pradesh crop.csv,Arhar/Tur,Kadapa,Kharif,15189.0,2000-2001,8369,0.55
andhra pradesh crop.csv,Arhar/Tur,Kakinada,Kharif,,2000-2001,,
andhra pradesh crop.csv,Arhar/Tur,Konaseema,Kharif,,2000-2001,,
andhra pradesh crop.csv,Arhar/Tur,Krishna,Kharif,9762.0,2000-2001,6316,0.65
andhra pradesh crop.csv,Arhar/Tur,Kurnool,Kharif,38108.0,2000-2001,16996,0.45
andhra pradesh crop.csv,Arhar/Tur,Nandyal,Kharif,,2000-2001,,
andhra pradesh crop.csv,Arhar/Tur,Ntr,Kharif,,2000-2001,,
andhra pradesh crop.csv,Arhar/Tur,Palnadu,Kharif,,2000-2001,,
andhra pradesh crop.csv,Arhar/Tur,Parvathipuram manyam,Kharif,,2000-2001,,
andhra pradesh crop.csv,Arhar/Tur,Prakasam,Kharif,95553.0,2000-2001,60198,0.63
andhra pradesh crop.csv,Arhar/Tur,Spsr nellore,Kharif,2063.0,2000-2001,1143,0.55
andhra pradesh crop.csv,Arhar/Tur,Sri sathya sai,Kharif,,2000-2001,,
andhra pradesh crop.csv,Arhar/Tur,Srikakulam,Kharif,1758.0,2000-2001,974,0.55
andhra pradesh crop.csv,Arhar/Tur,Tirupati,Kharif,,2000-2001,,
andhra pradesh crop.csv,Arhar/Tur,Visakhapatanam,Kharif,6121.0,2000-2001,2032,0.33
andhra pradesh crop.csv,Arhar/Tur,Vizianagaram,Kharif,1304.0,2000-2001,722,0.55
andhra pradesh crop.csv,Arhar/Tur,West godavari,Kharif,436.0,2000-2001,242,0.56
andhra pradesh crop.csv,Bajra,Alluri sitharama raju,Kharif,,2000-2001,,
andhra pradesh crop.csv,Bajra,Anakapalli,Kharif,,2000-2001,,
andhra pradesh crop.csv,Bajra,Anantapur,Kharif,2477.0,2000-2001,1449,0.58
andhra pradesh crop.csv,Bajra,Annamayya,Kharif,,2000-2001,,
andhra pradesh crop.csv,Bajra,Bapatla,Kharif,,2000-2001,,
andhra pradesh crop.csv,Bajra,Chittoor,Kharif,3771.0,2000-2001,4936,1.31
andhra pradesh crop.csv,Bajra,East godavari,Kharif,3034.0,2000-2001,2005,0.66
andhra pradesh crop.csv,Bajra,Guntur,Kharif,406.0,2000-2001,550,1.35
andhra pradesh crop.csv,Bajra,Kadapa,Kharif,7329.0,2000-2001,10385,1.42
andhra pradesh crop.csv,Bajra,Krishna,Kharif,1.0,2000-2001,1,1
andhra pradesh crop.csv,Bajra,Kurnool,Kharif,18718.0,2000-2001,15199,0.81
andhra pradesh crop.csv,Bajra,Nandyal,Kharif,,2000-2001,,
andhra pradesh crop.csv,Bajra,Palnadu,Kharif,,2000-2001,,
andhra pradesh crop.csv,Bajra,Parvathipuram manyam,Kharif,,2000-2001,,
andhra pradesh crop.csv,Bajra,Prakasam,Kharif,28546.0,2000-2001,42876,1.5
andhra pradesh crop.csv,Bajra,Spsr nellore,Kharif,3048.0,2000-2001,5617,1.84
andhra pradesh crop.csv,Bajra,Sri sathya sai,Kharif,,2000-2001,,
andhra pradesh crop.csv,Bajra,Srikakulam,Kharif,4203.0,2000-2001,7263,1.73
andhra pradesh crop.csv,Bajra,Tirupati,Kharif,,2000-2001,,
andhra pradesh crop.csv,Bajra,Visakhapatanam,Kharif,17746.0,2000-2001,19663,1.11
andhra pradesh crop.csv,Bajra,Vizianagaram,Kharif,3619.0,2000-2001,4082,1.13
andhra pradesh crop.csv,Bajra,West godavari,Kharif,,2000-2001,,
andhra pradesh crop.csv,Black pepper,East godavari,Kharif,,2000-2001,,
andhra pradesh crop.csv,Black pepper,Visakhapatanam,Kharif,,2000-2001,,
andhra pradesh crop.csv,Black pepper,West godavari,Kharif,,2000-2001,,
andhra pradesh crop.csv,Brinjal,Anantapur,Kharif,,2000-2001,,
andhra pradesh crop.csv,Brinjal,Chittoor,Kharif,,2000-2001,,
andhra pradesh crop.csv,Brinjal,East godavari,Kharif,,2000-2001,,
andhra pradesh crop.csv,Brinjal,Guntur,Kharif,,2000-2001,,
andhra pradesh crop.csv,Brinjal,Kadapa,Kharif,,2000-2001,,
andhra pradesh crop.csv,Brinjal,Krishna,Kharif,,2000-2001,,
