State,Crop,District,Season,Area_(Hectare),Year,Production_(Tonnes),Yield_(Ton./Ha.)
arunachal pradesh crop.csv,Arhar/Tur,Dibang valley,Kharif,,2000-2001,,
arunachal pradesh crop.csv,Arhar/Tur,East kameng,Kharif,,2000-2001,,
arunachal pradesh crop.csv,Arhar/Tur,East siang,Kharif,,2000-2001,,
arunachal pradesh crop.csv,Arhar/Tur,Kamle,Kharif,,2000-2001,,
arunachal pradesh crop.csv,Arhar/Tur,Leparada,Kharif,,2000-2001,,
arunachal pradesh crop.csv,Arhar/Tur,Lohit,Kharif,,2000-2001,,
arunachal pradesh crop.csv,Arhar/Tur,Longding,Kharif,,2000-2001,,
arunachal pradesh crop.csv,Arhar/Tur,Lower dibang valley,Kharif,,2000-2001,,
arunachal pradesh crop.csv,Arhar/Tur,Lower siang,Kharif,,2000-2001,,
arunachal pradesh crop.csv,Arhar/Tur,Lower subansiri,Kharif,,2000-2001,,
arunachal pradesh crop.csv,Arhar/Tur,Namsai,Kharif,,2000-2001,,
arunachal pradesh crop.csv,Arhar/Tur,Pakke kessang,Kharif,,2000-2001,,
arunachal pradesh crop.csv,Arhar/Tur,Papum pare,Kharif,,2000-2001,,
arunachal pradesh crop.csv,Arhar/Tur,Siang,Kharif,,2000-2001,,
arunachal pradesh crop.csv,Arhar/Tur,Tirap,Kharif,,2000-2001,,
arunachal pradesh crop.csv,Arhar/Tur,Upper siang,Kharif,,2000-2001,,
arunachal pradesh crop.csv,Arhar/Tur,Upper subansiri,Kharif,,2000-2001,,
arunachal pradesh crop.csv,Arhar/Tur,West siang,Kharif,,2000-2001,,
arunachal pradesh crop.csv,Groundnut,Anjaw,Kharif,,2000-2001,,
arunachal pradesh crop.csv,Groundnut,Changlang,Kharif,,2000-2001,,
arunachal pradesh crop.csv,Groundnut,Dibang valley,Kharif,,2000-2001,,
arunachal pradesh crop.csv,Groundnut,East siang,Kharif,,2000-2001,,
arunachal pradesh crop.csv,Groundnut,Kra daadi,Kharif,,2000-2001,,
arunachal pradesh crop.csv,Groundnut,Kurung kumey,Kharif,,2000-2001,,
arunachal pradesh crop.csv,Groundnut,Lohit,Kharif,,2000-2001,,
arunachal pradesh crop.csv,Groundnut,Lower dibang valley,Kharif,,2000-2001,,
arunachal pradesh crop.csv,Groundnut,Lower subansiri,Kharif,,2000-2001,,
arunachal pradesh crop.csv,Groundnut,Namsai,Kharif,,2000-2001,,
arunachal pradesh crop.csv,Groundnut,Papum pare,Kharif,,2000-2001,,
arunachal pradesh crop.csv,Groundnut,Siang,Kharif,,2000-2001,,
arunachal pradesh crop.csv,Groundnut,Upper subansiri,Kharif,,2000-2001,,
arunachal pradesh crop.csv,Groundnut,West siang,Kharif,,2000-2001,,
arunachal pradesh crop.csv,Maize,Anjaw,Kharif,,2000-2001,,
arunachal pradesh crop.csv,Maize,Changlang,Kharif,864.0,2000-2001,1322.0,1.53
arunachal pradesh crop.csv,Maize,Dibang valley,Kharif,5780.0,2000-2001,8900.0,1.54
arunachal pradesh crop.csv,Maize,East kameng,Kharif,1731.0,2000-2001,3115.0,1.8
arunachal pradesh crop.csv,Maize,East siang,Kharif,2740.0,2000-2001,5253.0,1.92
arunachal pradesh crop.csv,Maize,Kamle,Kharif,,2000-2001,,
arunachal pradesh crop.csv,Maize,Kra daadi,Kharif,,2000-2001,,
arunachal pradesh crop.csv,Maize,Kurung kumey,Kharif,,2000-2001,,
arunachal pradesh crop.csv,Maize,Leparada,Kharif,,2000-2001,,
arunachal pradesh crop.csv,Maize,Lohit,Kharif,8680.0,2000-2001,8732.0,1.01
arunachal pradesh crop.csv,Maize,Longding,Kharif,,2000-2001,,
arunachal pradesh crop.csv,Maize,Lower dibang valley,Kharif,,2000-2001,,
arunachal pradesh crop.csv,Maize,Lower siang,Kharif,,2000-2001,,
arunachal pradesh crop.csv,Maize,Lower subansiri,Kharif,4510.0,2000-2001,5412.0,1.2
arunachal pradesh crop.csv,Maize,Namsai,Kharif,,2000-2001,,
arunachal pradesh crop.csv,Maize,Pakke kessang,Kharif,,2000-2001,,
arunachal pradesh crop.csv,Maize,Papum pare,Kharif,1950.0,2000-2001,2356.0,1.21
