State,Crop,District,Season,Area_(Hectare),Year,Production_(Tonnes),Yield_(Ton./Ha.)
assam crop.csv,Arecanut,Baksa,Rabi,,2000-2001,,
assam crop.csv,Arecanut,Barpeta,Rabi,,2000-2001,,
assam crop.csv,Arecanut,Biswanath,Rabi,,2000-2001,,
assam crop.csv,Arecanut,Bongaigaon,Rabi,,2000-2001,,
assam crop.csv,Arecanut,Cachar,Rabi,,2000-2001,,
assam crop.csv,Arecanut,Charaideo,Rabi,,2000-2001,,
assam crop.csv,Arecanut,Chirang,Rabi,,2000-2001,,
assam crop.csv,Arecanut,Darrang,Rabi,,2000-2001,,
assam crop.csv,Arecanut,Dhemaji,Rabi,,2000-2001,,
assam crop.csv,Arecanut,Dhubri,Rabi,,2000-2001,,
assam crop.csv,Arecanut,Dibrugarh,Rabi,,2000-2001,,
assam crop.csv,Arecanut,Dima hasao,Rabi,,2000-2001,,
assam crop.csv,Arecanut,Goalpara,Rabi,,2000-2001,,
assam crop.csv,Arecanut,Golaghat,Rabi,,2000-2001,,
assam crop.csv,Arecanut,Hailakandi,Rabi,,2000-2001,,
assam crop.csv,Arecanut,Hojai,Rabi,,2000-2001,,
assam crop.csv,Arecanut,Jorhat,Rabi,,2000-2001,,
assam crop.csv,Arecanut,Kamrup,Rabi,,2000-2001,,
assam crop.csv,Arecanut,Kamrup metro,Rabi,,2000-2001,,
assam crop.csv,Arecanut,Karbi anglong,Rabi,,2000-2001,,
assam crop.csv,Arecanut,Karimganj,Rabi,,2000-2001,,
assam crop.csv,Arecanut,Kokrajhar,Rabi,,2000-2001,,
assam crop.csv,Arecanut,Lakhimpur,Rabi,,2000-2001,,
assam crop.csv,Arecanut,Majuli,Rabi,,2000-2001,,
assam crop.csv,Arecanut,Marigaon,Rabi,,2000-2001,,
assam crop.csv,Arecanut,Nagaon,Rabi,,2000-2001,,
assam crop.csv,Arecanut,Nalbari,Rabi,,2000-2001,,
assam crop.csv,Arecanut,Sivasagar,Rabi,,2000-2001,,
assam crop.csv,Arecanut,Sonitpur,Rabi,,2000-2001,,
assam crop.csv,Arecanut,South salmara mancachar,Rabi,,2000-2001,,
assam crop.csv,Arecanut,Tinsukia,Rabi,,2000-2001,,
assam crop.csv,Arecanut,Udalguri,Rabi,,2000-2001,,
assam crop.csv,Arecanut,West karbi anglong,Rabi,,2000-2001,,
assam crop.csv,Arhar/Tur,Baksa,Kharif,,2000-2001,,
assam crop.csv,Arhar/Tur,Barpeta,Kharif,280.0,2000-2001,230,0.82
assam crop.csv,Arhar/Tur,Biswanath,Kharif,,2000-2001,,
assam crop.csv,Arhar/Tur,Bongaigaon,Kharif,227.0,2000-2001,191,0.84
assam crop.csv,Arhar/Tur,Cachar,Kharif,112.0,2000-2001,79,0.71
assam crop.csv,Arhar/Tur,Charaideo,Kharif,,2000-2001,,
assam crop.csv,Arhar/Tur,Chirang,Kharif,,2000-2001,,
assam crop.csv,Arhar/Tur,Darrang,Kharif,486.0,2000-2001,284,0.58
assam crop.csv,Arhar/Tur,Dhemaji,Kharif,30.0,2000-2001,23,0.77
assam crop.csv,Arhar/Tur,Dhubri,Kharif,326.0,2000-2001,238,0.73
assam crop.csv,Arhar/Tur,Dibrugarh,Kharif,186.0,2000-2001,140,0.75
assam crop.csv,Arhar/Tur,Dima hasao,Kharif,258.0,2000-2001,186,0.72
assam crop.csv,Arhar/Tur,Goalpara,Kharif,394.0,2000-2001,331,0.84
assam crop.csv,Arhar/Tur,Golaghat,Kharif,283.0,2000-2001,193,0.68
assam crop.csv,Arhar/Tur,Hailakandi,Kharif,70.0,2000-2001,48,0.69
assam crop.csv,Arhar/Tur,Jorhat,Kharif,30.0,2000-2001,19,0.63
assam crop.csv,Arhar/Tur,Kamrup,Kharif,457.0,2000-2001,366,0.8
assam crop.csv,Arhar/Tur,Kamrup metro,Kharif,,2000-2001,,
assam crop.csv,Arhar/Tur,Karbi anglong,Kharif,1024.0,2000-2001,696,0.68
assam crop.csv,Arhar/Tur,Karimganj,Kharif,55.0,2000-2001,38,0.69
assam crop.csv,Arhar/Tur,Kokrajhar,Kharif,274.0,2000-2001,178,0.65
assam crop.csv,Arhar/Tur,Lakhimpur,Kharif,80.0,2000-2001,56,0.7
assam crop.csv,Arhar/Tur,Majuli,Kharif,,2000-2001,,
