State,Crop,District,Season,Area_(Hectare),Year,Production_(Tonnes),Yield_(Ton./Ha.)
bihar crop.csv,Arhar/Tur,Araria,Kharif,2829.0,2000-2001,2826,1
bihar crop.csv,Arhar/Tur,Arwal,Kharif,,2000-2001,,
bihar crop.csv,Arhar/Tur,Aurangabad,Kharif,553.0,2000-2001,381,0.69
bihar crop.csv,Arhar/Tur,Banka,Kharif,1055.0,2000-2001,704,0.67
bihar crop.csv,Arhar/Tur,Begusarai,Kharif,1241.0,2000-2001,2487,2
bihar crop.csv,Arhar/Tur,Bhagalpur,Kharif,771.0,2000-2001,1257,1.63
bihar crop.csv,Arhar/Tur,Bhojpur,Kharif,918.0,2000-2001,1098,1.2
bihar crop.csv,Arhar/Tur,Buxar,Kharif,590.0,2000-2001,838,1.42
bihar crop.csv,Arhar/Tur,Darbhanga,Kharif,907.0,2000-2001,1248,1.38
bihar crop.csv,Arhar/Tur,Gaya,Kharif,2769.0,2000-2001,2708,0.98
bihar crop.csv,Arhar/Tur,Gopalganj,Kharif,2567.0,2000-2001,2431,0.95
bihar crop.csv,Arhar/Tur,Jamui,Kharif,315.0,2000-2001,394,1.25
bihar crop.csv,Arhar/Tur,Jehanabad,Kharif,243.0,2000-2001,185,0.76
bihar crop.csv,Arhar/Tur,Kaimur (bhabua),Kharif,2010.0,2000-2001,1966,0.98
bihar crop.csv,Arhar/Tur,Katihar,Kharif,163.0,2000-2001,138,0.85
bihar crop.csv,Arhar/Tur,Khagaria,Kharif,342.0,2000-2001,496,1.45
bihar crop.csv,Arhar/Tur,Kishanganj,Kharif,51.0,2000-2001,53,1.04
bihar crop.csv,Arhar/Tur,Lakhisarai,Kharif,93.0,2000-2001,165,1.77
bihar crop.csv,Arhar/Tur,Madhepura,Kharif,16.0,2000-2001,22,1.38
bihar crop.csv,Arhar/Tur,Madhubani,Kharif,1072.0,2000-2001,1420,1.32
bihar crop.csv,Arhar/Tur,Munger,Kharif,41.0,2000-2001,73,1.78
bihar crop.csv,Arhar/Tur,Muzaffarpur,Kharif,1542.0,2000-2001,2230,1.45
bihar crop.csv,Arhar/Tur,Nalanda,Kharif,404.0,2000-2001,1052,2.6
bihar crop.csv,Arhar/Tur,Nawada,Kharif,649.0,2000-2001,591,0.91
bihar crop.csv,Arhar/Tur,Pashchim champaran,Kharif,5553.0,2000-2001,9290,1.67
bihar crop.csv,Arhar/Tur,Patna,Kharif,1326.0,2000-2001,2392,1.8
bihar crop.csv,Arhar/Tur,Purbi champaran,Kharif,3706.0,2000-2001,6612,1.78
bihar crop.csv,Arhar/Tur,Purnia,Kharif,182.0,2000-2001,318,1.75
bihar crop.csv,Arhar/Tur,Rohtas,Kharif,1306.0,2000-2001,1618,1.24
bihar crop.csv,Arhar/Tur,Saharsa,Kharif,12.0,2000-2001,16,1.33
bihar crop.csv,Arhar/Tur,Samastipur,Kharif,2396.0,2000-2001,3695,1.54
bihar crop.csv,Arhar/Tur,Saran,Kharif,2664.0,2000-2001,3674,1.38
bihar crop.csv,Arhar/Tur,Sheikhpura,Kharif,94.0,2000-2001,167,1.78
bihar crop.csv,Arhar/Tur,Sheohar,Kharif,296.0,2000-2001,222,0.75
bihar crop.csv,Arhar/Tur,Sitamarhi,Kharif,474.0,2000-2001,553,1.17
bihar crop.csv,Arhar/Tur,Siwan,Kharif,2753.0,2000-2001,3816,1.39
bihar crop.csv,Arhar/Tur,Supaul,Kharif,158.0,2000-2001,213,1.35
bihar crop.csv,Arhar/Tur,Vaishali,Kharif,1543.0,2000-2001,1509,0.98
bihar crop.csv,Bajra,Araria,Kharif,23.0,2000-2001,19,0.83
bihar crop.csv,Bajra,Aurangabad,Kharif,,2000-2001,,
bihar crop.csv,Bajra,Banka,Kharif,2.0,2000-2001,2,1
bihar crop.csv,Bajra,Begusarai,Kharif,,2000-2001,,
bihar crop.csv,Bajra,Bhagalpur,Kharif,100.0,2000-2001,83,0.83
bihar crop.csv,Bajra,Bhojpur,Kharif,297.0,2000-2001,259,0.87
bihar crop.csv,Bajra,Buxar,Kharif,643.0,2000-2001,560,0.87
bihar crop.csv,Bajra,Darbhanga,Kharif,,2000-2001,,
bihar crop.csv,Bajra,Gaya,Kharif,,2000-2001,,
bihar crop.csv,Bajra,Gopalganj,Kharif,27.0,2000-2001,13,0.48
bihar crop.csv,Bajra,Jehanabad,Kharif,,2000-2001,,
bihar crop.csv,Bajra,Kaimur (bhabua),Kharif,145.0,2000-2001,127,0.88
bihar crop.csv,Bajra,Katihar,Kharif,,2000-2001,,
bihar crop.csv,Bajra,Khagaria,Kharif,,2000-2001,,
bihar crop.csv,Bajra,Madhepura,Kharif,,2000-2001,,
bihar crop.csv,Bajra,Madhubani,Kharif,72.0,2000-2001,53,0.74
bihar crop.csv,Bajra,Nawada,Kharif,,2000-2001,,
bihar crop.csv,Bajra,Pashchim champaran,Kharif,135.0,2000-2001,88,0.65
bihar crop.csv,Bajra,Patna,Kharif,,2000-2001,,
bihar crop.csv,Bajra,Purbi champaran,Kharif,,2000-2001,,
bihar crop.csv,Bajra,Rohtas,Kharif,49.0,2000-2001,42,0.86
bihar crop.csv,Bajra,Saharsa,Kharif,,2000-2001,,
bihar crop.csv,Bajra,Samastipur,Kharif,,2000-2001,,
bihar crop.csv,Bajra,Saran,Kharif,28.0,2000-2001,14,0.5
bihar crop.csv,Bajra,Sheohar,Kharif,,2000-2001,,
bihar crop.csv,Bajra,Sitamarhi,Kharif,,2000-2001,,
bihar crop.csv,Bajra,Siwan,Kharif,13.0,2000-2001,6,0.46
bihar crop.csv,Bajra,Vaishali,Kharif,,2000-2001,,
bihar crop.csv,Barley,Araria,Rabi,173.0,2000-2001,203,1.17
bihar crop.csv,Barley,Arwal,Rabi,,2000-2001,,
bihar crop.csv,Barley,Aurangabad,Rabi,2101.0,2000-2001,2214,1.05
bihar crop.csv,Barley,Banka,Rabi,1083.0,2000-2001,1369,1.26
bihar crop.csv,Barley,Begusarai,Rabi,60.0,2000-2001,57,0.95
bihar crop.csv,Barley,Bhagalpur,Rabi,2480.0,2000-2001,2465,0.99
bihar crop.csv,Barley,Bhojpur,Rabi,1173.0,2000-2001,1546,1.32
bihar crop.csv,Barley,Buxar,Rabi,1580.0,2000-2001,2582,1.63
bihar crop.csv,Barley,Darbhanga,Rabi,116.0,2000-2001,136,1.17
bihar crop.csv,Barley,Gaya,Rabi,1485.0,2000-2001,1693,1.14
bihar crop.csv,Barley,Gopalganj,Rabi,167.0,2000-2001,281,1.68
bihar crop.csv,Barley,Jamui,Rabi,691.0,2000-2001,658,0.95
bihar crop.csv,Barley,Jehanabad,Rabi,703.0,2000-2001,766,1.09
bihar crop.csv,Barley,Kaimur (bhabua),Rabi,951.0,2000-2001,990,1.04
bihar crop.csv,Barley,Katihar,Rabi,152.0,2000-2001,178,1.17
bihar crop.csv,Barley,Khagaria,Rabi,126.0,2000-2001,120,0.95
bihar crop.csv,Barley,Kishanganj,Rabi,18.0,2000-2001,21,1.17
bihar crop.csv,Barley,Lakhisarai,Rabi,1181.0,2000-2001,1124,0.95
bihar crop.csv,Barley,Madhepura,Rabi,16.0,2000-2001,19,1.19
bihar crop.csv,Barley,Madhubani,Rabi,204.0,2000-2001,239,1.17
bihar crop.csv,Barley,Munger,Rabi,82.0,2000-2001,78,0.95
bihar crop.csv,Barley,Muzaffarpur,Rabi,456.0,2000-2001,757,1.66
bihar crop.csv,Barley,Nalanda,Rabi,410.0,2000-2001,524,1.28
bihar crop.csv,Barley,Nawada,Rabi,486.0,2000-2001,530,1.09
bihar crop.csv,Barley,Pashchim champaran,Rabi,939.0,2000-2001,809,0.86
bihar crop.csv,Barley,Patna,Rabi,846.0,2000-2001,1411,1.67
bihar crop.csv,Barley,Purbi champaran,Rabi,546.0,2000-2001,621,1.14
bihar crop.csv,Barley,Purnia,Rabi,14.0,2000-2001,16,1.14
