State,Crop,District,Season,Area_(Hectare),Year,Production_(Tonnes),Yield_(Ton./Ha.)
chhattisgarh crop.csv,Arhar/Tur,Balod,Kharif,,2000-2001,,
chhattisgarh crop.csv,Arhar/Tur,Baloda bazar,Kharif,,2000-2001,,
chhattisgarh crop.csv,Arhar/Tur,Balrampur,Kharif,,2000-2001,,
chhattisgarh crop.csv,Arhar/Tur,Bastar,Kharif,975.0,2000-2001,565,0.58
chhattisgarh crop.csv,Arhar/Tur,Bemetara,Kharif,,2000-2001,,
chhattisgarh crop.csv,Arhar/Tur,Bijapur,Kharif,,2000-2001,,
chhattisgarh crop.csv,Arhar/Tur,Bilaspur,Kharif,3295.0,2000-2001,1480,0.45
chhattisgarh crop.csv,Arhar/Tur,Dantewada,Kharif,968.0,2000-2001,492,0.51
chhattisgarh crop.csv,Arhar/Tur,Dhamtari,Kharif,176.0,2000-2001,51,0.29
chhattisgarh crop.csv,Arhar/Tur,Durg,Kharif,6191.0,2000-2001,1937,0.31
chhattisgarh crop.csv,Arhar/Tur,Gariyaband,Kharif,,2000-2001,,
chhattisgarh crop.csv,Arhar/Tur,Gaurella-pendra-marwahi,Kharif,,2000-2001,,
chhattisgarh crop.csv,Arhar/Tur,Janjgir-champa,Kharif,855.0,2000-2001,435,0.51
chhattisgarh crop.csv,Arhar/Tur,Jashpur,Kharif,3084.0,2000-2001,1590,0.52
chhattisgarh crop.csv,Arhar/Tur,Kabirdham,Kharif,6220.0,2000-2001,1946,0.31
chhattisgarh crop.csv,Arhar/Tur,Kanker,Kharif,447.0,2000-2001,196,0.44
chhattisgarh crop.csv,Arhar/Tur,Khairgarh chhuikhadan gandai,Kharif,,2000-2001,,
chhattisgarh crop.csv,Arhar/Tur,Kondagaon,Kharif,,2000-2001,,
chhattisgarh crop.csv,Arhar/Tur,Korba,Kharif,696.0,2000-2001,307,0.44
chhattisgarh crop.csv,Arhar/Tur,Korea,Kharif,2731.0,2000-2001,1385,0.51
chhattisgarh crop.csv,Arhar/Tur,Mahasamund,Kharif,888.0,2000-2001,307,0.35
chhattisgarh crop.csv,Arhar/Tur,Manendragarh chirimiri bharatpur,Kharif,,2000-2001,,
chhattisgarh crop.csv,Arhar/Tur,Mohla manpur ambagarh chouki,Kharif,,2000-2001,,
chhattisgarh crop.csv,Arhar/Tur,Mungeli,Kharif,,2000-2001,,
chhattisgarh crop.csv,Arhar/Tur,Narayanpur,Kharif,,2000-2001,,
chhattisgarh crop.csv,Arhar/Tur,Raigarh,Kharif,1254.0,2000-2001,496,0.4
chhattisgarh crop.csv,Arhar/Tur,Raipur,Kharif,2615.0,2000-2001,705,0.27
chhattisgarh crop.csv,Arhar/Tur,Rajnandgaon,Kharif,5625.0,2000-2001,2288,0.41
chhattisgarh crop.csv,Arhar/Tur,Sakti,Kharif,,2000-2001,,
chhattisgarh crop.csv,Arhar/Tur,Sarangarh bilaigarh,Kharif,,2000-2001,,
chhattisgarh crop.csv,Arhar/Tur,Sukma,Kharif,,2000-2001,,
chhattisgarh crop.csv,Arhar/Tur,Surajpur,Kharif,,2000-2001,,
chhattisgarh crop.csv,Arhar/Tur,Surguja,Kharif,13363.0,2000-2001,7005,0.52
chhattisgarh crop.csv,Bajra,Baloda bazar,Kharif,,2000-2001,,
chhattisgarh crop.csv,Bajra,Balrampur,Kharif,,2000-2001,,
chhattisgarh crop.csv,Bajra,Bastar,Kharif,,2000-2001,,
chhattisgarh crop.csv,Bajra,Bemetara,Kharif,,2000-2001,,
chhattisgarh crop.csv,Bajra,Bijapur,Kharif,,2000-2001,,
chhattisgarh crop.csv,Bajra,Bilaspur,Kharif,,2000-2001,,
chhattisgarh crop.csv,Bajra,Dantewada,Kharif,,2000-2001,,
chhattisgarh crop.csv,Bajra,Durg,Kharif,17.0,2000-2001,6,0.35
chhattisgarh crop.csv,Bajra,Gariyaband,Kharif,,2000-2001,,
chhattisgarh crop.csv,Bajra,Gaurella-pendra-marwahi,Kharif,,2000-2001,,
chhattisgarh crop.csv,Bajra,Jashpur,Kharif,22.0,2000-2001,8,0.36
chhattisgarh crop.csv,Bajra,Kabirdham,Kharif,9.0,2000-2001,7,0.78
chhattisgarh crop.csv,Bajra,Korba,Kharif,7.0,2000-2001,3,0.43
chhattisgarh crop.csv,Bajra,Korea,Kharif,,2000-2001,,
chhattisgarh crop.csv,Bajra,Mahasamund,Kharif,,2000-2001,,
chhattisgarh crop.csv,Bajra,Manendragarh chirimiri bharatpur,Kharif,,2000-2001,,
chhattisgarh crop.csv,Bajra,Mungeli,Kharif,,2000-2001,,
chhattisgarh crop.csv,Bajra,Raigarh,Kharif,20.0,2000-2001,5,0.25
chhattisgarh crop.csv,Bajra,Raipur,Kharif,,2000-2001,,
chhattisgarh crop.csv,Bajra,Rajnandgaon,Kharif,3.0,2000-2001,2,0.67
