State,Crop,District,Season,Area_(Hectare),Year,Production_(Tonnes),Yield_(Ton./Ha.)
dadra&nagar crop.csv,Arhar/Tur,Dadra and Nagar Haveli,Kharif,1466.0,2000-2001,1078,0.74
dadra&nagar crop.csv,Banana,Dadra and Nagar Haveli,Kharif,15.0,2000-2001,220,14.67
dadra&nagar crop.csv,Coconut,Dadra and Nagar Haveli,Kharif,180.0,2000-2001,80100,445
dadra&nagar crop.csv,Cowpea(Lobia),Dadra and Nagar Haveli,Kharif,,2000-2001,,
dadra&nagar crop.csv,Gram,Dadra and Nagar Haveli,Rabi,,2000-2001,,
dadra&nagar crop.csv,Groundnut,Dadra and Nagar Haveli,Kharif,60.0,2000-2001,30,0.5
dadra&nagar crop.csv,Jowar,Dadra and Nagar Haveli,Kharif,529.0,2000-2001,447,0.84
dadra&nagar crop.csv,Maize,Dadra and Nagar Haveli,Kharif,,2000-2001,,
dadra&nagar crop.csv,Niger seed,Dadra and Nagar Haveli,Kharif,105.0,2000-2001,105,1
dadra&nagar crop.csv,Other Rabi pulses,Dadra and Nagar Haveli,Rabi,3940.0,2000-2001,3940,1
dadra&nagar crop.csv,Other Kharif pulses,Dadra and Nagar Haveli,Kharif,1378.0,2000-2001,1013,0.74
dadra&nagar crop.csv,Ragi,Dadra and Nagar Haveli,Kharif,1405.0,2000-2001,1909,1.36
dadra&nagar crop.csv,Rapeseed &Mustard,Dadra and Nagar Haveli,Kharif,,2000-2001,,
dadra&nagar crop.csv,Rice,Dadra and Nagar Haveli,Kharif,13668.0,2000-2001,25299,1.85
dadra&nagar crop.csv,Sannhamp,Dadra and Nagar Haveli,Kharif,29.0,2000-2001,17,0.59
dadra&nagar crop.csv,Sesamum,Dadra and Nagar Haveli,Kharif,,2000-2001,,
dadra&nagar crop.csv,Small millets,Dadra and Nagar Haveli,Kharif,265.0,2000-2001,162,0.61
dadra&nagar crop.csv,Sugarcane,Dadra and Nagar Haveli,Rabi,,2000-2001,,
dadra&nagar crop.csv,Urad,Dadra and Nagar Haveli,Kharif,,2000-2001,,
dadra&nagar crop.csv,Wheat,Dadra and Nagar Haveli,Rabi,,2000-2001,,
dadra&nagar crop.csv,Arhar/Tur,Dadra and Nagar Haveli,Kharif,1470.0,2001-2002,1427,0.97
dadra&nagar crop.csv,Banana,Dadra and Nagar Haveli,Kharif,15.0,2001-2002,300,20
dadra&nagar crop.csv,Coconut,Dadra and Nagar Haveli,Kharif,180.0,2001-2002,45000,250
dadra&nagar crop.csv,Cowpea(Lobia),Dadra and Nagar Haveli,Kharif,,2001-2002,,
dadra&nagar crop.csv,Gram,Dadra and Nagar Haveli,Rabi,,2001-2002,,
dadra&nagar crop.csv,Groundnut,Dadra and Nagar Haveli,Kharif,,2001-2002,,
dadra&nagar crop.csv,Jowar,Dadra and Nagar Haveli,Kharif,501.0,2001-2002,558,1.11
dadra&nagar crop.csv,Maize,Dadra and Nagar Haveli,Kharif,,2001-2002,,
dadra&nagar crop.csv,Niger seed,Dadra and Nagar Haveli,Kharif,90.0,2001-2002,273,3.03
dadra&nagar crop.csv,Other Rabi pulses,Dadra and Nagar Haveli,Rabi,4800.0,2001-2002,3940,0.82
dadra&nagar crop.csv,Other Kharif pulses,Dadra and Nagar Haveli,Kharif,1888.0,2001-2002,1833,0.97
dadra&nagar crop.csv,Ragi,Dadra and Nagar Haveli,Kharif,1394.0,2001-2002,1538,1.1
dadra&nagar crop.csv,Rapeseed &Mustard,Dadra and Nagar Haveli,Kharif,,2001-2002,,
dadra&nagar crop.csv,Rice,Dadra and Nagar Haveli,Kharif,13493.0,2001-2002,30197,2.24
dadra&nagar crop.csv,Sannhamp,Dadra and Nagar Haveli,Kharif,10.0,2001-2002,6,0.6
dadra&nagar crop.csv,Sesamum,Dadra and Nagar Haveli,Kharif,,2001-2002,,
dadra&nagar crop.csv,Small millets,Dadra and Nagar Haveli,Kharif,185.0,2001-2002,215,1.16
dadra&nagar crop.csv,Sugarcane,Dadra and Nagar Haveli,Rabi,,2001-2002,,
