State,Crop,District,Season,Area_(Hectare),Year,Production_(Tonnes),Yield_(Ton./Ha.)
gujarat crop.csv,Arhar/Tur,Ahmadabad,Kharif,4600.0,2000-2001,1500,0.33
gujarat crop.csv,Arhar/Tur,Amreli,Kharif,1000.0,2000-2001,400,0.4
gujarat crop.csv,Arhar/Tur,Anand,Kharif,,2000-2001,,
gujarat crop.csv,Arhar/Tur,Aravalli,Kharif,,2000-2001,,
gujarat crop.csv,Arhar/Tur,Banas kantha,Kharif,4400.0,2000-2001,1400,0.32
gujarat crop.csv,Arhar/Tur,Bharuch,Kharif,93000.0,2000-2001,27400,0.29
gujarat crop.csv,Arhar/Tur,Bhavnagar,Kharif,2000.0,2000-2001,700,0.35
gujarat crop.csv,Arhar/Tur,Botad,Kharif,,2000-2001,,
gujarat crop.csv,Arhar/Tur,Chhotaudepur,Kharif,,2000-2001,,
gujarat crop.csv,Arhar/Tur,Dang,Kharif,3200.0,2000-2001,1100,0.34
gujarat crop.csv,Arhar/Tur,Devbhumi dwarka,Kharif,,2000-2001,,
gujarat crop.csv,Arhar/Tur,Dohad,Kharif,,2000-2001,,
gujarat crop.csv,Arhar/Tur,Gandhinagar,Kharif,400.0,2000-2001,100,0.25
gujarat crop.csv,Arhar/Tur,Gir somnath,Kharif,,2000-2001,,
gujarat crop.csv,Arhar/Tur,Jamnagar,Kharif,6100.0,2000-2001,2100,0.34
gujarat crop.csv,Arhar/Tur,Junagadh,Kharif,5200.0,2000-2001,1700,0.33
gujarat crop.csv,Arhar/Tur,Kachchh,Kharif,,2000-2001,,
gujarat crop.csv,Arhar/Tur,Kheda,Kharif,10700.0,2000-2001,4000,0.37
gujarat crop.csv,Arhar/Tur,Mahesana,Kharif,2000.0,2000-2001,700,0.35
gujarat crop.csv,Arhar/Tur,Mahisagar,Kharif,,2000-2001,,
gujarat crop.csv,Arhar/Tur,Morbi,Kharif,,2000-2001,,
gujarat crop.csv,Arhar/Tur,Narmada,Kharif,,2000-2001,,
gujarat crop.csv,Arhar/Tur,Navsari,Kharif,,2000-2001,,
gujarat crop.csv,Arhar/Tur,Panch mahals,Kharif,25200.0,2000-2001,11500,0.46
gujarat crop.csv,Arhar/Tur,Patan,Kharif,,2000-2001,,
gujarat crop.csv,Arhar/Tur,Porbandar,Kharif,,2000-2001,,
gujarat crop.csv,Arhar/Tur,Rajkot,Kharif,1700.0,2000-2001,600,0.35
gujarat crop.csv,Arhar/Tur,Sabar kantha,Kharif,40900.0,2000-2001,7700,0.19
gujarat crop.csv,Arhar/Tur,Surat,Kharif,19300.0,2000-2001,11200,0.58
gujarat crop.csv,Arhar/Tur,Surendranagar,Kharif,100.0,2000-2001,100,1
gujarat crop.csv,Arhar/Tur,Tapi,Kharif,,2000-2001,,
gujarat crop.csv,Arhar/Tur,Vadodara,Kharif,90600.0,2000-2001,32500,0.36
gujarat crop.csv,Arhar/Tur,Valsad,Kharif,7500.0,2000-2001,2500,0.33
gujarat crop.csv,Bajra,Ahmadabad,Kharif,36300.0,2000-2001,28400,0.78
gujarat crop.csv,Bajra,Amreli,Kharif,41400.0,2000-2001,30000,0.72
gujarat crop.csv,Bajra,Anand,Kharif,,2000-2001,,
gujarat crop.csv,Bajra,Aravalli,Kharif,,2000-2001,,
gujarat crop.csv,Bajra,Banas kantha,Kharif,199000.0,2000-2001,53600,0.27
gujarat crop.csv,Bajra,Bharuch,Kharif,3600.0,2000-2001,2300,0.64
gujarat crop.csv,Bajra,Bhavnagar,Kharif,96200.0,2000-2001,59500,0.62
gujarat crop.csv,Bajra,Botad,Kharif,,2000-2001,,
gujarat crop.csv,Bajra,Chhotaudepur,Kharif,,2000-2001,,
gujarat crop.csv,Bajra,Devbhumi dwarka,Kharif,,2000-2001,,
gujarat crop.csv,Bajra,Dohad,Kharif,,2000-2001,,
gujarat crop.csv,Bajra,Gandhinagar,Kharif,3500.0,2000-2001,1900,0.54
gujarat crop.csv,Bajra,Gir somnath,Kharif,,2000-2001,,
gujarat crop.csv,Bajra,Jamnagar,Kharif,39800.0,2000-2001,29500,0.74
gujarat crop.csv,Bajra,Junagadh,Kharif,28400.0,2000-2001,48100,1.69
gujarat crop.csv,Bajra,Kachchh,Kharif,99000.0,2000-2001,44000,0.44
gujarat crop.csv,Bajra,Kheda,Kharif,80300.0,2000-2001,100700,1.25
gujarat crop.csv,Bajra,Mahesana,Kharif,94700.0,2000-2001,59900,0.63
gujarat crop.csv,Bajra,Mahisagar,Kharif,,2000-2001,,
gujarat crop.csv,Bajra,Morbi,Kharif,,2000-2001,,
gujarat crop.csv,Bajra,Narmada,Kharif,,2000-2001,,
gujarat crop.csv,Bajra,Navsari,Summer,,2000-2001,,
gujarat crop.csv,Bajra,Panch mahals,Kharif,4300.0,2000-2001,3500,0.81
gujarat crop.csv,Bajra,Patan,Kharif,,2000-2001,,
gujarat crop.csv,Bajra,Porbandar,Kharif,,2000-2001,,
gujarat crop.csv,Bajra,Rajkot,Kharif,41600.0,2000-2001,23900,0.57
gujarat crop.csv,Bajra,Sabar kantha,Kharif,4100.0,2000-2001,2600,0.63
gujarat crop.csv,Bajra,Surat,Kharif,300.0,2000-2001,200,0.67
gujarat crop.csv,Bajra,Surendranagar,Kharif,66600.0,2000-2001,55700,0.84
gujarat crop.csv,Bajra,Tapi,Kharif,,2000-2001,,
gujarat crop.csv,Bajra,Vadodara,Kharif,8100.0,2000-2001,7100,0.88
gujarat crop.csv,Bajra,Valsad,Summer,,2000-2001,,
gujarat crop.csv,Castor seed,Ahmadabad,Kharif,30200.0,2000-2001,31400,1.04
gujarat crop.csv,Castor seed,Amreli,Kharif,5000.0,2000-2001,7000,1.4
gujarat crop.csv,Castor seed,Anand,Kharif,,2000-2001,,
gujarat crop.csv,Castor seed,Aravalli,Kharif,,2000-2001,,
gujarat crop.csv,Castor seed,Banas kantha,Kharif,126100.0,2000-2001,244200,1.94
gujarat crop.csv,Castor seed,Bharuch,Kharif,2000.0,2000-2001,2700,1.35
gujarat crop.csv,Castor seed,Bhavnagar,Kharif,3100.0,2000-2001,4300,1.39
gujarat crop.csv,Castor seed,Botad,Kharif,,2000-2001,,
gujarat crop.csv,Castor seed,Chhotaudepur,Kharif,,2000-2001,,
gujarat crop.csv,Castor seed,Devbhumi dwarka,Kharif,,2000-2001,,
gujarat crop.csv,Castor seed,Dohad,Kharif,,2000-2001,,
gujarat crop.csv,Castor seed,Gandhinagar,Kharif,8200.0,2000-2001,11300,1.38
gujarat crop.csv,Castor seed,Gir somnath,Kharif,,2000-2001,,
gujarat crop.csv,Castor seed,Jamnagar,Kharif,16400.0,2000-2001,20100,1.23
gujarat crop.csv,Castor seed,Junagadh,Kharif,13600.0,2000-2001,19000,1.4
gujarat crop.csv,Castor seed,Kachchh,Kharif,61800.0,2000-2001,107800,1.74
gujarat crop.csv,Castor seed,Kheda,Kharif,13700.0,2000-2001,8400,0.61
gujarat crop.csv,Castor seed,Mahesana,Kharif,82000.0,2000-2001,94800,1.16
gujarat crop.csv,Castor seed,Mahisagar,Kharif,,2000-2001,,
gujarat crop.csv,Castor seed,Morbi,Kharif,,2000-2001,,
gujarat crop.csv,Castor seed,Narmada,Kharif,,2000-2001,,
gujarat crop.csv,Castor seed,Navsari,Kharif,,2000-2001,,
gujarat crop.csv,Castor seed,Panch mahals,Kharif,2400.0,2000-2001,3400,1.42
gujarat crop.csv,Castor seed,Patan,Kharif,,2000-2001,,
gujarat crop.csv,Castor seed,Porbandar,Kharif,,2000-2001,,
gujarat crop.csv,Castor seed,Rajkot,Kharif,17000.0,2000-2001,13000,0.76
gujarat crop.csv,Castor seed,Sabar kantha,Kharif,48500.0,2000-2001,41900,0.86
gujarat crop.csv,Castor seed,Surat,Kharif,300.0,2000-2001,400,1.33
gujarat crop.csv,Castor seed,Surendranagar,Kharif,13000.0,2000-2001,18000,1.38
gujarat crop.csv,Castor seed,Tapi,Kharif,,2000-2001,,
gujarat crop.csv,Castor seed,Vadodara,Kharif,15300.0,2000-2001,11100,0.73
gujarat crop.csv,Cotton(lint),Ahmadabad,Kharif,168000.0,2000-2001,92800,0.55
gujarat crop.csv,Cotton(lint),Amreli,Kharif,73100.0,2000-2001,58700,0.8
gujarat crop.csv,Cotton(lint),Anand,Kharif,,2000-2001,,
gujarat crop.csv,Cotton(lint),Aravalli,Kharif,,2000-2001,,
gujarat crop.csv,Cotton(lint),Banas kantha,Kharif,22800.0,2000-2001,15500,0.68
gujarat crop.csv,Cotton(lint),Bharuch,Kharif,157400.0,2000-2001,148000,0.94
gujarat crop.csv,Cotton(lint),Bhavnagar,Kharif,187000.0,2000-2001,86100,0.46
gujarat crop.csv,Cotton(lint),Botad,Kharif,,2000-2001,,
