State,Crop,District,Season,Area_(Hectare),Year,Production_(Tonnes),Yield_(Ton./Ha.)
haryana crop.csv,Arhar/Tur,Ambala,Kharif,257.0,2000-2001,300,1.17
haryana crop.csv,Arhar/Tur,Bhiwani,Kharif,491.0,2000-2001,200,0.41
haryana crop.csv,Arhar/Tur,Charki dadri,Kharif,,2000-2001,,
haryana crop.csv,Arhar/Tur,Faridabad,Kharif,3287.0,2000-2001,2500,0.76
haryana crop.csv,Arhar/Tur,Fatehabad,Kharif,27.0,2000-2001,,0
haryana crop.csv,Arhar/Tur,Gurgaon,Kharif,768.0,2000-2001,300,0.39
haryana crop.csv,Arhar/Tur,Hisar,Kharif,69.0,2000-2001,100,1.45
haryana crop.csv,Arhar/Tur,Jhajjar,Kharif,2680.0,2000-2001,1700,0.63
haryana crop.csv,Arhar/Tur,Jind,Kharif,41.0,2000-2001,100,2.44
haryana crop.csv,Arhar/Tur,Kaithal,Kharif,30.0,2000-2001,0,0
haryana crop.csv,Arhar/Tur,Karnal,Kharif,378.0,2000-2001,400,1.06
haryana crop.csv,Arhar/Tur,Kurukshetra,Kharif,11.0,2000-2001,,0
haryana crop.csv,Arhar/Tur,Mahendragarh,Kharif,94.0,2000-2001,100,1.06
haryana crop.csv,Arhar/Tur,Mewat,Kharif,,2000-2001,,
haryana crop.csv,Arhar/Tur,Palwal,Kharif,,2000-2001,,
haryana crop.csv,Arhar/Tur,Panchkula,Kharif,212.0,2000-2001,200,0.94
haryana crop.csv,Arhar/Tur,Panipat,Kharif,464.0,2000-2001,500,1.08
haryana crop.csv,Arhar/Tur,Rewari,Kharif,90.0,2000-2001,0,0
haryana crop.csv,Arhar/Tur,Rohtak,Kharif,3775.0,2000-2001,2400,0.64
haryana crop.csv,Arhar/Tur,Sirsa,Kharif,,2000-2001,,
haryana crop.csv,Arhar/Tur,Sonipat,Kharif,1801.0,2000-2001,2600,1.44
haryana crop.csv,Arhar/Tur,Yamunanagar,Kharif,7.0,2000-2001,0,0
haryana crop.csv,Bajra,Ambala,Kharif,473.0,2000-2001,0,0
haryana crop.csv,Bajra,Bhiwani,Kharif,200556.0,2000-2001,156000,0.78
haryana crop.csv,Bajra,Charki dadri,Kharif,,2000-2001,,
haryana crop.csv,Bajra,Faridabad,Kharif,14162.0,2000-2001,19000,1.34
haryana crop.csv,Bajra,Fatehabad,Kharif,10273.0,2000-2001,14000,1.36
haryana crop.csv,Bajra,Gurgaon,Kharif,64735.0,2000-2001,78000,1.2
haryana crop.csv,Bajra,Hisar,Kharif,57995.0,2000-2001,74000,1.28
haryana crop.csv,Bajra,Jhajjar,Kharif,28354.0,2000-2001,31000,1.09
haryana crop.csv,Bajra,Jind,Kharif,40297.0,2000-2001,64000,1.59
haryana crop.csv,Bajra,Kaithal,Kharif,5399.0,2000-2001,5000,0.93
haryana crop.csv,Bajra,Karnal,Kharif,2828.0,2000-2001,3000,1.06
haryana crop.csv,Bajra,Kurukshetra,Kharif,141.0,2000-2001,0,0
haryana crop.csv,Bajra,Mahendragarh,Kharif,98498.0,2000-2001,110000,1.12
haryana crop.csv,Bajra,Mewat,Kharif,,2000-2001,,
haryana crop.csv,Bajra,Palwal,Kharif,,2000-2001,,
haryana crop.csv,Bajra,Panchkula,Kharif,228.0,2000-2001,0,0
haryana crop.csv,Bajra,Panipat,Kharif,450.0,2000-2001,0,0
haryana crop.csv,Bajra,Rewari,Kharif,54421.0,2000-2001,59000,1.08
haryana crop.csv,Bajra,Rohtak,Kharif,17439.0,2000-2001,27000,1.55
haryana crop.csv,Bajra,Sirsa,Kharif,2947.0,2000-2001,3000,1.02
haryana crop.csv,Bajra,Sonipat,Kharif,7627.0,2000-2001,12000,1.57
haryana crop.csv,Bajra,Yamunanagar,Kharif,1498.0,2000-2001,1000,0.67
haryana crop.csv,Barley,Ambala,Rabi,77.0,2000-2001,0,0
haryana crop.csv,Barley,Bhiwani,Rabi,3811.0,2000-2001,9000,2.36
haryana crop.csv,Barley,Charki dadri,Rabi,,2000-2001,,
haryana crop.csv,Barley,Faridabad,Rabi,1913.0,2000-2001,6000,3.14
haryana crop.csv,Barley,Fatehabad,Rabi,4777.0,2000-2001,16000,3.35
haryana crop.csv,Barley,Gurgaon,Rabi,3966.0,2000-2001,10000,2.52
haryana crop.csv,Barley,Hisar,Rabi,5871.0,2000-2001,19000,3.24
haryana crop.csv,Barley,Jhajjar,Rabi,4234.0,2000-2001,12000,2.83
haryana crop.csv,Barley,Jind,Rabi,1624.0,2000-2001,5000,3.08
haryana crop.csv,Barley,Kaithal,Rabi,108.0,2000-2001,0,0
haryana crop.csv,Barley,Karnal,Rabi,311.0,2000-2001,0,0
haryana crop.csv,Barley,Kurukshetra,Rabi,4.0,2000-2001,0,0
haryana crop.csv,Barley,Mahendragarh,Rabi,1373.0,2000-2001,3000,2.18
haryana crop.csv,Barley,Mewat,Rabi,,2000-2001,,
haryana crop.csv,Barley,Palwal,Rabi,,2000-2001,,
haryana crop.csv,Barley,Panchkula,Rabi,57.0,2000-2001,0,0
haryana crop.csv,Barley,Panipat,Rabi,142.0,2000-2001,0,0
haryana crop.csv,Barley,Rewari,Rabi,4443.0,2000-2001,15000,3.38
haryana crop.csv,Barley,Rohtak,Rabi,1955.0,2000-2001,5000,2.56
haryana crop.csv,Barley,Sirsa,Rabi,8953.0,2000-2001,18000,2.01
haryana crop.csv,Barley,Sonipat,Rabi,439.0,2000-2001,0,0
haryana crop.csv,Barley,Yamunanagar,Rabi,58.0,2000-2001,0,0
haryana crop.csv,Castor seed,Bhiwani,Kharif,,2000-2001,,
haryana crop.csv,Castor seed,Charki dadri,Kharif,,2000-2001,,
haryana crop.csv,Castor seed,Fatehabad,Kharif,,2000-2001,,
haryana crop.csv,Castor seed,Gurgaon,Kharif,,2000-2001,,
haryana crop.csv,Castor seed,Hisar,Kharif,,2000-2001,,
haryana crop.csv,Castor seed,Jhajjar,Kharif,,2000-2001,,
haryana crop.csv,Castor seed,Jind,Kharif,,2000-2001,,
haryana crop.csv,Castor seed,Mahendragarh,Kharif,,2000-2001,,
haryana crop.csv,Castor seed,Mewat,Kharif,,2000-2001,,
haryana crop.csv,Castor seed,Rewari,Kharif,,2000-2001,,
haryana crop.csv,Castor seed,Rohtak,Kharif,,2000-2001,,
haryana crop.csv,Castor seed,Sirsa,Kharif,,2000-2001,,
haryana crop.csv,Castor seed,Yamunanagar,Kharif,,2000-2001,,
haryana crop.csv,Cotton(lint),Ambala,Kharif,25.0,2000-2001,0,0
haryana crop.csv,Cotton(lint),Bhiwani,Kharif,47478.0,2000-2001,109000,2.3
haryana crop.csv,Cotton(lint),Charki dadri,Kharif,,2000-2001,,
haryana crop.csv,Cotton(lint),Faridabad,Kharif,87.0,2000-2001,0,0
haryana crop.csv,Cotton(lint),Fatehabad,Kharif,107704.0,2000-2001,289000,2.68
haryana crop.csv,Cotton(lint),Gurgaon,Kharif,71.0,2000-2001,0,0
haryana crop.csv,Cotton(lint),Hisar,Kharif,141906.0,2000-2001,349000,2.46
haryana crop.csv,Cotton(lint),Jhajjar,Kharif,1577.0,2000-2001,2000,1.27
haryana crop.csv,Cotton(lint),Jind,Kharif,38866.0,2000-2001,77000,1.98
haryana crop.csv,Cotton(lint),Kaithal,Kharif,783.0,2000-2001,2000,2.55
haryana crop.csv,Cotton(lint),Karnal,Kharif,59.0,2000-2001,0,0
haryana crop.csv,Cotton(lint),Kurukshetra,Kharif,2.0,2000-2001,0,0
haryana crop.csv,Cotton(lint),Mahendragarh,Kharif,1493.0,2000-2001,2000,1.34
haryana crop.csv,Cotton(lint),Mewat,Kharif,,2000-2001,,
haryana crop.csv,Cotton(lint),Palwal,Kharif,,2000-2001,,
haryana crop.csv,Cotton(lint),Panchkula,Kharif,19.0,2000-2001,0,0
haryana crop.csv,Cotton(lint),Panipat,Kharif,56.0,2000-2001,0,0
haryana crop.csv,Cotton(lint),Rewari,Kharif,1628.0,2000-2001,5000,3.07
haryana crop.csv,Cotton(lint),Rohtak,Kharif,12825.0,2000-2001,15000,1.17
haryana crop.csv,Cotton(lint),Sirsa,Kharif,199970.0,2000-2001,164700,0.82
haryana crop.csv,Cotton(lint),Sonipat,Kharif,825.0,2000-2001,2000,2.42
haryana crop.csv,Cotton(lint),Yamunanagar,Kharif,11.0,2000-2001,0,0
haryana crop.csv,Cowpea(Lobia),Hisar,Kharif,,2000-2001,,
haryana crop.csv,Ginger,Ambala,Kharif,,2000-2001,,
haryana crop.csv,Ginger,Hisar,Kharif,,2000-2001,,
haryana crop.csv,Ginger,Jind,Kharif,,2000-2001,,
haryana crop.csv,Ginger,Kaithal,Kharif,,2000-2001,,
haryana crop.csv,Ginger,Panchkula,Kharif,63.0,2000-2001,,0
haryana crop.csv,Ginger,Yamunanagar,Kharif,2.0,2000-2001,,0
haryana crop.csv,Gram,Ambala,Rabi,78.0,2000-2001,0,0
haryana crop.csv,Gram,Bhiwani,Rabi,93015.0,2000-2001,52000,0.56
haryana crop.csv,Gram,Charki dadri,Rabi,,2000-2001,,
haryana crop.csv,Gram,Faridabad,Rabi,5.0,2000-2001,0,0
haryana crop.csv,Gram,Fatehabad,Rabi,1685.0,2000-2001,2000,1.19
