State,Crop,District,Season,Area_(Hectare),Year,Production_(Tonnes),Yield_(Ton./Ha.)
himachal pradesh crop.csv,Arhar/Tur,Bilaspur,Kharif,3.0,2000-2001,1,0.33
himachal pradesh crop.csv,Arhar/Tur,Chamba,Kharif,,2000-2001,,
himachal pradesh crop.csv,Arhar/Tur,Kangra,Kharif,1.0,2000-2001,1,1
himachal pradesh crop.csv,Arhar/Tur,Kullu,Kharif,98.0,2000-2001,15,0.15
himachal pradesh crop.csv,Arhar/Tur,Mandi,Kharif,28.0,2000-2001,4,0.14
himachal pradesh crop.csv,Arhar/Tur,Shimla,Kharif,66.0,2000-2001,10,0.15
himachal pradesh crop.csv,Arhar/Tur,Sirmaur,Kharif,,2000-2001,,
himachal pradesh crop.csv,Arhar/Tur,Solan,Kharif,66.0,2000-2001,11,0.17
himachal pradesh crop.csv,Arhar/Tur,Una,Kharif,10.0,2000-2001,2,0.2
himachal pradesh crop.csv,Bajra,Bilaspur,Kharif,,2000-2001,,
himachal pradesh crop.csv,Bajra,Chamba,Kharif,4.0,2000-2001,2,0.5
himachal pradesh crop.csv,Bajra,Hamirpur,Kharif,4.0,2000-2001,2,0.5
himachal pradesh crop.csv,Bajra,Kangra,Kharif,73.0,2000-2001,23,0.32
himachal pradesh crop.csv,Bajra,Mandi,Kharif,23.0,2000-2001,8,0.35
himachal pradesh crop.csv,Bajra,Shimla,Kharif,6.0,2000-2001,3,0.5
himachal pradesh crop.csv,Bajra,Sirmaur,Kharif,5.0,2000-2001,2,0.4
himachal pradesh crop.csv,Bajra,Solan,Kharif,1.0,2000-2001,1,1
himachal pradesh crop.csv,Bajra,Una,Kharif,,2000-2001,,
himachal pradesh crop.csv,Barley,Bilaspur,Rabi,50.0,2000-2001,42,0.84
himachal pradesh crop.csv,Barley,Chamba,Rabi,4027.0,2000-2001,3410,0.85
himachal pradesh crop.csv,Barley,Hamirpur,Rabi,103.0,2000-2001,86,0.83
himachal pradesh crop.csv,Barley,Kangra,Rabi,2697.0,2000-2001,1141,0.42
himachal pradesh crop.csv,Barley,Kinnaur,Rabi,1475.0,2000-2001,2011,1.36
himachal pradesh crop.csv,Barley,Kullu,Rabi,4456.0,2000-2001,5814,1.3
himachal pradesh crop.csv,Barley,Lahul and spiti,Rabi,616.0,2000-2001,514,0.83
himachal pradesh crop.csv,Barley,Mandi,Rabi,3957.0,2000-2001,3772,0.95
himachal pradesh crop.csv,Barley,Shimla,Rabi,4148.0,2000-2001,2517,0.61
himachal pradesh crop.csv,Barley,Sirmaur,Rabi,2548.0,2000-2001,1387,0.54
himachal pradesh crop.csv,Barley,Solan,Rabi,1561.0,2000-2001,719,0.46
himachal pradesh crop.csv,Barley,Una,Rabi,1.0,2000-2001,1,1
himachal pradesh crop.csv,Coriander,Bilaspur,Rabi,,2000-2001,,
himachal pradesh crop.csv,Coriander,Chamba,Rabi,,2000-2001,,
himachal pradesh crop.csv,Coriander,Hamirpur,Rabi,,2000-2001,,
himachal pradesh crop.csv,Coriander,Kangra,Rabi,,2000-2001,,
himachal pradesh crop.csv,Coriander,Kullu,Rabi,,2000-2001,,
himachal pradesh crop.csv,Coriander,Mandi,Rabi,,2000-2001,,
himachal pradesh crop.csv,Coriander,Shimla,Rabi,,2000-2001,,
himachal pradesh crop.csv,Coriander,Sirmaur,Rabi,,2000-2001,,
himachal pradesh crop.csv,Coriander,Solan,Rabi,,2000-2001,,
himachal pradesh crop.csv,Coriander,Una,Rabi,,2000-2001,,
himachal pradesh crop.csv,Cotton(lint),Bilaspur,Kharif,,2000-2001,,
himachal pradesh crop.csv,Cotton(lint),Hamirpur,Kharif,,2000-2001,,
himachal pradesh crop.csv,Cotton(lint),Kangra,Kharif,,2000-2001,,
himachal pradesh crop.csv,Cotton(lint),Mandi,Kharif,,2000-2001,,
himachal pradesh crop.csv,Cotton(lint),Sirmaur,Kharif,,2000-2001,,
himachal pradesh crop.csv,Cotton(lint),Solan,Kharif,,2000-2001,,
himachal pradesh crop.csv,Dry chillies,Bilaspur,Kharif,,2000-2001,,
himachal pradesh crop.csv,Dry chillies,Chamba,Kharif,,2000-2001,,
himachal pradesh crop.csv,Dry chillies,Hamirpur,Kharif,,2000-2001,,
himachal pradesh crop.csv,Dry chillies,Kangra,Kharif,,2000-2001,,
himachal pradesh crop.csv,Dry chillies,Kullu,Kharif,,2000-2001,,
himachal pradesh crop.csv,Dry chillies,Lahul and spiti,Kharif,,2000-2001,,
himachal pradesh crop.csv,Dry chillies,Mandi,Kharif,,2000-2001,,
himachal pradesh crop.csv,Dry chillies,Shimla,Kharif,,2000-2001,,
himachal pradesh crop.csv,Dry chillies,Sirmaur,Kharif,,2000-2001,,
himachal pradesh crop.csv,Dry chillies,Solan,Kharif,,2000-2001,,
himachal pradesh crop.csv,Dry chillies,Una,Kharif,,2000-2001,,
himachal pradesh crop.csv,Garlic,Bilaspur,Rabi,,2000-2001,,
himachal pradesh crop.csv,Garlic,Chamba,Rabi,,2000-2001,,
himachal pradesh crop.csv,Garlic,Hamirpur,Rabi,,2000-2001,,
himachal pradesh crop.csv,Garlic,Kangra,Rabi,,2000-2001,,
himachal pradesh crop.csv,Garlic,Kullu,Rabi,,2000-2001,,
himachal pradesh crop.csv,Garlic,Mandi,Rabi,,2000-2001,,
himachal pradesh crop.csv,Garlic,Shimla,Kharif,,2000-2001,,
himachal pradesh crop.csv,Garlic,Sirmaur,Rabi,,2000-2001,,
himachal pradesh crop.csv,Garlic,Solan,Rabi,,2000-2001,,
himachal pradesh crop.csv,Garlic,Una,Rabi,,2000-2001,,
himachal pradesh crop.csv,Ginger,Bilaspur,Kharif,,2000-2001,,
himachal pradesh crop.csv,Ginger,Chamba,Kharif,,2000-2001,,
himachal pradesh crop.csv,Ginger,Hamirpur,Kharif,,2000-2001,,
himachal pradesh crop.csv,Ginger,Kangra,Kharif,,2000-2001,,
himachal pradesh crop.csv,Ginger,Kullu,Kharif,,2000-2001,,
himachal pradesh crop.csv,Ginger,Lahul and spiti,Kharif,,2000-2001,,
himachal pradesh crop.csv,Ginger,Mandi,Kharif,,2000-2001,,
himachal pradesh crop.csv,Ginger,Shimla,Kharif,,2000-2001,,
himachal pradesh crop.csv,Ginger,Sirmaur,Kharif,,2000-2001,,
himachal pradesh crop.csv,Ginger,Solan,Kharif,,2000-2001,,
himachal pradesh crop.csv,Ginger,Una,Kharif,,2000-2001,,
himachal pradesh crop.csv,Gram,Bilaspur,Rabi,163.0,2000-2001,77,0.47
himachal pradesh crop.csv,Gram,Chamba,Rabi,,2000-2001,,
himachal pradesh crop.csv,Gram,Hamirpur,Rabi,12.0,2000-2001,2,0.17
himachal pradesh crop.csv,Gram,Kangra,Rabi,410.0,2000-2001,214,0.52
himachal pradesh crop.csv,Gram,Kullu,Rabi,94.0,2000-2001,20,0.21
himachal pradesh crop.csv,Gram,Mandi,Rabi,54.0,2000-2001,32,0.59
himachal pradesh crop.csv,Gram,Shimla,Rabi,63.0,2000-2001,46,0.73
himachal pradesh crop.csv,Gram,Sirmaur,Rabi,182.0,2000-2001,131,0.72
himachal pradesh crop.csv,Gram,Solan,Rabi,274.0,2000-2001,215,0.78
himachal pradesh crop.csv,Gram,Una,Rabi,151.0,2000-2001,120,0.79
himachal pradesh crop.csv,Groundnut,Bilaspur,Kharif,,2000-2001,,
himachal pradesh crop.csv,Groundnut,Chamba,Kharif,,2000-2001,,
himachal pradesh crop.csv,Groundnut,Kullu,Kharif,2.0,2000-2001,1,0.5
himachal pradesh crop.csv,Groundnut,Mandi,Kharif,6.0,2000-2001,0.1,0.02
himachal pradesh crop.csv,Groundnut,Shimla,Kharif,6.0,2000-2001,0.1,0.02
himachal pradesh crop.csv,Groundnut,Sirmaur,Kharif,34.0,2000-2001,0.1,0
himachal pradesh crop.csv,Groundnut,Solan,Kharif,88.0,2000-2001,80,0.91
himachal pradesh crop.csv,Groundnut,Una,Kharif,1.0,2000-2001,1,1
himachal pradesh crop.csv,Horse-gram,Bilaspur,Kharif,31.0,2000-2001,10,0.32
himachal pradesh crop.csv,Horse-gram,Chamba,Kharif,349.0,2000-2001,89,0.26
himachal pradesh crop.csv,Horse-gram,Hamirpur,Kharif,47.0,2000-2001,17,0.36
himachal pradesh crop.csv,Horse-gram,Kangra,Kharif,318.0,2000-2001,100,0.31
himachal pradesh crop.csv,Horse-gram,Kullu,Kharif,73.0,2000-2001,11,0.15
himachal pradesh crop.csv,Horse-gram,Lahul and spiti,Kharif,45.0,2000-2001,11,0.24
