State,Crop,District,Season,Area_(Hectare),Year,Production_(Tonnes),Yield_(Ton./Ha.)
j&k crop.csv,Arhar/Tur,Jammu,Rabi,,2000-2001,,
j&k crop.csv,Arhar/Tur,Samba,Rabi,,2000-2001,,
j&k crop.csv,Bajra,Bandipora,Kharif,,2000-2001,,
j&k crop.csv,Bajra,Doda,Kharif,42.0,2000-2001,20.2,0.48
j&k crop.csv,Bajra,Jammu,Kharif,11486.0,2000-2001,5265.8,0.46
j&k crop.csv,Bajra,Kathua,Kharif,1503.0,2000-2001,710.2,0.47
j&k crop.csv,Bajra,Kishtwar,Kharif,,2000-2001,,
j&k crop.csv,Bajra,Kupwara,Kharif,,2000-2001,,
j&k crop.csv,Bajra,Leh ladakh,Rabi,,2000-2001,,
j&k crop.csv,Bajra,Rajauri,Kharif,84.0,2000-2001,56.6,0.67
j&k crop.csv,Bajra,Reasi,Kharif,,2000-2001,,
j&k crop.csv,Bajra,Samba,Kharif,,2000-2001,,
j&k crop.csv,Bajra,Udhampur,Kharif,225.0,2000-2001,135.4,0.6
j&k crop.csv,Barley,Bandipora,Rabi,,2000-2001,,
j&k crop.csv,Barley,Doda,Kharif,34.0,2000-2001,9,0.26
j&k crop.csv,Barley,Ganderbal,Kharif,,2000-2001,,
j&k crop.csv,Barley,Jammu,Kharif,,2000-2001,,
j&k crop.csv,Barley,Kargil,Rabi,,2000-2001,,
j&k crop.csv,Barley,Kathua,Kharif,,2000-2001,,
j&k crop.csv,Barley,Kishtwar,Kharif,,2000-2001,,
j&k crop.csv,Barley,Leh ladakh,Rabi,162.0,2000-2001,143,0.88
j&k crop.csv,Barley,Rajauri,Kharif,,2000-2001,,
j&k crop.csv,Barley,Ramban,Rabi,,2000-2001,,
j&k crop.csv,Barley,Reasi,Kharif,,2000-2001,,
j&k crop.csv,Barley,Samba,Kharif,,2000-2001,,
j&k crop.csv,Barley,Srinagar,Rabi,,2000-2001,,
j&k crop.csv,Barley,Udhampur,Kharif,,2000-2001,,
j&k crop.csv,Coriander,Jammu,Rabi,,2000-2001,,
j&k crop.csv,Coriander,Rajauri,Rabi,,2000-2001,,
j&k crop.csv,Cotton(lint),Jammu,Kharif,,2000-2001,,
j&k crop.csv,Cotton(lint),Kathua,Kharif,,2000-2001,,
j&k crop.csv,Cotton(lint),Rajauri,Kharif,,2000-2001,,
j&k crop.csv,Cotton(lint),Reasi,Kharif,,2000-2001,,
j&k crop.csv,Cotton(lint),Samba,Kharif,,2000-2001,,
j&k crop.csv,Cotton(lint),Udhampur,Kharif,,2000-2001,,
j&k crop.csv,Cowpea(Lobia),Badgam,Kharif,,2000-2001,,
j&k crop.csv,Cowpea(Lobia),Bandipora,Kharif,,2000-2001,,
j&k crop.csv,Cowpea(Lobia),Baramulla,Kharif,,2000-2001,,
j&k crop.csv,Cowpea(Lobia),Jammu,Kharif,,2000-2001,,
j&k crop.csv,Cowpea(Lobia),Kathua,Rabi,,2000-2001,,
j&k crop.csv,Cowpea(Lobia),Kishtwar,Rabi,,2000-2001,,
j&k crop.csv,Cowpea(Lobia),Leh ladakh,Rabi,,2000-2001,,
j&k crop.csv,Cowpea(Lobia),Samba,Rabi,,2000-2001,,
j&k crop.csv,Dry chillies,Anantnag,Kharif,,2000-2001,,
j&k crop.csv,Dry chillies,Badgam,Kharif,,2000-2001,,
j&k crop.csv,Dry chillies,Baramulla,Kharif,,2000-2001,,
j&k crop.csv,Dry chillies,Jammu,Kharif,,2000-2001,,
j&k crop.csv,Dry chillies,Kathua,Kharif,,2000-2001,,
j&k crop.csv,Dry chillies,Kulgam,Kharif,,2000-2001,,
j&k crop.csv,Dry chillies,Kupwara,Kharif,,2000-2001,,
j&k crop.csv,Dry chillies,Poonch,Kharif,,2000-2001,,
j&k crop.csv,Dry chillies,Pulwama,Kharif,,2000-2001,,
j&k crop.csv,Dry chillies,Rajauri,Kharif,,2000-2001,,
j&k crop.csv,Dry chillies,Reasi,Kharif,,2000-2001,,
j&k crop.csv,Dry chillies,Samba,Kharif,,2000-2001,,
j&k crop.csv,Dry chillies,Srinagar,Kharif,,2000-2001,,
j&k crop.csv,Dry chillies,Udhampur,Kharif,,2000-2001,,
j&k crop.csv,Garlic,Anantnag,Rabi,,2000-2001,,
j&k crop.csv,Garlic,Badgam,Kharif,,2000-2001,,
j&k crop.csv,Garlic,Doda,Rabi,,2000-2001,,
j&k crop.csv,Garlic,Jammu,Rabi,,2000-2001,,
j&k crop.csv,Garlic,Kathua,Rabi,,2000-2001,,
j&k crop.csv,Garlic,Kishtwar,Rabi,,2000-2001,,
j&k crop.csv,Garlic,Kulgam,Rabi,,2000-2001,,
j&k crop.csv,Garlic,Poonch,Rabi,,2000-2001,,
j&k crop.csv,Garlic,Pulwama,Rabi,,2000-2001,,
j&k crop.csv,Garlic,Rajauri,Rabi,,2000-2001,,
j&k crop.csv,Garlic,Reasi,Rabi,,2000-2001,,
j&k crop.csv,Garlic,Srinagar,Kharif,,2000-2001,,
j&k crop.csv,Garlic,Udhampur,Kharif,,2000-2001,,
j&k crop.csv,Ginger,Jammu,Kharif,,2000-2001,,
j&k crop.csv,Ginger,Kathua,Kharif,3.0,2000-2001,5,1.67
j&k crop.csv,Ginger,Poonch,Kharif,,2000-2001,,
j&k crop.csv,Ginger,Rajauri,Kharif,,2000-2001,,
j&k crop.csv,Ginger,Reasi,Kharif,,2000-2001,,
j&k crop.csv,Ginger,Samba,Kharif,,2000-2001,,
j&k crop.csv,Ginger,Udhampur,Kharif,37.0,2000-2001,43,1.16
j&k crop.csv,Gram,Baramulla,Rabi,140.0,2000-2001,77,0.55
j&k crop.csv,Gram,Doda,Rabi,258.0,2000-2001,30,0.12
j&k crop.csv,Gram,Jammu,Rabi,,2000-2001,,
j&k crop.csv,Gram,Kargil,Rabi,3909.0,2000-2001,1950,0.5
j&k crop.csv,Gram,Kathua,Kharif,,2000-2001,,
j&k crop.csv,Gram,Leh ladakh,Rabi,4772.0,2000-2001,2719,0.57
j&k crop.csv,Gram,Rajauri,Rabi,,2000-2001,,
j&k crop.csv,Gram,Samba,Kharif,,2000-2001,,
