State,Crop,District,Season,Area_(Hectare),Year,Production_(Tonnes),Yield_(Ton./Ha.)
jharkhand crop.csv,Arhar/Tur,Bokaro,Kharif,,2000-2001,,
jharkhand crop.csv,Arhar/Tur,Chatra,Kharif,,2000-2001,,
jharkhand crop.csv,Arhar/Tur,Deoghar,Kharif,,2000-2001,,
jharkhand crop.csv,Arhar/Tur,Dhanbad,Kharif,,2000-2001,,
jharkhand crop.csv,Arhar/Tur,Dumka,Kharif,,2000-2001,,
jharkhand crop.csv,Arhar/Tur,East singhbum,Kharif,,2000-2001,,
jharkhand crop.csv,Arhar/Tur,Garhwa,Kharif,,2000-2001,,
jharkhand crop.csv,Arhar/Tur,Giridih,Kharif,,2000-2001,,
jharkhand crop.csv,Arhar/Tur,Godda,Kharif,,2000-2001,,
jharkhand crop.csv,Arhar/Tur,Gumla,Kharif,,2000-2001,,
jharkhand crop.csv,Arhar/Tur,Hazaribagh,Kharif,,2000-2001,,
jharkhand crop.csv,Arhar/Tur,Jamtara,Kharif,,2000-2001,,
jharkhand crop.csv,Arhar/Tur,Khunti,Kharif,,2000-2001,,
jharkhand crop.csv,Arhar/Tur,Koderma,Kharif,,2000-2001,,
jharkhand crop.csv,Arhar/Tur,Latehar,Kharif,,2000-2001,,
jharkhand crop.csv,Arhar/Tur,Lohardaga,Kharif,,2000-2001,,
jharkhand crop.csv,Arhar/Tur,Pakur,Kharif,,2000-2001,,
jharkhand crop.csv,Arhar/Tur,Palamu,Kharif,,2000-2001,,
jharkhand crop.csv,Arhar/Tur,Ramgarh,Kharif,,2000-2001,,
jharkhand crop.csv,Arhar/Tur,Ranchi,Kharif,,2000-2001,,
jharkhand crop.csv,Arhar/Tur,Sahebganj,Kharif,,2000-2001,,
jharkhand crop.csv,Arhar/Tur,Saraikela kharsawan,Kharif,,2000-2001,,
jharkhand crop.csv,Arhar/Tur,Simdega,Kharif,,2000-2001,,
jharkhand crop.csv,Arhar/Tur,West singhbhum,Kharif,,2000-2001,,
jharkhand crop.csv,Bajra,Bokaro,Kharif,,2000-2001,,
jharkhand crop.csv,Bajra,Deoghar,Kharif,,2000-2001,,
jharkhand crop.csv,Bajra,Dhanbad,Kharif,,2000-2001,,
jharkhand crop.csv,Bajra,Dumka,Kharif,,2000-2001,,
jharkhand crop.csv,Bajra,East singhbum,Kharif,,2000-2001,,
jharkhand crop.csv,Bajra,Giridih,Kharif,,2000-2001,,
jharkhand crop.csv,Bajra,Godda,Kharif,,2000-2001,,
jharkhand crop.csv,Bajra,Hazaribagh,Kharif,,2000-2001,,
jharkhand crop.csv,Bajra,Jamtara,Kharif,,2000-2001,,
jharkhand crop.csv,Bajra,Khunti,Kharif,,2000-2001,,
jharkhand crop.csv,Bajra,Koderma,Kharif,,2000-2001,,
jharkhand crop.csv,Bajra,Pakur,Kharif,,2000-2001,,
jharkhand crop.csv,Bajra,Palamu,Kharif,,2000-2001,,
jharkhand crop.csv,Bajra,Ramgarh,Kharif,,2000-2001,,
jharkhand crop.csv,Bajra,Sahebganj,Kharif,,2000-2001,,
jharkhand crop.csv,Bajra,Saraikela kharsawan,Kharif,,2000-2001,,
jharkhand crop.csv,Bajra,Simdega,Kharif,,2000-2001,,
jharkhand crop.csv,Bajra,West singhbhum,Kharif,,2000-2001,,
jharkhand crop.csv,Barley,Garhwa,Rabi,,2000-2001,,
jharkhand crop.csv,Barley,Godda,Rabi,,2000-2001,,
jharkhand crop.csv,Barley,Hazaribagh,Rabi,,2000-2001,,
jharkhand crop.csv,Barley,Palamu,Rabi,,2000-2001,,
jharkhand crop.csv,Castor seed,Bokaro,Kharif,,2000-2001,,
jharkhand crop.csv,Castor seed,Deoghar,Kharif,,2000-2001,,
jharkhand crop.csv,Castor seed,Dumka,Kharif,,2000-2001,,
jharkhand crop.csv,Castor seed,East singhbum,Kharif,,2000-2001,,
jharkhand crop.csv,Castor seed,Giridih,Kharif,,2000-2001,,
jharkhand crop.csv,Castor seed,Godda,Kharif,,2000-2001,,
jharkhand crop.csv,Castor seed,Gumla,Kharif,,2000-2001,,
jharkhand crop.csv,Castor seed,Hazaribagh,Kharif,,2000-2001,,
jharkhand crop.csv,Castor seed,Khunti,Kharif,,2000-2001,,
jharkhand crop.csv,Castor seed,Pakur,Kharif,,2000-2001,,
jharkhand crop.csv,Castor seed,Palamu,Kharif,,2000-2001,,
jharkhand crop.csv,Castor seed,Saraikela kharsawan,Kharif,,2000-2001,,
jharkhand crop.csv,Castor seed,Simdega,Kharif,,2000-2001,,
jharkhand crop.csv,Castor seed,West singhbhum,Kharif,,2000-2001,,
jharkhand crop.csv,Gram,Bokaro,Rabi,,2000-2001,,
jharkhand crop.csv,Gram,Chatra,Rabi,1315.58,2000-2001,1139.29,0.87
jharkhand crop.csv,Gram,Deoghar,Rabi,,2000-2001,,
jharkhand crop.csv,Gram,Dhanbad,Rabi,,2000-2001,,
jharkhand crop.csv,Gram,Dumka,Rabi,,2000-2001,,
jharkhand crop.csv,Gram,East singhbum,Rabi,,2000-2001,,
jharkhand crop.csv,Gram,Garhwa,Rabi,,2000-2001,,
jharkhand crop.csv,Gram,Giridih,Rabi,,2000-2001,,
jharkhand crop.csv,Gram,Godda,Rabi,138.96,2000-2001,123.11,0.89
jharkhand crop.csv,Gram,Gumla,Rabi,318.4,2000-2001,172.57,0.54
jharkhand crop.csv,Gram,Hazaribagh,Rabi,839.32,2000-2001,681.52,0.81
jharkhand crop.csv,Gram,Jamtara,Rabi,,2000-2001,,
jharkhand crop.csv,Gram,Khunti,Rabi,,2000-2001,,
jharkhand crop.csv,Gram,Koderma,Rabi,,2000-2001,,
jharkhand crop.csv,Gram,Latehar,Rabi,,2000-2001,,
jharkhand crop.csv,Gram,Lohardaga,Rabi,,2000-2001,,
jharkhand crop.csv,Gram,Pakur,Rabi,638.3,2000-2001,810.64,1.27
jharkhand crop.csv,Gram,Palamu,Rabi,4059.11,2000-2001,3259.46,0.8
jharkhand crop.csv,Gram,Ramgarh,Rabi,,2000-2001,,
jharkhand crop.csv,Gram,Ranchi,Rabi,1344.43,2000-2001,977.4,0.73
jharkhand crop.csv,Gram,Sahebganj,Rabi,874.77,2000-2001,969.24,1.11
jharkhand crop.csv,Gram,Saraikela kharsawan,Rabi,,2000-2001,,
jharkhand crop.csv,Gram,Simdega,Rabi,,2000-2001,,
jharkhand crop.csv,Gram,West singhbhum,Rabi,219.6,2000-2001,179.19,0.82
jharkhand crop.csv,Groundnut,Bokaro,Kharif,,2000-2001,,
jharkhand crop.csv,Groundnut,Chatra,Kharif,,2000-2001,,
jharkhand crop.csv,Groundnut,Deoghar,Kharif,,2000-2001,,
jharkhand crop.csv,Groundnut,Dhanbad,Kharif,,2000-2001,,
jharkhand crop.csv,Groundnut,Dumka,Kharif,,2000-2001,,
jharkhand crop.csv,Groundnut,East singhbum,Kharif,,2000-2001,,
jharkhand crop.csv,Groundnut,Garhwa,Kharif,,2000-2001,,
jharkhand crop.csv,Groundnut,Giridih,Kharif,,2000-2001,,
jharkhand crop.csv,Groundnut,Godda,Kharif,,2000-2001,,
jharkhand crop.csv,Groundnut,Gumla,Kharif,,2000-2001,,
jharkhand crop.csv,Groundnut,Hazaribagh,Kharif,,2000-2001,,
jharkhand crop.csv,Groundnut,Jamtara,Kharif,,2000-2001,,
jharkhand crop.csv,Groundnut,Khunti,Kharif,,2000-2001,,
jharkhand crop.csv,Groundnut,Koderma,Kharif,,2000-2001,,
jharkhand crop.csv,Groundnut,Latehar,Kharif,,2000-2001,,
jharkhand crop.csv,Groundnut,Lohardaga,Kharif,,2000-2001,,
jharkhand crop.csv,Groundnut,Pakur,Kharif,,2000-2001,,
jharkhand crop.csv,Groundnut,Palamu,Kharif,,2000-2001,,
jharkhand crop.csv,Groundnut,Ramgarh,Kharif,,2000-2001,,
jharkhand crop.csv,Groundnut,Ranchi,Kharif,,2000-2001,,
jharkhand crop.csv,Groundnut,Sahebganj,Kharif,,2000-2001,,
jharkhand crop.csv,Groundnut,Saraikela kharsawan,Kharif,,2000-2001,,
jharkhand crop.csv,Groundnut,Simdega,Kharif,,2000-2001,,
jharkhand crop.csv,Groundnut,West singhbhum,Kharif,,2000-2001,,
jharkhand crop.csv,Horse-gram,Bokaro,Kharif,,2000-2001,,
jharkhand crop.csv,Horse-gram,Chatra,Kharif,,2000-2001,,
jharkhand crop.csv,Horse-gram,Deoghar,Kharif,,2000-2001,,
jharkhand crop.csv,Horse-gram,Dhanbad,Kharif,,2000-2001,,
jharkhand crop.csv,Horse-gram,Dumka,Kharif,,2000-2001,,
jharkhand crop.csv,Horse-gram,East singhbum,Kharif,,2000-2001,,
jharkhand crop.csv,Horse-gram,Garhwa,Kharif,,2000-2001,,
jharkhand crop.csv,Horse-gram,Giridih,Kharif,,2000-2001,,
jharkhand crop.csv,Horse-gram,Godda,Kharif,,2000-2001,,
jharkhand crop.csv,Horse-gram,Gumla,Kharif,,2000-2001,,
jharkhand crop.csv,Horse-gram,Hazaribagh,Kharif,,2000-2001,,
jharkhand crop.csv,Horse-gram,Jamtara,Kharif,,2000-2001,,
jharkhand crop.csv,Horse-gram,Khunti,Kharif,,2000-2001,,
jharkhand crop.csv,Horse-gram,Koderma,Kharif,,2000-2001,,
jharkhand crop.csv,Horse-gram,Latehar,Kharif,,2000-2001,,
jharkhand crop.csv,Horse-gram,Lohardaga,Kharif,,2000-2001,,
jharkhand crop.csv,Horse-gram,Pakur,Kharif,,2000-2001,,
