State,Crop,District,Season,Area_(Hectare),Year,Production_(Tonnes),Yield_(Ton./Ha.)
karnataka crop.csv,Arhar/Tur,Bagalkot,Kharif,4984.0,2000-2001,3693,0.74
karnataka crop.csv,Arhar/Tur,Bangalore rural,Kharif,4725.0,2000-2001,3407,0.72
karnataka crop.csv,Arhar/Tur,Belgaum,Kharif,10227.0,2000-2001,3818,0.37
karnataka crop.csv,Arhar/Tur,Bellary,Kharif,9645.0,2000-2001,3958,0.41
karnataka crop.csv,Arhar/Tur,Bengaluru urban,Kharif,909.0,2000-2001,411,0.45
karnataka crop.csv,Arhar/Tur,Bidar,Kharif,62518.0,2000-2001,23757,0.38
karnataka crop.csv,Arhar/Tur,Bijapur,Kharif,30781.0,2000-2001,18013,0.59
karnataka crop.csv,Arhar/Tur,Chamarajanagar,Kharif,2472.0,2000-2001,592,0.24
karnataka crop.csv,Arhar/Tur,Chikballapur,Kharif,,2000-2001,,
karnataka crop.csv,Arhar/Tur,Chikmagalur,Kharif,323.0,2000-2001,146,0.45
karnataka crop.csv,Arhar/Tur,Chitradurga,Kharif,7848.0,2000-2001,4921,0.63
karnataka crop.csv,Arhar/Tur,Dakshin kannad,Kharif,,2000-2001,,
karnataka crop.csv,Arhar/Tur,Davangere,Kharif,8054.0,2000-2001,6167,0.77
karnataka crop.csv,Arhar/Tur,Dharwad,Kharif,2407.0,2000-2001,2184,0.91
karnataka crop.csv,Arhar/Tur,Gadag,Kharif,2657.0,2000-2001,674,0.25
karnataka crop.csv,Arhar/Tur,Gulbarga,Kharif,366678.0,2000-2001,164418,0.45
karnataka crop.csv,Arhar/Tur,Hassan,Kharif,3014.0,2000-2001,722,0.24
karnataka crop.csv,Arhar/Tur,Haveri,Kharif,6348.0,2000-2001,4191,0.66
karnataka crop.csv,Arhar/Tur,Kodagu,Kharif,,2000-2001,,
karnataka crop.csv,Arhar/Tur,Kolar,Kharif,8048.0,2000-2001,6828,0.85
karnataka crop.csv,Arhar/Tur,Koppal,Kharif,12649.0,2000-2001,4230,0.33
karnataka crop.csv,Arhar/Tur,Mandya,Kharif,1209.0,2000-2001,547,0.45
karnataka crop.csv,Arhar/Tur,Mysore,Kharif,4911.0,2000-2001,1694,0.34
karnataka crop.csv,Arhar/Tur,Raichur,Kharif,20627.0,2000-2001,2920,0.14
karnataka crop.csv,Arhar/Tur,Ramanagara,Kharif,,2000-2001,,
karnataka crop.csv,Arhar/Tur,Shimoga,Kharif,369.0,2000-2001,167,0.45
karnataka crop.csv,Arhar/Tur,Tumkur,Kharif,11220.0,2000-2001,6012,0.54
karnataka crop.csv,Arhar/Tur,Udupi,Kharif,,2000-2001,,
karnataka crop.csv,Arhar/Tur,Uttar kannad,Kharif,140.0,2000-2001,63,0.45
karnataka crop.csv,Arhar/Tur,Vijayanagar,Kharif,,2000-2001,,
karnataka crop.csv,Arhar/Tur,Yadgir,Kharif,,2000-2001,,
karnataka crop.csv,Bajra,Bagalkot,Kharif,41232.0,2000-2001,41300,1
karnataka crop.csv,Bajra,Bangalore rural,Kharif,,2000-2001,,
karnataka crop.csv,Bajra,Belgaum,Kharif,42290.0,2000-2001,18187,0.43
karnataka crop.csv,Bajra,Bellary,Kharif,25729.0,2000-2001,21054,0.82
karnataka crop.csv,Bajra,Bengaluru urban,Kharif,,2000-2001,,
karnataka crop.csv,Bajra,Bidar,Kharif,9808.0,2000-2001,7442,0.76
karnataka crop.csv,Bajra,Bijapur,Kharif,111741.0,2000-2001,89582,0.8
karnataka crop.csv,Bajra,Chamarajanagar,Kharif,677.0,2000-2001,510,0.75
karnataka crop.csv,Bajra,Chikballapur,Kharif,,2000-2001,,
karnataka crop.csv,Bajra,Chikmagalur,Kharif,,2000-2001,,
karnataka crop.csv,Bajra,Chitradurga,Kharif,5174.0,2000-2001,3919,0.76
karnataka crop.csv,Bajra,Dakshin kannad,Kharif,,2000-2001,,
karnataka crop.csv,Bajra,Davangere,Kharif,633.0,2000-2001,368,0.58
karnataka crop.csv,Bajra,Dharwad,Kharif,41.0,2000-2001,18,0.44
karnataka crop.csv,Bajra,Gadag,Kharif,1858.0,2000-2001,945,0.51
karnataka crop.csv,Bajra,Gulbarga,Kharif,86296.0,2000-2001,77248,0.9
karnataka crop.csv,Bajra,Hassan,Kharif,,2000-2001,,
karnataka crop.csv,Bajra,Haveri,Kharif,382.0,2000-2001,286,0.75
karnataka crop.csv,Bajra,Kodagu,Kharif,,2000-2001,,
karnataka crop.csv,Bajra,Kolar,Kharif,44.0,2000-2001,19,0.43
karnataka crop.csv,Bajra,Koppal,Kharif,59035.0,2000-2001,35279,0.6
karnataka crop.csv,Bajra,Mandya,Kharif,,2000-2001,,
karnataka crop.csv,Bajra,Mysore,Kharif,21.0,2000-2001,15,0.71
karnataka crop.csv,Bajra,Raichur,Kharif,75776.0,2000-2001,44190,0.58
karnataka crop.csv,Bajra,Ramanagara,Kharif,,2000-2001,,
karnataka crop.csv,Bajra,Shimoga,Kharif,,2000-2001,,
karnataka crop.csv,Bajra,Tumkur,Kharif,311.0,2000-2001,136,0.44
karnataka crop.csv,Bajra,Udupi,Kharif,,2000-2001,,
karnataka crop.csv,Bajra,Uttar kannad,Kharif,,2000-2001,,
karnataka crop.csv,Bajra,Vijayanagar,Kharif,,2000-2001,,
karnataka crop.csv,Bajra,Yadgir,Kharif,,2000-2001,,
karnataka crop.csv,Barley,Bagalkot,Kharif,,2000-2001,,
karnataka crop.csv,Barley,Bangalore rural,Kharif,,2000-2001,,
karnataka crop.csv,Barley,Belgaum,Kharif,,2000-2001,,
karnataka crop.csv,Barley,Bellary,Kharif,,2000-2001,,
karnataka crop.csv,Barley,Bengaluru urban,Kharif,,2000-2001,,
karnataka crop.csv,Barley,Bijapur,Kharif,,2000-2001,,
karnataka crop.csv,Barley,Chamarajanagar,Kharif,,2000-2001,,
karnataka crop.csv,Barley,Chikballapur,Kharif,,2000-2001,,
karnataka crop.csv,Barley,Chikmagalur,Kharif,,2000-2001,,
karnataka crop.csv,Barley,Chitradurga,Kharif,,2000-2001,,
karnataka crop.csv,Barley,Davangere,Kharif,,2000-2001,,
karnataka crop.csv,Barley,Dharwad,Kharif,,2000-2001,,
karnataka crop.csv,Barley,Gadag,Kharif,,2000-2001,,
karnataka crop.csv,Barley,Gulbarga,Rabi,,2000-2001,,
karnataka crop.csv,Barley,Hassan,Kharif,,2000-2001,,
karnataka crop.csv,Barley,Haveri,Kharif,,2000-2001,,
karnataka crop.csv,Barley,Kolar,Rabi,,2000-2001,,
karnataka crop.csv,Barley,Koppal,Kharif,,2000-2001,,
