State,Crop,District,Season,Area_(Hectare),Year,Production_(Tonnes),Yield_(Ton./Ha.)
maharashtra crop.csv,Arhar/Tur,Ahilyanagar,Kharif,19100.0,2000-2001,9400,0.49
maharashtra crop.csv,Arhar/Tur,Akola,Kharif,46400.0,2000-2001,33100,0.71
maharashtra crop.csv,Arhar/Tur,Amravati,Kharif,99600.0,2000-2001,67300,0.68
maharashtra crop.csv,Arhar/Tur,Beed,Kharif,53400.0,2000-2001,19200,0.36
maharashtra crop.csv,Arhar/Tur,Bhandara,Kharif,5600.0,2000-2001,4300,0.77
maharashtra crop.csv,Arhar/Tur,Buldhana,Kharif,59100.0,2000-2001,23900,0.4
maharashtra crop.csv,Arhar/Tur,Chandrapur,Kharif,26900.0,2000-2001,11400,0.42
maharashtra crop.csv,Arhar/Tur,Chhatrapati Sambhajinagar,Kharif,52700.0,2000-2001,13500,0.26
maharashtra crop.csv,Arhar/Tur,Dharashiv,Kharif,83600.0,2000-2001,58500,0.7
maharashtra crop.csv,Arhar/Tur,Dhule,Kharif,6900.0,2000-2001,2000,0.29
maharashtra crop.csv,Arhar/Tur,Gadchiroli,Kharif,1600.0,2000-2001,1200,0.75
maharashtra crop.csv,Arhar/Tur,Gondia,Kharif,3900.0,2000-2001,3000,0.77
maharashtra crop.csv,Arhar/Tur,Hingoli,Kharif,26600.0,2000-2001,12200,0.46
maharashtra crop.csv,Arhar/Tur,Jalgaon,Kharif,25700.0,2000-2001,8500,0.33
maharashtra crop.csv,Arhar/Tur,Jalna,Kharif,45500.0,2000-2001,18300,0.4
maharashtra crop.csv,Arhar/Tur,Kolhapur,Kharif,2000.0,2000-2001,900,0.45
maharashtra crop.csv,Arhar/Tur,Latur,Kharif,76400.0,2000-2001,26500,0.35
maharashtra crop.csv,Arhar/Tur,Nagpur,Kharif,48700.0,2000-2001,30200,0.62
maharashtra crop.csv,Arhar/Tur,Nanded,Kharif,53200.0,2000-2001,25400,0.48
maharashtra crop.csv,Arhar/Tur,Nandurbar,Kharif,23000.0,2000-2001,9100,0.4
maharashtra crop.csv,Arhar/Tur,Nashik,Kharif,8600.0,2000-2001,3000,0.35
maharashtra crop.csv,Arhar/Tur,Palghar,Kharif,,2000-2001,,
maharashtra crop.csv,Arhar/Tur,Parbhani,Kharif,50800.0,2000-2001,23100,0.45
maharashtra crop.csv,Arhar/Tur,Pune,Kharif,4200.0,2000-2001,2000,0.48
