State,Crop,District,Season,Area_(Hectare),Year,Production_(Tonnes),Yield_(Ton./Ha.)
manipur crop.csv,Arhar/Tur,Bishnupur,Kharif,,2000-2001,,
manipur crop.csv,Arhar/Tur,Chandel,Kharif,,2000-2001,,
manipur crop.csv,Arhar/Tur,Churachandpur,Kharif,,2000-2001,,
manipur crop.csv,Arhar/Tur,Imphal east,Kharif,,2000-2001,,
manipur crop.csv,Arhar/Tur,Imphal west,Kharif,,2000-2001,,
manipur crop.csv,Arhar/Tur,Senapati,Kharif,,2000-2001,,
manipur crop.csv,Arhar/Tur,Tamenglong,Kharif,,2000-2001,,
manipur crop.csv,Arhar/Tur,Thoubal,Kharif,,2000-2001,,
manipur crop.csv,Arhar/Tur,Ukhrul,Kharif,,2000-2001,,
manipur crop.csv,Banana,Chandel,Summer,,2000-2001,,
manipur crop.csv,Banana,Churachandpur,Summer,,2000-2001,,
manipur crop.csv,Banana,Imphal east,Summer,,2000-2001,,
manipur crop.csv,Banana,Imphal west,Summer,,2000-2001,,
manipur crop.csv,Banana,Senapati,Summer,,2000-2001,,
manipur crop.csv,Banana,Tamenglong,Summer,,2000-2001,,
manipur crop.csv,Banana,Ukhrul,Summer,,2000-2001,,
manipur crop.csv,Cotton(lint),Churachandpur,Kharif,60.0,2000-2001,20,0.33
manipur crop.csv,Cowpea(Lobia),Bishnupur,Kharif,,2000-2001,,
manipur crop.csv,Cowpea(Lobia),Chandel,Kharif,,2000-2001,,
manipur crop.csv,Cowpea(Lobia),Churachandpur,Kharif,,2000-2001,,
manipur crop.csv,Cowpea(Lobia),Imphal east,Kharif,,2000-2001,,
manipur crop.csv,Cowpea(Lobia),Imphal west,Kharif,,2000-2001,,
manipur crop.csv,Cowpea(Lobia),Senapati,Kharif,,2000-2001,,
manipur crop.csv,Cowpea(Lobia),Tamenglong,Kharif,,2000-2001,,
manipur crop.csv,Cowpea(Lobia),Thoubal,Kharif,,2000-2001,,
manipur crop.csv,Cowpea(Lobia),Ukhrul,Kharif,,2000-2001,,
manipur crop.csv,Ginger,Bishnupur,Kharif,,2000-2001,,
manipur crop.csv,Ginger,Chandel,Kharif,50.0,2000-2001,80,1.6
manipur crop.csv,Ginger,Churachandpur,Kharif,610.0,2000-2001,1020,1.67
manipur crop.csv,Ginger,Imphal east,Kharif,20.0,2000-2001,30,1.5
manipur crop.csv,Ginger,Imphal west,Kharif,,2000-2001,,
manipur crop.csv,Ginger,Senapati,Kharif,160.0,2000-2001,260,1.63
manipur crop.csv,Ginger,Tamenglong,Kharif,60.0,2000-2001,100,1.67
manipur crop.csv,Ginger,Thoubal,Kharif,220.0,2000-2001,360,1.64
manipur crop.csv,Ginger,Ukhrul,Kharif,20.0,2000-2001,40,2
manipur crop.csv,Gram,Bishnupur,Rabi,,2000-2001,,
manipur crop.csv,Gram,Chandel,Rabi,,2000-2001,,
manipur crop.csv,Gram,Churachandpur,Rabi,,2000-2001,,
manipur crop.csv,Gram,Imphal east,Rabi,,2000-2001,,
manipur crop.csv,Gram,Imphal west,Rabi,,2000-2001,,
manipur crop.csv,Gram,Senapati,Rabi,,2000-2001,,
manipur crop.csv,Gram,Tamenglong,Rabi,,2000-2001,,
manipur crop.csv,Gram,Thoubal,Rabi,,2000-2001,,
manipur crop.csv,Gram,Ukhrul,Rabi,,2000-2001,,
manipur crop.csv,Groundnut,Bishnupur,Kharif,,2000-2001,,
manipur crop.csv,Groundnut,Chandel,Kharif,,2000-2001,,
manipur crop.csv,Groundnut,Churachandpur,Kharif,,2000-2001,,
manipur crop.csv,Groundnut,Imphal east,Kharif,,2000-2001,,
