State,Crop,District,Season,Area_(Hectare),Year,Production_(Tonnes),Yield_(Ton./Ha.)
meghalaya crop.csv,Arecanut,East garo hills,Rabi,,2000-2001,,
meghalaya crop.csv,Arecanut,East jaintia hills,Rabi,,2000-2001,,
meghalaya crop.csv,Arecanut,East khasi hills,Rabi,,2000-2001,,
meghalaya crop.csv,Arecanut,North garo hills,Rabi,,2000-2001,,
meghalaya crop.csv,Arecanut,Ri bhoi,Rabi,,2000-2001,,
meghalaya crop.csv,Arecanut,South garo hills,Rabi,,2000-2001,,
meghalaya crop.csv,Arecanut,South west garo hills,Rabi,,2000-2001,,
meghalaya crop.csv,Arecanut,South west khasi hills,Rabi,,2000-2001,,
meghalaya crop.csv,Arecanut,West garo hills,Rabi,,2000-2001,,
meghalaya crop.csv,Arecanut,West jaintia hills,Rabi,,2000-2001,,
meghalaya crop.csv,Arecanut,West khasi hills,Rabi,,2000-2001,,
meghalaya crop.csv,Arhar/Tur,East garo hills,Kharif,109.0,2000-2001,92,0.84
meghalaya crop.csv,Arhar/Tur,North garo hills,Kharif,,2000-2001,,
meghalaya crop.csv,Arhar/Tur,South garo hills,Kharif,100.0,2000-2001,78,0.78
meghalaya crop.csv,Arhar/Tur,South west garo hills,Kharif,,2000-2001,,
meghalaya crop.csv,Arhar/Tur,West garo hills,Kharif,654.0,2000-2001,471,0.72
meghalaya crop.csv,Banana,East garo hills,Kharif,,2000-2001,,
meghalaya crop.csv,Banana,East jaintia hills,Kharif,,2000-2001,,
meghalaya crop.csv,Banana,East khasi hills,Kharif,,2000-2001,,
meghalaya crop.csv,Banana,North garo hills,Kharif,,2000-2001,,
meghalaya crop.csv,Banana,Ri bhoi,Kharif,,2000-2001,,
meghalaya crop.csv,Banana,South garo hills,Kharif,,2000-2001,,
meghalaya crop.csv,Banana,South west garo hills,Kharif,,2000-2001,,
meghalaya crop.csv,Banana,South west khasi hills,Kharif,,2000-2001,,
meghalaya crop.csv,Banana,West garo hills,Kharif,,2000-2001,,
meghalaya crop.csv,Banana,West jaintia hills,Kharif,,2000-2001,,
meghalaya crop.csv,Banana,West khasi hills,Kharif,,2000-2001,,
meghalaya crop.csv,Black pepper,East garo hills,Rabi,,2000-2001,,
meghalaya crop.csv,Black pepper,East jaintia hills,Rabi,,2000-2001,,
meghalaya crop.csv,Black pepper,East khasi hills,Rabi,,2000-2001,,
meghalaya crop.csv,Black pepper,North garo hills,Rabi,,2000-2001,,
meghalaya crop.csv,Black pepper,Ri bhoi,Rabi,,2000-2001,,
meghalaya crop.csv,Black pepper,South garo hills,Rabi,,2000-2001,,
meghalaya crop.csv,Black pepper,South west garo hills,Rabi,,2000-2001,,
meghalaya crop.csv,Black pepper,South west khasi hills,Rabi,,2000-2001,,
meghalaya crop.csv,Black pepper,West garo hills,Rabi,,2000-2001,,
meghalaya crop.csv,Black pepper,West jaintia hills,Rabi,,2000-2001,,
meghalaya crop.csv,Black pepper,West khasi hills,Rabi,,2000-2001,,
meghalaya crop.csv,Cashewnut,East garo hills,Rabi,,2000-2001,,
meghalaya crop.csv,Cashewnut,North garo hills,Rabi,,2000-2001,,
meghalaya crop.csv,Cashewnut,South garo hills,Rabi,,2000-2001,,
meghalaya crop.csv,Cashewnut,South west garo hills,Rabi,,2000-2001,,
meghalaya crop.csv,Cashewnut,West garo hills,Rabi,,2000-2001,,
meghalaya crop.csv,Castor seed,East garo hills,Kharif,8.0,2000-2001,4,0.5
meghalaya crop.csv,Castor seed,North garo hills,Kharif,,2000-2001,,
meghalaya crop.csv,Castor seed,Ri bhoi,Kharif,,2000-2001,,
meghalaya crop.csv,Castor seed,South west garo hills,Kharif,,2000-2001,,
meghalaya crop.csv,Castor seed,West garo hills,Kharif,15.0,2000-2001,8,0.53
meghalaya crop.csv,Cotton(lint),East garo hills,Kharif,2734.0,2000-2001,3506,1.28
meghalaya crop.csv,Cotton(lint),North garo hills,Kharif,,2000-2001,,
meghalaya crop.csv,Cotton(lint),South garo hills,Kharif,240.0,2000-2001,220,0.92
meghalaya crop.csv,Cotton(lint),South west garo hills,Kharif,,2000-2001,,
meghalaya crop.csv,Cotton(lint),West garo hills,Kharif,4366.0,2000-2001,3958,0.91
meghalaya crop.csv,Cowpea(Lobia),East garo hills,Rabi,,2000-2001,,
meghalaya crop.csv,Cowpea(Lobia),East jaintia hills,Rabi,,2000-2001,,
meghalaya crop.csv,Cowpea(Lobia),East khasi hills,Rabi,,2000-2001,,
meghalaya crop.csv,Cowpea(Lobia),North garo hills,Rabi,,2000-2001,,
meghalaya crop.csv,Cowpea(Lobia),Ri bhoi,Rabi,,2000-2001,,
meghalaya crop.csv,Cowpea(Lobia),South garo hills,Rabi,,2000-2001,,
meghalaya crop.csv,Cowpea(Lobia),South west garo hills,Rabi,,2000-2001,,
meghalaya crop.csv,Cowpea(Lobia),South west khasi hills,Rabi,,2000-2001,,
meghalaya crop.csv,Cowpea(Lobia),West garo hills,Rabi,,2000-2001,,
meghalaya crop.csv,Cowpea(Lobia),West jaintia hills,Rabi,,2000-2001,,
meghalaya crop.csv,Cowpea(Lobia),West khasi hills,Rabi,,2000-2001,,
meghalaya crop.csv,Dry chillies,East garo hills,Rabi,,2000-2001,,
meghalaya crop.csv,Dry chillies,East jaintia hills,Rabi,,2000-2001,,
meghalaya crop.csv,Dry chillies,East khasi hills,Rabi,,2000-2001,,
meghalaya crop.csv,Dry chillies,Ri bhoi,Rabi,,2000-2001,,
meghalaya crop.csv,Dry chillies,South garo hills,Rabi,,2000-2001,,
meghalaya crop.csv,Dry chillies,West garo hills,Rabi,,2000-2001,,
meghalaya crop.csv,Dry chillies,West khasi hills,Rabi,,2000-2001,,
meghalaya crop.csv,Ginger,East garo hills,Kharif,3562.0,2000-2001,20871,5.86
meghalaya crop.csv,Ginger,East jaintia hills,Kharif,209.0,2000-2001,1150,5.5
meghalaya crop.csv,Ginger,East khasi hills,Kharif,415.0,2000-2001,3458,8.33
meghalaya crop.csv,Ginger,North garo hills,Kharif,,2000-2001,,
meghalaya crop.csv,Ginger,Ri bhoi,Kharif,822.0,2000-2001,6432,7.82
meghalaya crop.csv,Ginger,South garo hills,Kharif,145.0,2000-2001,708,4.88
meghalaya crop.csv,Ginger,South west garo hills,Kharif,,2000-2001,,
meghalaya crop.csv,Ginger,South west khasi hills,Kharif,,2000-2001,,
meghalaya crop.csv,Ginger,West garo hills,Kharif,2381.0,2000-2001,11111,4.67
meghalaya crop.csv,Ginger,West jaintia hills,Kharif,,2000-2001,,
meghalaya crop.csv,Ginger,West khasi hills,Kharif,277.0,2000-2001,1170,4.22
meghalaya crop.csv,Gram,East garo hills,Rabi,258.0,2000-2001,155,0.6
meghalaya crop.csv,Gram,North garo hills,Rabi,,2000-2001,,
meghalaya crop.csv,Gram,South garo hills,Rabi,20.0,2000-2001,12,0.6
meghalaya crop.csv,Gram,South west garo hills,Rabi,,2000-2001,,
meghalaya crop.csv,Gram,West garo hills,Rabi,185.0,2000-2001,119,0.64
meghalaya crop.csv,Jute,East garo hills,Kharif,315.0,2000-2001,2779,8.82
meghalaya crop.csv,Jute,North garo hills,Kharif,,2000-2001,,
meghalaya crop.csv,Jute,South garo hills,Kharif,363.0,2000-2001,1313,3.62
meghalaya crop.csv,Jute,South west garo hills,Kharif,,2000-2001,,
meghalaya crop.csv,Jute,West garo hills,Kharif,3542.0,2000-2001,31724,8.96
meghalaya crop.csv,Kapas,East garo hills,Kharif,2734.0,2000-2001,3506,1.28
meghalaya crop.csv,Kapas,South garo hills,Kharif,240.0,2000-2001,220,0.92
meghalaya crop.csv,Kapas,West garo hills,Kharif,4366.0,2000-2001,3958,0.91
meghalaya crop.csv,Linseed,South west garo hills,Rabi,,2000-2001,,
meghalaya crop.csv,Linseed,West garo hills,Rabi,54.0,2000-2001,24,0.44
meghalaya crop.csv,Maize,East garo hills,Kharif,1094.0,2000-2001,1365,1.25
meghalaya crop.csv,Maize,East jaintia hills,Kharif,2886.0,2000-2001,3240,1.12
meghalaya crop.csv,Maize,East khasi hills,Kharif,1940.0,2000-2001,3443,1.77
meghalaya crop.csv,Maize,North garo hills,Kharif,,2000-2001,,
meghalaya crop.csv,Maize,Ri bhoi,Kharif,1560.0,2000-2001,3252,2.08
meghalaya crop.csv,Maize,South garo hills,Kharif,867.0,2000-2001,873,1.01
meghalaya crop.csv,Maize,South west garo hills,Kharif,,2000-2001,,
meghalaya crop.csv,Maize,South west khasi hills,Kharif,,2000-2001,,
meghalaya crop.csv,Maize,West garo hills,Kharif,4227.0,2000-2001,6159,1.46
meghalaya crop.csv,Maize,West jaintia hills,Kharif,,2000-2001,,
meghalaya crop.csv,Maize,West khasi hills,Kharif,4332.0,2000-2001,5918,1.37
meghalaya crop.csv,Masoor,East garo hills,Rabi,,2000-2001,,
meghalaya crop.csv,Masoor,East jaintia hills,Rabi,,2000-2001,,
meghalaya crop.csv,Masoor,East khasi hills,Rabi,,2000-2001,,
meghalaya crop.csv,Masoor,North garo hills,Rabi,,2000-2001,,
meghalaya crop.csv,Masoor,Ri bhoi,Rabi,,2000-2001,,
meghalaya crop.csv,Masoor,South garo hills,Rabi,,2000-2001,,
meghalaya crop.csv,Masoor,South west garo hills,Rabi,,2000-2001,,
meghalaya crop.csv,Masoor,West garo hills,Rabi,,2000-2001,,
meghalaya crop.csv,Mesta,East garo hills,Kharif,260.0,2000-2001,1194,4.59
meghalaya crop.csv,Mesta,North garo hills,Kharif,,2000-2001,,
meghalaya crop.csv,Mesta,South garo hills,Kharif,1013.0,2000-2001,4680,4.62
meghalaya crop.csv,Mesta,South west garo hills,Kharif,,2000-2001,,
meghalaya crop.csv,Mesta,West garo hills,Kharif,3362.0,2000-2001,15484,4.61
meghalaya crop.csv,Onion,East garo hills,Rabi,,2000-2001,,
meghalaya crop.csv,Onion,East khasi hills,Rabi,,2000-2001,,
meghalaya crop.csv,Onion,North garo hills,Rabi,,2000-2001,,
meghalaya crop.csv,Onion,Ri bhoi,Rabi,,2000-2001,,
meghalaya crop.csv,Onion,South garo hills,Rabi,,2000-2001,,
meghalaya crop.csv,Onion,South west garo hills,Rabi,,2000-2001,,
meghalaya crop.csv,Onion,South west khasi hills,Rabi,,2000-2001,,
meghalaya crop.csv,Onion,West garo hills,Rabi,,2000-2001,,
meghalaya crop.csv,Onion,West jaintia hills,Rabi,,2000-2001,,
meghalaya crop.csv,Onion,West khasi hills,Rabi,,2000-2001,,
meghalaya crop.csv,Other Rabi pulses,East garo hills,Rabi,205.0,2000-2001,122,0.6
meghalaya crop.csv,Other Rabi pulses,East jaintia hills,Rabi,87.0,2000-2001,61,0.7
meghalaya crop.csv,Other Rabi pulses,East khasi hills,Rabi,221.0,2000-2001,165,0.75
meghalaya crop.csv,Other Rabi pulses,Ri bhoi,Rabi,58.0,2000-2001,36,0.62
meghalaya crop.csv,Other Rabi pulses,South garo hills,Rabi,201.0,2000-2001,167,0.83
meghalaya crop.csv,Other Rabi pulses,West garo hills,Rabi,1256.0,2000-2001,1039,0.83
meghalaya crop.csv,Other Rabi pulses,West khasi hills,Rabi,20.0,2000-2001,20,1
meghalaya crop.csv,Peas & beans (Pulses),East garo hills,Rabi,,2000-2001,,
meghalaya crop.csv,Peas & beans (Pulses),East jaintia hills,Rabi,,2000-2001,,
meghalaya crop.csv,Peas & beans (Pulses),East khasi hills,Rabi,,2000-2001,,
meghalaya crop.csv,Peas & beans (Pulses),North garo hills,Rabi,,2000-2001,,
meghalaya crop.csv,Peas & beans (Pulses),Ri bhoi,Rabi,,2000-2001,,
meghalaya crop.csv,Peas & beans (Pulses),South garo hills,Rabi,,2000-2001,,
meghalaya crop.csv,Peas & beans (Pulses),South west garo hills,Rabi,,2000-2001,,
meghalaya crop.csv,Peas & beans (Pulses),South west khasi hills,Rabi,,2000-2001,,
meghalaya crop.csv,Peas & beans (Pulses),West garo hills,Rabi,,2000-2001,,
meghalaya crop.csv,Peas & beans (Pulses),West jaintia hills,Rabi,,2000-2001,,
meghalaya crop.csv,Peas & beans (Pulses),West khasi hills,Rabi,,2000-2001,,
meghalaya crop.csv,Potato,East garo hills,Rabi,,2000-2001,,
meghalaya crop.csv,Potato,East jaintia hills,Rabi,,2000-2001,,
meghalaya crop.csv,Potato,East khasi hills,Rabi,,2000-2001,,
meghalaya crop.csv,Potato,North garo hills,Summer,,2000-2001,,
meghalaya crop.csv,Potato,Ri bhoi,Rabi,,2000-2001,,
meghalaya crop.csv,Potato,South garo hills,Rabi,,2000-2001,,
meghalaya crop.csv,Potato,South west garo hills,Summer,,2000-2001,,
