State,Crop,District,Season,Area_(Hectare),Year,Production_(Tonnes),Yield_(Ton./Ha.)
mp crop.csv,Arhar/Tur,Agar malwa,Kharif,,2000-2001,,
mp crop.csv,Arhar/Tur,Alirajpur,Kharif,,2000-2001,,
mp crop.csv,Arhar/Tur,Anuppur,Kharif,,2000-2001,,
mp crop.csv,Arhar/Tur,Ashoknagar,Kharif,,2000-2001,,
mp crop.csv,Arhar/Tur,Balaghat,Kharif,2880.0,2000-2001,3193,1.11
mp crop.csv,Arhar/Tur,Barwani,Kharif,5568.0,2000-2001,1772,0.32
mp crop.csv,Arhar/Tur,Betul,Kharif,15639.0,2000-2001,10379,0.66
mp crop.csv,Arhar/Tur,Bhind,Kharif,9435.0,2000-2001,4328,0.46
mp crop.csv,Arhar/Tur,Bhopal,Kharif,924.0,2000-2001,658,0.71
mp crop.csv,Arhar/Tur,Burhanpur,Kharif,,2000-2001,,
mp crop.csv,Arhar/Tur,Chhatarpur,Kharif,11324.0,2000-2001,5065,0.45
mp crop.csv,Arhar/Tur,Chhindwara,Kharif,22400.0,2000-2001,27360,1.22
mp crop.csv,Arhar/Tur,Damoh,Kharif,2764.0,2000-2001,1394,0.5
mp crop.csv,Arhar/Tur,Datia,Kharif,4747.0,2000-2001,3161,0.67
mp crop.csv,Arhar/Tur,Dewas,Kharif,8993.0,2000-2001,5362,0.6
mp crop.csv,Arhar/Tur,Dhar,Kharif,4732.0,2000-2001,1553,0.33
mp crop.csv,Arhar/Tur,Dindori,Kharif,2243.0,2000-2001,1409,0.63
mp crop.csv,Arhar/Tur,Guna,Kharif,682.0,2000-2001,475,0.7
mp crop.csv,Arhar/Tur,Gwalior,Kharif,1612.0,2000-2001,1134,0.7
mp crop.csv,Arhar/Tur,Harda,Kharif,2822.0,2000-2001,2358,0.84
mp crop.csv,Arhar/Tur,Hoshangabad,Kharif,9882.0,2000-2001,11258,1.14
mp crop.csv,Arhar/Tur,Indore,Kharif,643.0,2000-2001,406,0.63
mp crop.csv,Arhar/Tur,Jabalpur,Kharif,4917.0,2000-2001,4725,0.96
mp crop.csv,Arhar/Tur,Jhabua,Kharif,4717.0,2000-2001,1594,0.34
mp crop.csv,Arhar/Tur,Katni,Kharif,4078.0,2000-2001,3691,0.91
mp crop.csv,Arhar/Tur,Khandwa,Kharif,14937.0,2000-2001,12171,0.81
mp crop.csv,Arhar/Tur,Khargone,Kharif,16192.0,2000-2001,5150,0.32
mp crop.csv,Arhar/Tur,Mandla,Kharif,1801.0,2000-2001,865,0.48
mp crop.csv,Arhar/Tur,Mandsaur,Kharif,1370.0,2000-2001,503,0.37
mp crop.csv,Arhar/Tur,Morena,Kharif,7799.0,2000-2001,6799,0.87
mp crop.csv,Arhar/Tur,Narsinghpur,Kharif,15188.0,2000-2001,21901,1.44
mp crop.csv,Arhar/Tur,Neemuch,Kharif,662.0,2000-2001,309,0.47
mp crop.csv,Arhar/Tur,Niwari,Kharif,,2000-2001,,
mp crop.csv,Arhar/Tur,Panna,Kharif,6413.0,2000-2001,2486,0.39
mp crop.csv,Arhar/Tur,Raisen,Kharif,23398.0,2000-2001,15742,0.67
mp crop.csv,Arhar/Tur,Rajgarh,Kharif,4376.0,2000-2001,1340,0.31
mp crop.csv,Arhar/Tur,Ratlam,Kharif,745.0,2000-2001,565,0.76
mp crop.csv,Arhar/Tur,Rewa,Kharif,11786.0,2000-2001,7089,0.6
mp crop.csv,Arhar/Tur,Sagar,Kharif,2216.0,2000-2001,1368,0.62
mp crop.csv,Arhar/Tur,Satna,Kharif,13976.0,2000-2001,6251,0.45
mp crop.csv,Arhar/Tur,Sehore,Kharif,7673.0,2000-2001,3559,0.46
mp crop.csv,Arhar/Tur,Seoni,Kharif,5079.0,2000-2001,2079,0.41
mp crop.csv,Arhar/Tur,Shahdol,Kharif,9166.0,2000-2001,4281,0.47
mp crop.csv,Arhar/Tur,Shajapur,Kharif,2485.0,2000-2001,1501,0.6
mp crop.csv,Arhar/Tur,Sheopur,Kharif,2794.0,2000-2001,2134,0.76
mp crop.csv,Arhar/Tur,Shivpuri,Kharif,1081.0,2000-2001,665,0.62
mp crop.csv,Arhar/Tur,Sidhi,Kharif,31717.0,2000-2001,14817,0.47
mp crop.csv,Arhar/Tur,Singrauli,Kharif,,2000-2001,,
mp crop.csv,Arhar/Tur,Tikamgarh,Kharif,586.0,2000-2001,370,0.63
mp crop.csv,Arhar/Tur,Ujjain,Kharif,990.0,2000-2001,418,0.42
mp crop.csv,Arhar/Tur,Umaria,Kharif,4841.0,2000-2001,2261,0.47
mp crop.csv,Arhar/Tur,Vidisha,Kharif,708.0,2000-2001,498,0.7
mp crop.csv,Bajra,Agar malwa,Kharif,,2000-2001,,
mp crop.csv,Bajra,Alirajpur,Kharif,,2000-2001,,
mp crop.csv,Bajra,Anuppur,Kharif,,2000-2001,,
mp crop.csv,Bajra,Ashoknagar,Kharif,,2000-2001,,
mp crop.csv,Bajra,Balaghat,Kharif,2.0,2000-2001,2,1
mp crop.csv,Bajra,Barwani,Kharif,10070.0,2000-2001,3014,0.3
mp crop.csv,Bajra,Betul,Kharif,43.0,2000-2001,23,0.53
mp crop.csv,Bajra,Bhind,Kharif,34248.0,2000-2001,36844,1.08
mp crop.csv,Bajra,Bhopal,Kharif,,2000-2001,,
mp crop.csv,Bajra,Burhanpur,Kharif,,2000-2001,,
mp crop.csv,Bajra,Chhatarpur,Kharif,20.0,2000-2001,10,0.5
mp crop.csv,Bajra,Chhindwara,Kharif,315.0,2000-2001,231,0.73
mp crop.csv,Bajra,Damoh,Kharif,2.0,2000-2001,2,1
mp crop.csv,Bajra,Datia,Kharif,653.0,2000-2001,1007,1.54
mp crop.csv,Bajra,Dewas,Kharif,63.0,2000-2001,50,0.79
mp crop.csv,Bajra,Dhar,Kharif,5601.0,2000-2001,1706,0.3
mp crop.csv,Bajra,Dindori,Kharif,,2000-2001,,
mp crop.csv,Bajra,Guna,Kharif,55.0,2000-2001,85,1.55
mp crop.csv,Bajra,Gwalior,Kharif,2305.0,2000-2001,4981,2.16
mp crop.csv,Bajra,Harda,Kharif,3.0,2000-2001,2,0.67
mp crop.csv,Bajra,Hoshangabad,Kharif,7.0,2000-2001,6,0.86
mp crop.csv,Bajra,Indore,Kharif,13.0,2000-2001,10,0.77
mp crop.csv,Bajra,Jabalpur,Kharif,32.0,2000-2001,25,0.78
mp crop.csv,Bajra,Jhabua,Kharif,15974.0,2000-2001,3863,0.24
mp crop.csv,Bajra,Katni,Kharif,,2000-2001,,
mp crop.csv,Bajra,Khandwa,Kharif,803.0,2000-2001,402,0.5
mp crop.csv,Bajra,Khargone,Kharif,2243.0,2000-2001,631,0.28
mp crop.csv,Bajra,Mandla,Kharif,,2000-2001,,
mp crop.csv,Bajra,Mandsaur,Kharif,53.0,2000-2001,41,0.77
mp crop.csv,Bajra,Morena,Kharif,73924.0,2000-2001,123971,1.68
mp crop.csv,Bajra,Narsinghpur,Kharif,60.0,2000-2001,74,1.23
mp crop.csv,Bajra,Neemuch,Kharif,27.0,2000-2001,14,0.52
mp crop.csv,Bajra,Niwari,Kharif,,2000-2001,,
mp crop.csv,Bajra,Panna,Kharif,38.0,2000-2001,39,1.03
