,T2M,T2M_MIN,T2M_MAX,PRECTOTCORR,RH2M,WS2M,ALLSKY_SFC_SW_DWN,PS,city,latitude,longitude
2000-01-01,26.8,25.94,27.73,0.41,80.95,5.97,18.35,100.84,Andaman and Nicobar Islands,11.7401,92.6586
2000-01-02,26.98,26.33,27.86,0.18,80.42,5.85,17.24,100.84,Andaman and Nicobar Islands,11.7401,92.6586
2000-01-03,26.91,26.14,27.72,0.35,81.39,5.47,16.89,100.76,Andaman and Nicobar Islands,11.7401,92.6586
2000-01-04,27.06,26.68,27.46,1.02,79.67,5.11,18.99,100.82,Andaman and Nicobar Islands,11.7401,92.6586
2000-01-05,27.09,26.28,27.89,0.24,80.35,5.27,20.42,100.85,Andaman and Nicobar Islands,11.7401,92.6586
2000-01-06,26.9,26.43,27.23,2.52,83.98,4.79,16.49,100.83,Andaman and Nicobar Islands,11.7401,92.6586
2000-01-07,26.4,26.12,26.68,5.08,86.21,5.35,13.3,100.91,Andaman and Nicobar Islands,11.7401,92.6586
2000-01-08,26.01,25.8,26.2,2.53,83.58,4.91,8.16,100.97,Andaman and Nicobar Islands,11.7401,92.6586
2000-01-09,26.75,25.91,27.52,0.45,82.11,4.93,13.48,100.92,Andaman and Nicobar Islands,11.7401,92.6586
2000-01-10,26.96,26.36,27.6,0.07,80.45,4.93,19.72,100.88,Andaman and Nicobar Islands,11.7401,92.6586
2000-01-11,27.08,26.36,27.92,0.03,77.34,4.6,20.67,100.9,Andaman and Nicobar Islands,11.7401,92.6586
2000-01-12,26.92,26.09,27.78,0.06,78.92,4.31,21.02,100.88,Andaman and Nicobar Islands,11.7401,92.6586
2000-01-13,26.88,26.21,27.6,0.0,77.75,3.49,19.15,100.84,Andaman and Nicobar Islands,11.7401,92.6586
2000-01-14,26.85,25.85,27.89,0.0,74.32,3.41,20.82,100.75,Andaman and Nicobar Islands,11.7401,92.6586
2000-01-15,26.9,25.84,27.97,0.0,72.88,3.54,21.58,100.88,Andaman and Nicobar Islands,11.7401,92.6586
