,T2M,T2M_MIN,T2M_MAX,PRECTOTCORR,RH2M,WS2M,ALLSKY_SFC_SW_DWN,PS,city,latitude,longitude
2000-01-01,24.52,18.4,32.19,0.0,60.78,2.28,16.1,100.79,Andhra Pradesh,16.5062,80.648
2000-01-02,24.67,18.25,32.35,0.0,64.34,2.04,15.87,100.78,Andhra Pradesh,16.5062,80.648
2000-01-03,24.22,18.03,32.68,0.0,61.74,1.64,16.18,100.67,Andhra Pradesh,16.5062,80.648
2000-01-04,23.88,16.91,32.46,0.0,61.39,1.57,16.69,100.68,Andhra Pradesh,16.5062,80.648
2000-01-05,24.24,16.83,33.05,0.0,63.28,2.01,18.32,100.7,Andhra Pradesh,16.5062,80.648
2000-01-06,24.45,17.9,33.38,0.0,55.37,1.5,18.62,100.67,Andhra Pradesh,16.5062,80.648
2000-01-07,23.84,16.04,32.98,0.0,58.31,1.57,17.92,100.73,Andhra Pradesh,16.5062,80.648
2000-01-08,23.85,16.3,33.26,0.0,58.97,1.58,19.03,100.73,Andhra Pradesh,16.5062,80.648
2000-01-09,24.28,16.42,34.08,0.0,60.09,1.56,18.53,100.7,Andhra Pradesh,16.5062,80.648
2000-01-10,24.53,17.9,34.06,0.0,66.77,1.99,17.99,100.66,Andhra Pradesh,16.5062,80.648
2000-01-11,24.37,17.65,34.0,0.0,66.86,2.14,17.83,100.69,Andhra Pradesh,16.5062,80.648
2000-01-12,24.59,16.6,34.01,0.0,68.86,2.11,17.15,100.65,Andhra Pradesh,16.5062,80.648
2000-01-13,26.71,20.09,35.46,0.0,66.84,1.77,17.47,100.56,Andhra Pradesh,16.5062,80.648
2000-01-14,27.2,20.9,36.09,0.0,64.04,1.69,17.71,100.43,Andhra Pradesh,16.5062,80.648
2000-01-15,26.73,19.74,35.97,0.0,62.34,2.37,18.07,100.5,Andhra Pradesh,16.5062,80.648
2000-01-16,26.78,20.21,35.91,0.0,64.17,2.23,17.89,100.65,Andhra Pradesh,16.5062,80.648
2000-01-17,26.0,18.75,35.55,0.0,62.11,1.93,18.2,100.87,Andhra Pradesh,16.5062,80.648
2000-01-18,26.25,18.82,35.54,0.0,63.53,1.64,17.99,100.93,Andhra Pradesh,16.5062,80.648
2000-01-19,26.71,20.49,35.85,0.0,55.05,1.01,18.94,100.77,Andhra Pradesh,16.5062,80.648
2000-01-20,26.15,17.78,36.9,0.0,50.84,1.33,19.76,100.55,Andhra Pradesh,16.5062,80.648
2000-01-21,26.28,18.7,35.77,0.0,66.36,2.38,18.65,100.66,Andhra Pradesh,16.5062,80.648
2000-01-22,26.11,19.45,34.98,0.0,67.04,2.66,19.49,100.71,Andhra Pradesh,16.5062,80.648
2000-01-23,26.1,19.23,35.07,0.0,66.84,2.05,19.12,100.64,Andhra Pradesh,16.5062,80.648
2000-01-24,26.4,19.68,35.22,0.0,64.11,1.44,19.47,100.76,Andhra Pradesh,16.5062,80.648
2000-01-25,25.97,19.77,33.92,0.0,63.69,2.42,17.69,100.93,Andhra Pradesh,16.5062,80.648
2000-01-26,25.96,20.6,33.04,0.0,61.96,2.47,18.0,100.97,Andhra Pradesh,16.5062,80.648
2000-01-27,25.81,19.7,33.2,0.0,60.09,2.26,17.73,100.9,Andhra Pradesh,16.5062,80.648
2000-01-28,25.86,18.67,34.88,0.0,51.37,1.92,20.57,100.91,Andhra Pradesh,16.5062,80.648
2000-01-29,26.25,19.08,35.59,0.0,47.39,0.94,20.06,100.91,Andhra Pradesh,16.5062,80.648
2000-01-30,25.84,17.73,35.51,0.0,47.3,1.37,20.32,100.95,Andhra Pradesh,16.5062,80.648
2000-01-31,25.72,18.99,33.97,0.0,63.12,2.24,18.83,100.97,Andhra Pradesh,16.5062,80.648
2000-02-01,25.59,19.98,33.78,0.0,61.85,2.7,19.08,100.8,Andhra Pradesh,16.5062,80.648
2000-02-02,25.38,18.71,34.37,0.0,64.97,2.8,20.06,100.78,Andhra Pradesh,16.5062,80.648
2000-02-03,26.76,19.5,35.55,0.0,66.65,2.36,18.49,100.85,Andhra Pradesh,16.5062,80.648
2000-02-04,27.48,21.52,35.98,0.0,65.73,2.37,17.94,100.71,Andhra Pradesh,16.5062,80.648
