,T2M,T2M_MIN,T2M_MAX,PRECTOTCORR,RH2M,WS2M,ALLSKY_SFC_SW_DWN,PS,city,latitude,longitude
2000-01-01,14.01,8.46,20.39,0.0,61.5,1.0,14.36,96.19,Arunachal Pradesh,27.1,93.6167
2000-01-02,14.34,8.28,20.89,0.0,56.97,0.98,15.46,96.12,Arunachal Pradesh,27.1,93.6167
2000-01-03,14.76,9.04,21.39,0.0,54.68,0.92,15.42,95.97,Arunachal Pradesh,27.1,93.6167
2000-01-04,14.46,8.38,20.86,0.0,55.25,0.76,15.44,96.0,Arunachal Pradesh,27.1,93.6167
2000-01-05,13.83,7.77,20.04,0.0,56.98,0.87,15.41,96.06,Arunachal Pradesh,27.1,93.6167
2000-01-06,14.38,9.39,20.6,0.0,56.08,0.91,15.21,95.93,Arunachal Pradesh,27.1,93.6167
2000-01-07,13.91,8.55,20.98,0.0,57.63,0.91,15.47,95.99,Arunachal Pradesh,27.1,93.6167
2000-01-08,12.96,8.24,18.62,0.0,60.32,0.94,14.11,96.04,Arunachal Pradesh,27.1,93.6167
2000-01-09,13.26,7.84,19.83,0.0,59.41,0.86,12.22,95.97,Arunachal Pradesh,27.1,93.6167
2000-01-10,12.73,7.77,18.91,0.0,64.13,0.8,5.93,96.01,Arunachal Pradesh,27.1,93.6167
2000-01-11,13.41,8.03,19.58,0.0,64.58,0.97,12.21,96.08,Arunachal Pradesh,27.1,93.6167
2000-01-12,13.37,8.53,19.39,0.0,66.55,0.89,13.94,96.07,Arunachal Pradesh,27.1,93.6167
2000-01-13,14.38,9.43,20.53,0.0,66.8,0.71,7.72,95.86,Arunachal Pradesh,27.1,93.6167
2000-01-14,14.72,11.0,19.78,1.6,71.33,0.74,3.13,95.69,Arunachal Pradesh,27.1,93.6167
2000-01-15,14.8,10.67,20.36,0.7,75.17,0.57,4.16,95.8,Arunachal Pradesh,27.1,93.6167
2000-01-16,14.58,9.66,20.62,0.0,71.77,0.81,6.9,96.04,Arunachal Pradesh,27.1,93.6167
2000-01-17,14.3,8.73,20.55,0.0,68.83,0.82,3.9,96.18,Arunachal Pradesh,27.1,93.6167
2000-01-18,14.68,9.29,21.19,0.0,68.91,0.72,15.06,96.19,Arunachal Pradesh,27.1,93.6167
2000-01-19,14.66,9.17,21.03,0.0,66.24,0.93,15.66,95.87,Arunachal Pradesh,27.1,93.6167
2000-01-20,14.35,10.45,19.33,9.43,70.6,0.88,5.37,95.66,Arunachal Pradesh,27.1,93.6167
2000-01-21,13.11,8.2,18.71,0.55,74.53,0.85,3.95,96.23,Arunachal Pradesh,27.1,93.6167
2000-01-22,13.5,7.53,19.89,0.22,71.92,0.99,7.0,96.19,Arunachal Pradesh,27.1,93.6167
2000-01-23,12.62,9.26,17.98,0.71,76.05,1.19,8.48,96.2,Arunachal Pradesh,27.1,93.6167
2000-01-24,13.5,8.14,19.97,0.01,71.18,1.05,10.92,96.4,Arunachal Pradesh,27.1,93.6167
2000-01-25,14.17,8.22,20.94,0.0,66.88,0.97,13.22,96.46,Arunachal Pradesh,27.1,93.6167
2000-01-26,14.71,8.57,21.72,0.0,64.77,1.03,14.19,96.4,Arunachal Pradesh,27.1,93.6167
2000-01-27,14.37,8.39,21.16,0.08,62.94,0.88,9.12,96.18,Arunachal Pradesh,27.1,93.6167
2000-01-28,14.16,8.32,20.41,0.66,65.99,0.79,3.61,96.1,Arunachal Pradesh,27.1,93.6167
2000-01-29,14.31,9.16,19.9,3.54,71.09,0.72,6.05,96.09,Arunachal Pradesh,27.1,93.6167
2000-01-30,13.26,8.94,19.71,0.01,75.15,1.0,13.37,96.33,Arunachal Pradesh,27.1,93.6167
2000-01-31,13.23,7.41,19.6,0.0,71.68,1.04,13.15,96.48,Arunachal Pradesh,27.1,93.6167
2000-02-01,13.54,8.14,20.13,0.95,65.79,0.99,8.87,96.22,Arunachal Pradesh,27.1,93.6167
2000-02-02,12.51,8.01,20.06,2.77,72.36,1.17,5.47,96.24,Arunachal Pradesh,27.1,93.6167
2000-02-03,11.82,8.08,17.07,0.17,80.04,0.96,10.34,96.36,Arunachal Pradesh,27.1,93.6167
2000-02-04,13.65,9.27,19.8,0.01,74.32,1.13,11.44,96.2,Arunachal Pradesh,27.1,93.6167
2000-02-05,14.39,9.23,20.93,0.07,70.37,1.04,14.25,96.06,Arunachal Pradesh,27.1,93.6167
2000-02-06,14.79,10.36,20.69,0.08,72.38,1.02,9.93,96.0,Arunachal Pradesh,27.1,93.6167
2000-02-07,14.73,10.28,19.86,5.04,73.44,0.64,10.07,95.92,Arunachal Pradesh,27.1,93.6167
2000-02-08,14.91,10.75,20.5,1.56,72.43,0.6,11.04,95.95,Arunachal Pradesh,27.1,93.6167
2000-02-09,13.68,9.15,19.84,0.02,69.45,1.05,9.81,95.93,Arunachal Pradesh,27.1,93.6167
2000-02-10,13.02,7.05,19.72,0.0,64.45,0.8,10.04,96.05,Arunachal Pradesh,27.1,93.6167
2000-02-11,13.19,7.88,19.92,0.0,61.55,0.9,11.58,96.06,Arunachal Pradesh,27.1,93.6167
2000-02-12,13.81,6.99,20.76,0.0,63.0,1.04,7.29,96.05,Arunachal Pradesh,27.1,93.6167
2000-02-13,14.27,7.97,21.34,0.0,64.72,1.0,15.44,95.99,Arunachal Pradesh,27.1,93.6167
2000-02-14,15.44,10.21,22.29,0.0,62.14,0.96,16.12,95.99,Arunachal Pradesh,27.1,93.6167
2000-02-15,15.76,9.33,22.54,0.0,55.04,0.91,13.84,96.03,Arunachal Pradesh,27.1,93.6167
2000-02-16,15.65,9.32,22.73,0.0,55.65,0.9,19.53,95.9,Arunachal Pradesh,27.1,93.6167
2000-02-17,15.42,9.43,22.73,0.0,56.85,1.0,12.64,95.66,Arunachal Pradesh,27.1,93.6167
2000-02-18,14.55,8.08,21.76,0.97,55.46,0.88,11.11,95.72,Arunachal Pradesh,27.1,93.6167
2000-02-19,13.38,7.48,20.22,6.35,54.25,1.0,9.51,95.85,Arunachal Pradesh,27.1,93.6167
2000-02-20,12.97,6.55,20.41,0.02,51.86,0.95,10.45,95.9,Arunachal Pradesh,27.1,93.6167
2000-02-21,13.35,6.52,20.89,0.05,49.92,0.93,10.17,96.03,Arunachal Pradesh,27.1,93.6167
2000-02-22,13.67,6.14,20.9,0.0,49.61,1.06,15.14,96.05,Arunachal Pradesh,27.1,93.6167
2000-02-23,14.11,7.37,21.42,0.0,50.92,1.06,10.9,96.04,Arunachal Pradesh,27.1,93.6167
2000-02-24,14.09,7.33,21.49,0.0,52.93,1.02,9.24,96.03,Arunachal Pradesh,27.1,93.6167
2000-02-25,14.82,8.61,22.51,0.02,49.69,0.99,11.99,95.91,Arunachal Pradesh,27.1,93.6167
2000-02-26,14.09,8.26,21.42,0.1,49.96,1.18,11.71,95.76,Arunachal Pradesh,27.1,93.6167
