,T2M,T2M_MIN,T2M_MAX,PRECTOTCORR,RH2M,WS2M,ALLSKY_SFC_SW_DWN,PS,city,latitude,longitude
2000-01-01,14.05,8.83,20.99,0.0,67.76,0.68,14.08,96.9,Assam,26.1445,91.7362
2000-01-02,13.72,6.56,21.54,0.0,64.31,0.63,14.64,96.83,Assam,26.1445,91.7362
2000-01-03,14.13,7.6,22.04,0.0,63.81,0.67,14.46,96.69,Assam,26.1445,91.7362
2000-01-04,14.1,8.34,21.4,0.0,66.84,0.61,14.48,96.77,Assam,26.1445,91.7362
2000-01-05,14.65,8.89,21.92,0.0,62.87,0.67,14.26,96.79,Assam,26.1445,91.7362
2000-01-06,14.6,9.15,22.08,0.0,64.78,0.68,13.81,96.63,Assam,26.1445,91.7362
2000-01-07,14.66,8.94,26.4,0.0,69.98,0.62,14.23,96.73,Assam,26.1445,91.7362
2000-01-08,13.16,7.18,20.33,0.0,71.87,0.5,13.3,96.74,Assam,26.1445,91.7362
2000-01-09,12.98,8.04,21.3,0.0,76.69,0.48,12.45,96.75,Assam,26.1445,91.7362
2000-01-10,12.93,7.64,20.53,0.0,74.38,0.47,12.2,96.79,Assam,26.1445,91.7362
2000-01-11,13.85,6.93,21.81,0.0,70.23,0.51,13.46,96.82,Assam,26.1445,91.7362
2000-01-12,13.72,7.89,21.88,0.0,73.79,0.54,14.37,96.8,Assam,26.1445,91.7362
2000-01-13,14.51,8.42,22.38,0.0,74.21,0.45,11.89,96.62,Assam,26.1445,91.7362
2000-01-14,15.95,10.77,23.67,0.01,73.99,0.54,12.52,96.42,Assam,26.1445,91.7362
2000-01-15,15.69,11.34,23.32,0.01,71.05,0.58,10.71,96.58,Assam,26.1445,91.7362
2000-01-16,15.24,9.33,23.66,0.01,71.33,0.5,12.61,96.79,Assam,26.1445,91.7362
2000-01-17,13.76,7.99,21.99,0.0,71.41,0.5,10.66,96.94,Assam,26.1445,91.7362
2000-01-18,13.27,7.18,22.48,0.0,73.12,0.5,15.36,96.97,Assam,26.1445,91.7362
2000-01-19,14.53,7.95,23.29,0.0,71.65,0.57,15.15,96.58,Assam,26.1445,91.7362
2000-01-20,14.13,9.2,21.69,0.0,69.3,0.61,6.92,96.42,Assam,26.1445,91.7362
2000-01-21,14.32,7.63,21.83,0.4,65.67,0.44,10.39,96.88,Assam,26.1445,91.7362
2000-01-22,15.12,9.09,23.47,0.7,72.08,0.5,13.39,96.85,Assam,26.1445,91.7362
2000-01-23,15.11,9.5,21.94,4.67,74.71,0.41,13.35,96.84,Assam,26.1445,91.7362
2000-01-24,14.7,9.55,22.2,0.97,76.42,0.61,13.35,97.07,Assam,26.1445,91.7362
2000-01-25,15.29,8.55,22.97,0.0,70.8,0.55,15.77,97.18,Assam,26.1445,91.7362
2000-01-26,14.79,8.3,22.69,0.0,68.1,0.59,16.41,97.14,Assam,26.1445,91.7362
2000-01-27,13.81,7.47,22.84,0.0,75.03,0.42,15.44,96.97,Assam,26.1445,91.7362
2000-01-28,14.87,8.78,22.4,0.04,68.35,0.64,15.04,96.85,Assam,26.1445,91.7362
2000-01-29,14.96,9.36,22.54,0.78,72.35,0.44,14.22,96.76,Assam,26.1445,91.7362
2000-01-30,14.18,8.45,21.46,0.01,71.0,0.5,16.71,97.07,Assam,26.1445,91.7362
2000-01-31,14.39,7.38,22.64,0.0,66.69,0.62,16.39,97.14,Assam,26.1445,91.7362
2000-02-01,14.59,7.54,23.99,0.04,66.89,0.54,16.1,96.93,Assam,26.1445,91.7362
2000-02-02,13.94,8.08,21.31,6.57,75.08,0.5,3.99,96.9,Assam,26.1445,91.7362
2000-02-03,15.69,10.72,22.75,0.05,77.34,0.53,14.82,97.0,Assam,26.1445,91.7362
2000-02-04,15.36,10.02,24.01,0.06,76.09,0.53,16.46,96.87,Assam,26.1445,91.7362
