,T2M,T2M_MIN,T2M_MAX,PRECTOTCORR,RH2M,WS2M,ALLSKY_SFC_SW_DWN,PS,city,latitude,longitude
2000-01-01,16.81,8.53,25.16,0.0,29.43,1.03,7.26,100.91,Bihar,25.5941,85.1376
2000-01-02,15.86,8.33,25.21,0.0,32.74,1.34,5.88,100.89,Bihar,25.5941,85.1376
2000-01-03,14.92,6.99,24.62,0.0,34.99,1.51,5.97,100.77,Bihar,25.5941,85.1376
2000-01-04,14.9,6.22,24.75,0.0,35.39,1.64,6.49,100.77,Bihar,25.5941,85.1376
2000-01-05,14.67,7.01,24.37,0.0,34.45,1.62,5.67,100.82,Bihar,25.5941,85.1376
2000-01-06,14.45,5.82,24.6,0.0,34.82,1.67,7.34,100.72,Bihar,25.5941,85.1376
2000-01-07,14.35,5.77,25.1,0.0,34.75,1.95,12.72,100.77,Bihar,25.5941,85.1376
2000-01-08,15.95,8.01,24.9,0.0,29.93,1.37,11.0,100.71,Bihar,25.5941,85.1376
2000-01-09,16.33,8.4,25.39,0.0,29.31,1.33,10.52,100.69,Bihar,25.5941,85.1376
2000-01-10,17.74,8.63,26.76,0.0,29.89,1.28,14.03,100.6,Bihar,25.5941,85.1376
2000-01-11,18.82,10.61,27.25,0.0,34.35,0.93,15.39,100.7,Bihar,25.5941,85.1376
2000-01-12,19.46,11.93,27.85,0.0,36.56,0.83,15.64,100.61,Bihar,25.5941,85.1376
2000-01-13,20.23,12.52,28.73,0.11,43.06,1.08,14.36,100.43,Bihar,25.5941,85.1376
2000-01-14,19.68,12.83,28.11,0.0,42.37,2.15,13.98,100.36,Bihar,25.5941,85.1376
2000-01-15,19.04,11.14,27.83,0.92,40.58,1.25,11.75,100.53,Bihar,25.5941,85.1376
2000-01-16,17.57,10.53,27.44,0.01,35.95,2.17,15.49,100.82,Bihar,25.5941,85.1376
2000-01-17,13.16,5.36,23.48,0.0,29.24,2.9,15.49,100.99,Bihar,25.5941,85.1376
2000-01-18,13.51,4.8,24.55,0.0,32.41,2.03,14.76,100.98,Bihar,25.5941,85.1376
2000-01-19,14.94,6.15,25.69,0.0,33.9,1.84,13.91,100.61,Bihar,25.5941,85.1376
2000-01-20,16.58,8.21,27.11,0.0,38.88,2.42,14.1,100.26,Bihar,25.5941,85.1376
2000-01-21,17.78,10.23,26.36,0.0,33.23,0.85,15.53,100.67,Bihar,25.5941,85.1376
2000-01-22,17.67,9.49,27.9,0.0,38.18,1.27,14.14,100.68,Bihar,25.5941,85.1376
2000-01-23,18.03,10.47,27.56,0.01,41.47,1.37,14.96,100.67,Bihar,25.5941,85.1376
2000-01-24,19.05,10.97,27.13,0.0,34.72,1.03,14.78,100.93,Bihar,25.5941,85.1376
2000-01-25,19.95,12.31,27.47,0.0,27.93,0.76,15.2,101.09,Bihar,25.5941,85.1376
2000-01-26,19.48,9.62,28.12,0.0,28.77,0.94,15.75,101.07,Bihar,25.5941,85.1376
2000-01-27,19.91,10.24,29.23,0.07,28.6,1.32,8.6,100.86,Bihar,25.5941,85.1376
2000-01-28,20.35,14.6,28.88,0.46,33.56,2.06,16.95,100.75,Bihar,25.5941,85.1376
2000-01-29,16.93,9.18,26.37,0.0,37.5,2.46,15.52,100.79,Bihar,25.5941,85.1376
2000-01-30,17.28,7.74,26.8,0.0,28.07,1.46,15.76,100.93,Bihar,25.5941,85.1376
2000-01-31,17.24,8.8,27.47,0.0,33.87,1.54,16.55,100.98,Bihar,25.5941,85.1376
2000-02-01,19.36,10.25,29.54,0.01,54.65,3.36,13.99,100.57,Bihar,25.5941,85.1376
2000-02-02,19.45,13.69,27.82,0.05,56.34,2.53,14.12,100.63,Bihar,25.5941,85.1376
2000-02-03,18.31,9.97,27.62,0.0,55.26,1.52,16.24,100.9,Bihar,25.5941,85.1376
2000-02-04,19.87,11.25,29.03,0.0,32.14,1.09,15.14,100.69,Bihar,25.5941,85.1376
2000-02-05,20.26,12.86,28.86,0.46,53.04,3.21,11.0,100.38,Bihar,25.5941,85.1376
2000-02-06,20.73,16.1,27.41,0.1,64.08,2.76,8.98,100.47,Bihar,25.5941,85.1376
2000-02-07,19.55,14.03,27.68,0.01,56.2,1.38,14.74,100.58,Bihar,25.5941,85.1376
2000-02-08,18.55,11.5,27.59,0.0,34.59,1.35,10.56,100.6,Bihar,25.5941,85.1376
2000-02-09,18.12,11.39,27.39,0.0,27.81,1.76,18.33,100.6,Bihar,25.5941,85.1376
2000-02-10,18.1,7.95,27.55,0.04,25.06,1.27,15.48,100.66,Bihar,25.5941,85.1376
2000-02-11,19.99,9.82,30.1,3.07,37.73,2.78,5.91,100.47,Bihar,25.5941,85.1376
2000-02-12,20.88,16.33,27.7,1.61,70.35,2.06,11.98,100.52,Bihar,25.5941,85.1376
2000-02-13,19.43,13.33,28.06,0.0,53.47,1.63,17.21,100.67,Bihar,25.5941,85.1376
2000-02-14,17.11,8.98,26.97,0.0,28.02,2.54,20.19,100.8,Bihar,25.5941,85.1376
2000-02-15,16.93,6.82,27.47,0.0,23.84,2.14,19.6,100.78,Bihar,25.5941,85.1376
2000-02-16,18.68,9.3,28.39,0.0,22.95,1.35,20.16,100.58,Bihar,25.5941,85.1376
2000-02-17,19.7,11.11,29.5,0.0,21.94,1.64,19.57,100.29,Bihar,25.5941,85.1376
2000-02-18,17.52,9.09,28.28,0.0,21.8,2.12,19.59,100.41,Bihar,25.5941,85.1376
2000-02-19,17.47,8.56,28.47,0.0,19.44,2.0,19.92,100.51,Bihar,25.5941,85.1376
2000-02-20,18.94,8.82,29.4,0.02,19.01,1.55,20.4,100.5,Bihar,25.5941,85.1376
2000-02-21,21.45,11.28,29.77,0.02,18.19,0.71,18.39,100.59,Bihar,25.5941,85.1376
2000-02-22,21.73,12.47,31.07,0.04,26.23,0.95,21.43,100.64,Bihar,25.5941,85.1376
2000-02-23,20.22,10.48,30.74,0.01,20.57,2.27,21.06,100.69,Bihar,25.5941,85.1376
2000-02-24,18.73,8.74,30.34,0.0,13.84,2.66,21.3,100.69,Bihar,25.5941,85.1376
2000-02-25,18.41,8.66,29.48,0.0,16.46,2.96,21.61,100.56,Bihar,25.5941,85.1376
2000-02-26,17.7,8.63,28.21,0.0,15.38,2.41,21.43,100.45,Bihar,25.5941,85.1376
2000-02-27,18.15,7.67,29.19,0.0,15.25,2.17,21.62,100.47,Bihar,25.5941,85.1376
2000-02-28,20.91,10.33,31.64,0.0,14.46,1.98,21.82,100.55,Bihar,25.5941,85.1376
2000-02-29,22.86,12.86,32.91,0.02,16.32,1.41,21.77,100.43,Bihar,25.5941,85.1376
2000-03-01,22.72,13.34,32.89,0.0,20.49,1.57,19.07,100.18,Bihar,25.5941,85.1376
2000-03-02,24.44,17.65,33.97,3.43,28.49,1.67,12.2,100.07,Bihar,25.5941,85.1376
2000-03-03,24.54,16.34,33.88,0.0,26.71,1.68,18.85,100.2,Bihar,25.5941,85.1376
2000-03-04,25.93,17.74,35.59,0.0,20.89,1.0,17.5,100.23,Bihar,25.5941,85.1376
2000-03-05,26.18,16.57,36.18,0.0,26.26,1.42,18.82,100.1,Bihar,25.5941,85.1376
2000-03-06,24.36,15.22,34.85,0.0,17.91,2.3,17.06,100.17,Bihar,25.5941,85.1376
2000-03-07,25.85,17.97,35.72,0.05,14.9,0.84,19.22,100.24,Bihar,25.5941,85.1376
2000-03-08,25.16,17.5,34.86,0.52,23.63,2.49,19.36,100.07,Bihar,25.5941,85.1376
2000-03-09,22.31,14.07,31.65,0.0,13.69,3.68,19.01,100.07,Bihar,25.5941,85.1376
2000-03-10,22.54,12.35,34.2,0.0,12.51,3.05,20.02,100.07,Bihar,25.5941,85.1376
2000-03-11,24.22,13.15,35.2,0.0,10.21,1.29,19.11,100.0,Bihar,25.5941,85.1376
2000-03-12,24.27,13.86,35.32,0.1,23.24,1.89,19.09,99.83,Bihar,25.5941,85.1376
2000-03-13,26.24,17.42,35.73,0.2,29.54,2.25,20.09,99.7,Bihar,25.5941,85.1376
2000-03-14,25.44,18.34,34.59,0.38,37.33,1.89,22.1,100.0,Bihar,25.5941,85.1376
2000-03-15,23.45,15.0,32.83,0.0,18.78,3.03,22.45,100.15,Bihar,25.5941,85.1376
2000-03-16,23.09,13.14,33.86,0.0,11.29,3.01,22.26,100.07,Bihar,25.5941,85.1376
2000-03-17,24.63,13.98,35.4,0.0,11.27,2.3,20.83,99.94,Bihar,25.5941,85.1376
2000-03-18,26.72,16.25,36.59,0.0,12.0,1.19,20.82,100.04,Bihar,25.5941,85.1376
2000-03-19,26.21,18.83,36.83,0.0,10.37,1.95,22.24,100.12,Bihar,25.5941,85.1376
2000-03-20,23.64,13.05,35.37,0.0,7.44,2.62,20.98,100.21,Bihar,25.5941,85.1376
2000-03-21,25.86,14.63,36.66,0.0,7.62,1.59,20.94,100.35,Bihar,25.5941,85.1376
2000-03-22,27.67,16.06,39.81,0.48,14.75,1.82,22.51,100.15,Bihar,25.5941,85.1376
2000-03-23,23.71,19.82,28.77,0.1,47.89,3.06,9.71,100.47,Bihar,25.5941,85.1376
2000-03-24,25.33,17.38,34.38,0.0,34.96,1.95,23.79,100.6,Bihar,25.5941,85.1376
2000-03-25,25.47,16.25,34.32,0.0,19.25,1.85,24.06,100.56,Bihar,25.5941,85.1376
2000-03-26,27.23,18.88,35.79,0.0,12.31,0.73,24.47,100.57,Bihar,25.5941,85.1376
2000-03-27,28.34,19.82,37.14,0.0,10.22,0.84,24.21,100.44,Bihar,25.5941,85.1376
2000-03-28,29.22,19.41,37.55,0.1,12.77,0.91,24.26,100.36,Bihar,25.5941,85.1376
2000-03-29,30.31,20.84,39.01,0.0,13.94,0.93,24.03,100.31,Bihar,25.5941,85.1376
2000-03-30,30.29,22.1,39.73,0.0,12.11,1.35,24.39,100.09,Bihar,25.5941,85.1376
2000-03-31,30.35,19.37,40.58,0.0,9.8,1.8,25.92,99.89,Bihar,25.5941,85.1376
2000-04-01,31.58,19.79,43.06,0.0,10.55,2.96,25.24,99.65,Bihar,25.5941,85.1376
2000-04-02,31.98,23.4,41.65,0.0,11.84,4.38,23.56,99.54,Bihar,25.5941,85.1376
2000-04-03,30.31,19.85,41.27,0.0,9.41,3.38,24.3,99.73,Bihar,25.5941,85.1376
