,T2M,T2M_MIN,T2M_MAX,PRECTOTCORR,RH2M,WS2M,ALLSKY_SFC_SW_DWN,PS,city,latitude,longitude
2000-01-01,17.64,10.79,26.7,0.0,64.82,0.95,17.23,98.29,Chhattisgarh,21.2514,81.6296
2000-01-02,17.47,11.22,26.39,0.0,60.56,0.95,17.17,98.31,Chhattisgarh,21.2514,81.6296
2000-01-03,17.14,10.31,25.93,0.0,55.2,0.86,16.88,98.2,Chhattisgarh,21.2514,81.6296
2000-01-04,17.19,10.53,26.14,0.0,51.9,0.8,17.22,98.22,Chhattisgarh,21.2514,81.6296
2000-01-05,16.93,9.11,26.29,0.0,52.97,0.91,16.96,98.25,Chhattisgarh,21.2514,81.6296
2000-01-06,16.31,7.83,25.62,0.0,45.61,1.48,17.0,98.26,Chhattisgarh,21.2514,81.6296
2000-01-07,15.99,6.68,25.82,0.0,43.1,1.05,17.12,98.32,Chhattisgarh,21.2514,81.6296
2000-01-08,17.41,9.92,27.27,0.0,40.4,0.95,17.72,98.22,Chhattisgarh,21.2514,81.6296
2000-01-09,18.27,11.29,28.6,0.0,42.84,0.86,17.97,98.17,Chhattisgarh,21.2514,81.6296
2000-01-10,19.17,11.68,29.9,0.0,45.77,1.06,18.17,98.11,Chhattisgarh,21.2514,81.6296
2000-01-11,19.09,11.13,29.92,0.0,51.44,1.22,18.01,98.14,Chhattisgarh,21.2514,81.6296
2000-01-12,19.65,11.43,30.16,0.0,52.63,1.04,17.98,98.07,Chhattisgarh,21.2514,81.6296
2000-01-13,20.68,12.54,31.4,0.0,54.47,1.34,17.81,97.94,Chhattisgarh,21.2514,81.6296
2000-01-14,20.84,12.44,30.64,0.0,55.7,1.35,17.68,97.89,Chhattisgarh,21.2514,81.6296
2000-01-15,22.54,14.29,30.7,2.94,56.52,1.13,17.22,97.88,Chhattisgarh,21.2514,81.6296
2000-01-16,20.97,14.87,29.58,0.03,60.44,1.84,18.23,98.19,Chhattisgarh,21.2514,81.6296
2000-01-17,18.27,10.2,27.79,0.0,47.83,1.78,18.99,98.48,Chhattisgarh,21.2514,81.6296
2000-01-18,17.31,8.5,28.29,0.0,41.47,1.52,19.36,98.52,Chhattisgarh,21.2514,81.6296
2000-01-19,18.97,9.1,30.03,0.0,39.55,0.98,18.76,98.24,Chhattisgarh,21.2514,81.6296
2000-01-20,20.09,12.81,31.34,0.0,39.82,1.58,18.47,97.91,Chhattisgarh,21.2514,81.6296
2000-01-21,18.78,8.94,30.08,0.0,43.13,1.33,18.28,98.1,Chhattisgarh,21.2514,81.6296
2000-01-22,20.56,10.77,30.71,0.0,41.44,1.17,17.74,98.08,Chhattisgarh,21.2514,81.6296
2000-01-23,19.49,11.28,29.26,0.0,46.26,1.15,18.22,98.12,Chhattisgarh,21.2514,81.6296
2000-01-24,18.35,10.01,28.28,0.0,52.13,1.72,18.74,98.37,Chhattisgarh,21.2514,81.6296
2000-01-25,18.62,10.4,28.35,0.0,55.65,1.66,18.95,98.49,Chhattisgarh,21.2514,81.6296
2000-01-26,19.53,11.24,29.57,0.0,61.37,1.6,19.15,98.44,Chhattisgarh,21.2514,81.6296
2000-01-27,20.27,12.09,30.35,0.0,53.95,1.52,18.9,98.32,Chhattisgarh,21.2514,81.6296
2000-01-28,20.4,13.63,30.66,0.0,44.64,1.55,18.78,98.33,Chhattisgarh,21.2514,81.6296
