,T2M,T2M_MIN,T2M_MAX,PRECTOTCORR,RH2M,WS2M,ALLSKY_SFC_SW_DWN,PS,city,latitude,longitude
2000-01-01,24.26,16.56,34.3,0.0,31.48,1.73,16.82,99.21,Dadra and Nagar Haveli,20.1809,73.0169
2000-01-02,24.02,17.09,33.91,0.0,34.2,2.05,16.71,99.29,Dadra and Nagar Haveli,20.1809,73.0169
2000-01-03,23.84,16.68,33.86,0.0,30.82,2.3,16.73,99.22,Dadra and Nagar Haveli,20.1809,73.0169
2000-01-04,23.85,16.57,34.16,0.0,26.99,2.39,16.74,99.18,Dadra and Nagar Haveli,20.1809,73.0169
2000-01-05,23.52,16.29,33.87,0.0,22.03,2.56,16.89,99.21,Dadra and Nagar Haveli,20.1809,73.0169
2000-01-06,23.59,16.14,33.88,0.0,17.57,2.65,16.63,99.3,Dadra and Nagar Haveli,20.1809,73.0169
2000-01-07,23.79,16.51,34.1,0.0,18.76,2.56,16.25,99.27,Dadra and Nagar Haveli,20.1809,73.0169
2000-01-08,24.01,16.18,35.52,0.0,23.69,2.24,16.19,99.2,Dadra and Nagar Haveli,20.1809,73.0169
2000-01-09,24.27,16.05,36.16,0.0,25.69,2.03,16.71,99.14,Dadra and Nagar Haveli,20.1809,73.0169
2000-01-10,24.3,16.35,35.37,0.0,33.18,1.61,16.93,99.11,Dadra and Nagar Haveli,20.1809,73.0169
2000-01-11,24.47,16.93,34.98,0.0,39.98,1.71,16.99,99.08,Dadra and Nagar Haveli,20.1809,73.0169
2000-01-12,22.81,17.99,31.09,0.0,66.26,1.73,16.87,99.2,Dadra and Nagar Haveli,20.1809,73.0169
2000-01-13,22.3,16.12,31.37,0.0,58.83,1.98,17.18,99.27,Dadra and Nagar Haveli,20.1809,73.0169
2000-01-14,20.98,13.51,30.93,0.0,33.26,2.38,17.56,99.18,Dadra and Nagar Haveli,20.1809,73.0169
2000-01-15,19.63,11.65,29.64,0.0,18.13,2.56,17.25,99.26,Dadra and Nagar Haveli,20.1809,73.0169
2000-01-16,21.26,11.73,32.64,0.0,19.76,1.79,17.7,99.27,Dadra and Nagar Haveli,20.1809,73.0169
2000-01-17,26.48,18.29,36.87,0.0,32.09,2.6,18.57,99.26,Dadra and Nagar Haveli,20.1809,73.0169
2000-01-18,28.0,21.11,37.71,0.0,35.96,2.82,18.29,99.43,Dadra and Nagar Haveli,20.1809,73.0169
2000-01-19,26.89,20.71,35.78,0.0,31.02,2.46,18.2,99.48,Dadra and Nagar Haveli,20.1809,73.0169
2000-01-20,24.35,16.66,33.76,0.0,24.31,2.09,18.23,99.31,Dadra and Nagar Haveli,20.1809,73.0169
2000-01-21,23.06,16.24,31.56,0.0,48.77,1.63,17.9,99.35,Dadra and Nagar Haveli,20.1809,73.0169
2000-01-22,22.89,17.06,31.05,0.0,53.54,1.76,17.84,99.42,Dadra and Nagar Haveli,20.1809,73.0169
2000-01-23,23.5,18.02,31.81,0.0,55.23,1.68,17.68,99.4,Dadra and Nagar Haveli,20.1809,73.0169
2000-01-24,24.12,16.1,34.32,0.0,42.85,1.99,18.14,99.41,Dadra and Nagar Haveli,20.1809,73.0169
2000-01-25,24.97,16.78,36.16,0.0,30.16,1.96,18.52,99.4,Dadra and Nagar Haveli,20.1809,73.0169
2000-01-26,24.41,17.31,34.73,0.0,36.66,1.7,18.66,99.45,Dadra and Nagar Haveli,20.1809,73.0169
2000-01-27,24.42,15.55,34.9,0.0,37.06,2.65,18.15,99.39,Dadra and Nagar Haveli,20.1809,73.0169
2000-01-28,25.74,17.38,35.87,0.0,22.6,3.51,18.56,99.42,Dadra and Nagar Haveli,20.1809,73.0169
2000-01-29,25.42,17.69,35.76,0.0,22.55,2.88,19.01,99.53,Dadra and Nagar Haveli,20.1809,73.0169
2000-01-30,25.37,17.46,36.0,0.0,20.67,2.3,19.13,99.56,Dadra and Nagar Haveli,20.1809,73.0169
2000-01-31,24.0,17.66,33.89,0.0,32.98,1.94,19.2,99.5,Dadra and Nagar Haveli,20.1809,73.0169
2000-02-01,22.0,16.94,30.22,0.0,70.31,1.67,18.89,99.33,Dadra and Nagar Haveli,20.1809,73.0169
2000-02-02,22.15,17.15,30.49,0.0,70.31,1.78,18.31,99.35,Dadra and Nagar Haveli,20.1809,73.0169
2000-02-03,21.87,16.67,29.8,0.0,68.05,1.9,17.99,99.57,Dadra and Nagar Haveli,20.1809,73.0169
2000-02-04,21.82,15.41,30.97,0.0,64.74,1.65,20.22,99.39,Dadra and Nagar Haveli,20.1809,73.0169
2000-02-05,21.33,17.69,27.81,0.0,66.18,2.32,17.41,99.29,Dadra and Nagar Haveli,20.1809,73.0169
2000-02-06,21.11,14.1,29.56,0.0,54.57,1.55,20.41,99.27,Dadra and Nagar Haveli,20.1809,73.0169
2000-02-07,21.74,13.74,32.23,0.0,35.92,1.76,20.46,99.21,Dadra and Nagar Haveli,20.1809,73.0169
2000-02-08,21.56,14.1,31.17,0.0,34.84,2.03,20.74,99.17,Dadra and Nagar Haveli,20.1809,73.0169
2000-02-09,22.61,13.19,33.96,0.0,31.53,2.16,20.91,99.22,Dadra and Nagar Haveli,20.1809,73.0169
2000-02-10,22.62,16.28,32.43,0.0,46.96,2.04,21.08,99.22,Dadra and Nagar Haveli,20.1809,73.0169
2000-02-11,21.81,16.05,30.26,0.0,59.34,2.26,19.85,99.25,Dadra and Nagar Haveli,20.1809,73.0169
2000-02-12,21.77,15.63,30.82,0.0,49.67,1.96,20.26,99.21,Dadra and Nagar Haveli,20.1809,73.0169
2000-02-13,21.67,12.97,32.67,0.0,17.55,2.77,21.38,99.15,Dadra and Nagar Haveli,20.1809,73.0169
2000-02-14,24.61,15.11,35.91,0.0,24.71,2.71,21.98,99.09,Dadra and Nagar Haveli,20.1809,73.0169
2000-02-15,26.78,18.94,36.71,0.0,31.02,2.74,21.53,99.15,Dadra and Nagar Haveli,20.1809,73.0169
2000-02-16,25.68,18.95,35.02,0.0,24.43,2.57,21.87,99.26,Dadra and Nagar Haveli,20.1809,73.0169
2000-02-17,23.21,15.32,32.92,0.0,19.66,2.65,21.55,99.17,Dadra and Nagar Haveli,20.1809,73.0169
2000-02-18,22.83,13.85,33.93,0.0,21.12,2.47,22.03,99.1,Dadra and Nagar Haveli,20.1809,73.0169
2000-02-19,22.7,14.75,33.47,0.0,45.24,1.78,22.12,99.02,Dadra and Nagar Haveli,20.1809,73.0169
2000-02-20,22.21,16.42,30.46,0.0,64.71,1.75,21.76,98.95,Dadra and Nagar Haveli,20.1809,73.0169
2000-02-21,23.33,17.55,32.06,0.0,56.34,1.58,21.68,99.04,Dadra and Nagar Haveli,20.1809,73.0169
2000-02-22,24.24,15.35,35.4,0.0,33.61,1.86,22.73,99.03,Dadra and Nagar Haveli,20.1809,73.0169
2000-02-23,24.9,16.2,35.38,0.0,53.96,2.53,18.52,99.06,Dadra and Nagar Haveli,20.1809,73.0169
2000-02-24,25.74,19.08,35.2,0.04,58.39,2.21,19.83,99.18,Dadra and Nagar Haveli,20.1809,73.0169
2000-02-25,25.73,19.89,33.73,0.0,58.97,1.73,21.33,99.16,Dadra and Nagar Haveli,20.1809,73.0169
2000-02-26,25.21,17.03,35.48,0.0,26.44,2.73,24.05,99.03,Dadra and Nagar Haveli,20.1809,73.0169
2000-02-27,26.64,17.53,37.51,0.0,18.86,2.61,24.08,99.01,Dadra and Nagar Haveli,20.1809,73.0169
2000-02-28,28.5,20.06,39.27,0.0,17.22,2.77,24.29,99.18,Dadra and Nagar Haveli,20.1809,73.0169
2000-02-29,28.67,20.55,39.61,0.0,17.4,2.87,24.45,99.22,Dadra and Nagar Haveli,20.1809,73.0169
2000-03-01,28.21,19.38,39.3,0.0,18.01,1.87,23.77,99.11,Dadra and Nagar Haveli,20.1809,73.0169
2000-03-02,27.14,19.94,36.44,0.0,32.65,2.03,23.66,99.17,Dadra and Nagar Haveli,20.1809,73.0169
2000-03-03,26.27,19.42,36.32,0.0,50.75,1.8,23.69,99.22,Dadra and Nagar Haveli,20.1809,73.0169
2000-03-04,25.01,18.84,34.55,0.0,55.22,1.84,23.2,99.22,Dadra and Nagar Haveli,20.1809,73.0169
2000-03-05,24.47,18.0,33.98,0.0,53.25,1.88,23.29,99.16,Dadra and Nagar Haveli,20.1809,73.0169
2000-03-06,23.26,17.23,32.04,0.0,51.27,1.98,23.02,99.12,Dadra and Nagar Haveli,20.1809,73.0169
2000-03-07,22.4,16.41,30.4,0.0,54.4,2.2,23.31,99.26,Dadra and Nagar Haveli,20.1809,73.0169
2000-03-08,23.85,16.33,34.19,0.0,36.21,2.19,23.57,99.26,Dadra and Nagar Haveli,20.1809,73.0169
2000-03-09,24.95,15.09,36.97,0.0,20.49,1.76,24.31,99.12,Dadra and Nagar Haveli,20.1809,73.0169
2000-03-10,25.77,17.99,36.62,0.0,29.43,1.63,23.9,99.1,Dadra and Nagar Haveli,20.1809,73.0169
2000-03-11,25.35,18.27,35.85,0.0,50.58,1.74,23.56,99.11,Dadra and Nagar Haveli,20.1809,73.0169
2000-03-12,25.15,19.19,34.61,0.0,63.21,2.13,23.97,99.02,Dadra and Nagar Haveli,20.1809,73.0169
2000-03-13,24.29,19.64,31.34,0.0,68.65,2.68,22.6,98.97,Dadra and Nagar Haveli,20.1809,73.0169
2000-03-14,25.4,19.04,34.8,0.0,57.52,1.63,24.1,99.13,Dadra and Nagar Haveli,20.1809,73.0169
2000-03-15,25.2,18.34,35.13,0.0,52.41,1.61,25.33,99.23,Dadra and Nagar Haveli,20.1809,73.0169
2000-03-16,24.47,17.18,34.25,0.0,58.76,1.83,25.21,99.13,Dadra and Nagar Haveli,20.1809,73.0169
2000-03-17,25.58,18.14,36.23,0.0,59.12,1.56,25.15,98.92,Dadra and Nagar Haveli,20.1809,73.0169
2000-03-18,26.57,19.37,36.2,0.0,53.47,1.74,25.08,99.0,Dadra and Nagar Haveli,20.1809,73.0169
2000-03-19,27.63,18.81,38.97,0.0,36.81,2.19,24.26,99.05,Dadra and Nagar Haveli,20.1809,73.0169
2000-03-20,28.43,17.97,40.51,0.0,19.01,2.31,25.22,98.91,Dadra and Nagar Haveli,20.1809,73.0169
2000-03-21,28.29,19.35,39.57,0.0,29.42,1.98,24.12,98.93,Dadra and Nagar Haveli,20.1809,73.0169
2000-03-22,26.83,20.03,36.59,0.0,52.89,1.83,25.72,99.04,Dadra and Nagar Haveli,20.1809,73.0169
2000-03-23,27.7,18.16,38.33,0.0,37.99,2.71,25.07,99.12,Dadra and Nagar Haveli,20.1809,73.0169
