,T2M,T2M_MIN,T2M_MAX,PRECTOTCORR,RH2M,WS2M,ALLSKY_SFC_SW_DWN,PS,city,latitude,longitude
2000-01-01,24.4,16.56,34.39,0.0,28.69,1.56,17.37,99.75,Daman and Diu,20.4283,72.8397
2000-01-02,24.17,17.22,33.8,0.0,33.52,2.05,17.27,99.83,Daman and Diu,20.4283,72.8397
2000-01-03,24.13,17.11,33.82,0.0,28.9,2.29,17.41,99.75,Daman and Diu,20.4283,72.8397
2000-01-04,24.08,16.97,33.96,0.0,22.93,2.36,17.37,99.72,Daman and Diu,20.4283,72.8397
2000-01-05,23.7,16.15,33.74,0.0,20.31,2.68,17.85,99.77,Daman and Diu,20.4283,72.8397
2000-01-06,23.44,15.69,33.7,0.0,17.47,2.35,17.92,99.87,Daman and Diu,20.4283,72.8397
2000-01-07,24.02,16.62,34.43,0.0,16.35,2.42,17.89,99.82,Daman and Diu,20.4283,72.8397
2000-01-08,24.27,16.45,35.26,0.0,21.21,2.27,18.03,99.74,Daman and Diu,20.4283,72.8397
2000-01-09,24.35,15.84,36.13,0.0,26.31,1.93,17.73,99.68,Daman and Diu,20.4283,72.8397
2000-01-10,24.36,16.73,34.95,0.0,39.13,1.42,17.45,99.65,Daman and Diu,20.4283,72.8397
2000-01-11,24.22,17.04,34.31,0.0,44.94,1.62,18.03,99.62,Daman and Diu,20.4283,72.8397
2000-01-12,22.52,18.1,30.54,0.0,68.32,1.65,19.06,99.73,Daman and Diu,20.4283,72.8397
2000-01-13,22.22,17.11,30.51,0.0,59.1,1.91,18.12,99.82,Daman and Diu,20.4283,72.8397
2000-01-14,20.25,12.83,29.86,0.0,31.93,2.31,17.93,99.75,Daman and Diu,20.4283,72.8397
2000-01-15,18.81,10.43,28.86,0.0,19.6,2.44,18.67,99.83,Daman and Diu,20.4283,72.8397
2000-01-16,20.79,11.55,32.12,0.0,18.53,1.75,17.93,99.84,Daman and Diu,20.4283,72.8397
2000-01-17,26.28,17.61,36.99,0.0,27.97,2.53,18.13,99.81,Daman and Diu,20.4283,72.8397
2000-01-18,27.89,20.96,37.28,0.0,34.54,2.78,18.25,99.97,Daman and Diu,20.4283,72.8397
2000-01-19,26.42,20.5,35.01,0.0,29.98,2.28,19.17,100.03,Daman and Diu,20.4283,72.8397
2000-01-20,23.78,16.36,33.15,0.0,24.01,2.01,19.26,99.84,Daman and Diu,20.4283,72.8397
2000-01-21,22.69,16.21,31.3,0.0,54.27,1.78,17.44,99.88,Daman and Diu,20.4283,72.8397
2000-01-22,22.85,17.88,30.62,0.0,59.5,1.79,18.13,99.94,Daman and Diu,20.4283,72.8397
2000-01-23,23.48,18.11,31.32,0.0,56.55,1.68,18.01,99.93,Daman and Diu,20.4283,72.8397
2000-01-24,24.37,17.03,33.71,0.0,41.6,1.66,17.95,99.96,Daman and Diu,20.4283,72.8397
2000-01-25,25.14,16.94,35.66,0.0,28.98,1.78,17.85,99.95,Daman and Diu,20.4283,72.8397
2000-01-26,24.54,18.3,34.09,0.0,39.48,1.45,19.02,99.99,Daman and Diu,20.4283,72.8397
2000-01-27,24.15,15.25,34.03,0.0,41.94,2.84,19.19,99.96,Daman and Diu,20.4283,72.8397
2000-01-28,24.95,16.68,34.87,0.0,23.01,3.94,18.75,100.03,Daman and Diu,20.4283,72.8397
2000-01-29,24.91,17.02,35.29,0.0,18.89,2.82,19.42,100.1,Daman and Diu,20.4283,72.8397
2000-01-30,25.13,16.91,35.47,0.0,19.08,2.01,20.31,100.11,Daman and Diu,20.4283,72.8397
2000-01-31,23.77,17.82,33.02,0.0,37.63,2.0,20.83,100.03,Daman and Diu,20.4283,72.8397
2000-02-01,21.84,16.68,29.81,0.0,70.83,1.95,19.42,99.85,Daman and Diu,20.4283,72.8397
2000-02-02,22.12,17.28,30.21,0.0,71.86,2.11,17.76,99.87,Daman and Diu,20.4283,72.8397
2000-02-03,21.78,17.56,29.09,0.0,68.42,1.9,17.71,100.11,Daman and Diu,20.4283,72.8397
2000-02-04,22.23,16.46,30.75,0.0,66.14,1.82,19.38,99.91,Daman and Diu,20.4283,72.8397
2000-02-05,21.23,17.69,27.46,0.0,61.21,2.34,17.87,99.82,Daman and Diu,20.4283,72.8397
2000-02-06,21.23,14.57,29.54,0.0,45.2,1.46,18.97,99.8,Daman and Diu,20.4283,72.8397
2000-02-07,21.95,14.62,31.8,0.0,29.75,1.71,19.48,99.74,Daman and Diu,20.4283,72.8397
2000-02-08,21.8,14.62,30.95,0.0,33.08,1.95,19.4,99.71,Daman and Diu,20.4283,72.8397
2000-02-09,22.72,13.27,33.39,0.0,28.63,2.11,19.61,99.76,Daman and Diu,20.4283,72.8397
2000-02-10,22.96,16.48,32.35,0.0,40.8,2.14,19.98,99.74,Daman and Diu,20.4283,72.8397
2000-02-11,21.84,16.01,29.99,0.0,56.46,2.21,17.76,99.78,Daman and Diu,20.4283,72.8397
2000-02-12,21.91,16.17,30.68,0.0,46.0,2.05,19.21,99.76,Daman and Diu,20.4283,72.8397
2000-02-13,21.12,12.11,31.82,0.0,17.07,2.8,20.12,99.72,Daman and Diu,20.4283,72.8397
2000-02-14,24.37,14.14,35.69,0.0,22.05,2.8,20.07,99.65,Daman and Diu,20.4283,72.8397
2000-02-15,26.2,17.73,36.43,0.0,28.45,2.66,19.8,99.71,Daman and Diu,20.4283,72.8397
2000-02-16,24.83,17.43,34.02,0.0,22.01,2.42,20.85,99.81,Daman and Diu,20.4283,72.8397
2000-02-17,22.77,14.51,32.51,0.0,19.11,2.46,21.13,99.72,Daman and Diu,20.4283,72.8397
2000-02-18,22.64,13.64,33.24,0.0,20.97,2.34,20.93,99.64,Daman and Diu,20.4283,72.8397
2000-02-19,23.02,15.61,33.33,0.0,50.33,1.6,21.27,99.54,Daman and Diu,20.4283,72.8397
2000-02-20,22.34,16.35,30.88,0.0,67.31,1.85,20.39,99.47,Daman and Diu,20.4283,72.8397
