,T2M,T2M_MIN,T2M_MAX,PRECTOTCORR,RH2M,WS2M,ALLSKY_SFC_SW_DWN,PS,city,latitude,longitude
2000-01-01,16.48,7.81,25.15,0.0,18.59,0.74,10.58,99.23,Delhi,28.6139,77.209
2000-01-02,17.42,11.41,24.89,0.0,16.48,0.79,9.03,99.22,Delhi,28.6139,77.209
2000-01-03,14.95,8.79,24.68,0.0,18.64,1.39,9.22,99.07,Delhi,28.6139,77.209
2000-01-04,14.46,6.95,24.5,0.0,19.74,1.51,8.83,99.06,Delhi,28.6139,77.209
2000-01-05,14.6,7.5,24.59,0.0,19.97,1.6,9.18,99.17,Delhi,28.6139,77.209
2000-01-06,13.82,6.37,24.59,0.0,21.28,2.04,10.1,99.12,Delhi,28.6139,77.209
2000-01-07,14.84,6.05,24.67,0.0,17.69,1.55,9.49,99.08,Delhi,28.6139,77.209
2000-01-08,16.36,10.99,25.86,0.0,14.91,1.25,7.41,98.94,Delhi,28.6139,77.209
2000-01-09,16.26,10.18,24.91,1.19,25.58,2.39,5.29,98.82,Delhi,28.6139,77.209
2000-01-10,16.5,10.0,24.16,0.01,46.53,1.35,6.1,98.85,Delhi,28.6139,77.209
2000-01-11,17.71,12.1,25.9,0.0,33.68,1.87,13.27,98.91,Delhi,28.6139,77.209
2000-01-12,16.59,9.87,26.24,3.82,41.75,2.91,9.0,98.68,Delhi,28.6139,77.209
2000-01-13,15.32,10.85,22.67,7.52,61.29,1.43,8.63,98.71,Delhi,28.6139,77.209
2000-01-14,11.81,5.41,21.54,0.04,34.89,1.66,12.45,98.85,Delhi,28.6139,77.209
2000-01-15,10.17,2.23,20.22,0.0,31.86,1.88,15.71,99.1,Delhi,28.6139,77.209
2000-01-16,9.89,2.99,19.14,0.0,38.72,2.4,14.55,99.46,Delhi,28.6139,77.209
2000-01-17,9.87,2.28,19.74,0.0,35.55,2.62,13.83,99.48,Delhi,28.6139,77.209
2000-01-18,14.15,4.86,26.04,0.0,28.34,3.38,12.81,99.32,Delhi,28.6139,77.209
2000-01-19,15.18,7.56,25.63,0.0,33.4,3.52,13.23,99.0,Delhi,28.6139,77.209
2000-01-20,14.98,7.88,24.62,0.0,32.35,3.27,14.54,98.61,Delhi,28.6139,77.209
2000-01-21,16.64,11.16,25.8,0.0,35.01,1.4,13.46,98.82,Delhi,28.6139,77.209
2000-01-22,16.02,7.96,26.09,0.72,35.71,1.75,6.15,98.98,Delhi,28.6139,77.209
2000-01-23,15.54,9.6,24.42,0.39,46.01,1.32,14.45,99.08,Delhi,28.6139,77.209
2000-01-24,16.35,7.55,25.12,0.0,42.2,1.45,15.68,99.25,Delhi,28.6139,77.209
2000-01-25,17.22,8.62,26.56,1.71,38.41,2.23,9.27,99.22,Delhi,28.6139,77.209
2000-01-26,16.75,10.51,24.61,1.16,40.89,2.49,12.77,99.25,Delhi,28.6139,77.209
2000-01-27,14.84,8.0,23.29,0.0,47.1,2.11,11.27,99.35,Delhi,28.6139,77.209
2000-01-28,14.01,7.17,22.9,0.0,46.78,3.38,15.6,99.36,Delhi,28.6139,77.209
2000-01-29,13.85,5.93,24.53,0.0,36.42,3.37,15.26,99.2,Delhi,28.6139,77.209
2000-01-30,15.73,6.25,26.17,0.0,28.8,2.04,15.98,99.18,Delhi,28.6139,77.209
2000-01-31,15.31,6.79,26.31,0.0,29.39,2.94,15.41,98.93,Delhi,28.6139,77.209
2000-02-01,14.87,6.48,25.25,0.0,28.79,2.34,16.27,98.58,Delhi,28.6139,77.209
2000-02-02,14.43,6.13,24.03,0.0,35.15,1.32,10.41,98.96,Delhi,28.6139,77.209
2000-02-03,16.41,8.16,25.29,0.0,39.11,1.41,15.12,99.19,Delhi,28.6139,77.209
2000-02-04,16.49,8.42,26.06,1.89,33.32,2.26,13.75,98.74,Delhi,28.6139,77.209
2000-02-05,13.19,9.4,17.67,13.47,70.97,1.06,8.46,98.74,Delhi,28.6139,77.209
2000-02-06,13.6,7.55,21.35,0.0,62.08,1.11,12.01,99.02,Delhi,28.6139,77.209
2000-02-07,14.55,7.56,22.77,0.0,53.23,1.12,10.6,99.02,Delhi,28.6139,77.209
2000-02-08,14.11,6.66,23.1,0.02,50.58,1.4,11.16,98.97,Delhi,28.6139,77.209
2000-02-09,14.33,6.5,23.09,0.0,46.05,1.55,16.34,99.04,Delhi,28.6139,77.209
2000-02-10,17.58,11.39,24.91,7.01,37.75,1.59,10.64,98.74,Delhi,28.6139,77.209
2000-02-11,13.83,10.11,20.62,10.37,66.4,1.68,6.29,98.71,Delhi,28.6139,77.209
2000-02-12,13.17,6.49,21.64,0.0,53.77,1.75,15.12,99.05,Delhi,28.6139,77.209
2000-02-13,11.54,4.77,19.99,0.17,46.02,2.22,18.64,99.21,Delhi,28.6139,77.209
2000-02-14,12.57,4.32,22.13,0.0,47.78,1.95,19.14,99.28,Delhi,28.6139,77.209
2000-02-15,15.01,7.35,24.15,0.0,39.72,1.54,17.56,99.13,Delhi,28.6139,77.209
2000-02-16,15.89,7.9,25.05,0.0,33.24,1.33,19.21,98.88,Delhi,28.6139,77.209
2000-02-17,15.55,7.63,25.3,0.0,30.0,1.3,19.21,98.68,Delhi,28.6139,77.209
2000-02-18,14.02,6.62,23.45,0.0,33.73,1.57,19.58,98.86,Delhi,28.6139,77.209
2000-02-19,14.49,6.54,24.45,0.0,32.92,1.57,19.8,98.92,Delhi,28.6139,77.209
2000-02-20,16.59,6.88,26.72,0.0,30.82,1.04,19.18,98.79,Delhi,28.6139,77.209
2000-02-21,16.74,9.54,25.64,0.0,34.72,1.36,19.48,98.97,Delhi,28.6139,77.209
2000-02-22,16.16,7.78,26.94,0.0,34.2,1.95,21.01,99.16,Delhi,28.6139,77.209
2000-02-23,15.02,6.39,25.96,0.0,30.83,2.42,20.06,99.22,Delhi,28.6139,77.209
2000-02-24,14.04,5.22,24.35,0.0,33.78,2.62,20.62,99.19,Delhi,28.6139,77.209
2000-02-25,14.4,5.42,25.15,0.0,31.43,2.41,20.35,98.95,Delhi,28.6139,77.209
2000-02-26,15.59,7.44,25.99,0.0,28.59,1.77,20.32,98.79,Delhi,28.6139,77.209
2000-02-27,16.81,7.06,28.4,0.0,27.23,2.27,20.92,98.8,Delhi,28.6139,77.209
