,T2M,T2M_MIN,T2M_MAX,PRECTOTCORR,RH2M,WS2M,ALLSKY_SFC_SW_DWN,PS,city,latitude,longitude
2000-01-01,22.79,15.99,31.16,0.0,46.24,1.3,17.9,96.05,Goa,15.2993,74.124
2000-01-02,22.81,15.7,31.47,0.0,45.79,1.16,19.02,96.1,Goa,15.2993,74.124
2000-01-03,23.08,15.48,31.93,0.0,46.05,1.07,18.63,96.01,Goa,15.2993,74.124
2000-01-04,23.45,16.09,32.57,0.0,45.29,0.78,18.67,95.98,Goa,15.2993,74.124
2000-01-05,23.64,16.26,32.92,0.0,38.98,1.1,18.95,95.98,Goa,15.2993,74.124
2000-01-06,23.74,16.22,32.88,0.0,37.31,1.34,18.8,96.0,Goa,15.2993,74.124
2000-01-07,22.69,15.0,31.85,0.0,21.62,1.54,18.81,96.05,Goa,15.2993,74.124
2000-01-08,23.1,14.02,33.11,0.0,24.99,1.24,19.38,96.0,Goa,15.2993,74.124
2000-01-09,24.39,16.54,34.43,0.0,40.38,1.04,19.57,95.97,Goa,15.2993,74.124
2000-01-10,24.79,16.52,34.64,0.0,38.6,1.02,19.86,95.91,Goa,15.2993,74.124
2000-01-11,25.66,17.81,35.02,0.01,39.76,0.89,18.18,95.91,Goa,15.2993,74.124
2000-01-12,24.97,19.52,32.29,0.31,54.48,0.75,15.18,95.98,Goa,15.2993,74.124
2000-01-13,26.09,18.75,34.73,0.51,54.71,0.54,18.04,95.95,Goa,15.2993,74.124
2000-01-14,26.29,19.45,34.95,0.05,53.41,0.89,17.79,95.88,Goa,15.2993,74.124
2000-01-15,25.2,19.41,32.36,0.0,53.62,0.89,19.38,95.98,Goa,15.2993,74.124
2000-01-16,26.19,18.97,34.61,0.0,50.65,0.68,19.96,95.97,Goa,15.2993,74.124
2000-01-17,26.62,19.5,35.28,0.0,39.49,1.02,19.92,96.12,Goa,15.2993,74.124
2000-01-18,26.02,18.15,35.66,0.0,30.71,1.44,21.69,96.26,Goa,15.2993,74.124
2000-01-19,26.2,18.25,35.99,0.0,34.91,1.09,20.38,96.24,Goa,15.2993,74.124
