,T2M,T2M_MIN,T2M_MAX,PRECTOTCORR,RH2M,WS2M,ALLSKY_SFC_SW_DWN,PS,city,latitude,longitude
2000-01-01,21.71,12.9,32.25,0.0,19.48,1.63,17.38,100.73,Gujarat,23.0225,72.5714
2000-01-02,22.16,13.94,32.3,0.0,23.09,1.83,17.34,100.82,Gujarat,23.0225,72.5714
2000-01-03,21.8,13.71,31.86,0.0,22.75,1.54,17.59,100.76,Gujarat,23.0225,72.5714
2000-01-04,21.77,13.37,31.86,0.0,19.85,1.37,17.6,100.73,Gujarat,23.0225,72.5714
2000-01-05,21.11,13.52,31.29,0.0,17.77,1.77,17.64,100.84,Gujarat,23.0225,72.5714
2000-01-06,21.0,11.49,31.48,0.0,15.19,1.59,17.57,100.9,Gujarat,23.0225,72.5714
2000-01-07,22.05,12.78,32.46,0.0,14.04,1.51,17.28,100.83,Gujarat,23.0225,72.5714
2000-01-08,22.31,12.92,33.26,0.0,15.11,1.28,17.18,100.72,Gujarat,23.0225,72.5714
2000-01-09,22.62,13.84,33.88,0.0,21.6,1.59,17.07,100.64,Gujarat,23.0225,72.5714
2000-01-10,23.37,13.95,33.5,0.0,28.15,1.4,17.4,100.53,Gujarat,23.0225,72.5714
2000-01-11,22.86,14.82,32.91,0.0,32.43,1.82,17.54,100.47,Gujarat,23.0225,72.5714
2000-01-12,21.17,13.38,29.68,0.0,52.43,1.72,17.26,100.56,Gujarat,23.0225,72.5714
2000-01-13,20.12,13.97,28.62,0.0,45.44,2.67,17.18,100.76,Gujarat,23.0225,72.5714
2000-01-14,17.05,9.21,26.69,0.0,11.18,2.28,17.59,100.77,Gujarat,23.0225,72.5714
2000-01-15,15.89,7.47,26.65,0.0,8.73,2.54,17.57,100.86,Gujarat,23.0225,72.5714
2000-01-16,15.94,6.07,27.4,0.0,12.51,3.11,16.97,101.0,Gujarat,23.0225,72.5714
2000-01-17,19.49,10.49,30.57,0.0,13.58,3.93,16.97,101.04,Gujarat,23.0225,72.5714
2000-01-18,22.25,13.39,33.77,0.0,18.45,2.51,16.11,101.07,Gujarat,23.0225,72.5714
2000-01-19,22.18,14.32,33.2,0.0,21.46,2.3,18.04,101.02,Gujarat,23.0225,72.5714
2000-01-20,21.66,13.1,32.45,0.0,16.76,1.79,17.84,100.69,Gujarat,23.0225,72.5714
2000-01-21,21.57,12.6,31.68,0.0,57.35,1.93,15.29,100.67,Gujarat,23.0225,72.5714
2000-01-22,22.97,15.36,30.9,0.0,54.92,1.84,15.91,100.76,Gujarat,23.0225,72.5714
2000-01-23,22.92,14.95,31.36,0.0,36.49,1.28,18.7,100.82,Gujarat,23.0225,72.5714
2000-01-24,22.74,13.78,32.28,0.0,24.04,1.2,18.38,100.9,Gujarat,23.0225,72.5714
2000-01-25,23.3,14.56,33.64,0.0,25.74,1.63,19.4,100.89,Gujarat,23.0225,72.5714
2000-01-26,22.94,14.72,32.64,0.0,31.35,1.74,19.06,100.91,Gujarat,23.0225,72.5714
2000-01-27,21.0,13.9,29.89,0.0,27.33,3.31,18.48,101.09,Gujarat,23.0225,72.5714
2000-01-28,19.2,11.48,29.63,0.0,17.37,3.44,17.93,101.25,Gujarat,23.0225,72.5714
2000-01-29,19.83,9.79,30.94,0.0,13.54,2.51,18.42,101.23,Gujarat,23.0225,72.5714
2000-01-30,21.01,10.81,33.18,0.0,12.06,1.6,18.92,101.09,Gujarat,23.0225,72.5714
2000-01-31,20.02,10.78,30.24,0.0,29.3,2.28,19.69,100.86,Gujarat,23.0225,72.5714
2000-02-01,21.87,14.36,30.54,0.0,50.78,2.0,18.67,100.59,Gujarat,23.0225,72.5714
