,T2M,T2M_MIN,T2M_MAX,PRECTOTCORR,RH2M,WS2M,ALLSKY_SFC_SW_DWN,PS,city,latitude,longitude
2000-01-01,15.73,8.62,25.29,0.0,18.67,1.08,11.83,99.07,Haryana,29.0588,76.0856
2000-01-02,15.95,9.8,24.8,0.0,18.12,0.98,9.22,99.07,Haryana,29.0588,76.0856
2000-01-03,14.76,9.48,24.17,0.0,18.82,1.4,6.93,98.93,Haryana,29.0588,76.0856
2000-01-04,15.09,8.36,24.22,0.0,19.38,1.2,7.88,98.92,Haryana,29.0588,76.0856
2000-01-05,15.33,9.4,24.23,0.0,18.99,1.01,9.76,99.02,Haryana,29.0588,76.0856
2000-01-06,14.02,7.32,24.13,0.0,20.73,1.81,9.24,98.99,Haryana,29.0588,76.0856
2000-01-07,15.79,8.06,23.75,0.0,16.33,1.24,8.53,98.93,Haryana,29.0588,76.0856
2000-01-08,15.75,9.0,24.25,0.0,15.2,1.15,5.58,98.78,Haryana,29.0588,76.0856
2000-01-09,16.07,10.32,24.88,0.43,25.28,1.98,6.77,98.62,Haryana,29.0588,76.0856
2000-01-10,16.13,9.53,23.82,0.0,48.8,1.41,6.32,98.67,Haryana,29.0588,76.0856
2000-01-11,17.35,11.2,25.09,0.01,35.64,2.4,10.42,98.71,Haryana,29.0588,76.0856
2000-01-12,16.58,9.08,25.95,4.02,42.62,2.92,7.72,98.45,Haryana,29.0588,76.0856
2000-01-13,15.61,9.24,22.56,0.88,51.75,1.7,7.78,98.57,Haryana,29.0588,76.0856
2000-01-14,10.05,3.11,19.08,0.15,25.62,1.93,15.3,98.7,Haryana,29.0588,76.0856
2000-01-15,9.7,2.31,19.46,0.0,34.48,1.74,15.4,98.97,Haryana,29.0588,76.0856
2000-01-16,9.48,2.65,18.67,0.0,37.57,2.06,14.69,99.35,Haryana,29.0588,76.0856
2000-01-17,9.72,1.51,19.81,0.0,33.26,2.3,13.59,99.38,Haryana,29.0588,76.0856
2000-01-18,14.08,4.66,25.59,0.0,26.65,2.89,12.85,99.25,Haryana,29.0588,76.0856
2000-01-19,14.59,6.72,25.03,0.0,33.11,2.93,13.97,98.92,Haryana,29.0588,76.0856
2000-01-20,15.25,6.63,25.45,0.0,29.3,2.51,14.83,98.5,Haryana,29.0588,76.0856
2000-01-21,17.35,10.51,26.61,0.0,28.21,2.1,14.9,98.59,Haryana,29.0588,76.0856
2000-01-22,16.41,9.75,26.35,0.27,32.84,2.13,13.64,98.79,Haryana,29.0588,76.0856
2000-01-23,15.36,8.62,24.73,0.18,47.4,1.25,15.58,98.95,Haryana,29.0588,76.0856
2000-01-24,17.14,9.61,25.9,0.02,36.63,1.19,14.64,99.07,Haryana,29.0588,76.0856
2000-01-25,16.22,8.51,25.67,5.9,46.07,2.41,3.68,99.0,Haryana,29.0588,76.0856
2000-01-26,15.73,10.62,23.11,0.15,52.14,2.03,8.24,99.13,Haryana,29.0588,76.0856
2000-01-27,13.8,7.79,22.14,0.01,58.44,2.41,14.23,99.28,Haryana,29.0588,76.0856
2000-01-28,12.95,5.89,22.08,0.0,46.54,2.79,15.33,99.3,Haryana,29.0588,76.0856
2000-01-29,13.47,5.02,24.64,0.0,37.72,2.92,14.86,99.12,Haryana,29.0588,76.0856
2000-01-30,15.89,6.26,26.13,0.0,27.5,1.78,15.53,99.03,Haryana,29.0588,76.0856
2000-01-31,14.97,6.38,25.8,0.0,29.33,2.7,15.39,98.69,Haryana,29.0588,76.0856
2000-02-01,14.24,6.69,24.7,0.0,32.61,1.79,14.73,98.42,Haryana,29.0588,76.0856
2000-02-02,13.5,6.78,22.63,0.0,36.4,1.24,8.64,98.8,Haryana,29.0588,76.0856
2000-02-03,14.94,6.1,24.83,0.0,40.34,1.57,15.98,99.02,Haryana,29.0588,76.0856
2000-02-04,15.36,7.21,25.0,11.4,39.95,2.05,5.04,98.53,Haryana,29.0588,76.0856
2000-02-05,11.76,6.85,18.18,0.97,71.94,1.55,6.62,98.54,Haryana,29.0588,76.0856
