,T2M,T2M_MIN,T2M_MAX,PRECTOTCORR,RH2M,WS2M,ALLSKY_SFC_SW_DWN,PS,city,latitude,longitude
2000-01-01,11.68,6.36,20.6,0.0,22.8,1.61,14.71,91.55,Himachal Pradesh,31.1048,77.1734
2000-01-02,12.07,7.21,20.79,0.0,21.35,1.46,14.68,91.51,Himachal Pradesh,31.1048,77.1734
2000-01-03,11.61,7.03,20.42,0.0,21.74,1.46,14.63,91.33,Himachal Pradesh,31.1048,77.1734
2000-01-04,11.53,6.49,20.43,0.0,22.5,1.46,15.11,91.32,Himachal Pradesh,31.1048,77.1734
2000-01-05,11.06,6.22,19.83,0.0,23.49,1.52,14.74,91.43,Himachal Pradesh,31.1048,77.1734
2000-01-06,11.14,5.63,20.33,0.0,22.1,1.8,14.45,91.37,Himachal Pradesh,31.1048,77.1734
2000-01-07,11.99,6.77,17.98,0.0,19.99,1.37,7.95,91.36,Himachal Pradesh,31.1048,77.1734
2000-01-08,13.63,9.97,19.87,0.0,27.19,1.1,6.48,91.25,Himachal Pradesh,31.1048,77.1734
2000-01-09,12.37,9.34,17.89,0.02,42.27,2.22,4.13,91.21,Himachal Pradesh,31.1048,77.1734
2000-01-10,12.93,9.31,18.37,0.01,48.57,1.36,8.72,91.25,Himachal Pradesh,31.1048,77.1734
2000-01-11,13.37,9.78,20.21,0.52,39.63,2.29,4.62,91.34,Himachal Pradesh,31.1048,77.1734
2000-01-12,14.22,10.57,20.32,7.86,44.79,3.71,2.98,91.08,Himachal Pradesh,31.1048,77.1734
2000-01-13,10.49,7.92,14.21,12.71,78.16,2.04,4.6,91.07,Himachal Pradesh,31.1048,77.1734
2000-01-14,8.03,3.21,14.9,0.09,54.15,2.84,6.24,91.06,Himachal Pradesh,31.1048,77.1734
2000-01-15,7.38,3.12,15.21,0.0,32.49,1.66,10.47,91.26,Himachal Pradesh,31.1048,77.1734
2000-01-16,6.87,0.87,15.9,0.0,32.21,1.5,11.55,91.58,Himachal Pradesh,31.1048,77.1734
2000-01-17,9.01,2.47,18.87,0.0,25.1,1.72,9.73,91.62,Himachal Pradesh,31.1048,77.1734
2000-01-18,13.06,6.86,22.92,0.0,32.76,2.27,9.67,91.62,Himachal Pradesh,31.1048,77.1734
2000-01-19,13.37,8.3,22.14,0.0,43.0,1.88,7.49,91.32,Himachal Pradesh,31.1048,77.1734
2000-01-20,10.17,5.99,17.57,0.0,48.55,1.96,12.72,90.95,Himachal Pradesh,31.1048,77.1734
2000-01-21,12.6,6.33,20.93,0.0,34.44,1.7,11.19,91.16,Himachal Pradesh,31.1048,77.1734
2000-01-22,12.13,7.15,17.41,0.02,52.27,1.71,11.53,91.44,Himachal Pradesh,31.1048,77.1734
2000-01-23,11.24,6.25,19.45,0.01,48.14,1.74,13.16,91.39,Himachal Pradesh,31.1048,77.1734
2000-01-24,11.81,6.25,20.46,0.0,37.85,1.74,13.53,91.51,Himachal Pradesh,31.1048,77.1734
2000-01-25,12.58,6.96,20.89,12.01,47.37,1.88,4.26,91.63,Himachal Pradesh,31.1048,77.1734
2000-01-26,10.9,7.04,16.2,0.88,61.25,1.79,9.62,91.72,Himachal Pradesh,31.1048,77.1734
