,T2M,T2M_MIN,T2M_MAX,PRECTOTCORR,RH2M,WS2M,ALLSKY_SFC_SW_DWN,PS,city,latitude,longitude
2000-01-01,3.43,-1.26,10.68,0.0,25.32,1.2,13.29,74.43,Jammu and Kashmir,34.0837,74.7973
2000-01-02,3.62,-1.34,11.04,0.0,24.24,1.24,13.55,74.42,Jammu and Kashmir,34.0837,74.7973
2000-01-03,3.62,-1.26,11.24,0.0,24.19,1.15,13.73,74.26,Jammu and Kashmir,34.0837,74.7973
2000-01-04,3.18,-1.37,10.59,0.0,24.83,1.29,13.77,74.2,Jammu and Kashmir,34.0837,74.7973
2000-01-05,2.77,-1.4,9.58,0.0,26.1,1.21,13.84,74.31,Jammu and Kashmir,34.0837,74.7973
2000-01-06,3.51,-1.19,9.44,0.0,21.58,1.04,12.78,74.3,Jammu and Kashmir,34.0837,74.7973
2000-01-07,2.39,-0.87,6.29,0.0,38.34,1.02,6.7,74.28,Jammu and Kashmir,34.0837,74.7973
2000-01-08,0.78,-1.62,5.53,0.0,67.28,1.64,4.12,74.09,Jammu and Kashmir,34.0837,74.7973
2000-01-09,-0.69,-3.49,4.08,0.27,74.55,2.26,4.15,73.9,Jammu and Kashmir,34.0837,74.7973
2000-01-10,-1.32,-4.06,3.08,0.02,62.64,1.29,6.98,74.05,Jammu and Kashmir,34.0837,74.7973
2000-01-11,-1.4,-4.32,2.45,0.91,65.39,2.08,8.64,73.96,Jammu and Kashmir,34.0837,74.7973
2000-01-12,-2.06,-5.99,1.23,26.14,82.67,2.34,4.68,73.62,Jammu and Kashmir,34.0837,74.7973
2000-01-13,-4.95,-7.8,-1.49,9.71,89.98,1.42,3.79,73.45,Jammu and Kashmir,34.0837,74.7973
2000-01-14,-7.09,-10.96,-3.92,0.03,85.06,1.52,8.68,73.37,Jammu and Kashmir,34.0837,74.7973
2000-01-15,-8.91,-13.58,-3.69,0.0,71.45,1.6,9.88,73.69,Jammu and Kashmir,34.0837,74.7973
2000-01-16,-10.27,-15.69,-2.38,0.0,56.06,1.68,4.73,74.14,Jammu and Kashmir,34.0837,74.7973
2000-01-17,-5.82,-13.65,1.89,0.0,47.2,1.7,11.89,74.44,Jammu and Kashmir,34.0837,74.7973
2000-01-18,-0.9,-5.08,5.1,0.93,70.64,1.69,7.38,74.56,Jammu and Kashmir,34.0837,74.7973
2000-01-19,-0.91,-7.34,4.04,0.67,77.01,1.55,7.21,74.2,Jammu and Kashmir,34.0837,74.7973
2000-01-20,-3.81,-11.01,5.26,0.0,47.17,1.38,10.98,73.9,Jammu and Kashmir,34.0837,74.7973
2000-01-21,-3.44,-10.48,4.68,0.0,41.79,1.78,6.66,73.97,Jammu and Kashmir,34.0837,74.7973
2000-01-22,-2.0,-6.06,3.69,0.0,65.03,1.28,11.62,74.18,Jammu and Kashmir,34.0837,74.7973
2000-01-23,-2.52,-8.66,4.61,0.0,57.92,1.3,10.74,74.19,Jammu and Kashmir,34.0837,74.7973
2000-01-24,-2.97,-9.75,4.84,0.17,54.0,1.54,13.82,74.24,Jammu and Kashmir,34.0837,74.7973
2000-01-25,-2.57,-5.3,2.38,0.35,75.66,1.81,4.16,74.25,Jammu and Kashmir,34.0837,74.7973
2000-01-26,-2.21,-5.33,2.0,0.14,72.7,1.36,5.09,74.29,Jammu and Kashmir,34.0837,74.7973
2000-01-27,-2.75,-7.35,2.88,0.0,64.34,1.23,7.84,74.32,Jammu and Kashmir,34.0837,74.7973
2000-01-28,-3.75,-10.51,4.96,0.0,44.33,1.51,8.02,74.43,Jammu and Kashmir,34.0837,74.7973
2000-01-29,-0.69,-9.64,9.66,0.0,32.02,1.48,10.7,74.49,Jammu and Kashmir,34.0837,74.7973
2000-01-30,2.06,-6.26,10.93,0.0,35.86,1.54,14.48,74.44,Jammu and Kashmir,34.0837,74.7973
2000-01-31,-0.57,-3.65,3.57,10.71,63.17,2.29,5.38,73.99,Jammu and Kashmir,34.0837,74.7973
2000-02-01,-4.06,-9.66,-0.57,26.78,77.96,1.89,5.92,73.75,Jammu and Kashmir,34.0837,74.7973
2000-02-02,-6.28,-11.16,-1.27,0.27,77.37,1.51,11.88,73.99,Jammu and Kashmir,34.0837,74.7973
2000-02-03,-4.19,-8.29,0.64,0.0,68.47,1.61,12.07,74.24,Jammu and Kashmir,34.0837,74.7973
2000-02-04,-4.02,-8.67,0.71,0.15,67.09,1.39,12.52,73.9,Jammu and Kashmir,34.0837,74.7973
2000-02-05,-2.27,-7.08,3.91,0.09,69.8,1.18,14.61,73.62,Jammu and Kashmir,34.0837,74.7973
2000-02-06,-2.53,-8.36,2.39,0.0,71.85,1.01,12.08,73.99,Jammu and Kashmir,34.0837,74.7973
2000-02-07,-3.68,-12.16,4.94,0.0,56.65,1.41,12.71,74.03,Jammu and Kashmir,34.0837,74.7973
2000-02-08,-3.35,-9.19,3.0,0.0,66.28,1.7,12.45,73.95,Jammu and Kashmir,34.0837,74.7973
2000-02-09,-2.91,-6.44,2.19,1.99,67.69,2.01,8.59,73.9,Jammu and Kashmir,34.0837,74.7973
2000-02-10,-2.72,-6.1,1.35,6.22,78.89,1.71,5.04,73.55,Jammu and Kashmir,34.0837,74.7973
2000-02-11,-3.63,-6.33,0.58,1.09,79.31,1.51,4.97,73.49,Jammu and Kashmir,34.0837,74.7973
2000-02-12,-4.08,-7.06,-0.45,0.7,72.22,1.17,11.18,73.79,Jammu and Kashmir,34.0837,74.7973
2000-02-13,-4.23,-11.04,2.86,0.0,54.52,1.16,11.11,74.04,Jammu and Kashmir,34.0837,74.7973
2000-02-14,-3.71,-12.19,5.2,0.0,40.81,1.33,12.41,74.28,Jammu and Kashmir,34.0837,74.7973
2000-02-15,-0.2,-4.7,5.96,0.0,43.17,1.66,15.75,74.18,Jammu and Kashmir,34.0837,74.7973
2000-02-16,-3.14,-5.99,-0.08,0.0,68.48,1.73,4.77,73.75,Jammu and Kashmir,34.0837,74.7973
2000-02-17,-4.39,-7.39,-0.13,0.0,72.74,1.43,7.06,73.7,Jammu and Kashmir,34.0837,74.7973
2000-02-18,-4.6,-9.28,0.12,1.01,63.5,1.17,14.28,73.76,Jammu and Kashmir,34.0837,74.7973
2000-02-19,-5.04,-10.84,0.35,0.0,59.37,1.23,14.51,73.86,Jammu and Kashmir,34.0837,74.7973
2000-02-20,-4.58,-9.64,1.03,1.91,59.91,1.3,14.44,73.87,Jammu and Kashmir,34.0837,74.7973
2000-02-21,-4.27,-8.21,0.12,0.2,66.05,1.18,12.57,74.0,Jammu and Kashmir,34.0837,74.7973
2000-02-22,-4.49,-10.45,1.24,0.0,62.91,1.63,13.02,74.17,Jammu and Kashmir,34.0837,74.7973
2000-02-23,-3.95,-11.57,3.28,0.36,57.97,1.53,14.94,74.24,Jammu and Kashmir,34.0837,74.7973
2000-02-24,-4.24,-13.05,4.56,0.0,49.92,1.41,15.2,74.2,Jammu and Kashmir,34.0837,74.7973
2000-02-25,-3.76,-12.99,5.39,0.0,40.31,1.39,16.02,74.0,Jammu and Kashmir,34.0837,74.7973
2000-02-26,-2.98,-11.7,5.44,0.0,35.33,1.34,15.62,73.97,Jammu and Kashmir,34.0837,74.7973
2000-02-27,-0.54,-5.92,6.63,0.0,40.85,1.59,18.65,74.11,Jammu and Kashmir,34.0837,74.7973
2000-02-28,-0.17,-7.95,8.18,0.0,47.92,1.26,18.37,74.39,Jammu and Kashmir,34.0837,74.7973
2000-02-29,1.83,-2.85,8.42,0.0,61.68,1.92,11.01,74.22,Jammu and Kashmir,34.0837,74.7973
2000-03-01,-0.07,-5.56,5.46,0.0,65.01,1.58,16.76,73.98,Jammu and Kashmir,34.0837,74.7973
2000-03-02,0.26,-4.89,6.81,0.0,59.12,1.93,16.65,73.89,Jammu and Kashmir,34.0837,74.7973
2000-03-03,0.67,-7.43,8.2,0.0,40.13,1.84,18.51,73.99,Jammu and Kashmir,34.0837,74.7973
2000-03-04,0.06,-3.57,3.92,0.0,62.14,3.6,5.38,73.54,Jammu and Kashmir,34.0837,74.7973
2000-03-05,0.5,-5.96,6.97,0.0,53.55,1.95,12.78,73.9,Jammu and Kashmir,34.0837,74.7973
2000-03-06,1.47,-3.97,8.5,0.16,47.98,2.49,11.73,73.85,Jammu and Kashmir,34.0837,74.7973
2000-03-07,0.81,-4.41,6.24,0.24,50.03,1.47,17.29,74.03,Jammu and Kashmir,34.0837,74.7973
2000-03-08,1.64,-6.5,9.27,0.0,37.49,1.54,18.48,74.19,Jammu and Kashmir,34.0837,74.7973
2000-03-09,3.3,-4.46,10.83,0.0,29.53,1.38,18.56,74.01,Jammu and Kashmir,34.0837,74.7973
2000-03-10,4.38,-0.41,10.84,0.0,33.4,1.6,21.04,73.9,Jammu and Kashmir,34.0837,74.7973
2000-03-11,3.06,-1.43,8.41,0.0,54.77,2.18,11.31,73.78,Jammu and Kashmir,34.0837,74.7973
2000-03-12,2.81,-1.19,8.46,0.0,51.02,2.12,14.59,73.71,Jammu and Kashmir,34.0837,74.7973
2000-03-13,2.76,-2.8,9.45,0.0,44.46,1.42,19.53,73.82,Jammu and Kashmir,34.0837,74.7973
2000-03-14,3.26,-2.29,10.33,0.0,41.1,1.6,20.13,74.12,Jammu and Kashmir,34.0837,74.7973
2000-03-15,3.82,-3.13,11.73,0.0,35.51,1.87,20.98,74.1,Jammu and Kashmir,34.0837,74.7973
2000-03-16,3.29,-0.91,9.83,0.51,43.73,2.06,13.58,73.98,Jammu and Kashmir,34.0837,74.7973
2000-03-17,1.72,-2.31,6.63,12.21,57.22,2.05,11.43,73.82,Jammu and Kashmir,34.0837,74.7973
2000-03-18,0.22,-4.64,5.73,1.89,57.07,1.84,14.38,73.9,Jammu and Kashmir,34.0837,74.7973
2000-03-19,1.14,-5.49,7.94,0.0,37.96,1.26,19.94,74.18,Jammu and Kashmir,34.0837,74.7973
2000-03-20,2.24,-5.27,9.43,0.0,36.08,1.63,19.38,74.1,Jammu and Kashmir,34.0837,74.7973
2000-03-21,3.13,-0.44,8.08,0.21,50.21,1.34,18.42,74.12,Jammu and Kashmir,34.0837,74.7973
2000-03-22,1.87,-0.09,4.73,0.82,61.69,1.17,20.11,74.17,Jammu and Kashmir,34.0837,74.7973
2000-03-23,2.65,-1.33,7.25,0.13,55.57,1.23,19.92,74.23,Jammu and Kashmir,34.0837,74.7973
2000-03-24,4.69,-5.1,13.72,0.0,30.91,1.26,21.86,74.59,Jammu and Kashmir,34.0837,74.7973
2000-03-25,8.44,-1.87,18.57,0.0,22.38,1.47,22.53,74.64,Jammu and Kashmir,34.0837,74.7973
2000-03-26,10.04,0.42,19.56,0.0,23.68,1.56,22.28,74.7,Jammu and Kashmir,34.0837,74.7973
2000-03-27,10.03,3.81,17.41,0.04,28.42,1.52,22.57,74.68,Jammu and Kashmir,34.0837,74.7973
2000-03-28,10.03,3.16,18.35,1.33,38.9,1.62,21.9,74.69,Jammu and Kashmir,34.0837,74.7973
2000-03-29,9.17,2.87,16.87,0.0,51.32,1.65,13.43,74.72,Jammu and Kashmir,34.0837,74.7973
2000-03-30,7.04,2.4,12.94,0.0,52.98,1.81,10.57,74.62,Jammu and Kashmir,34.0837,74.7973
2000-03-31,8.31,2.98,15.75,6.21,45.41,2.72,10.1,74.36,Jammu and Kashmir,34.0837,74.7973
2000-04-01,7.62,1.1,14.53,0.85,46.52,1.98,20.94,74.36,Jammu and Kashmir,34.0837,74.7973
2000-04-02,8.84,-0.06,17.54,0.0,31.39,1.76,23.51,74.2,Jammu and Kashmir,34.0837,74.7973
2000-04-03,8.92,2.78,16.38,0.0,27.43,1.8,22.67,74.17,Jammu and Kashmir,34.0837,74.7973
2000-04-04,8.19,1.44,15.79,0.33,32.03,2.85,13.08,74.15,Jammu and Kashmir,34.0837,74.7973
2000-04-05,8.25,1.58,16.01,0.0,25.39,2.1,22.61,74.14,Jammu and Kashmir,34.0837,74.7973
2000-04-06,8.28,0.98,15.96,0.0,22.33,1.65,23.47,74.16,Jammu and Kashmir,34.0837,74.7973
2000-04-07,6.48,2.43,13.22,0.0,43.72,1.48,14.37,74.45,Jammu and Kashmir,34.0837,74.7973
2000-04-08,8.58,1.57,16.26,0.0,45.91,1.9,18.71,74.45,Jammu and Kashmir,34.0837,74.7973
2000-04-09,10.32,1.28,18.98,0.0,28.91,1.34,23.9,74.19,Jammu and Kashmir,34.0837,74.7973
2000-04-10,12.27,1.98,21.27,0.0,16.9,1.4,24.88,74.32,Jammu and Kashmir,34.0837,74.7973
2000-04-11,12.98,3.6,22.49,0.0,19.03,1.73,24.62,74.4,Jammu and Kashmir,34.0837,74.7973
2000-04-12,14.08,6.2,22.8,0.0,21.48,1.73,25.89,74.46,Jammu and Kashmir,34.0837,74.7973
2000-04-13,13.28,4.81,20.51,1.34,27.09,1.32,21.92,74.33,Jammu and Kashmir,34.0837,74.7973
