,T2M,T2M_MIN,T2M_MAX,PRECTOTCORR,RH2M,WS2M,ALLSKY_SFC_SW_DWN,PS,city,latitude,longitude
2000-01-01,14.28,9.31,22.64,0.0,49.46,1.1,15.55,94.61,Jharkhand,23.6102,85.2799
2000-01-02,14.54,9.69,22.61,0.0,43.99,0.97,15.71,94.6,Jharkhand,23.6102,85.2799
2000-01-03,13.61,8.84,21.44,0.0,42.47,1.39,15.37,94.49,Jharkhand,23.6102,85.2799
2000-01-04,14.53,9.44,22.3,0.0,38.14,1.29,15.47,94.5,Jharkhand,23.6102,85.2799
2000-01-05,13.94,9.22,22.3,0.0,42.25,1.15,15.35,94.53,Jharkhand,23.6102,85.2799
2000-01-06,12.08,5.7,20.79,0.0,44.97,1.9,15.52,94.48,Jharkhand,23.6102,85.2799
2000-01-07,12.78,5.11,22.3,0.0,43.04,1.84,15.15,94.54,Jharkhand,23.6102,85.2799
2000-01-08,14.32,9.35,22.73,0.0,37.0,1.59,15.1,94.48,Jharkhand,23.6102,85.2799
2000-01-09,15.07,10.08,23.56,0.0,36.44,1.6,15.47,94.44,Jharkhand,23.6102,85.2799
2000-01-10,16.86,9.96,25.77,0.0,37.92,1.5,15.84,94.39,Jharkhand,23.6102,85.2799
2000-01-11,17.72,13.33,25.49,0.0,39.24,1.28,16.32,94.47,Jharkhand,23.6102,85.2799
2000-01-12,18.29,11.98,27.12,0.0,42.67,1.1,15.26,94.39,Jharkhand,23.6102,85.2799
2000-01-13,18.34,10.77,27.79,0.01,54.02,1.71,15.39,94.24,Jharkhand,23.6102,85.2799
2000-01-14,17.16,11.09,24.96,0.0,57.7,2.4,15.46,94.22,Jharkhand,23.6102,85.2799
2000-01-15,18.71,14.25,25.99,8.32,55.13,0.9,12.49,94.3,Jharkhand,23.6102,85.2799
2000-01-16,16.5,10.28,23.9,1.67,62.99,1.64,14.31,94.57,Jharkhand,23.6102,85.2799
2000-01-17,13.18,6.02,23.66,0.0,44.83,2.39,15.48,94.72,Jharkhand,23.6102,85.2799
2000-01-18,12.11,4.62,22.06,0.0,40.82,2.39,16.99,94.72,Jharkhand,23.6102,85.2799
2000-01-19,13.49,6.27,23.16,0.0,42.67,2.82,16.38,94.42,Jharkhand,23.6102,85.2799
2000-01-20,14.99,7.65,24.25,0.0,43.58,2.44,17.15,94.15,Jharkhand,23.6102,85.2799
