,T2M,T2M_MIN,T2M_MAX,PRECTOTCORR,RH2M,WS2M,ALLSKY_SFC_SW_DWN,PS,city,latitude,longitude
2000-01-01,18.98,12.82,27.25,0.0,67.62,3.01,18.19,91.82,Karnataka,12.9716,77.5946
2000-01-02,18.81,11.86,27.61,0.0,65.63,2.84,19.79,91.83,Karnataka,12.9716,77.5946
2000-01-03,19.66,13.55,28.5,0.0,64.36,2.49,15.37,91.74,Karnataka,12.9716,77.5946
2000-01-04,20.43,13.82,28.96,0.0,64.17,2.29,17.74,91.72,Karnataka,12.9716,77.5946
2000-01-05,20.74,14.64,28.88,0.01,66.64,2.43,19.14,91.73,Karnataka,12.9716,77.5946
2000-01-06,21.67,15.69,29.32,0.13,69.34,2.71,16.75,91.72,Karnataka,12.9716,77.5946
2000-01-07,21.1,14.95,29.24,0.01,67.14,3.23,18.84,91.75,Karnataka,12.9716,77.5946
2000-01-08,20.88,14.54,29.23,0.0,67.78,3.34,18.24,91.75,Karnataka,12.9716,77.5946
2000-01-09,21.37,14.33,29.86,0.07,69.42,3.23,19.68,91.76,Karnataka,12.9716,77.5946
2000-01-10,21.94,16.82,28.95,0.31,72.06,3.22,13.67,91.72,Karnataka,12.9716,77.5946
2000-01-11,22.3,17.79,29.41,0.07,71.92,3.16,12.97,91.71,Karnataka,12.9716,77.5946
2000-01-12,22.57,16.87,30.43,0.03,67.6,2.72,20.71,91.72,Karnataka,12.9716,77.5946
2000-01-13,23.1,17.36,31.54,0.03,65.07,2.13,19.6,91.72,Karnataka,12.9716,77.5946
2000-01-14,23.18,16.95,31.84,0.0,61.3,1.88,21.19,91.64,Karnataka,12.9716,77.5946
2000-01-15,22.68,16.36,30.33,0.0,60.14,1.68,20.43,91.72,Karnataka,12.9716,77.5946
2000-01-16,22.23,16.09,31.02,0.0,58.65,3.03,21.61,91.78,Karnataka,12.9716,77.5946
2000-01-17,20.85,12.87,30.16,0.0,53.32,3.03,21.94,91.95,Karnataka,12.9716,77.5946
2000-01-18,20.57,12.12,30.39,0.0,54.17,3.0,22.09,92.03,Karnataka,12.9716,77.5946
2000-01-19,21.32,13.37,31.23,0.0,52.93,2.47,22.6,91.97,Karnataka,12.9716,77.5946
2000-01-20,21.48,13.72,32.23,0.0,54.57,1.86,22.55,91.82,Karnataka,12.9716,77.5946
2000-01-21,21.61,12.34,32.86,0.0,53.17,1.93,22.69,91.84,Karnataka,12.9716,77.5946
2000-01-22,21.5,12.78,32.85,0.0,53.09,2.08,22.79,91.88,Karnataka,12.9716,77.5946
2000-01-23,21.69,12.72,32.26,0.0,50.18,1.31,21.95,91.83,Karnataka,12.9716,77.5946
2000-01-24,21.52,12.81,31.38,0.0,49.48,2.24,22.26,91.88,Karnataka,12.9716,77.5946
2000-01-25,21.73,15.41,30.78,0.0,58.15,2.86,21.79,91.98,Karnataka,12.9716,77.5946
2000-01-26,21.1,15.39,29.59,0.0,57.86,3.01,21.76,92.0,Karnataka,12.9716,77.5946
2000-01-27,20.86,14.54,29.79,0.0,57.26,3.51,22.06,91.95,Karnataka,12.9716,77.5946
2000-01-28,21.68,14.5,31.2,0.0,53.95,3.19,21.47,91.94,Karnataka,12.9716,77.5946
2000-01-29,22.08,13.36,31.74,0.0,50.34,2.58,20.98,92.0,Karnataka,12.9716,77.5946
2000-01-30,21.89,13.22,31.86,0.0,49.44,2.78,23.03,92.06,Karnataka,12.9716,77.5946
2000-01-31,21.34,12.94,32.02,0.0,49.47,2.46,22.24,92.02,Karnataka,12.9716,77.5946
2000-02-01,21.15,13.08,32.36,0.0,48.81,2.24,22.59,91.88,Karnataka,12.9716,77.5946
2000-02-02,21.71,13.02,32.6,0.0,51.68,2.03,22.37,91.85,Karnataka,12.9716,77.5946
2000-02-03,23.6,16.18,33.08,0.02,58.63,2.91,22.07,91.96,Karnataka,12.9716,77.5946
2000-02-04,24.47,17.39,33.11,0.36,61.0,3.25,19.63,91.86,Karnataka,12.9716,77.5946
2000-02-05,26.07,18.89,34.06,0.01,56.81,1.52,19.13,91.7,Karnataka,12.9716,77.5946
2000-02-06,25.46,19.47,32.75,0.32,54.66,1.39,18.89,91.68,Karnataka,12.9716,77.5946
2000-02-07,25.83,19.04,33.12,0.1,51.33,0.69,19.25,91.63,Karnataka,12.9716,77.5946
2000-02-08,25.99,19.65,33.03,0.16,53.47,1.96,18.34,91.58,Karnataka,12.9716,77.5946
2000-02-09,25.53,18.73,32.92,0.09,52.94,1.9,19.34,91.68,Karnataka,12.9716,77.5946
2000-02-10,25.81,19.03,33.1,0.0,52.6,2.51,20.25,91.71,Karnataka,12.9716,77.5946
