,T2M,T2M_MIN,T2M_MAX,PRECTOTCORR,RH2M,WS2M,ALLSKY_SFC_SW_DWN,PS,city,latitude,longitude
2000-01-01,25.44,21.79,29.39,0.0,73.66,3.87,19.55,99.99,Kerala,8.5241,76.9366
2000-01-02,25.46,21.03,29.7,0.0,69.4,3.04,20.34,99.98,Kerala,8.5241,76.9366
2000-01-03,25.99,22.01,29.51,0.0,68.59,2.32,18.67,99.93,Kerala,8.5241,76.9366
2000-01-04,25.92,23.41,29.13,0.0,71.64,3.07,17.82,99.9,Kerala,8.5241,76.9366
2000-01-05,26.01,22.49,29.8,0.0,75.4,3.14,20.93,99.84,Kerala,8.5241,76.9366
2000-01-06,26.27,23.94,29.18,0.02,76.89,3.02,17.62,99.85,Kerala,8.5241,76.9366
2000-01-07,26.31,23.86,29.65,0.28,76.82,4.27,21.38,99.83,Kerala,8.5241,76.9366
2000-01-08,26.3,23.4,30.23,0.38,73.99,4.37,20.67,99.8,Kerala,8.5241,76.9366
2000-01-09,26.12,23.0,29.44,0.28,77.08,4.39,15.94,99.82,Kerala,8.5241,76.9366
2000-01-10,26.8,23.82,30.59,0.57,76.62,4.16,19.76,99.8,Kerala,8.5241,76.9366
2000-01-11,26.76,23.75,30.52,0.58,78.39,4.32,19.52,99.83,Kerala,8.5241,76.9366
2000-01-12,26.9,23.91,30.55,0.98,76.0,3.38,21.01,99.88,Kerala,8.5241,76.9366
2000-01-13,26.76,23.51,31.15,1.07,75.56,2.38,17.76,99.89,Kerala,8.5241,76.9366
2000-01-14,26.83,22.92,31.28,0.04,71.25,1.73,19.27,99.89,Kerala,8.5241,76.9366
2000-01-15,26.6,24.66,28.1,0.04,72.61,1.21,18.31,99.95,Kerala,8.5241,76.9366
2000-01-16,26.76,24.19,30.49,0.04,72.4,2.94,21.75,99.94,Kerala,8.5241,76.9366
2000-01-17,26.68,23.32,30.73,0.0,71.2,3.77,16.0,100.03,Kerala,8.5241,76.9366
2000-01-18,26.51,22.36,31.46,0.0,70.29,4.47,21.26,100.12,Kerala,8.5241,76.9366
2000-01-19,26.31,21.67,31.68,0.0,67.89,3.7,23.0,100.13,Kerala,8.5241,76.9366
2000-01-20,26.3,21.88,31.11,0.0,70.48,2.26,22.77,100.07,Kerala,8.5241,76.9366
2000-01-21,26.66,22.73,31.62,0.0,63.1,1.29,22.77,100.11,Kerala,8.5241,76.9366
2000-01-22,25.92,21.14,30.88,0.0,61.91,1.62,22.65,100.14,Kerala,8.5241,76.9366
2000-01-23,25.63,20.47,30.78,0.0,64.12,1.22,19.64,100.13,Kerala,8.5241,76.9366
2000-01-24,26.52,21.79,31.61,0.0,64.87,1.5,22.69,100.13,Kerala,8.5241,76.9366
2000-01-25,26.65,21.65,32.02,0.0,65.1,2.38,22.71,100.16,Kerala,8.5241,76.9366
2000-01-26,26.12,21.6,31.56,0.0,64.68,3.46,23.79,100.15,Kerala,8.5241,76.9366
2000-01-27,26.31,21.34,31.72,0.0,63.32,3.19,23.31,100.11,Kerala,8.5241,76.9366
2000-01-28,27.18,21.97,32.21,0.0,66.95,3.24,23.44,100.05,Kerala,8.5241,76.9366
2000-01-29,27.99,23.71,32.46,0.0,67.81,3.35,18.26,100.11,Kerala,8.5241,76.9366
2000-01-30,27.98,23.68,32.83,0.0,63.2,2.98,20.37,100.19,Kerala,8.5241,76.9366
2000-01-31,27.23,22.75,32.61,0.0,62.05,3.25,24.11,100.2,Kerala,8.5241,76.9366
2000-02-01,26.81,21.24,32.48,0.0,59.75,2.42,23.59,100.11,Kerala,8.5241,76.9366
2000-02-02,27.14,22.11,32.24,0.0,62.23,2.26,18.75,100.04,Kerala,8.5241,76.9366
2000-02-03,27.64,24.51,30.93,3.5,73.38,3.09,21.41,100.12,Kerala,8.5241,76.9366
2000-02-04,27.3,25.02,30.37,16.13,79.09,3.5,11.93,100.05,Kerala,8.5241,76.9366
2000-02-05,27.12,24.9,30.18,7.61,77.78,1.39,19.15,100.01,Kerala,8.5241,76.9366
2000-02-06,26.4,24.85,29.4,32.66,80.84,1.69,19.73,100.01,Kerala,8.5241,76.9366
2000-02-07,26.27,24.7,28.84,13.82,83.33,2.22,19.71,99.97,Kerala,8.5241,76.9366
2000-02-08,27.12,24.17,30.94,0.25,76.06,2.15,22.79,99.91,Kerala,8.5241,76.9366
2000-02-09,27.28,24.41,30.98,0.06,72.59,2.06,22.13,100.0,Kerala,8.5241,76.9366
2000-02-10,26.94,24.86,29.89,0.06,74.76,1.35,22.49,100.05,Kerala,8.5241,76.9366
2000-02-11,26.84,25.02,30.22,4.16,76.67,1.97,19.92,100.06,Kerala,8.5241,76.9366
2000-02-12,25.51,24.65,26.94,2.59,85.45,2.31,23.0,99.99,Kerala,8.5241,76.9366
2000-02-13,27.21,24.11,31.01,2.0,71.11,1.22,23.13,99.87,Kerala,8.5241,76.9366
2000-02-14,27.27,23.14,31.47,0.08,63.73,1.61,23.95,99.9,Kerala,8.5241,76.9366
2000-02-15,27.47,22.99,31.79,0.05,69.05,2.37,23.48,99.92,Kerala,8.5241,76.9366
2000-02-16,27.59,24.11,31.96,0.0,68.41,2.46,22.6,99.98,Kerala,8.5241,76.9366
2000-02-17,27.65,23.75,32.67,0.0,67.45,2.16,22.87,99.86,Kerala,8.5241,76.9366
2000-02-18,27.78,24.2,32.4,0.0,66.99,2.09,23.28,99.86,Kerala,8.5241,76.9366
2000-02-19,27.52,24.7,31.63,0.0,72.79,3.17,22.74,99.86,Kerala,8.5241,76.9366
2000-02-20,27.12,24.93,30.76,0.03,73.73,3.7,20.99,99.86,Kerala,8.5241,76.9366
2000-02-21,26.74,24.9,30.14,0.02,73.08,3.29,22.03,99.88,Kerala,8.5241,76.9366
2000-02-22,26.94,24.38,30.55,0.01,73.99,2.64,20.68,99.89,Kerala,8.5241,76.9366
2000-02-23,27.32,24.52,31.53,1.98,73.4,2.11,21.56,99.89,Kerala,8.5241,76.9366
2000-02-24,26.13,24.83,27.96,5.86,83.15,2.42,17.88,100.01,Kerala,8.5241,76.9366
2000-02-25,26.68,24.96,29.27,0.66,77.86,2.76,20.67,99.96,Kerala,8.5241,76.9366
2000-02-26,26.63,24.38,30.1,2.76,76.77,3.16,22.7,99.82,Kerala,8.5241,76.9366
2000-02-27,26.74,24.13,30.31,7.4,76.71,2.01,19.72,99.81,Kerala,8.5241,76.9366
2000-02-28,27.52,24.36,30.83,5.06,76.15,1.73,18.34,99.88,Kerala,8.5241,76.9366
2000-02-29,28.55,24.44,33.12,0.6,69.21,3.35,23.37,99.89,Kerala,8.5241,76.9366
2000-03-01,28.51,23.53,33.4,0.07,61.88,2.86,24.7,99.89,Kerala,8.5241,76.9366
2000-03-02,28.06,23.6,32.78,0.04,65.12,2.68,24.25,99.95,Kerala,8.5241,76.9366
2000-03-03,28.71,24.86,33.6,0.04,66.44,1.98,23.03,99.99,Kerala,8.5241,76.9366
2000-03-04,28.6,25.3,33.47,0.02,67.58,1.83,22.9,100.01,Kerala,8.5241,76.9366
2000-03-05,28.42,24.81,33.42,0.01,66.19,1.96,22.89,99.89,Kerala,8.5241,76.9366
2000-03-06,28.35,25.56,32.4,0.23,68.26,2.89,18.31,99.89,Kerala,8.5241,76.9366
2000-03-07,28.3,25.39,32.03,0.09,68.63,2.78,20.75,99.96,Kerala,8.5241,76.9366
2000-03-08,28.17,25.56,31.13,0.0,74.34,2.58,22.89,99.94,Kerala,8.5241,76.9366
2000-03-09,28.38,25.72,32.15,0.04,75.6,3.15,19.19,99.89,Kerala,8.5241,76.9366
2000-03-10,28.54,25.78,32.93,0.06,75.37,3.29,19.69,99.87,Kerala,8.5241,76.9366
2000-03-11,29.06,24.96,34.49,0.01,69.4,2.32,22.58,99.91,Kerala,8.5241,76.9366
2000-03-12,28.87,25.26,33.92,0.0,70.47,2.12,24.24,99.89,Kerala,8.5241,76.9366
2000-03-13,28.58,25.86,32.78,0.0,71.21,3.03,24.36,99.83,Kerala,8.5241,76.9366
2000-03-14,28.64,25.4,33.19,0.0,67.48,2.21,23.79,99.88,Kerala,8.5241,76.9366
2000-03-15,28.78,25.38,32.94,0.0,69.27,3.14,23.05,99.94,Kerala,8.5241,76.9366
2000-03-16,28.96,25.64,33.21,0.0,67.82,3.27,24.12,99.87,Kerala,8.5241,76.9366
2000-03-17,29.05,26.06,33.59,0.0,68.01,2.79,23.95,99.78,Kerala,8.5241,76.9366
2000-03-18,29.49,25.56,34.84,0.0,65.32,2.12,24.53,99.8,Kerala,8.5241,76.9366
2000-03-19,29.22,25.81,34.39,0.0,66.25,1.92,23.79,99.88,Kerala,8.5241,76.9366
2000-03-20,29.43,26.2,34.34,0.0,64.4,1.58,24.16,99.82,Kerala,8.5241,76.9366
2000-03-21,29.53,25.15,34.96,0.0,63.23,1.72,25.04,99.87,Kerala,8.5241,76.9366
2000-03-22,29.46,25.64,34.94,0.27,60.78,1.78,23.19,99.88,Kerala,8.5241,76.9366
2000-03-23,29.4,25.91,34.02,0.35,60.75,1.5,24.68,99.87,Kerala,8.5241,76.9366
2000-03-24,28.15,25.87,30.88,11.49,70.05,2.98,15.08,99.89,Kerala,8.5241,76.9366
2000-03-25,28.12,24.93,31.89,5.84,71.73,2.31,23.6,99.92,Kerala,8.5241,76.9366
2000-03-26,28.9,25.46,33.47,0.69,65.52,2.4,21.18,99.92,Kerala,8.5241,76.9366
2000-03-27,29.03,25.95,33.34,0.76,67.61,1.85,21.21,99.87,Kerala,8.5241,76.9366
2000-03-28,29.41,25.81,33.71,0.52,66.3,1.79,21.68,99.82,Kerala,8.5241,76.9366
