,T2M,T2M_MIN,T2M_MAX,PRECTOTCORR,RH2M,WS2M,ALLSKY_SFC_SW_DWN,PS,city,latitude,longitude
2000-01-01,-9.42,-15.57,-2.9,0.0,24.99,1.14,12.06,58.51,Ladakh,34.1526,77.577
2000-01-02,-8.77,-14.9,-2.17,0.0,23.17,1.2,12.32,58.51,Ladakh,34.1526,77.577
2000-01-03,-8.63,-14.07,-2.46,0.0,20.25,1.1,12.74,58.42,Ladakh,34.1526,77.577
2000-01-04,-9.27,-15.65,-2.59,0.0,18.92,1.06,12.72,58.33,Ladakh,34.1526,77.577
2000-01-05,-9.98,-15.32,-4.46,0.0,22.38,0.9,12.88,58.35,Ladakh,34.1526,77.577
2000-01-06,-9.88,-15.7,-3.89,0.0,25.88,1.44,13.53,58.35,Ladakh,34.1526,77.577
2000-01-07,-9.93,-14.42,-5.65,0.0,50.82,2.02,5.57,58.23,Ladakh,34.1526,77.577
2000-01-08,-10.04,-12.18,-6.34,0.0,71.71,2.54,3.54,57.97,Ladakh,34.1526,77.577
2000-01-09,-10.23,-13.14,-6.39,0.06,51.84,4.6,5.41,57.65,Ladakh,34.1526,77.577
2000-01-10,-12.65,-15.4,-8.34,0.01,41.92,3.1,6.16,57.8,Ladakh,34.1526,77.577
2000-01-11,-11.9,-15.56,-7.9,0.34,59.26,2.76,8.48,57.85,Ladakh,34.1526,77.577
2000-01-12,-10.28,-12.66,-7.43,6.67,64.66,2.68,5.04,57.67,Ladakh,34.1526,77.577
2000-01-13,-11.78,-14.63,-8.89,3.76,68.55,2.98,6.9,57.36,Ladakh,34.1526,77.577
2000-01-14,-15.86,-19.15,-13.39,0.01,52.71,3.29,7.32,57.12,Ladakh,34.1526,77.577
2000-01-15,-19.33,-22.88,-15.62,0.01,52.77,2.38,5.57,57.32,Ladakh,34.1526,77.577
2000-01-16,-20.26,-24.31,-15.33,0.0,41.45,2.06,7.25,57.71,Ladakh,34.1526,77.577
2000-01-17,-17.97,-25.67,-9.86,0.0,64.35,1.87,7.8,58.32,Ladakh,34.1526,77.577
2000-01-18,-13.17,-21.88,-4.83,0.29,76.06,2.13,7.15,58.54,Ladakh,34.1526,77.577
2000-01-19,-12.51,-15.9,-7.67,0.13,71.64,3.4,4.42,57.98,Ladakh,34.1526,77.577
2000-01-20,-15.43,-22.03,-9.13,0.0,50.45,1.33,9.37,57.88,Ladakh,34.1526,77.577
2000-01-21,-16.02,-22.64,-8.62,0.0,48.45,1.95,10.47,57.91,Ladakh,34.1526,77.577
2000-01-22,-14.8,-19.09,-9.86,0.0,64.89,2.13,6.5,57.94,Ladakh,34.1526,77.577
2000-01-23,-16.57,-22.34,-9.6,0.0,64.79,1.98,10.76,58.0,Ladakh,34.1526,77.577
2000-01-24,-17.21,-24.04,-9.63,0.0,65.44,1.96,10.88,58.06,Ladakh,34.1526,77.577
2000-01-25,-15.17,-20.67,-9.08,0.14,62.01,2.63,11.75,58.05,Ladakh,34.1526,77.577
2000-01-26,-13.83,-18.87,-9.21,0.06,61.92,2.38,8.4,58.01,Ladakh,34.1526,77.577
2000-01-27,-17.27,-23.69,-10.26,0.01,55.6,1.81,10.38,58.05,Ladakh,34.1526,77.577
2000-01-28,-16.74,-22.0,-10.84,0.02,50.1,1.38,10.73,58.24,Ladakh,34.1526,77.577
2000-01-29,-14.31,-20.81,-6.58,0.0,35.72,1.11,12.35,58.55,Ladakh,34.1526,77.577
2000-01-30,-12.36,-20.05,-3.75,0.0,50.96,1.94,13.66,58.56,Ladakh,34.1526,77.577
2000-01-31,-11.61,-14.58,-7.26,2.81,67.53,2.68,6.96,57.91,Ladakh,34.1526,77.577
2000-02-01,-14.59,-16.8,-11.83,4.26,57.67,1.73,12.34,57.58,Ladakh,34.1526,77.577
2000-02-02,-16.25,-19.89,-12.2,0.51,62.04,2.29,11.81,57.68,Ladakh,34.1526,77.577
2000-02-03,-16.22,-19.68,-11.98,0.0,64.46,2.56,11.28,57.94,Ladakh,34.1526,77.577
2000-02-04,-15.64,-20.85,-11.81,0.44,66.83,1.49,12.54,57.79,Ladakh,34.1526,77.577
2000-02-05,-13.85,-18.37,-9.64,1.12,69.51,0.93,12.22,57.53,Ladakh,34.1526,77.577
2000-02-06,-14.4,-17.95,-10.28,0.2,73.32,1.11,5.65,57.77,Ladakh,34.1526,77.577
2000-02-07,-16.4,-23.03,-9.35,0.01,66.58,1.47,10.54,57.91,Ladakh,34.1526,77.577
2000-02-08,-18.12,-26.61,-11.45,0.0,66.55,2.15,13.62,57.77,Ladakh,34.1526,77.577
2000-02-09,-17.32,-24.55,-10.83,0.32,72.04,2.39,15.2,57.78,Ladakh,34.1526,77.577
2000-02-10,-14.73,-18.54,-11.34,1.62,71.84,2.54,8.81,57.42,Ladakh,34.1526,77.577
2000-02-11,-15.13,-18.15,-11.49,0.98,66.03,2.26,13.49,57.31,Ladakh,34.1526,77.577
2000-02-12,-16.62,-20.59,-13.1,0.11,67.36,1.61,12.46,57.55,Ladakh,34.1526,77.577
2000-02-13,-18.16,-25.47,-11.65,0.0,63.26,1.49,10.54,57.77,Ladakh,34.1526,77.577
2000-02-14,-18.44,-26.01,-11.13,0.0,57.56,1.43,12.71,58.15,Ladakh,34.1526,77.577
2000-02-15,-14.98,-21.68,-7.41,0.0,66.21,2.47,13.44,58.11,Ladakh,34.1526,77.577
2000-02-16,-15.82,-19.21,-12.22,0.0,67.83,2.65,9.1,57.59,Ladakh,34.1526,77.577
2000-02-17,-18.2,-23.0,-14.07,0.0,60.15,1.66,12.26,57.41,Ladakh,34.1526,77.577
2000-02-18,-18.35,-21.06,-15.19,0.15,56.52,1.94,15.74,57.4,Ladakh,34.1526,77.577
2000-02-19,-19.38,-25.36,-15.2,0.01,59.18,2.52,13.07,57.47,Ladakh,34.1526,77.577
2000-02-20,-19.17,-25.53,-14.74,0.3,61.0,2.99,14.5,57.47,Ladakh,34.1526,77.577
2000-02-21,-18.43,-22.66,-13.32,0.06,65.78,3.66,15.0,57.54,Ladakh,34.1526,77.577
2000-02-22,-19.33,-27.34,-13.96,0.0,69.62,3.05,14.81,57.77,Ladakh,34.1526,77.577
2000-02-23,-17.83,-24.8,-12.64,0.05,63.72,2.38,18.09,57.9,Ladakh,34.1526,77.577
2000-02-24,-17.45,-24.76,-10.48,0.01,61.54,1.73,17.06,57.95,Ladakh,34.1526,77.577
2000-02-25,-17.47,-25.59,-9.73,0.0,57.89,1.69,16.87,57.85,Ladakh,34.1526,77.577
2000-02-26,-17.27,-24.8,-9.99,0.0,52.53,1.64,16.68,57.82,Ladakh,34.1526,77.577
2000-02-27,-15.34,-21.93,-9.17,0.0,59.33,2.27,19.7,57.95,Ladakh,34.1526,77.577
2000-02-28,-13.56,-22.96,-5.85,0.0,65.81,2.24,19.68,58.26,Ladakh,34.1526,77.577
2000-02-29,-11.02,-15.6,-4.32,0.0,68.94,3.56,16.05,58.1,Ladakh,34.1526,77.577
2000-03-01,-14.23,-21.08,-9.66,0.0,67.12,2.45,18.16,57.87,Ladakh,34.1526,77.577
2000-03-02,-15.1,-21.81,-8.65,0.0,61.92,3.27,19.0,57.74,Ladakh,34.1526,77.577
2000-03-03,-15.47,-23.55,-7.72,0.0,58.89,2.41,18.98,57.95,Ladakh,34.1526,77.577
2000-03-04,-12.34,-20.24,-6.74,0.0,59.38,3.75,14.67,57.68,Ladakh,34.1526,77.577
2000-03-05,-10.46,-15.92,-6.28,0.0,55.14,4.19,16.46,57.72,Ladakh,34.1526,77.577
2000-03-06,-13.04,-22.05,-5.48,0.02,58.14,3.56,19.9,57.88,Ladakh,34.1526,77.577
2000-03-07,-12.09,-14.35,-8.85,0.04,56.27,2.44,11.78,57.85,Ladakh,34.1526,77.577
2000-03-08,-12.48,-18.25,-6.19,0.0,52.91,1.79,19.23,58.06,Ladakh,34.1526,77.577
2000-03-09,-12.64,-19.11,-6.03,0.0,48.87,2.13,19.59,58.02,Ladakh,34.1526,77.577
2000-03-10,-11.61,-19.21,-5.68,0.0,53.19,2.46,20.03,57.95,Ladakh,34.1526,77.577
2000-03-11,-10.13,-13.55,-5.63,0.0,58.36,3.4,11.74,57.77,Ladakh,34.1526,77.577
2000-03-12,-11.6,-16.09,-7.27,0.03,60.64,2.62,16.13,57.69,Ladakh,34.1526,77.577
2000-03-13,-11.39,-15.83,-5.75,0.19,50.8,1.48,20.84,57.78,Ladakh,34.1526,77.577
2000-03-14,-11.48,-18.53,-4.82,0.02,44.86,1.86,20.94,58.05,Ladakh,34.1526,77.577
2000-03-15,-10.3,-17.2,-3.83,0.0,45.94,1.67,21.57,58.09,Ladakh,34.1526,77.577
2000-03-16,-10.55,-16.42,-5.53,0.09,55.68,3.27,17.45,57.94,Ladakh,34.1526,77.577
2000-03-17,-11.6,-17.21,-6.88,1.66,58.33,3.18,14.77,57.84,Ladakh,34.1526,77.577
2000-03-18,-12.17,-16.19,-9.19,1.01,52.87,3.7,12.93,57.77,Ladakh,34.1526,77.577
2000-03-19,-13.54,-20.56,-6.85,0.0,47.14,2.41,18.31,58.01,Ladakh,34.1526,77.577
2000-03-20,-11.76,-19.88,-5.24,0.0,48.65,2.85,18.9,58.03,Ladakh,34.1526,77.577
2000-03-21,-9.86,-13.02,-5.95,0.07,60.16,2.31,16.72,58.01,Ladakh,34.1526,77.577
2000-03-22,-9.16,-12.99,-5.38,0.51,59.27,1.74,17.57,58.05,Ladakh,34.1526,77.577
2000-03-23,-9.44,-13.38,-6.06,0.06,53.7,1.99,17.69,58.11,Ladakh,34.1526,77.577
2000-03-24,-8.65,-15.15,-2.89,0.0,39.45,1.78,21.79,58.63,Ladakh,34.1526,77.577
2000-03-25,-5.68,-12.76,0.58,0.0,20.39,1.41,22.98,59.01,Ladakh,34.1526,77.577
2000-03-26,-3.25,-10.69,3.61,0.0,21.35,1.15,22.94,59.04,Ladakh,34.1526,77.577
2000-03-27,-2.44,-7.32,3.87,0.0,25.6,1.59,24.05,58.93,Ladakh,34.1526,77.577
2000-03-28,-2.63,-7.46,3.54,0.1,34.13,1.74,22.47,58.91,Ladakh,34.1526,77.577
2000-03-29,-2.49,-7.35,4.78,0.05,47.69,2.38,20.31,58.92,Ladakh,34.1526,77.577
2000-03-30,-3.51,-6.93,2.0,0.0,46.97,3.46,15.61,58.78,Ladakh,34.1526,77.577
2000-03-31,-4.04,-8.77,2.22,1.04,44.32,4.11,16.05,58.56,Ladakh,34.1526,77.577
2000-04-01,-4.13,-7.5,1.25,0.24,42.28,3.39,17.93,58.49,Ladakh,34.1526,77.577
2000-04-02,-3.9,-9.27,2.25,0.0,34.01,1.82,22.14,58.49,Ladakh,34.1526,77.577
2000-04-03,-4.15,-7.82,0.95,0.0,31.59,3.03,19.51,58.36,Ladakh,34.1526,77.577
2000-04-04,-5.45,-9.98,0.86,0.06,32.88,3.23,22.58,58.39,Ladakh,34.1526,77.577
2000-04-05,-5.18,-9.38,0.7,0.01,31.71,3.44,20.34,58.37,Ladakh,34.1526,77.577
2000-04-06,-4.92,-10.1,1.65,0.0,26.53,2.48,22.81,58.35,Ladakh,34.1526,77.577
2000-04-07,-4.55,-8.96,-0.35,0.0,39.78,3.05,19.08,58.58,Ladakh,34.1526,77.577
2000-04-08,-4.09,-7.43,0.32,0.0,51.53,2.91,16.72,58.59,Ladakh,34.1526,77.577
2000-04-09,-4.22,-7.13,0.48,0.75,36.14,2.0,19.97,58.52,Ladakh,34.1526,77.577
2000-04-10,-2.98,-8.59,2.69,0.01,16.8,1.59,25.94,58.8,Ladakh,34.1526,77.577
2000-04-11,-0.54,-6.73,6.87,0.0,14.37,1.67,26.23,58.87,Ladakh,34.1526,77.577
2000-04-12,0.29,-4.33,6.78,0.0,16.55,1.34,26.68,58.9,Ladakh,34.1526,77.577
2000-04-13,-0.43,-5.4,6.4,0.03,27.5,1.91,26.71,58.77,Ladakh,34.1526,77.577
2000-04-14,-1.97,-5.65,3.89,2.39,47.0,1.87,19.97,58.55,Ladakh,34.1526,77.577
2000-04-15,-1.49,-5.57,4.77,0.37,49.49,2.76,21.44,58.55,Ladakh,34.1526,77.577
2000-04-16,-2.39,-6.71,3.45,0.0,48.74,2.34,26.18,58.71,Ladakh,34.1526,77.577
2000-04-17,-1.67,-6.47,4.85,0.0,46.7,2.32,23.85,58.75,Ladakh,34.1526,77.577
2000-04-18,-1.74,-6.43,3.39,0.0,55.77,2.87,17.82,58.82,Ladakh,34.1526,77.577
2000-04-19,-0.52,-5.15,5.86,0.02,53.85,1.86,22.4,58.91,Ladakh,34.1526,77.577
2000-04-20,-0.31,-4.9,5.63,0.01,53.85,2.95,23.22,58.83,Ladakh,34.1526,77.577
2000-04-21,0.37,-4.95,7.13,0.0,46.76,2.02,25.42,58.72,Ladakh,34.1526,77.577
2000-04-22,-0.08,-4.54,6.03,0.0,56.82,2.11,22.47,58.72,Ladakh,34.1526,77.577
2000-04-23,-0.16,-4.27,6.19,0.0,57.0,2.28,27.06,58.56,Ladakh,34.1526,77.577
2000-04-24,-0.65,-4.92,5.01,0.0,51.16,2.96,23.14,58.54,Ladakh,34.1526,77.577
2000-04-25,-0.24,-5.64,7.31,0.04,38.58,2.79,26.47,58.53,Ladakh,34.1526,77.577
2000-04-26,-1.22,-4.92,3.91,0.03,45.88,2.78,26.3,58.55,Ladakh,34.1526,77.577
2000-04-27,-1.87,-5.82,3.55,0.09,54.46,2.61,22.69,58.53,Ladakh,34.1526,77.577
2000-04-28,-1.93,-6.21,3.82,0.06,50.56,3.34,21.08,58.36,Ladakh,34.1526,77.577
2000-04-29,-2.6,-7.24,3.25,0.02,47.19,3.65,23.32,58.39,Ladakh,34.1526,77.577
2000-04-30,-1.18,-7.46,6.18,0.0,32.81,2.8,26.48,58.71,Ladakh,34.1526,77.577
2000-05-01,0.66,-5.29,7.24,0.0,18.36,1.61,25.85,58.9,Ladakh,34.1526,77.577
2000-05-02,2.73,-4.87,10.39,0.0,10.52,1.63,27.19,59.08,Ladakh,34.1526,77.577
2000-05-03,4.32,-3.31,12.08,0.0,21.77,2.26,28.19,59.19,Ladakh,34.1526,77.577
2000-05-04,1.86,-3.16,8.36,0.0,45.04,2.29,23.14,59.1,Ladakh,34.1526,77.577
2000-05-05,2.02,-4.28,8.82,1.99,49.06,2.01,22.04,59.0,Ladakh,34.1526,77.577
2000-05-06,2.48,-3.76,10.44,3.23,36.38,2.59,25.09,58.9,Ladakh,34.1526,77.577
2000-05-07,2.59,-4.29,9.04,0.89,19.03,1.72,26.93,59.04,Ladakh,34.1526,77.577
2000-05-08,4.38,-3.63,10.79,0.0,16.69,0.97,28.75,59.08,Ladakh,34.1526,77.577
2000-05-09,5.77,-1.75,13.0,0.0,16.15,1.32,29.11,59.12,Ladakh,34.1526,77.577
2000-05-10,7.49,-0.44,14.93,0.0,18.64,1.64,29.73,59.16,Ladakh,34.1526,77.577
2000-05-11,7.88,0.39,16.19,0.0,19.02,1.74,28.35,59.09,Ladakh,34.1526,77.577
2000-05-12,7.18,-0.48,15.85,2.21,37.65,2.45,30.0,59.06,Ladakh,34.1526,77.577
2000-05-13,5.94,-0.72,13.97,0.84,53.18,2.51,28.52,59.0,Ladakh,34.1526,77.577
2000-05-14,4.85,-2.96,13.05,0.08,46.78,1.97,30.31,58.91,Ladakh,34.1526,77.577
2000-05-15,5.1,-1.01,12.21,0.02,43.48,2.55,25.91,58.87,Ladakh,34.1526,77.577
2000-05-16,4.81,-1.81,12.54,0.01,39.0,2.08,25.15,58.81,Ladakh,34.1526,77.577
2000-05-17,5.21,-2.34,12.52,0.0,30.47,1.84,24.8,58.72,Ladakh,34.1526,77.577
2000-05-18,5.32,-2.06,12.92,0.0,33.99,1.86,25.05,58.71,Ladakh,34.1526,77.577
2000-05-19,4.97,-1.44,12.05,0.04,39.46,2.34,23.36,58.69,Ladakh,34.1526,77.577
2000-05-20,4.88,-1.55,11.7,0.38,40.04,2.28,23.98,58.78,Ladakh,34.1526,77.577
2000-05-21,5.42,-1.34,12.89,0.0,30.77,2.05,25.36,58.87,Ladakh,34.1526,77.577
2000-05-22,6.42,-1.28,15.08,2.25,23.43,2.53,30.91,58.82,Ladakh,34.1526,77.577
2000-05-23,3.7,-3.24,11.38,0.1,52.79,3.12,21.62,58.77,Ladakh,34.1526,77.577
2000-05-24,5.07,-2.64,13.83,0.37,47.93,3.0,25.66,58.65,Ladakh,34.1526,77.577
2000-05-25,4.51,-2.83,12.24,0.73,42.7,3.26,20.81,58.53,Ladakh,34.1526,77.577
2000-05-26,3.82,-2.45,11.85,0.0,39.84,2.95,23.34,58.52,Ladakh,34.1526,77.577
2000-05-27,3.57,-3.41,11.41,0.0,41.97,3.3,24.22,58.69,Ladakh,34.1526,77.577
2000-05-28,4.37,-3.14,11.97,0.19,42.29,2.17,24.74,58.82,Ladakh,34.1526,77.577
2000-05-29,4.84,-1.84,12.06,1.04,37.36,2.8,24.54,58.86,Ladakh,34.1526,77.577
2000-05-30,3.41,-2.77,9.46,1.61,47.07,3.31,19.92,58.76,Ladakh,34.1526,77.577
2000-05-31,1.36,-4.15,7.47,2.38,59.37,2.97,23.12,58.68,Ladakh,34.1526,77.577
2000-06-01,2.41,-3.79,9.12,0.01,52.9,2.48,25.76,58.62,Ladakh,34.1526,77.577
2000-06-02,4.06,-3.88,12.08,0.0,38.93,2.27,28.93,58.79,Ladakh,34.1526,77.577
2000-06-03,3.68,-2.62,10.56,0.69,46.78,3.01,21.45,58.72,Ladakh,34.1526,77.577
2000-06-04,2.04,-4.94,9.3,0.05,48.72,3.14,17.41,58.67,Ladakh,34.1526,77.577
2000-06-05,2.65,-5.63,10.49,0.0,39.11,2.75,24.18,58.67,Ladakh,34.1526,77.577
2000-06-06,4.39,-3.25,12.3,0.03,36.89,2.15,25.89,58.7,Ladakh,34.1526,77.577
2000-06-07,5.98,-1.69,14.59,1.19,32.36,2.25,27.04,58.59,Ladakh,34.1526,77.577
2000-06-08,5.44,-0.14,14.22,2.83,47.56,2.41,13.46,58.41,Ladakh,34.1526,77.577
2000-06-09,4.39,-2.19,11.95,1.21,51.3,2.41,16.32,58.53,Ladakh,34.1526,77.577
2000-06-10,4.12,-2.47,10.99,0.17,44.58,2.41,22.88,58.57,Ladakh,34.1526,77.577
2000-06-11,4.91,-1.16,11.15,0.0,46.01,2.19,19.63,58.56,Ladakh,34.1526,77.577
2000-06-12,6.52,-1.97,14.32,0.0,32.82,1.91,26.92,58.68,Ladakh,34.1526,77.577
2000-06-13,8.07,-0.1,16.08,0.0,22.02,1.98,28.79,58.63,Ladakh,34.1526,77.577
2000-06-14,8.69,-0.15,17.77,0.0,31.34,2.46,28.22,58.68,Ladakh,34.1526,77.577
2000-06-15,9.08,0.24,18.74,0.0,35.01,2.48,28.01,58.71,Ladakh,34.1526,77.577
2000-06-16,9.34,1.05,18.55,0.04,41.87,2.37,30.41,58.72,Ladakh,34.1526,77.577
2000-06-17,9.19,0.38,18.67,0.08,40.38,2.38,27.89,58.75,Ladakh,34.1526,77.577
2000-06-18,9.91,1.15,19.96,0.0,36.95,2.17,30.84,58.75,Ladakh,34.1526,77.577
2000-06-19,10.17,1.24,19.95,0.0,40.45,2.54,28.04,58.74,Ladakh,34.1526,77.577
2000-06-20,9.33,1.28,18.27,0.0,38.74,2.64,25.14,58.74,Ladakh,34.1526,77.577
2000-06-21,8.49,0.83,17.25,0.28,42.77,3.02,24.27,58.65,Ladakh,34.1526,77.577
2000-06-22,6.41,0.23,14.05,0.36,51.95,3.13,20.22,58.58,Ladakh,34.1526,77.577
2000-06-23,6.28,-0.71,13.59,0.06,41.49,2.5,26.13,58.62,Ladakh,34.1526,77.577
2000-06-24,7.74,-0.4,15.45,0.6,28.23,2.04,24.79,58.56,Ladakh,34.1526,77.577
2000-06-25,9.12,0.98,17.34,0.0,18.86,2.06,28.69,58.63,Ladakh,34.1526,77.577
2000-06-26,10.06,1.59,18.45,0.0,17.63,1.91,29.32,58.72,Ladakh,34.1526,77.577
2000-06-27,10.88,2.24,19.85,0.37,21.44,1.98,31.5,58.77,Ladakh,34.1526,77.577
2000-06-28,11.16,1.81,20.35,0.85,37.93,2.1,29.26,58.84,Ladakh,34.1526,77.577
2000-06-29,11.04,2.92,19.79,0.96,36.83,2.48,26.33,58.82,Ladakh,34.1526,77.577
2000-06-30,8.93,2.37,17.35,0.15,53.9,2.38,20.26,58.77,Ladakh,34.1526,77.577
2000-07-01,9.01,1.15,17.01,0.12,40.79,2.2,25.86,58.68,Ladakh,34.1526,77.577
2000-07-02,8.79,1.36,17.0,0.08,45.91,2.44,24.18,58.64,Ladakh,34.1526,77.577
2000-07-03,9.2,1.85,17.55,0.03,41.02,2.51,26.29,58.65,Ladakh,34.1526,77.577
2000-07-04,9.49,1.75,17.9,0.0,42.97,2.16,26.08,58.71,Ladakh,34.1526,77.577
2000-07-05,10.15,1.71,18.62,0.0,39.04,1.81,26.75,58.77,Ladakh,34.1526,77.577
2000-07-06,10.94,2.25,19.78,0.0,38.11,2.27,31.66,58.7,Ladakh,34.1526,77.577
2000-07-07,10.26,2.37,19.06,1.87,43.72,2.32,30.96,58.74,Ladakh,34.1526,77.577
2000-07-08,10.46,2.72,18.49,0.46,42.76,1.85,23.33,58.64,Ladakh,34.1526,77.577
2000-07-09,10.41,2.79,18.06,0.1,32.02,2.06,22.03,58.52,Ladakh,34.1526,77.577
2000-07-10,10.91,3.0,19.35,0.22,28.58,2.08,25.99,58.49,Ladakh,34.1526,77.577
2000-07-11,10.84,3.03,19.03,0.22,43.42,1.88,24.72,58.62,Ladakh,34.1526,77.577
2000-07-12,11.76,3.46,19.89,2.34,43.45,1.96,23.17,58.69,Ladakh,34.1526,77.577
2000-07-13,10.96,3.75,18.15,1.11,54.79,1.99,19.26,58.69,Ladakh,34.1526,77.577
2000-07-14,10.8,5.13,17.52,0.34,56.83,2.56,18.7,58.62,Ladakh,34.1526,77.577
2000-07-15,10.36,4.34,16.99,0.14,54.7,2.4,21.46,58.52,Ladakh,34.1526,77.577
2000-07-16,10.45,4.35,17.43,0.1,50.67,2.36,23.06,58.47,Ladakh,34.1526,77.577
2000-07-17,9.51,2.46,16.99,0.25,55.28,2.28,24.32,58.47,Ladakh,34.1526,77.577
2000-07-18,10.83,3.89,18.63,0.72,53.35,2.4,27.38,58.41,Ladakh,34.1526,77.577
2000-07-19,11.83,4.47,19.66,1.1,47.94,2.09,27.13,58.46,Ladakh,34.1526,77.577
2000-07-20,12.24,4.96,19.97,0.63,50.22,2.07,27.19,58.63,Ladakh,34.1526,77.577
2000-07-21,12.45,4.91,21.36,2.93,50.35,2.62,26.87,58.69,Ladakh,34.1526,77.577
2000-07-22,9.05,4.0,14.06,8.68,68.78,2.5,26.8,58.71,Ladakh,34.1526,77.577
2000-07-23,10.18,2.84,18.4,2.83,61.66,1.51,25.97,58.67,Ladakh,34.1526,77.577
2000-07-24,10.5,5.29,15.93,2.25,61.43,1.56,26.23,58.58,Ladakh,34.1526,77.577
2000-07-25,10.74,5.27,17.03,0.58,54.59,1.79,26.29,58.7,Ladakh,34.1526,77.577
