,T2M,T2M_MIN,T2M_MAX,PRECTOTCORR,RH2M,WS2M,ALLSKY_SFC_SW_DWN,PS,city,latitude,longitude
2000-01-01,15.97,7.06,26.91,0.0,39.87,1.54,17.82,96.04,Madhya Pradesh,23.2599,77.4126
2000-01-02,16.16,7.23,26.88,0.0,37.27,1.35,17.42,96.08,Madhya Pradesh,23.2599,77.4126
2000-01-03,15.38,6.56,26.57,0.0,39.1,1.61,17.35,95.97,Madhya Pradesh,23.2599,77.4126
2000-01-04,15.83,7.77,26.72,0.0,36.6,1.54,17.67,95.97,Madhya Pradesh,23.2599,77.4126
2000-01-05,15.43,7.23,26.02,0.0,36.29,1.7,17.95,96.06,Madhya Pradesh,23.2599,77.4126
2000-01-06,15.96,7.87,26.82,0.0,32.78,1.61,17.93,96.07,Madhya Pradesh,23.2599,77.4126
2000-01-07,17.33,9.28,28.06,0.0,27.89,1.37,17.1,96.05,Madhya Pradesh,23.2599,77.4126
2000-01-08,18.6,8.55,29.4,0.0,26.51,1.31,17.69,95.92,Madhya Pradesh,23.2599,77.4126
2000-01-09,20.21,11.8,31.05,0.0,23.86,1.81,17.58,95.82,Madhya Pradesh,23.2599,77.4126
2000-01-10,20.87,12.41,31.08,0.0,23.42,1.56,17.4,95.75,Madhya Pradesh,23.2599,77.4126
2000-01-11,20.96,11.87,31.27,0.0,28.24,1.62,17.49,95.74,Madhya Pradesh,23.2599,77.4126
2000-01-12,20.4,12.28,30.63,0.01,38.34,2.53,15.27,95.65,Madhya Pradesh,23.2599,77.4126
2000-01-13,19.08,13.4,27.07,0.0,42.91,2.4,17.07,95.74,Madhya Pradesh,23.2599,77.4126
2000-01-14,16.64,9.0,26.84,0.0,30.65,2.08,17.02,95.71,Madhya Pradesh,23.2599,77.4126
2000-01-15,15.14,7.33,25.94,0.0,18.92,2.0,15.95,95.8,Madhya Pradesh,23.2599,77.4126
2000-01-16,14.23,6.36,24.74,0.0,22.99,2.86,17.45,96.15,Madhya Pradesh,23.2599,77.4126
2000-01-17,14.54,6.14,25.6,0.0,23.24,2.19,18.46,96.32,Madhya Pradesh,23.2599,77.4126
2000-01-18,17.15,7.81,29.36,0.0,24.7,1.92,17.73,96.33,Madhya Pradesh,23.2599,77.4126
2000-01-19,19.17,11.05,30.43,0.0,21.57,1.81,17.54,96.06,Madhya Pradesh,23.2599,77.4126
2000-01-20,18.5,9.7,28.79,0.0,22.21,2.2,17.72,95.75,Madhya Pradesh,23.2599,77.4126
2000-01-21,19.48,10.3,28.56,0.0,25.08,2.11,17.68,95.78,Madhya Pradesh,23.2599,77.4126
2000-01-22,19.32,11.76,28.65,0.0,39.67,1.85,17.48,95.84,Madhya Pradesh,23.2599,77.4126
2000-01-23,18.78,11.36,28.17,0.0,33.73,1.52,17.53,95.95,Madhya Pradesh,23.2599,77.4126
