,T2M,T2M_MIN,T2M_MAX,PRECTOTCORR,RH2M,WS2M,ALLSKY_SFC_SW_DWN,PS,city,latitude,longitude
2000-01-01,23.31,16.1,32.23,0.0,52.92,2.06,17.37,100.0,Maharashtra,19.076,72.8777
2000-01-02,23.13,16.43,32.05,0.0,49.59,2.49,17.58,100.09,Maharashtra,19.076,72.8777
2000-01-03,22.47,15.27,32.2,0.0,47.21,2.33,17.6,100.02,Maharashtra,19.076,72.8777
2000-01-04,22.52,15.23,32.46,0.0,46.71,2.29,17.57,99.98,Maharashtra,19.076,72.8777
2000-01-05,22.14,15.53,31.99,0.0,45.44,2.09,17.83,100.0,Maharashtra,19.076,72.8777
2000-01-06,22.15,14.78,32.45,0.0,40.14,2.67,18.07,100.07,Maharashtra,19.076,72.8777
2000-01-07,22.1,14.37,32.24,0.0,37.77,2.98,18.07,100.06,Maharashtra,19.076,72.8777
2000-01-08,22.24,14.15,33.21,0.0,39.46,2.37,18.19,100.0,Maharashtra,19.076,72.8777
2000-01-09,23.18,14.85,34.1,0.0,42.59,2.23,17.7,99.94,Maharashtra,19.076,72.8777
2000-01-10,23.5,15.75,33.75,0.0,46.32,1.69,17.62,99.9,Maharashtra,19.076,72.8777
2000-01-11,23.9,16.7,33.83,0.0,54.05,1.83,17.86,99.88,Maharashtra,19.076,72.8777
2000-01-12,22.95,18.28,30.66,0.0,70.13,2.12,18.18,99.99,Maharashtra,19.076,72.8777
2000-01-13,22.23,15.58,30.93,0.0,68.03,2.24,18.46,100.05,Maharashtra,19.076,72.8777
2000-01-14,21.6,15.32,30.47,0.0,54.46,2.2,18.03,99.95,Maharashtra,19.076,72.8777
2000-01-15,20.15,13.87,29.09,0.0,41.13,2.23,18.43,100.05,Maharashtra,19.076,72.8777
2000-01-16,20.75,12.3,30.64,0.0,45.05,1.82,18.37,100.07,Maharashtra,19.076,72.8777
2000-01-17,25.19,17.77,35.55,0.0,55.28,2.04,17.79,100.07,Maharashtra,19.076,72.8777
2000-01-18,26.42,20.24,36.23,0.0,49.61,2.5,19.4,100.23,Maharashtra,19.076,72.8777
2000-01-19,26.36,20.37,35.52,0.0,47.78,2.4,18.88,100.25,Maharashtra,19.076,72.8777
2000-01-20,24.39,17.87,33.53,0.0,44.54,2.12,19.47,100.09,Maharashtra,19.076,72.8777
