,T2M,T2M_MIN,T2M_MAX,PRECTOTCORR,RH2M,WS2M,ALLSKY_SFC_SW_DWN,PS,city,latitude,longitude
2000-01-01,14.82,8.31,22.94,0.0,39.88,0.6,15.44,90.74,Manipur,24.817,93.9368
2000-01-02,14.92,7.52,23.44,0.0,36.18,0.66,16.3,90.69,Manipur,24.817,93.9368
2000-01-03,14.86,9.07,23.59,0.0,38.55,0.67,16.34,90.57,Manipur,24.817,93.9368
2000-01-04,14.12,8.51,23.18,0.0,41.17,0.66,16.33,90.59,Manipur,24.817,93.9368
2000-01-05,14.37,8.33,23.31,0.0,38.95,0.65,16.12,90.63,Manipur,24.817,93.9368
2000-01-06,14.95,9.45,22.98,0.0,35.0,0.58,15.66,90.54,Manipur,24.817,93.9368
2000-01-07,13.79,8.66,22.06,0.0,41.31,0.57,16.13,90.6,Manipur,24.817,93.9368
2000-01-08,13.03,6.82,21.79,0.0,40.99,0.6,16.39,90.59,Manipur,24.817,93.9368
2000-01-09,13.1,7.72,21.52,0.0,42.35,0.52,15.62,90.58,Manipur,24.817,93.9368
2000-01-10,12.58,7.06,20.18,0.0,51.51,0.73,16.64,90.62,Manipur,24.817,93.9368
2000-01-11,14.68,9.04,23.33,0.0,53.03,0.67,16.79,90.67,Manipur,24.817,93.9368
2000-01-12,13.76,8.19,21.39,0.0,55.82,0.67,16.54,90.67,Manipur,24.817,93.9368
2000-01-13,14.44,8.81,22.01,0.0,55.21,0.65,16.67,90.54,Manipur,24.817,93.9368
2000-01-14,14.73,9.69,22.27,0.04,60.38,0.59,11.32,90.44,Manipur,24.817,93.9368
2000-01-15,14.09,9.15,21.76,0.15,64.07,0.68,16.13,90.57,Manipur,24.817,93.9368
2000-01-16,14.85,9.72,22.95,0.0,59.76,0.55,9.35,90.74,Manipur,24.817,93.9368
2000-01-17,13.93,9.29,21.86,0.0,62.87,0.6,15.51,90.8,Manipur,24.817,93.9368
2000-01-18,13.53,6.48,23.69,0.0,49.82,0.66,16.31,90.77,Manipur,24.817,93.9368
2000-01-19,14.19,6.51,23.92,0.0,47.45,0.74,16.83,90.5,Manipur,24.817,93.9368
2000-01-20,12.19,7.23,19.99,0.3,56.53,0.63,15.26,90.41,Manipur,24.817,93.9368
2000-01-21,12.56,6.96,20.39,0.39,55.09,0.58,15.76,90.79,Manipur,24.817,93.9368
2000-01-22,13.93,8.55,21.24,0.92,57.44,0.59,12.33,90.77,Manipur,24.817,93.9368
